"","X1","X2","X3"
"1",0,NA,NA
"2",1,NA,NA
"3",2,NA,NA
"4",3,NA,NA
"5",4,NA,NA
"6",5,NA,NA
"7",6,NA,NA
"8",7,NA,NA
"9",8,NA,NA
"10",9,NA,NA
"11",10,NA,NA
"12",11,NA,NA
"13",12,NA,NA
"14",13,NA,NA
"15",14,NA,NA
"16",15,NA,NA
"17",16,NA,NA
"18",17,NA,NA
"19",18,NA,NA
"20",19,NA,NA
"21",20,NA,NA
"22",21,NA,NA
"23",22,NA,NA
"24",23,NA,NA
"25",24,NA,NA
"26",25,NA,NA
"27",26,NA,NA
"28",27,NA,NA
"29",28,NA,NA
"30",29,NA,NA
"31",30,NA,NA
"32",31,NA,NA
"33",32,NA,NA
"34",33,NA,NA
"35",34,NA,NA
"36",35,NA,NA
"37",36,NA,NA
"38",37,NA,NA
"39",38,NA,NA
"40",39,NA,NA
"41",40,NA,NA
"42",41,NA,NA
"43",42,NA,NA
"44",43,NA,NA
"45",44,NA,NA
"46",45,NA,NA
"47",46,NA,NA
"48",47,NA,NA
"49",48,NA,NA
"50",49,NA,NA
"51",50,NA,NA
"52",51,NA,NA
"53",52,NA,NA
"54",53,NA,NA
"55",54,NA,NA
"56",55,NA,NA
"57",56,NA,NA
"58",57,NA,NA
"59",58,NA,NA
"60",59,NA,NA
"61",60,NA,NA
"62",61,NA,NA
"63",62,NA,NA
"64",63,NA,NA
"65",64,NA,NA
"66",65,NA,NA
"67",66,NA,NA
"68",67,NA,NA
"69",68,NA,NA
"70",69,NA,NA
"71",70,NA,NA
"72",71,NA,NA
"73",72,NA,NA
"74",73,NA,NA
"75",74,NA,NA
"76",75,NA,NA
"77",76,NA,NA
"78",77,NA,NA
"79",78,NA,NA
"80",79,NA,NA
"81",80,NA,NA
"82",81,NA,NA
"83",82,NA,NA
"84",83,NA,NA
"85",84,NA,NA
"86",85,NA,NA
"87",86,NA,NA
"88",87,NA,NA
"89",88,NA,NA
"90",89,NA,NA
"91",90,NA,NA
"92",91,NA,NA
"93",92,NA,NA
"94",93,NA,NA
"95",94,NA,NA
"96",95,NA,NA
"97",96,NA,NA
"98",97,NA,NA
"99",98,NA,NA
"100",99,NA,NA
"101",100,NA,NA
"102",101,NA,NA
"103",102,NA,NA
"104",103,NA,NA
"105",104,NA,NA
"106",105,NA,NA
"107",106,NA,NA
"108",107,NA,NA
"109",108,NA,NA
"110",109,NA,NA
"111",110,NA,NA
"112",111,NA,NA
"113",112,NA,NA
"114",113,NA,NA
"115",114,NA,NA
"116",115,NA,NA
"117",116,NA,NA
"118",117,NA,NA
"119",118,NA,NA
"120",119,NA,NA
"121",120,NA,NA
"122",121,NA,NA
"123",122,NA,NA
"124",123,NA,NA
"125",124,NA,NA
"126",125,NA,NA
"127",126,NA,NA
"128",127,NA,NA
"129",128,NA,NA
"130",129,NA,NA
"131",130,NA,NA
"132",131,NA,NA
"133",132,NA,NA
"134",133,NA,NA
"135",134,NA,NA
"136",135,NA,NA
"137",136,NA,NA
"138",137,NA,NA
"139",138,NA,NA
"140",139,NA,NA
"141",140,NA,NA
"142",141,NA,NA
"143",142,NA,NA
"144",143,NA,NA
"145",144,NA,NA
"146",145,NA,NA
"147",146,NA,NA
"148",147,NA,NA
"149",148,NA,NA
"150",149,NA,NA
"151",150,NA,NA
"152",151,NA,NA
"153",152,NA,NA
"154",153,NA,NA
"155",154,NA,NA
"156",155,NA,NA
"157",156,NA,NA
"158",157,NA,NA
"159",158,NA,NA
