Prof_Bacon;Age_Bacon;UncerAge_Bacon;Prof_Clam;UnceraAge_Clam;UncerbAge_Clam;Age_Bclam
0,4;NA;NA;0,43763677;NA;NA;NA
2,4;NA;NA;2,40700221;NA;NA;NA
3,9;NA;NA;3,938730928;NA;NA;NA
6,1;NA;NA;6,12691499;NA;NA;NA
7,9;NA;NA;7,877461616;NA;NA;NA
9,6;NA;NA;9,628008842;NA;NA;NA
11,4;NA;NA;11,37855607;NA;NA;NA
13,3;NA;NA;13,34792162;NA;NA;NA
15,3;NA;NA;15,31728718;NA;NA;NA
17,1;NA;NA;17,0678338;NA;NA;NA
19;NA;NA;19,03719936;NA;NA;NA
20,6;NA;NA;20,56892825;NA;NA;NA
22,5;NA;NA;22,53829381;NA;NA;NA
24,3;NA;NA;24,28884103;NA;NA;NA
26,3;3208,302995;295,2043131;26,25820599;NA;NA;NA
28,2;3311,241462;302,8333153;28,22757154;NA;NA;NA
29,8;3397,926486;325,1668525;29,75930044;NA;NA;NA
31,7;3501,920599;348,6960104;31,72866599;NA;NA;NA
33,5;3602,155768;357,4089674;33,47921322;NA;NA;NA
35,4;3707,959557;383,3465613;35,44857817;NA;NA;NA
37,2;3807,48858;390,3374857;37,1991254;NA;NA;NA
39,2;3917,684079;398,5448608;39,16849095;NA;NA;NA
40,9;4011,350254;419,7965917;40,91903818;NA;NA;NA
42,9;4120,128095;419,1655094;42,88840373;NA;NA;NA
44,4;4201,655516;427,6069289;44,42013203;NA;NA;NA
46,6;4321,312871;442,4695674;46,60831591;NA;NA;NA
48,4;4419,397188;440,885338;48,35886314;NA;NA;NA
50,3;4522,930634;453,5951817;50,32822869;NA;NA;NA
52,3;4632,259861;455,1334813;52,29759424;NA;NA;NA
54,3;4741,775748;457,9233545;54,2669598;NA;NA;NA
55,6;4812,961074;468,1042172;55,57986977;NA;NA;NA
57,8;4930,956708;462,6905768;57,76805365;NA;NA;NA
59,7;5032,387636;465,8453218;59,7374192;NA;NA;NA
61,5;5129,33298;471,2374384;61,48796823;NA;NA;NA
63,2;5222,986782;462,7042064;63,23851485;NA;NA;NA
65,2;5333,167726;467,5926521;65,20787981;NA;NA;NA
67;5432,327578;465,8408069;66,95842643;NA;NA;NA
68,7;5525,976285;460,9220504;68,70897306;NA;NA;NA
