;Abies;Acer campestre-type;Alnus;Artemisia;Betula;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Ephedra;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Poaceae;Hedera;Helianthemum;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Polygonum;Populus;Quercus;Ranunculaceae;Rosaceae;Rubiaceae;Salix;Sanguisorba;Saxifraga;Saxifragaceae;Scabiosa;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Urtica;Valeriana;Varia;Hippophae rhamnoides;Rumex;Asteraceae subf. Cichorioideae;Apiaceae;Fabaceae;Brassicaceae;Asteraceae subf. Asteroideae
NA.;0;0;0,111;0;0,214;0;0;0,007;0,003;0;0;0,019;0,012;0;0,003;0;0;0;0,022;0,07;0;0;0;0;0,326;0,089;0;0;0;0,026;0,003;0,003;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0,018;0;0,007;0;0;0;0;0
NA.1;0,005424955;0;0,03074141;0,003616637;0,059674503;0;0;0,003616637;0;0;0,001808318;0,016274864;0,025316456;0;0,023508137;0;0,037974684;0;0,001808318;0,099457505;0;0;0;0;0,048824593;0,582278481;0,009041591;0;0;0,016274864;0,001808318;0,003616637;0;0;0;0;0;0;0;0;0;0;0,001808318;0;0;0,003616637;0,003616637;0,003616637;0,001808318;0,009041591;0,003616637;0,001808318;0
NA..2;0,005738881;0,00286944;0,116212339;0,005738881;0,119081779;0;0,00143472;0,025824964;0;0;0;0,133428981;0,008608321;0;0,010043042;0;0,284074605;0;0,004304161;0,045911047;0;0;0;0;0,028694405;0,101865136;0,005738881;0,00143472;0;0,076040172;0,00143472;0,00286944;0;0;0;0;0;0;0;0,00143472;0;0;0,007173601;0;0;0;0,00143472;0,00286944;0;0,00286944;0;0;0,00286944
X1484.5128537575;0,016835017;0,001683502;0,193602694;0;0,163299663;0;0;0,01010101;0;0;0,003367003;0,101010101;0,023569024;0;0;0;0,297979798;0;0,018518519;0,03030303;0;0;0;0;0,025252525;0,037037037;0,003367003;0;0;0,055555556;0,003367003;0;0;0,006734007;0;0;0;0;0;0;0;0;0,001683502;0,003367003;0;0,001683502;0;0,001683502;0;0;0;0;0
X2050.32347806955;0,008256881;0,001834862;0,142201835;0,006422018;0,21559633;0;0;0,009174312;0;0;0,000917431;0,088073394;0,032110092;0;0,001834862;0;0,265137615;0,001834862;0,014678899;0,051376147;0;0;0;0,000917431;0,009174312;0,043119266;0,00733945;0;0,001834862;0,062385321;0,001834862;0;0,000917431;0,005504587;0;0;0;0;0,001834862;0,000917431;0,002752294;0;0,003669725;0,008256881;0;0;0;0,001834862;0;0,005504587;0;0;0,002752294
X2522.432250149;0,017331023;0,001733102;0,16117851;0,008665511;0,355285962;0;0;0,005199307;0;0;0,001733102;0,083188908;0,012131716;0;0;0;0,268630849;0,003466205;0,003466205;0,017331023;0;0;0;0;0,005199307;0,005199307;0,005199307;0;0,001733102;0,022530329;0;0;0,001733102;0;0;0;0;0;0;0,001733102;0,001733102;0;0,001733102;0;0;0,006932409;0;0,003466205;0;0,003466205;0;0;0
X2990.20686476275;0,012131716;0;0,133448873;0,008665511;0,095320624;0;0;0,003466205;0;0;0;0,072790295;0,022530329;0;0;0;0,440207972;0;0,010398614;0,06932409;0;0;0;0;0,01559792;0,024263432;0,017331023;0;0,001733102;0,03812825;0;0;0,001733102;0,001733102;0;0;0;0;0;0;0,001733102;0;0,012131716;0,001733102;0;0,003466205;0;0,008665511;0;0;0;0,001733102;0,001733102
X3696.28244784293;0,005181347;0;0,183074266;0,005181347;0,129533679;0;0;0,001727116;0;0;0;0,094991364;0,01208981;0;0;0;0,440414508;0;0,015544041;0,034542314;0;0;0;0;0,006908463;0,006908463;0,006908463;0;0;0,037996546;0;0;0,001727116;0,001727116;0;0;0;0;0,001727116;0;0;0;0,008635579;0;0;0,005181347;0;0;0;0;0;0;0
X4037.06598576238;0,006265664;0;0,140350877;0,003759398;0,096491228;0;0;0,006265664;0;0;0;0,095238095;0,025062657;0;0;0;0,488721805;0;0,022556391;0,026315789;0;0;0;0;0,011278195;0,016290727;0,002506266;0;0;0,038847118;0;0;0;0,002506266;0;0;0;0;0,001253133;0;0;0;0,011278195;0;0;0;0;0;0,001253133;0,003759398;0;0;0
X4320.19919706118;0,002232143;0;0,125;0,002232143;0,098214286;0;0;0;0;0;0,002232143;0,091517857;0,026785714;0;0,002232143;0;0,491071429;0,002232143;0,017857143;0,033482143;0;0;0;0;0,017857143;0,029017857;0,002232143;0;0;0,024553571;0;0;0;0,006696429;0;0;0;0;0,004464286;0;0,002232143;0;0,017857143;0;0;0;0;0;0;0;0;0;0
