depth	min	max	median	mean
0	16288	17637	16992	16984
1	16295	17638	16996	16989
2	16301	17643	17001	16994
3	16305	17650	17005	16999
4	16310	17654	17010	17004
5	16316	17659	17014	17009
6	16323	17666	17020	17014
7	16332	17672	17025	17019
8	16336	17678	17030	17023
9	16342	17682	17036	17028
10	16347	17684	17041	17033
11	16354	17686	17046	17038
12	16357	17689	17051	17043
13	16362	17692	17056	17048
14	16372	17698	17061	17053
15	16376	17707	17066	17058
16	16380	17711	17072	17063
17	16386	17714	17077	17067
18	16391	17718	17082	17072
19	16396	17721	17087	17077
20	16400	17723	17093	17082
21	16407	17725	17098	17087
22	16414	17729	17102	17092
23	16417	17737	17108	17097
24	16422	17745	17112	17102
25	16426	17749	17117	17107
26	16430	17749	17122	17112
27	16439	17750	17127	17118
28	16447	17755	17133	17123
29	16457	17761	17138	17128
30	16464	17761	17144	17133
31	16469	17762	17149	17138
32	16474	17765	17155	17143
33	16481	17769	17160	17148
34	16486	17773	17165	17153
35	16490	17780	17168	17158
36	16497	17783	17174	17163
37	16501	17786	17179	17168
38	16510	17790	17185	17173
39	16521	17798	17190	17178
40	16522	17808	17195	17184
41	16529	17809	17198	17188
42	16537	17812	17204	17193
43	16544	17815	17208	17198
44	16550	17818	17212	17203
45	16556	17823	17217	17208
46	16562	17826	17221	17213
47	16567	17829	17227	17218
48	16573	17832	17232	17223
49	16576	17837	17237	17228
50	16582	17841	17242	17233
51	16585	17848	17246	17238
52	16591	17852	17251	17243
53	16596	17857	17256	17247
54	16599	17862	17261	17252
55	16603	17865	17266	17257
56	16606	17870	17271	17262
57	16611	17876	17277	17267
58	16619	17881	17281	17272
59	16621	17886	17285	17277
60	16625	17891	17290	17282
61	16632	17893	17297	17287
62	16641	17899	17302	17292
63	16647	17904	17306	17297
64	16653	17908	17312	17302
65	16659	17913	17317	17307
66	16669	17915	17322	17312
67	16672	17918	17327	17317
68	16678	17921	17332	17322
69	16683	17924	17336	17327
70	16691	17927	17341	17332
71	16698	17933	17346	17337
72	16706	17937	17351	17342
73	16710	17940	17357	17347
74	16716	17941	17361	17352
