depth	min	max	median	mean
0	-70	380	76	102
1	-44	408	105	129
2	-30	437	136	156
3	-17	466	168	182
4	-6	496	197	209
5	4	526	225	236
6	35	541	253	264
7	56	559	284	292
8	71	583	316	320
9	84	616	350	348
10	95	654	382	376
11	142	666	408	404
12	184	677	435	431
13	213	693	463	458
14	237	719	492	486
15	260	743	519	513
16	321	756	541	539
17	368	769	563	565
18	408	791	588	591
19	438	820	614	617
20	461	860	637	643
21	540	872	670	681
22	593	894	708	718
23	625	919	747	756
24	646	965	786	793
25	667	1051	821	831
26	833	1149	963	970
27	983	1247	1107	1110
28	1123	1368	1252	1249
29	1236	1521	1397	1389
30	1339	1691	1540	1528
31	1424	1737	1591	1585
32	1470	1795	1643	1641
33	1502	1873	1701	1697
34	1525	1959	1758	1753
35	1540	2059	1813	1809
36	1627	2075	1850	1849
37	1699	2090	1885	1888
38	1752	2120	1924	1928
39	1791	2180	1965	1967
40	1828	2252	2005	2007
41	1884	2275	2061	2062
42	1924	2308	2120	2117
43	1948	2373	2174	2172
44	1966	2470	2232	2227
45	1981	2576	2284	2282
46	2077	2594	2329	2329
47	2166	2614	2369	2377
48	2240	2635	2415	2424
49	2301	2663	2461	2472
50	2345	2709	2506	2519
51	2391	2740	2556	2565
52	2421	2786	2611	2611
53	2446	2845	2664	2657
54	2464	2919	2710	2703
55	2480	3005	2750	2749
56	2574	3021	2793	2795
57	2660	3040	2836	2840
58	2730	3068	2882	2886
59	2780	3104	2928	2932
60	2808	3157	2973	2977
61	2841	3191	3008	3011
62	2866	3236	3044	3046
63	2883	3306	3077	3080
64	2894	3379	3107	3114
65	2901	3461	3137	3148
66	2941	3494	3173	3184
67	2965	3527	3210	3220
68	2982	3569	3248	3256
69	3002	3628	3281	3292
70	3013	3688	3316	3328
71	3045	3712	3353	3362
72	3068	3741	3389	3396
73	3087	3770	3425	3430
74	3104	3809	3460	3465
75	3122	3870	3494	3499
76	3183	3889	3527	3533
77	3232	3911	3564	3567
78	3261	3937	3599	3601
79	3284	3966	3639	3634
80	3307	4000	3676	3668
81	3352	4021	3709	3702
82	3389	4041	3744	3735
83	3420	4072	3777	3768
84	3449	4110	3811	3802
85	3473	4151	3845	3835
86	3531	4171	3879	3870
87	3569	4189	3914	3906
88	3611	4214	3951	3942
89	3647	4242	3992	3977
90	3671	4279	4029	4013
91	3735	4292	4064	4049
92	3802	4310	4098	4085
93	3851	4330	4135	4122
94	3888	4354	4172	4158
95	3920	4389	4211	4194
96	3959	4400	4233	4218
97	3991	4410	4256	4242
98	4016	4423	4279	4266
99	4035	4448	4304	4290
100	4059	4486	4324	4314
101	4078	4498	4340	4330
102	4101	4516	4355	4346
103	4120	4537	4370	4362
104	4134	4563	4384	4378
105	4150	4591	4398	4394
106	4176	4602	4413	4410
107	4196	4614	4430	4426
108	4212	4632	4446	4442
109	4225	4649	4462	4458
110	4236	4677	4477	4474
111	4266	4688	4492	4490
112	4289	4698	4508	4506
113	4309	4712	4525	4522
114	4326	4730	4540	4538
115	4339	4752	4556	4554
116	4365	4761	4572	4569
117	4383	4774	4589	4585
118	4401	4789	4604	4600
