depth	min	max	median	mean
0	641	2769	1827	1800
1	716	2801	1875	1853
2	809	2836	1929	1905
3	885	2873	1981	1958
4	942	2921	2034	2011
5	984	2982	2093	2064
6	1084	3022	2138	2116
7	1167	3045	2186	2167
8	1238	3076	2243	2219
9	1298	3127	2295	2270
10	1353	3163	2347	2322
11	1452	3207	2395	2373
12	1535	3231	2446	2424
13	1591	3268	2495	2475
14	1649	3310	2544	2526
15	1696	3361	2596	2577
16	1805	3384	2643	2628
17	1899	3414	2692	2680
18	1990	3449	2740	2731
19	2052	3492	2789	2783
20	2086	3546	2838	2835
21	2210	3568	2886	2886
22	2304	3588	2932	2937
23	2408	3632	2981	2988
24	2484	3685	3032	3040
25	2553	3718	3087	3091
26	2628	3764	3137	3144
27	2689	3816	3189	3197
28	2744	3868	3242	3249
29	2775	3924	3292	3302
30	2810	4005	3338	3355
31	2866	4053	3395	3410
32	2909	4121	3449	3466
33	2946	4201	3506	3521
34	2973	4295	3559	3577
35	2996	4412	3609	3632
36	3063	4455	3665	3688
37	3106	4506	3724	3744
38	3143	4559	3778	3799
39	3184	4628	3833	3855
40	3209	4717	3887	3911
41	3263	4757	3941	3965
42	3307	4832	3997	4019
43	3342	4900	4055	4073
44	3374	4988	4112	4127
45	3406	5059	4165	4181
46	3457	5106	4223	4237
47	3501	5171	4279	4293
48	3551	5226	4338	4349
49	3589	5289	4393	4404
50	3627	5385	4446	4460
51	3699	5423	4499	4514
52	3748	5476	4555	4568
53	3792	5533	4610	4622
54	3828	5614	4664	4676
55	3869	5692	4715	4731
56	3938	5728	4768	4784
57	3995	5763	4816	4837
58	4040	5816	4872	4891
59	4082	5871	4921	4944
60	4129	5940	4978	4998
61	4195	5979	5037	5054
62	4260	6023	5098	5111
63	4307	6092	5156	5168
64	4348	6172	5210	5224
65	4379	6238	5270	5281
66	4453	6276	5323	5334
67	4515	6320	5378	5388
68	4563	6360	5431	5441
69	4620	6414	5484	5495
70	4655	6484	5538	5548
71	4717	6509	5592	5603
72	4784	6563	5648	5657
