depth	min	max	median	mean
290	10596	11368	11011	11006
291	10624	11403	11046	11043
292	10652	11464	11089	11079
293	10675	11549	11127	11116
294	10695	11637	11163	11153
295	10716	11725	11196	11189
296	10752	11770	11231	11225
297	10783	11816	11259	11260
298	10806	11872	11290	11296
299	10825	11932	11322	11331
300	10842	12001	11355	11366
301	10875	12038	11387	11401
302	10897	12083	11425	11436
303	10921	12126	11457	11471
304	10947	12177	11492	11506
305	10973	12228	11523	11541
306	11007	12265	11561	11577
307	11034	12303	11596	11613
308	11052	12346	11629	11649
309	11075	12396	11665	11685
310	11084	12460	11697	11721
311	11121	12498	11737	11757
312	11160	12544	11780	11793
313	11185	12594	11819	11830
314	11210	12638	11855	11866
315	11222	12710	11887	11902
316	11254	12748	11923	11937
317	11281	12786	11961	11972
318	11304	12829	11991	12007
319	11327	12872	12022	12042
320	11349	12915	12057	12078
321	11394	12949	12092	12113
322	11428	12998	12130	12149
323	11460	13042	12164	12185
324	11484	13094	12200	12221
325	11505	13138	12235	12257
326	11538	13186	12272	12293
327	11572	13226	12307	12329
328	11601	13279	12344	12365
329	11630	13336	12378	12401
330	11653	13388	12416	12437
331	11689	13414	12456	12473
332	11719	13448	12495	12510
333	11748	13482	12531	12547
334	11775	13528	12573	12584
335	11799	13580	12610	12621
336	11830	13599	12641	12655
337	11867	13641	12674	12689
338	11896	13682	12706	12724
339	11916	13715	12743	12758
340	11936	13769	12777	12793
341	11968	13805	12812	12828
342	12002	13834	12848	12864
343	12036	13877	12880	12900
344	12058	13927	12918	12936
345	12090	13975	12949	12971
346	12125	13999	12987	13007
347	12156	14035	13026	13042
348	12186	14072	13060	13077
349	12209	14115	13098	13113
350	12229	14165	13134	13148
351	12261	14212	13166	13183
352	12294	14259	13199	13218
353	12332	14307	13233	13252
354	12362	14353	13270	13287
355	12392	14391	13304	13322
356	12411	14439	13342	13357
357	12440	14468	13373	13391
358	12463	14510	13410	13426
359	12485	14557	13443	13461
360	12520	14616	13479	13496
361	12562	14630	13514	13531
362	12595	14678	13551	13566
363	12627	14714	13588	13602
364	12649	14745	13624	13637
365	12677	14779	13658	13672
366	12714	14809	13694	13707
367	12758	14864	13728	13742
368	12783	14905	13762	13777
369	12810	14944	13795	13812
370	12826	14983	13831	13847
371	12860	15023	13871	13883
372	12902	15056	13905	13918
373	12932	15085	13940	13954
374	12975	15126	13976	13989
375	12995	15165	14010	14025
376	13033	15204	14045	14059
377	13067	15231	14076	14094
378	13094	15268	14116	14129
379	13122	15310	14151	14164
380	13143	15351	14188	14198
381	13170	15381	14224	14235
382	13202	15413	14261	14271
383	13231	15448	14300	14307
384	13265	15501	14332	14344
385	13292	15533	14368	14380
386	13315	15566	14403	14415
387	13337	15602	14437	14450
388	13366	15632	14473	14485
389	13399	15674	14507	14520
390	13421	15715	14541	14555
391	13468	15736	14577	14590
392	13490	15770	14610	14626
393	13526	15816	14645	14661
394	13561	15854	14680	14696
395	13592	15910	14716	14732
396	13624	15943	14752	14767
397	13656	15975	14784	14803
398	13702	16005	14822	14839
399	13728	16042	14861	14875
400	13770	16098	14899	14910
401	13807	16142	14939	14946
402	13838	16169	14977	14982
403	13875	16206	15014	15018
404	13900	16254	15054	15054
405	13922	16295	15091	15090
406	13970	16329	15123	15125
407	13998	16370	15157	15159
408	14020	16405	15191	15194
409	14036	16432	15220	15229
410	14068	16480	15253	15263
411	14114	16515	15290	15301
412	14146	16559	15330	15338
413	14181	16607	15366	15376
414	14208	16660	15406	15413
415	14229	16693	15449	15451
416	14278	16733	15483	15486
417	14310	16767	15516	15521
418	14345	16794	15553	15556
419	14377	16832	15586	15591
420	14398	16881	15624	15626
421	14439	16910	15658	15661
422	14472	16948	15697	15697
423	14512	16970	15727	15733
424	14548	17000	15765	15768
425	14573	17025	15798	15804
426	14610	17058	15831	15838
427	14653	17095	15867	15872
428	14684	17135	15901	15906
429	14713	17183	15932	15940
430	14730	17236	15968	15974
431	14763	17268	16001	16009
432	14794	17303	16039	16044
433	14821	17339	16071	16079
434	14854	17379	16106	16114
435	14897	17412	16143	16149
436	14930	17443	16178	16185
437	14962	17471	16214	16222
438	14988	17516	16252	16259
439	15023	17553	16287	16295
440	15054	17596	16323	16332
441	15105	17631	16361	16366
442	15135	17663	16394	16400
443	15162	17694	16428	16434
444	15197	17721	16461	16468
445	15225	17761	16493	16502
446	15270	17800	16534	16537
447	15296	17841	16569	16571
448	15340	17875	16605	16605
449	15360	17927	16644	16640
450	15385	17965	16676	16674
451	15421	18013	16709	16710
452	15455	18058	16746	16747
453	15494	18093	16775	16783
454	15515	18117	16813	16819
455	15550	18169	16851	16855
