depth	min	max	median	mean
1.5	4420	4678	4562	4557
2.5	4433	4687	4576	4571
3.5	4451	4699	4590	4585
4.5	4462	4711	4605	4599
5.5	4470	4732	4618	4613
6.5	4490	4746	4633	4628
7.5	4510	4754	4649	4642
8.5	4527	4760	4665	4657
9.5	4540	4769	4686	4672
10.5	4549	4781	4701	4687
11.5	4566	4795	4717	4701
12.5	4580	4800	4735	4714
13.5	4594	4805	4752	4728
14.5	4605	4812	4767	4741
15.5	4617	4825	4778	4755
16.5	4649	4842	4792	4774
17.5	4698	4863	4809	4797
18.5	4737	4895	4824	4820
19.5	4768	4930	4838	4844
20.5	4792	4984	4853	4867
21.5	4824	5024	4886	4900
22.5	4858	5051	4937	4944
23.5	4876	5091	4989	4987
24.5	4890	5152	5036	5030
25.5	4900	5224	5079	5073
26.5	4944	5267	5124	5118
27.5	5021	5282	5169	5164
28.5	5091	5306	5215	5211
29.5	5147	5348	5259	5257
30.5	5187	5408	5299	5303
31.5	5234	5447	5334	5342
32.5	5292	5461	5367	5373
33.5	5333	5479	5402	5404
34.5	5358	5503	5437	5436
35.5	5375	5543	5468	5467
36.5	5401	5572	5491	5492
37.5	5435	5579	5511	5512
38.5	5466	5592	5532	5531
39.5	5483	5613	5553	5551
40.5	5493	5645	5573	5571
41.5	5513	5669	5591	5590
42.5	5540	5691	5608	5610
43.5	5559	5718	5626	5630
44.5	5574	5761	5646	5650
45.5	5585	5809	5665	5670
46.5	5613	5840	5692	5696
47.5	5648	5849	5725	5728
48.5	5668	5859	5761	5760
49.5	5681	5877	5798	5793
50.5	5694	5908	5834	5825
51.5	5719	5936	5863	5853
52.5	5756	5948	5887	5876
53.5	5785	5965	5907	5900
54.5	5811	5994	5925	5923
55.5	5830	6037	5944	5946
56.5	5865	6067	5964	5968
57.5	5907	6081	5984	5989
58.5	5935	6097	6005	6009
59.5	5946	6121	6026	6030
60.5	5952	6155	6047	6050
61.5	5971	6175	6068	6070
62.5	5991	6182	6088	6089
63.5	6006	6193	6108	6108
64.5	6019	6211	6130	6127
65.5	6028	6242	6150	6147
66.5	6058	6263	6172	6168
67.5	6106	6269	6196	6193
68.5	6143	6277	6220	6218
69.5	6170	6290	6247	6243
70.5	6189	6313	6274	6267
71.5	6211	6334	6292	6287
72.5	6232	6345	6305	6301
73.5	6251	6360	6318	6315
74.5	6272	6379	6331	6330
75.5	6285	6408	6344	6344
76.5	6299	6431	6360	6359
77.5	6311	6447	6378	6375
78.5	6320	6468	6393	6392
79.5	6326	6496	6408	6408
80.5	6331	6533	6422	6424
81.5	6343	6559	6436	6440
82.5	6358	6573	6453	6455
83.5	6369	6587	6468	6470
84.5	6377	6610	6484	6486
85.5	6383	6641	6498	6501
86.5	6397	6660	6513	6516
87.5	6414	6671	6530	6532
88.5	6425	6689	6546	6548
89.5	6432	6708	6564	6564
90.5	6440	6735	6580	6580
91.5	6457	6752	6595	6596
92.5	6483	6762	6611	6611
93.5	6501	6773	6626	6627
94.5	6514	6791	6642	6643
95.5	6525	6813	6658	6659
96.5	6539	6828	6673	6675
97.5	6560	6842	6688	6693
98.5	6571	6857	6705	6710
99.5	6582	6879	6724	6727
