;Abies;Alnus;Apiaceae;Armeria.type;Artemisia;Asteraceae;Betula;Boraginaceae;Botrychium;Brassicaceae;Calluna.vulgaris;Campanulaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Cedrus;Centaurea;Chenopodiaceae.Amaranthaceae;Corylus;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagaceae;Fagus;Filipendula;Hedera;Helianthemum;Hippophae.rhamnoides;Juniperus;Picea;Pinus;Plantago;Plantago.lanceolata.type;Poaceae;Polygonum;Quercus.robur.type;Quercus.ilex.type;Ranunculaceae;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Thalictrum;Ulmus;Urticaceae
AlbaSanchez_a1;0,047945205;0,003424658;0;0;0;0,020547945;0,006849315;0;0;0;0;0;0;0,003424658;0;0;0,006849315;0;0;0;0;0;0;0;0;0;0;0;0;0;0,369863014;0,003424658;0;0,037671233;0;0,058219178;0,414383562;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a2;0,042424242;0;0;0;0;0,003030303;0;0;0;0;0;0;0;0;0;0;0,009090909;0;0;0;0;0;0;0;0;0;0;0;0;0;0,242424242;0;0;0,009090909;0;0,124242424;0,536363636;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a3;0,277777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,277777778;0;0;0;0;0;0,444444444;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a4;0,186046512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,453488372;0;0;0;0;0;0,360465116;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a5;0,053333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0,79;0,013333333;0;0,01;0;0,013333333;0,1;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,107142857;0;0;0;0;0;0,892857143;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a7;0,232876712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003424658;0;0;0;0;0;0;0;0;0;0;0;0;0;0,335616438;0,003424658;0;0,020547945;0;0,02739726;0,181506849;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003344482;0,943143813;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a9;0,24;0;0;0;0;0,003333333;0;0;0;0;0;0;0;0;0;0;0,006666667;0;0;0;0;0;0;0;0;0;0;0;0,026666667;0;0,366666667;0,03;0;0;0;0;0,143333333;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a10;0,104166667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,027777778;0;0,555555556;0;0;0;0;0;0,138888889;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a11;0,011428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,948571429;0,008571429;0;0;0;0;0,008571429;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a12;0,128712871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01980198;0;0;0;0;0;0;0;0;0;0;0;0,014851485;0;0,747524752;0,02970297;0;0,014851485;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a13;0,057432432;0,003378378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003378378;0;0;0;0;0;0;0;0;0;0;0;0,030405405;0;0,199324324;0,003378378;0;0,016891892;0;0,027027027;0,324324324;0;0;0,003378378;0;0;0;0;0;0;0
AlbaSanchez_a14;0,158783784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,037162162;0,003378378;0;0;0;0;0;0;0;0;0;0;0,010135135;0;0,277027027;0;0;0,016891892;0;0,040540541;0,260135135;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a15;0,046808511;0;0;0;0;0,025531915;0;0;0;0;0;0;0;0,008510638;0;0;0,034042553;0;0;0;0;0;0;0;0;0;0;0;0,068085106;0;0,391489362;0,008510638;0;0,012765957;0;0,042553191;0,229787234;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a16;0,62962963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003367003;0;0;0;0;0;0;0;0;0;0;0;0,003367003;0;0,124579125;0;0;0,003367003;0;0,003367003;0,101010101;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a17;0,390625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0078125;0;0;0;0;0;0;0;0;0;0;0;0;0;0,28125;0;0;0,0078125;0;0;0,15625;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a18;0,103806228;0,003460208;0;0;0,003460208;0;0;0;0;0;0;0;0;0;0;0;0,006920415;0,003460208;0;0;0;0;0;0;0;0;0;0;0,017301038;0;0,335640138;0,006920415;0;0,01384083;0;0,017301038;0,249134948;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a19;0,428070175;0,003508772;0,003508772;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007017544;0;0;0;0;0;0;0;0;0;0;0;0,024561404;0;0,252631579;0;0;0,007017544;0;0,014035088;0,150877193;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a20;0,193103448;0;0;0;0;0,003448276;0;0;0;0;0;0;0;0;0;0;0,020689655;0;0;0;0;0;0;0;0;0;0;0;0,048275862;0;0,265517241;0;0;0,003448276;0;0,010344828;0,220689655;0;0;0;0;0;0;0;0;0;0
