"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"0.018";0;0,0254;0,0678;0,0678;0,1017;0,0254;0,0763;0,0254;0;0,0085;0;0,1186;0,178;0,0085;0,0678;0,1356;0,0678;0;0;0,0085
"0.054";0;0,1043;0,0609;0,0522;0,0261;0,0261;0,0522;0,0783;0;0;0;0,2;0,1913;0;0,0087;0,1391;0,0348;0;0;0
"0.09";0;0,1528;0,0486;0,0486;0,0347;0,0208;0,0069;0,0833;0;0;0,0069;0,2014;0,1736;0;0,0208;0,125;0,0417;0;0;0,0139
"0.126";0;0,049;0,0882;0,0686;0;0,0294;0,0392;0,1275;0;0;0,0098;0,1569;0,1667;0,0098;0,0196;0,2059;0;0;0;0,0196
"0.162";0;0,0408;0,0714;0,0408;0;0,0204;0,0918;0,0816;0;0;0;0,1531;0,1633;0;0,0102;0,2653;0;0;0;0
"0.198";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"0.234";0,013;0,039;0,039;0,0649;0;0,0519;0,026;0,0649;0;0;0,013;0,1169;0,2208;0,013;0,013;0,1818;0,1039;0;0;0,013
"0.27";0;0;0,0323;0,129;0,0645;0;0,0323;0,0323;0;0;0;0,1613;0,2903;0;0;0,0968;0,0968;0;0;0
"0.306";0;0;0,0435;0,0174;0,0174;0,0261;0,0174;0,1478;0;0,0087;0;0,2174;0,1913;0;0;0,2435;0,0348;0;0;0
"0.342";0;0;0,0732;0,0244;0,0244;0,0244;0,0122;0,1098;0;0;0;0,2317;0,2927;0,0244;0;0,1707;0;0;0;0
"0.378";0;0;0,0192;0,0192;0,0577;0,0096;0,0288;0,0577;0;0;0,0096;0,2981;0,2692;0,0288;0,0096;0,1442;0,0096;0;0;0,0096
"0.413";0,0101;0;0,0303;0,0202;0;0;0;0,1515;0;0;0;0,2828;0,2828;0;0,0101;0,0909;0,0808;0,0101;0;0
"0.449";0;0;0,0204;0,0612;0,0816;0;0,0204;0,102;0;0;0;0,1837;0,3061;0,0408;0;0,1224;0,0204;0;0;0
"0.485";0;0;0,0342;0,094;0,0513;0,0085;0,0256;0,1026;0;0;0;0,2479;0,188;0,0427;0,0171;0,1282;0,0085;0,0085;0;0,0085
"0.521";0;0,0087;0,0174;0,0522;0,0174;0,0261;0,0087;0,1739;0;0;0,0174;0,2696;0,2609;0;0,0174;0,113;0;0;0;0
"0.557";0;0;0,0099;0,0693;0,0693;0,0099;0,0297;0,1287;0;0;0;0,2871;0,1089;0;0,0099;0,1782;0,0693;0;0;0
"0.593";0;0;0;0,0708;0,0177;0,0442;0,0177;0,1858;0;0;0;0,2655;0,1681;0;0;0,1504;0,0531;0;0;0,0088
"0.629";0;0,0091;0;0,1182;0,0364;0,0364;0,0818;0,1;0;0;0,0091;0,3;0,1818;0;0;0,0545;0,0545;0;0;0
"0.671";0;0;0;0,1441;0,045;0,036;0,0721;0,0991;0;0,009;0;0,2523;0,1712;0;0;0,1171;0,027;0;0;0
"0.736";0;0;0,028;0,0467;0,1215;0,0561;0,0187;0,0935;0;0;0;0,3364;0,1308;0,0093;0,0187;0,1215;0;0;0;0
"0.801";0;0;0,0175;0,0877;0,0526;0,0526;0,0702;0,193;0;0;0;0,2456;0,2456;0;0;0,0175;0,0175;0;0;0
"0.837";0;0;0,0077;0,0769;0,4154;0,0615;0,0538;0,1077;0;0;0;0,1;0,1077;0,0154;0;0,0308;0;0;0;0,0077
"0.866";0;0;0;0,0845;0,0423;0,1268;0;0,1127;0;0;0;0,338;0,2113;0,0423;0;0,0423;0;0;0;0
"0.898";0;0;0;0,0952;0,0357;0,0595;0,0476;0,0595;0;0;0;0,4048;0,2381;0;0;0,0476;0;0;0,0119;0
"0.967";0;0;0;0,0392;0,4314;0,1667;0,0686;0,0784;0;0;0;0,049;0,1176;0;0;0,0098;0;0;0;0,0196
"1.028";0;0;0;0,0952;0,254;0,0952;0,0635;0,0794;0;0,0159;0;0,2222;0,0635;0;0,0317;0,0794;0;0;0;0
"1.097";0;0;0,0098;0,1275;0,2059;0,0784;0,1569;0,1275;0;0,0294;0;0,1863;0,049;0;0;0,0098;0;0;0;0,0098
"1.161";0;0;0;0,0179;0,2946;0,0804;0,0893;0,0982;0;0;0,0179;0,375;0,0179;0;0;0;0;0;0;0
"1.226";0;0;0;0,0561;0,3645;0,0654;0,1589;0,1682;0,0187;0;0,0093;0,1308;0,0187;0;0;0;0;0;0;0
"1.291";0;0;0;0,0185;0,2593;0,0278;0,0926;0,1759;0;0,0093;0,0463;0,287;0,037;0;0,0093;0,0278;0;0;0;0
"1.356";0;0;0,0094;0,066;0,3113;0,1321;0,1509;0,1698;0;0,0189;0;0,0849;0,0472;0;0;0;0;0;0;0,0094
"1.389";0;0;0;0,0635;0,3095;0,1349;0,0714;0,1111;0;0,0159;0,0556;0,1905;0,0238;0;0;0,0079;0;0,0079;0;0
"1.431";0;0;0;0,1909;0,2091;0,2273;0,1;0,1182;0;0,0091;0,0273;0,0909;0,0091;0;0;0;0;0;0;0
"1.454";0;0;0;0,1019;0,2593;0,0556;0,1111;0,1574;0;0;0,0463;0,213;0,0278;0;0;0;0;0;0;0
"1.464";0;0;0;0,3861;0,2079;0,1188;0,0198;0,0891;0;0;0,0099;0,0792;0,0693;0;0;0;0;0;0;0
"1.486";0;0,0099;0,0099;0,2475;0,2178;0,1436;0,0792;0,1832;0,0099;0,0149;0,0248;0,0198;0,0198;0,0099;0;0;0;0;0;0
"1.496";0;0;0,0083;0,35;0,2417;0,0833;0,0167;0,0833;0;0,0083;0,0583;0,1167;0,0167;0;0;0,0083;0;0;0;0
"1.519";0;0;0,03;0,18;0,29;0,17;0,04;0,12;0,01;0,01;0,05;0,05;0,05;0;0;0;0;0;0;0
"1.529";0;0,0081;0;0,4113;0,2339;0,0484;0,0323;0,0887;0;0;0,0484;0,0726;0,0161;0;0,0161;0;0;0;0;0,0081
"1.551";0;0;0,0057;0,2571;0,3029;0,1029;0,04;0,08;0;0;0,0457;0,0629;0,0457;0;0;0,0229;0;0;0;0,0114
"1.561";0;0;0,009;0,1712;0,3153;0,1441;0,0721;0,1171;0;0;0,018;0,0811;0,0541;0;0;0,009;0;0;0;0
"1.584";0;0;0;0,1589;0,3458;0,1589;0,0841;0,0467;0;0,0093;0;0,0935;0,0935;0;0;0,0093;0;0;0;0
"1.594";0;0;0,0079;0,2362;0,3071;0,0709;0,0472;0,0787;0;0,0079;0,0315;0,1024;0,063;0;0,0079;0,0157;0;0;0;0
