X2;Abies;Acer campestre-type;Alnus;Artemisia;Betula;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Euhedra distachya-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Poaceae;Hedera;Helianthemum;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Salix;Saxifragaceae;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia;Hippophae rhamnoides;Rumex;Apiaceae;Brassicaceae
147.116789061375;0;0;0,111;0;0,214;0;0;0,007;0,003;0;0;0,019;0,012;0;0,003;0;0;0;0,022;0,07;0;0;0;0;0,326;0,089;0;0;0;0,026;0,003;0,003;0,003;0;0;0;0;0;0;0;0,018;0;0,007;0;0
196.888012864325;0,003;0;0,077;0;0,367;0;0;0,003;0;0;0;0,019;0;0;0;0;0,006;0;0,008;0,036;0;0;0;0;0,279;0,126;0,011;0;0;0,019;0,003;0,006;0;0,006;0;0;0;0;0;0,003;0,011;0,003;0;0;0,003
250.3480107365;0,005;0;0,045;0;0,285;0;0;0;0;0;0,003;0,011;0,003;0;0,005;0;0,005;0;0,016;0,029;0;0;0;0;0,457;0,081;0,008;0;0;0,011;0;0,003;0,005;0,013;0;0;0;0;0;0,003;0,008;0;0;0;0,003
307.4967826779;0,003;0,003;0,05;0,003;0,146;0;0;0;0;0;0;0,053;0,012;0;0,075;0;0,106;0;0,009;0,125;0;0;0;0;0,15;0,15;0,009;0;0;0,056;0,009;0,003;0,006;0,003;0;0;0;0;0;0;0,003;0,012;0,006;0,003;0
364.6455546193;0;0;0,054;0;0,048;0;0;0;0;0;0;0,017;0,017;0;0,238;0;0,177;0;0,003;0,19;0;0;0;0;0,058;0,117;0,003;0;0;0,044;0,013;0,01;0;0,003;0;0;0,003;0;0,01;0;0,013;0;0;0,003;0
417.30027691548;0,003;0;0,058;0;0,089;0;0;0,014;0;0;0;0,048;0,049;0;0,157;0;0,154;0;0,007;0,198;0;0;0;0;0,048;0,06;0,01;0;0;0,089;0,003;0,034;0;0;0;0;0;0;0;0,003;0;0;0;0,007;0,003
676.80136884025;0;0;0,06;0;0,092;0;0;0;0,003;0;0;0,044;0,048;0;0,238;0;0,139;0;0,006;0,117;0;0;0;0;0,043;0,111;0,025;0,006;0;0,063;0,006;0,01;0,006;0,003;0;0;0;0,003;0;0,006;0;0;0;0,006;0
469.95499921166;0;0;0,101;0,003;0,17;0;0;0,021;0;0;0,003;0,092;0,018;0;0,063;0;0,173;0;0;0,086;0;0;0;0;0,063;0,088;0,033;0;0;0,054;0,003;0,009;0;0,009;0;0;0;0;0,003;0;0,003;0,009;0;0;0
755.16246753375;0;0;0,103;0,003;0,116;0;0,003;0,007;0;0;0;0,089;0,067;0;0,089;0;0,243;0;0,01;0,072;0;0;0;0;0,039;0,07;0,014;0;0;0,092;0;0;0,003;0,003;0;0;0;0,003;0;0,003;0;0;0;0;0,003
524.5500521865;0;0;0,088;0,003;0,218;0;0;0,014;0;0;0;0,085;0,022;0;0,051;0;0,161;0;0;0,088;0;0,003;0;0;0,045;0,051;0,023;0;0;0,119;0;0,003;0;0;0;0;0;0;0;0;0;0,003;0;0,008;0
833.52356622725;0;0;0,074;0,004;0,126;0;0,004;0,011;0,004;0;0,004;0,088;0,065;0;0,032;0;0,175;0;0,007;0,074;0;0;0;0,004;0,079;0,119;0,011;0,004;0;0,137;0;0,007;0;0;0;0;0;0;0,004;0;0;0,004;0;0,004;0,004
581.08543584;0;0;0,19;0,006;0,044;0;0;0,044;0;0;0;0,066;0,012;0;0,009;0;0,459;0;0,009;0,034;0;0;0;0;0,037;0,017;0,009;0;0;0,044;0,006;0,003;0;0;0;0,003;0;0,006;0;0,009;0,009;0,003;0,003;0,003;0
1112.15705757725;0;0;0,152;0,003;0,164;0;0;0,025;0;0;0,003;0,074;0,012;0;0,003;0;0,357;0;0,016;0,031;0;0;0;0;0,031;0,045;0,006;0;0;0,065;0;0;0,003;0;0;0;0;0;0;0,003;0;0,003;0;0;0
