X2;Site;Long;Lat;Alt;Abies;Alnus;Apiaceae;Armeria;Artemisia;Asteraceae;Betula;Boraginaceae;Botrychium;Brassicaceae;Calluna.vulgaris;Campanulaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Cedrus;Centaurea;Chenopodiaceae.Amaranthaceae;Corylus;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagaceae;Fagus;Filipendula;Hedera;Helianthemum;Hippophae;Juniperus;Picea;Pinus;Plantago;Plantago.lanceolata.type;Poaceae;Polygonum;Quercus;Ranunculaceae;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Thalictrum;Ulmus;Urticaceae
1;GHB-1+2;112,233;38,9;1860;0;0;0;0;15,428571;0;0;0;0;0;0;0;0;0;0;0;2,6229508;0;2,4590164;0;0;0;0;0;0;0;2,745098;0;0;0;29,719222;0;0;38,184932;0;0;0;0;0;2,0967742;0;0;0;2,0689655;0;0
2;GHB-3;112,234;38,1;1861;0;0;0;0;16,628571;1,8518519;0;0;0;0;0;0;0;0,55555556;0;0;2,6229508;0;3,1147541;0;0;0;0;0;0;0;3,1372549;0;0;0;27,300216;0;0;40,239726;0;0;0;0;0;2,4193548;0;0;0;0,68965517;0;0
3;GHB-4;112,235;38,11;1862;0;0;0;0;17,828571;2,4074074;0;0;0;0;0;0;0;1,4814815;0;0;2,4590164;0;2,7868852;0;0;0;0;0;0;0;2,9411765;0;0;0;22,462203;0;0;42,808219;0;0;0;0;0;2,9032258;0;0;0;0;0;0
4;GHB-5;112,236;38,12;1863;0;0,3125;0;0;18,342857;2,7777778;1,1666667;0;0;0;0;0;0;3,1481481;0;0;2,4590164;0;2,7868852;0;0;0;0;0;0;0;2,745098;0;0,18867925;0;19,179266;0;0;45,376712;0;0,17045455;0;0;0;2,9032258;0;0;0;0;0;0
5;GHB-6;112,237;38,13;1864;0;0;1,4545455;0;18,171429;3,1481481;1,1666667;0;0;0;0,8;1,4;0;4,0740741;0;0;2,4590164;0;2,7868852;0;2,037037;0;0;0;0;0;2,745098;0;0,75471698;0;16,241901;1,372549;0;45,034247;0;0,17045455;0,98039216;1,372549;0;2,9032258;0;1;1,6326531;0;0;0
6;GHB-7;112,238;38,14;1865;0;0;0,72727273;0;16,971429;3,999880182;0;0;0;0;0;0;0;1,8518519;0;0;2,6229508;0;3,2786885;0;0;0;0;0;0;0;0,78431373;0;0;0;13,304536;0;0;43,835616;0;0;0;0;0;2,9032258;0;0;0;0;0;0
7;GHB-8;112,239;38,15;1866;0;0;0,54545455;2,2222222;16,457143;6,135243394;0;0;0;0,19607843;0;0;0;0,55555556;0;0;3,9344262;0;4,5901639;0;0;0;0;0;0;0;0;0;0;0;7,2570194;0;0;42,294521;0;0;0;0;0;1,9354839;0;0;0;1,0344828;1,5254237;0
8;GHB-9;112,24;38,16;1867;0;0;2,9090909;0;17,142857;8,110152735;1,1666667;0;0;1,9607843;0;2,4;0;0;0;0;4,5901639;0;5,9016393;0;1,6666667;0;0;0;0;0;0;0;0,56603774;0;7,2570194;2,9411765;0;40,924658;0;0;1,9607843;0;0,74074074;1,6129032;0,19607843;1;0;2,9310345;1,6949153;0
9;GHB-10;112,241;38,17;1868;0;0;2,7272727;0;18,171429;5,332973985;0;0;0,86206897;2,5490196;0;0;0;0;0;0;2,6229508;0;4,4262295;0;0;0;0;0;0;0;0;0;0;0;10,885529;1,5686275;0;39,726027;0;0;0;0;2,5925926;4,1935484;0;0;0;4,3103448;0;0
10;GHB-11;112,242;38,18;1869;0;0;3,6363636;0;20,228571;3,3333333;0;0;0;2,5490196;0;0;0;0,37037037;0;0;0,6557377;0;2,7868852;0;0;0;0;0;0;0;0;0;0;0;12,440605;0;0;37,5;0;0;0;0;0,55555556;7,4193548;0;0;0;6,2068966;0;0
11;GHB-12;112,243;38,19;1870;0;0;4;0;18;3,3333333;0;0;0;2,5490196;0;1,2;0;2,4074074;0;2,1818182;0;0;1,9672131;0;0;0;0;0;0;0;0;0;0;0;14,859611;0;0;37,5;0;0;0,98039216;0;0;10,16129;0;0;0;7,5862069;0;0
12;GHB-13;112,244;38,2;1871;0;0;2,5454545;0;15,6;4,296056665;0;0;0,51724138;2,5490196;0;0;0;3,1481481;0;0;0;0;1,4754098;0;0;0;0;0;0;0;0;0;0;0;17,62419;0;0;39,041096;0;0;0;0;0,92592593;8,5483871;0;0;0;6,3793103;0;0
13;GHB-14;112,245;38,21;1872;0;0;0;1,6666667;14,057143;6,221503346;0;0;0;2,3529412;0;0;0;3,8888889;0;0;1,147541;0;1,4754098;0;0;0;0;0;0;0;0;0;0;0;20,561555;0;0;40,239726;0;0;0;0;0;6,7741935;0;0;0;5,3448276;0;0
14;GHB-15;112,246;38,22;1873;0;0;1,6363636;0;16,8;5,394502594;1;0;0;2,5490196;0;1,6;0;4,0740741;0;0;3,2786885;0;1,6393443;0;0;0;0,94339623;0;0;0;0;0;0,75471698;0;19,87041;1,7647059;0;39,726027;0;0;0,98039216;0;0;6,2903226;0;1;0;4,6551724;0;0
15;GHB-16;112,247;38,23;1874;0;0;0;0;22,8;2,234288359;0;0;1,3793103;2,5490196;0;0;0;1,6666667;0;0;1,8032787;0;2,9508197;0;0;0;0;0;0;0;0;0;0;0;17,969762;0;0;38,527397;0;0;0;0;0;1,1290323;0;0;0;5;0;0
16;GHB-17;112,248;38,24;1875;0;0;0;0;31,028571;0;1,5;0;0;2,5490196;0;0;0;0;0;0;0,98360656;0;4,4262295;0;0;0;0;0;0;0;0;0;0;0;16,241901;0;0;37,5;0;0;0;0;0;0;0;0;0;6,2068966;0;0
17;GHB-18;112,249;38,25;1876;0;0;1,2727273;0;28,114286;3,320668104;1,6666667;0;0;2,5490196;0;0;0;0;0;0;0;0;5,7377049;0;1,8518519;0;0,94339623;0;0;0;1,9607843;0;0,75471698;0;15,896328;0;0;37,157534;0;0;0,78431373;0;0;0;0;1,8;0;6,7241379;0;0
18;GHB-19;112,25;38,26;1877;0;0;0;0;24;0;0;0;0;1,7647059;0;0;0;0;0;0;0;0;4,4262295;0;0;0;0;0;0;0;0;0;0;0;16,241901;0;0;37,157534;0;0;0;0;0;0,48387097;0;0;0;4,6551724;0;0
19;GHB-20;112,251;38,27;1878;0;0,15625;0;0;20,4;2,999760365;0;0;0;0;0;0;0;0,37037037;1,2068966;0;0,81967213;0,17241379;2,9508197;0;0;0;0;0;0;0;0;0;0,18867925;0;16,760259;0;0;38,013699;0;0;0;0;0;1,4516129;0;0;0;2,7586207;0;0
20;GHB-1+3;112,252;38,28;1879;0;0;1,4545455;0;18,342857;3,740501165;1,6666667;0;0;0,58823529;0;0;0;2,5925926;0;0;6,3934426;0,51724138;2,9508197;0;0;0;0,94339623;0;0;0;1,5686275;0;1,1320755;0;16,760259;1,372549;0;39,212329;0;0;0,58823529;0,98039216;0,37037037;5,6451613;0;1;0;2,4137931;0;0
21;GHB-21;112,253;38,29;1880;0;0;0;0;17,314286;3,1481481;0;0;0;0,58823529;0;0;0;2,5925926;0;0;5,9016393;0;2,7868852;0;0;0;0;0;0;0;0;0;0;0;16,241901;1,372549;0;41,438356;0;0;0;0;3,3333333;5,483871;0;0;0;2,2413793;0;0
22;GHB-22;112,254;38,3;1881;0;0;0;0;16,285714;3,7037037;0;0;0;0;0;0;0;2,5925926;0;0;5,0819672;0;2,7868852;0;0;0;0;0;0;0;0;0;0;0;14,859611;0;0;42,979452;0;0;0;0;3,3333333;5;0;0;0;2,5862069;0;0
23;GHB-23;112,255;38,31;1882;0;0;0;0;15,6;3,7037037;0;0;0;0;0;0;0;2,5925926;0;0;4,5901639;0;3,1147541;0;0;0;0;0;0;0;0;0;0;0;14,341253;0;0;44,691781;0;0;0;0;3,1481481;4,516129;0;0;0;2,9310345;0;0
24;GHB-24;112,256;38,32;1883;0;0;0,72727273;0;13,885714;3,3333333;0,83333333;0;0;0;0;0;0;2,5925926;0;0;4,0983607;0;3,442623;0;0;0;0;0;0;0;0;0;0;0;13,131749;0,78431373;0;46,40411;0;0;0;0;2,962963;4,3548387;0;0;0;2,9310345;0;0
25;GHB-25;112,257;38,33;1884;0;0;2,3636364;0;13,542857;3,975148877;2,1666667;0;0;0;0;0;0;2,5925926;0;0;3,2786885;0;3,7704918;0;0;0;0;0;0;0;0;0;0;0;12,095032;2,1568627;0;48,630137;0;0,91119529;0;0;2,5925926;3,8709677;0;0;0;2,7586207;0;0
26;GHB-26;112,258;38,34;1885;0;0;2,9090909;0;14,228571;4,987334804;2,5;0;0;0,58823529;1;0;0;2,5925926;0;0;3,1147541;0;3,1147541;0;0;0;0;0;0;0;1,9607843;0;0,94339623;0;13,131749;2,5490196;0;47,431507;0;0,91119529;0,58823529;0;2,5925926;3,7096774;0;0,8;0;2,7586207;0;0
27;GHB-27;112,259;38,35;1886;0;0;1,6363636;0;15,771429;4,0740741;0;0;0;0;0;0;0;1,2962963;0;0;3,2786885;0;0,6557377;0;0;0;0;0;0;0;0;0;0;0;13,99568;1,5686275;0;45,034247;0;0;0;0;1,6666667;4,3548387;0;0;0;1,3793103;0;0
28;GHB-28;112,26;38,36;1887;0;0;0;1,1111111;16,8;5,7407407;1;0;0;0;0;0;0;0;1,0344828;0;3,442623;0;0;0;0;0;0;0;0;0;0;0;0;0;15,205184;0;0;44,178082;0;0;0;0;0;5,3225806;0;0;0;0;0;0
29;GHB-29;112,261;38,37;1888;0;0;1,6363636;0;15,428571;7,2222222;1;0;0,17241379;0;0;1,2;0;1,4814815;0;0;3,2786885;0;1,147541;0;0;0;0;0;0;0;3,1372549;0;0,94339623;0;14,514039;1,372549;0;44,691781;0;0,51136364;1,7647059;0;0;5,6451613;0;0,8;0;1,5517241;0;0
30;GHB-30;112,262;38,38;1889;0;0;0;0;14,228571;5,5555556;0;0;0,51724138;0;0;0;0;0;0;0;3,1147541;0;0;0;0;0;0;0;0;0;1,1764706;0;0;0;13,477322;0;0;46,746575;0;0,17045455;0;0;0,92592593;4,3548387;0;0;0;0;0;0
31;GHB-31;112,263;38,39;1890;0;0;0,54545455;0;13,714286;4,962603585;1,3333333;0;0;0;0;0;0;0;0;0;2,295082;0;0;0;0,18518519;0;0;0;0;0;0;0;0,18867925;0;11,922246;0;0;50,171233;0;0,37037037;0;0;0;2,7419355;0;0;0;0,68965517;0;0
32;GHB-32;112,264;38,4;1891;0;0;3,2727273;0;14,228571;4,838947094;1,3333333;0;0;0,78431373;0;0;0;2,7777778;0;0;2,1311475;0;2,4590164;0;2,5925926;0;0;0;0;0;1,9607843;0;0,94339623;0;10,712743;1,5686275;0;49,828767;0;0,17045455;1,5686275;0,19607843;0;1,4516129;0;0;0;2,7586207;0;0
33;GHB-33;112,265;38,41;1892;0;0;4;0;15,942857;3,073954282;0;0;0;0;0;0;0;1,4814815;0;0;2,1311475;0;2,6229508;0;0,55555556;0;0;0;0;0;0;0;0;0;9,1576674;0;0;48,972603;0;0;0;0;2,2222222;1,4516129;0;0;0;3,4482759;0;0
34;GHB-34;112,266;38,42;1893;0;0;3,4545455;0;17,142857;3,234408177;1,5;0;0;0;0;0;0;0;0,86206897;0;2,4590164;0;2,6229508;0;0;0;0;0;0;0;0;0;0,75471698;0;7,9481641;0;0;48,287671;0;0;0;0;3,7037037;2,2580645;0;0;0;3,6206897;0;0
35;GHB-35;112,267;38,43;1894;0;0;2,5454545;0,92592593;20,4;4,086140259;1,8333333;1,7241379;0;0,98039216;1,2;1;0;1,4814815;0;0;2,4590164;0;2,6229508;0;1,8518519;0;0;0;0;0;2,745098;1,1538462;3,7735849;0;5,5291577;2,745098;0;45,376712;0;0;1,372549;0,19607843;3,7037037;3,0645161;0;0;1,2244898;3,7931034;0;0
36;GHB-36;112,268;38,44;1895;0;0;1,6363636;0,92592593;28,628571;3,7037037;0;0;0,17241379;0;0;0;0;2,2222222;0;0;4,9180328;0;2,295082;0;0;0;0;0;0;0;2,1568627;0;1,509434;0;5,1835853;1,372549;0;40,582192;0;0,34090909;0;0;3,7037037;4,1935484;0;0,8;0;3,7931034;0;0
