X2;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
2372,170192;0,012987013;0,194805195;0,001998002;0,123876124;0,014985015;0;0,155844156;0,260739261;0,004995005;0,052947053;0;0,001998002;0,006993007;0,167832168;0;0;0
2741,144356;0,025025025;0,208208208;0;0,095095095;0,005005005;0,005005005;0,129129129;0,373373373;0,005005005;0,037037037;0;0;0,003003003;0,104104104;0,005005005;0,005005005;0
3114,024206;0,009009009;0,124124124;0;0,074074074;0;0;0,111111111;0,574574575;0,021021021;0,028028028;0;0;0,004004004;0,046046046;0,002002002;0,004004004;0,002002002
3480,988683;0,006;0,17;0,003;0,027;0;0;0,18;0,5;0,012;0,033;0;0;0,003;0,054;0;0,006;0,006
3855,927896;0,019019019;0,095095095;0,003003003;0,017017017;0;0;0,121121121;0,5995996;0,005005005;0,003003003;0;0;0,005005005;0,09009009;0;0,031031031;0,011011011
4226,106501;0;0,230460922;0;0,029058116;0;0;0,233466934;0,281563126;0,026052104;0,01503006;0;0;0,003006012;0,122244489;0,003006012;0,044088176;0,012024048
4603,065937;0;0,097;0,003;0,023;0;0;0,291;0,282;0,037;0,006;0;0;0,011;0,171;0;0,045;0,034
4978,539504;0,009009009;0,202202202;0;0,021021021;0,009009009;0;0,343343343;0,156156156;0,039039039;0,009009009;0;0;0,024024024;0,123123123;0,006006006;0,03003003;0,028028028
5349,782862;0,006006006;0,121121121;0;0,026026026;0;0;0,36036036;0,02002002;0,037037037;0;0;0;0,031031031;0,242242242;0;0,078078078;0,078078078
5707,507168;0;0,066132265;0;0,028056112;0;0;0,438877756;0,00501002;0,070140281;0,009018036;0;0;0,009018036;0,193386774;0,00501002;0,080160321;0,095190381
6074,03131;0;0,024072217;0;0,036108325;0;0;0,522567703;0;0,08224674;0,006018054;0;0;0,006018054;0,152457372;0,006018054;0,091273821;0,073219659
6437,177498;0;0,006;0;0,026;0;0;0,505;0;0,029;0,006;0;0;0,017;0,181;0;0,138;0,092
6811,271863;0;0;0;0,030969031;0;0;0,718281718;0,003996004;0;0;0;0;0,003996004;0,127872128;0;0,021978022;0,092907093
7187,715314;0;0;0;0,019;0;0;0,755;0;0,002;0,005;0;0;0,012;0,129;0,002;0,01;0,066
7565,609299;0;0;0;0,004004004;0;0;0,723723724;0;0;0,013013013;0;0;0,009009009;0,179179179;0;0,004004004;0,067067067
7937,012841;0;0;0;0,037037037;0;0;0,761761762;0;0,003003003;0,003003003;0;0;0,034034034;0,124124124;0,003003003;0,003003003;0,031031031
8320,758891;0;0;0,003;0,015;0;0;0,767;0,003;0,003;0,006;0;0;0,009;0,136;0;0;0,058
8687,578946;0;0,002;0;0,036;0;0;0,848;0;0;0,005;0;0;0,009;0,038;0,002;0;0,06
9053,734641;0;0;0,008008008;0,024024024;0;0;0,771771772;0;0,003003003;0,011011011;0;0;0,04004004;0,064064064;0;0;0,078078078
9417,065919;0;0;0,006;0,066;0,003;0;0,656;0;0;0,009;0;0;0,107;0,101;0;0;0,052
9795,050971;0;0;0,006;0,14;0;0;0,604;0;0;0,013;0;0;0,155;0,02;0,013;0,003;0,046
10166,38397;0;0;0,014;0,254;0;0;0,227;0;0;0,051;0;0;0,433;0,003;0,009;0;0,009
10541,28551;0;0,005982054;0,068793619;0,372881356;0;0;0,005982054;0;0;0,181455633;0;0;0,340977069;0,005982054;0,005982054;0,005982054;0,005982054
10902,78386;0;0,003003003;0,063063063;0,351351351;0;0,008008008;0,014014014;0;0;0,146146146;0,003003003;0;0,386386386;0;0,022022022;0,003003003;0
11269,08766;0;0;0,066132265;0,410821643;0;0,004008016;0,004008016;0;0;0,179358717;0,004008016;0;0,323647295;0;0,008016032;0;0
11619,98542;0;0;0,056056056;0,598598599;0;0;0,014014014;0;0;0,176176176;0,035035035;0;0,113113113;0;0,007007007;0;0
11798,16356;0;0;0,053;0,539;0;0,005;0,005;0;0;0,238;0,064;0;0,064;0,005;0,027;0;0
16794,82734;0;0;0,105;0,154;0;0,001;0;0;0;0,458;0,229;0;0,001;0;0,051;0;0,001
16864,17512;0;0;0,153846154;0,14985015;0;0,013986014;0,002997003;0;0;0,4995005;0,126873127;0;0,01998002;0;0,02997003;0;0,002997003
17148,04435;0;0;0,217782218;0,153846154;0;0,024975025;0;0;0;0,539460539;0,038961039;0;0,013986014;0;0,010989011;0;0
17254,30842;0;0;0,277;0,046;0;0,03;0;0;0;0,605;0,012;0;0,014;0;0,016;0;0
18031,99857;0;0;0,223223223;0,009009009;0;0,054054054;0,005005005;0;0;0,620620621;0,005005005;0;0,069069069;0;0,014014014;0;0
18773,70823;0;0;0,176823177;0,021978022;0;0,010989011;0;0;0;0,683316683;0,026973027;0;0,041958042;0;0,037962038;0;0
19516,80682;0;0;0,126126126;0,02002002;0;0,004004004;0;0;0;0,728728729;0,024024024;0;0,06006006;0,004004004;0,033033033;0;0
