"","Site","Long","Lat","A_CLDE","B_CLEG","C_CLMX","D_COEG","E_COMX","F_TEDE","G_WTEM","H_WTEG","I_TRSE","J_TREG","K_TRDE","L_TEXE","M_TEGR","N_DESE","O_CUSH","P_DRYT","Q_PROS","R_DWAR","S_SHRU","Best","Best.num"
"1","GHB-1+2",112.233,38.9,3.51562384222203,3.51562384222203,3.51562384222203,3.51562384222203,3.51562384222203,3.51562384222203,3.51562384222203,3.51562384222203,0,0,3.86375089776761,5.1163344279164,12.6547885193716,6.13880542125257,5.1163344279164,12.6547885193716,5.1163344279164,1.39964867020263,7.53845409145521,"M_TEGR",13
"2","GHB-3",112.234,38.1,3.33917774309784,3.33917774309784,3.33917774309784,3.33917774309784,3.33917774309784,3.33917774309784,3.33917774309784,3.33917774309784,0,0,5.17873087955571,5.61422504714008,13.53519044949,6.30394527260508,5.61422504714008,13.53519044949,5.61422504714008,1.61702012974483,7.92096540234992,"M_TEGR",13
"3","GHB-4",112.235,38.11,2.95484373529295,2.95484373529295,2.95484373529295,2.95484373529295,2.95484373529295,2.95484373529295,2.95484373529295,2.95484373529295,0,0,5.54384922974415,5.54384922974415,13.5605711586144,6.50447684291366,5.54384922974415,13.5605711586144,5.54384922974415,1.51224508595664,8.01672192887029,"M_TEGR",13
"4","GHB-5",112.236,38.12,3.47913307671563,3.47913307671563,3.47913307671563,3.47913307671563,3.47913307671563,3.47913307671563,2.66263647537549,2.66263647537549,0,0,5.73331147374462,5.73331147374462,13.9445648445148,6.69900828481351,5.73331147374462,13.9445648445148,6.54980807508476,2.32874168729678,9.02774997211029,"M_TEGR",13
"5","GHB-6",112.237,38.13,3.18735098320335,3.18735098320335,3.18735098320335,4.12145429654723,5.18571605946084,5.18571605946084,4.3692194581207,3.43511614477683,1.06426176291362,1.06426176291362,5.83105303617017,9.75510985465867,17.940753400171,7.91317142264206,9.51410982366167,17.699753369174,11.2647097383457,3.26284500064065,9.93624346019632,"M_TEGR",13
"6","GHB-7",112.238,38.14,2.0377114614194,2.0377114614194,2.0377114614194,2.0377114614194,2.0377114614194,2.0377114614194,2.0377114614194,2.0377114614194,0,0,5.92929750199336,6.40602879947654,14.6559479251596,6.58297926474024,6.40602879947654,14.6559479251596,6.40602879947654,1.6669398609428,8.24991912568304,"M_TEGR",13
"7","GHB-8",112.239,38.15,1.06231337184467,1.06231337184467,1.06231337184467,2.07494543730577,2.07494543730577,2.07494543730577,1.06231337184467,1.06231337184467,1.01263206546109,1.01263206546109,7.38113810825098,7.31279007559222,15.8000736505828,6.46486821211384,7.31279007559222,15.8000736505828,7.31279007559222,2.02241536287678,8.48728357499062,"M_TEGR",13
"8","GHB-9",112.24,38.16,1.87880997318481,1.87880997318481,1.87880997318481,2.97193178707382,2.97193178707382,2.97193178707382,1.55296675255248,1.55296675255248,1.58377519459682,1.58377519459682,8.42199150819967,11.3279233369595,20.0101048876946,7.43816231374085,12.5365524363941,21.2187339871292,13.3530490377342,3.14063930349937,9.49867815207524,"P_DRYT",16
"9","GHB-10",112.241,38.17,1.71544877510231,1.71544877510231,1.71544877510231,1.71544877510231,1.71544877510231,1.71544877510231,3.16202839613946,3.16202839613946,1.44657962103716,1.44657962103716,7.8487221020495,9.84655793715615,18.0910979834338,6.26306849715058,9.84655793715615,18.0910979834338,9.84655793715615,1.98147154912706,8.24454004627764,"M_TEGR",13
"10","GHB-11",112.242,38.18,1.92880857007636,1.92880857007636,1.92880857007636,1.92880857007636,1.92880857007636,1.92880857007636,2.16451083989996,2.16451083989996,0.235702269823606,0.235702269823606,6.3606386864443,10.2848257389979,17.8798333552528,6.08276253029822,10.2848257389979,17.8798333552528,10.2848257389979,1.51224508595664,7.59500761625486,"M_TEGR",13
"11","GHB-12",112.243,38.19,2.22031653148825,2.22031653148825,2.22031653148825,2.22031653148825,2.22031653148825,2.22031653148825,2.22031653148825,2.22031653148825,0,0,5.86655094582925,11.2360326972964,18.5300809494621,6.08276253029822,11.9291359796433,19.223184231809,11.9291359796433,1.21128572186747,7.29404825216569,"P_DRYT",16
"12","GHB-13",112.244,38.2,2.51238830597501,2.51238830597501,2.51238830597501,2.51238830597501,2.51238830597501,2.51238830597501,3.16501831601133,3.16501831601133,0.652630010036314,0.652630010036314,6.48684901792183,9.68914178854568,16.8849177097415,6.20814754979293,9.68914178854568,16.8849177097415,9.68914178854568,0.987628371402928,7.19577592119586,"M_TEGR",13
"13","GHB-14",112.245,38.21,2.78940450634181,2.78940450634181,2.78940450634181,2.78940450634181,2.78940450634181,2.78940450634181,2.78940450634181,2.78940450634181,0,0,6.07396899836113,8.27506590672296,15.566639550731,6.30394527260508,8.27506590672296,15.566639550731,8.27506590672296,0.987628371402928,7.29157364400801,"M_TEGR",13
"14","GHB-15",112.246,38.22,3.43386401277135,3.43386401277135,3.43386401277135,3.43386401277135,3.43386401277135,3.43386401277135,2.7267572315848,2.7267572315848,0,0,6.24967812383561,10.4029145358016,17.7333837543309,6.26306849715058,11.0960178181484,18.4264870366778,11.803124599335,1.77450750256536,8.03757599971593,"P_DRYT",16
"15","GHB-16",112.247,38.23,2.54654295074715,2.54654295074715,2.54654295074715,2.54654295074715,2.54654295074715,2.54654295074715,2.54654295074715,2.54654295074715,0,0,6.03921140554364,8.16053174910329,15.8926769477311,6.16663579271551,8.16053174910329,15.8926769477311,8.16053174910329,1.56550940591234,7.73214519862784,"M_TEGR",13
"16","GHB-17",112.248,38.24,3.37085438186321,3.37085438186321,3.37085438186321,3.37085438186321,3.37085438186321,3.37085438186321,2.37085438186321,2.37085438186321,0,0,5.52526659990267,7.91417777447572,15.978411853901,6.08276253029822,7.91417777447572,15.978411853901,8.91417777447572,2.98147154912706,9.06423407942528,"M_TEGR",13
"17","GHB-18",112.249,38.25,3.41425371003136,3.41425371003136,3.41425371003136,3.41425371003136,3.41425371003136,3.41425371003136,2.33413024486638,2.33413024486638,0,0,6.93441416120798,10.3082854678271,18.6514352879304,7.21723821772116,10.8414962422869,19.1846460623902,11.9216197074518,3.36872672916685,9.4232732852683,"P_DRYT",16
"18","GHB-19",112.25,38.26,2.37085438186321,2.37085438186321,2.37085438186321,2.37085438186321,2.37085438186321,2.37085438186321,2.37085438186321,2.37085438186321,0,0,4.84767985741633,6.88610385649012,14.9221219617186,6.05454655610146,6.88610385649012,14.9221219617186,6.88610385649012,1.98147154912706,8.03601810522852,"M_TEGR",13
"19","GHB-20",112.251,38.27,2.42489783289936,2.42489783289936,2.42489783289936,2.42489783289936,2.42489783289936,2.42489783289936,2.42489783289936,2.42489783289936,0,0,6.04200465366655,7.54487547313175,15.2352276525363,6.12484277349223,7.54487547313175,15.2352276525363,7.54487547313175,1.56550940591234,7.69035217940457,"M_TEGR",13
"20","GHB-1+3",112.252,38.28,3.50502129806434,3.50502129806434,3.50502129806434,4.32943101589705,4.32943101589705,4.32943101589705,3.11800111524622,2.42489783289936,0,0,6.02421981714333,9.07773065455663,16.8651633161834,6.22192325571443,8.68167162817173,16.4691042897985,10.4548983756836,3.33873615342418,9.56065940913861,"M_TEGR",13
"21","GHB-21",112.253,38.29,2.37085438186321,2.37085438186321,2.37085438186321,2.37085438186321,2.37085438186321,2.37085438186321,4.05410519502208,4.05410519502208,1.68325081315887,1.68325081315887,7.41108661641019,7.04744911782494,14.9580030428421,6.39830883906052,7.04744911782494,14.9580030428421,7.04744911782494,1.51224508595664,7.91055392501716,"M_TEGR",13
"22","GHB-22",112.254,38.3,2.22031653148825,2.22031653148825,2.22031653148825,2.22031653148825,2.22031653148825,2.22031653148825,3.90356734464712,3.90356734464712,1.68325081315887,1.68325081315887,7.44626407121965,7.20738402071142,15.2372553616784,6.51762625501033,7.20738402071142,15.2372553616784,7.20738402071142,1.51224508595664,8.02987134096697,"M_TEGR",13
"23","GHB-23",112.255,38.31,2.16116322844898,2.16116322844898,2.16116322844898,2.16116322844898,2.16116322844898,2.16116322844898,3.78847638208598,3.78847638208598,1.627313153637,1.627313153637,7.30307429743492,7.23493865133194,15.4996486805832,6.64768989950644,7.23493865133194,15.4996486805832,7.23493865133194,1.61702012974483,8.26471002925128,"M_TEGR",13
"24","GHB-24",112.256,38.32,2.59375164003778,2.59375164003778,2.59375164003778,2.59375164003778,2.59375164003778,2.59375164003778,3.58578437351539,3.58578437351539,1.56938299978049,1.56938299978049,6.91128301722227,7.37780882245899,15.8684735449037,6.77525719069025,7.37780882245899,15.8684735449037,7.95515908876186,2.29275779805736,9.06801498874761,"M_TEGR",13
"25","GHB-25",112.257,38.33,3.17447952927968,3.17447952927968,3.17447952927968,3.81572463842283,3.81572463842283,3.81572463842283,3.97130979781423,3.97130979781423,2.0878247301803,2.0878247301803,6.92224432263785,8.34368620871909,17.0897250207555,6.93758870213563,8.34368620871909,17.0897250207555,9.63468067036484,3.09944457154649,10.0370332736821,"M_TEGR",13
"26","GHB-26",112.258,38.34,3.430614936108,3.430614936108,3.430614936108,4.07186004525114,4.07186004525114,4.07186004525114,4.1042261039152,4.1042261039152,2.0878247301803,2.0878247301803,7.27012127694997,8.87853711599165,17.346214659445,6.85065741370856,9.17558137195362,17.643258915407,10.5897949343267,3.03123369211793,9.88189110582649,"P_DRYT",16
"27","GHB-27",112.259,38.35,2.1208111655685,2.1208111655685,2.1208111655685,2.1208111655685,2.1208111655685,2.1208111655685,3.20093463073347,3.20093463073347,1.08012346516498,1.08012346516498,6.87851321878863,7.80210878691807,14.87014340802,6.67339845955567,7.80210878691807,14.87014340802,7.80210878691807,0.394636161546303,7.06803462110197,"M_TEGR",13
