"","Longitude","Latitude","V3"
"1",-5.04162,36.66366,"AlbaSanchez_a1"
"2",-5.05957,36.66343,"AlbaSanchez_a2"
"3",-5.05044,36.66917,"AlbaSanchez_a3"
"4",-5.01804,36.61151,"AlbaSanchez_a4"
"5",-5.03367,36.66655,"AlbaSanchez_a5"
"6",-5.02554,36.68877,"AlbaSanchez_a6"
"7",-5.03423,36.6904,"AlbaSanchez_a7"
"8",-5.03876,36.69814,"AlbaSanchez_a8"
"9",-4.96761,36.70322,"AlbaSanchez_a9"
"10",-4.96582,36.70322,"AlbaSanchez_a10"
"11",-5.04177,36.64856,"AlbaSanchez_a11"
"12",-5.03144,36.64856,"AlbaSanchez_a12"
"13",-5.019,36.69548,"AlbaSanchez_a13"
"14",-5.0167,36.69592,"AlbaSanchez_a14"
"15",-5.01459,36.69353,"AlbaSanchez_a15"
"16",-5.01851,36.70011,"AlbaSanchez_a16"
"17",-5.02261,36.70214,"AlbaSanchez_a17"
"18",-5.01423,36.71336,"AlbaSanchez_a18"
"19",-5.01487,36.71097,"AlbaSanchez_a19"
"20",-5.01623,36.70631,"AlbaSanchez_a20"
"21",-5.0177,36.70521,"AlbaSanchez_a21"
"22",-4.99694,36.67838,"AlbaSanchez_a23"
"23",-4.98794,36.68781,"AlbaSanchez_a25"
"24",-5.00165,36.6831,"AlbaSanchez_a26"
"25",-5.01865,36.69101,"AlbaSanchez_a27"
"26",-5.0395,36.69262,"AlbaSanchez_a28"
"27",-4.98172,36.7439,"AlbaSanchez_a29"
"28",-4.98415,36.7425,"AlbaSanchez_a30"
"29",-5.00475,36.72546,"AlbaSanchez_a31"
"30",-4.9841,36.72651,"AlbaSanchez_a32"
"31",-4.99253,36.72632,"AlbaSanchez_a33"
"32",-4.97169,36.73175,"AlbaSanchez_a34"
"33",-4.96644,36.72254,"AlbaSanchez_a35"
"34",-4.98044,36.71362,"AlbaSanchez_a36"
"35",-4.98061,36.71267,"AlbaSanchez_a37"
"36",-5.00146,36.71493,"AlbaSanchez_a38"
"37",-4.99042,36.71856,"AlbaSanchez_a39"
"38",-4.97122,36.71158,"AlbaSanchez_a40"
"39",-4.97412,36.70599,"AlbaSanchez_a41"
"40",-4.97777,36.70187,"AlbaSanchez_a42"
"41",-4.98389,36.70257,"AlbaSanchez_a43"
"42",-4.988,36.70203,"AlbaSanchez_a44"
"43",-4.909311,36.619483,"AlbaSanchez_a45"
"44",-5.43012,35.24113,"AlbaSanchez_a46"
"45",-5.429297,35.241631,"AlbaSanchez_a47"
"46",-5.103634,35.259856,"AlbaSanchez_a49"
"47",-5.216593,35.184338,"AlbaSanchez_a50"
"48",-4.50827,34.904032,"AlbaSanchez_a51"
"49",-4.617827,34.909996,"AlbaSanchez_a52"
"50",-4.653223,34.896955,"AlbaSanchez_a53"
"51",-4.536485,34.907986,"AlbaSanchez_a54"
"52",-4.611571,34.849704,"AlbaSanchez_a55"
"53",-4.532196,34.840495,"AlbaSanchez_a57"
"54",-4.761091,34.976196,"AlbaSanchez_a58"
"55",-4.820689,34.992855,"AlbaSanchez_a59"
"56",-4.871389,34.996671,"AlbaSanchez_a60"
"57",-5.148185,35.142129,"AlbaSanchez_a61"
"58",-5.152082,35.141913,"AlbaSanchez_a62"
"59",-5.151044,35.139146,"AlbaSanchez_a63"
"60",-5.303285,35.347574,"AlbaSanchez_a64"
"61",-5.294552,35.346624,"AlbaSanchez_a65"
"62",-5.292949,35.345739,"AlbaSanchez_a66"
"63",-4.435739,34.819963,"AlbaSanchez_a67"
"64",-4.46209,34.812419,"AlbaSanchez_a68"
"65",-4.298583,34.848,"AlbaSanchez_a69"
"66",-4.321148,34.859132,"AlbaSanchez_a70"
"67",-4.328126,34.888293,"AlbaSanchez_a71"
"68",-5.207276,33.424301,"AlbaSanchez_a72"
"69",-5.240169,33.39468,"AlbaSanchez_a73"
"70",-5.468365,32.956078,"AlbaSanchez_a74"
"71",-5.337213,33.1899,"AlbaSanchez_a75"
"72",-5.339239,33.172825,"AlbaSanchez_a76"
"73",-5.346624,33.136528,"AlbaSanchez_a77"
"74",-5.331323,32.897139,"AlbaSanchez_a78"
"75",-5.269515,32.944753,"AlbaSanchez_a79"
"76",-5.242167,32.947561,"AlbaSanchez_a80"
"77",-5.370925,32.926501,"AlbaSanchez_a81"
"78",-5.435338,32.943043,"AlbaSanchez_a82"
"79",-5.496605,32.936991,"AlbaSanchez_a83"
"80",-5.477006,32.942474,"AlbaSanchez_a84"
"81",-5.36791,32.937865,"AlbaSanchez_a85"
"82",-5.180248,32.849844,"AlbaSanchez_a86"
"83",-5.237251,32.869999,"AlbaSanchez_a87"
"84",-5.257908,32.885662,"AlbaSanchez_a88"
"85",-4.918195,35.013695,"AlbaSanchez_a89"
"86",-4.902107,35.016676,"AlbaSanchez_a90"
"87",-5.072076,35.133767,"AlbaSanchez_a91"
"88",-5.057928,35.118435,"AlbaSanchez_a92"
"89",-5.118979,35.135797,"AlbaSanchez_a93"
"90",-5.112933,35.127825,"AlbaSanchez_a94"
"91",-5.102893,35.121953,"AlbaSanchez_a95"
"92",-5.146365,35.006211,"AlbaSanchez_a96"
"93",-4.195262,34.043501,"AlbaSanchez_a97"
"94",-4.176906,34.084397,"AlbaSanchez_a98"
"95",-4.178092,34.077415,"AlbaSanchez_a99"
"96",-4.041782,33.85286,"AlbaSanchez_a100"
"97",-4.065878,33.79968,"AlbaSanchez_a101"
"98",-4.159211,33.653631,"AlbaSanchez_a102"
"99",-4.715923,33.382891,"AlbaSanchez_a103"
"100",-4.661729,33.404569,"AlbaSanchez_a104"
"101",-4.656264,33.404563,"AlbaSanchez_a105"
"102",-4.958171,33.224912,"AlbaSanchez_a106"
"103",-5.315588,32.464617,"AlbaSanchez_a107"
"104",-5.432414,32.417622,"AlbaSanchez_a109"
"105",-4.989956,32.531557,"AlbaSanchez_a110"
"106",-4.972351,32.534187,"AlbaSanchez_a111"
"107",-5.306836,32.28702,"AlbaSanchez_a112"
"108",-5.410342,32.3011,"AlbaSanchez_a113"
"109",-5.061569,32.976551,"AlbaSanchez_a114"
"110",-5.071464,33.006335,"AlbaSanchez_a115"
"111",-5.180223,33.287499,"AlbaSanchez_a116"
"112",-5.19053,33.267471,"AlbaSanchez_a117"
"113",-5.128402,33.377907,"AlbaSanchez_a118"
"114",-5.139706,33.36205,"AlbaSanchez_a119"
"115",-5.184415,33.407958,"AlbaSanchez_a120"
"116",-5.208466,33.401479,"AlbaSanchez_a121"
"117",-5.224375,33.381264,"AlbaSanchez_a122"
"118",-5.231046,33.352279,"AlbaSanchez_a123"
"119",-5.236495,33.300496,"AlbaSanchez_a124"
"120",-5.239618,33.253437,"AlbaSanchez_a125"
"121",-5.29099,33.238472,"AlbaSanchez_a126"
"122",-5.238681,33.159732,"AlbaSanchez_a127"
"123",-5.233222,33.213928,"AlbaSanchez_a128"
"124",-5.201924,33.232016,"AlbaSanchez_a129"
"125",-5.351986,32.977369,"AlbaSanchez_a130"
"126",-5.345176,32.977631,"AlbaSanchez_a131"
"127",-5.24609,33.098369,"AlbaSanchez_a132"
"128",-5.235244,33.032387,"AlbaSanchez_a133"
"129",-5.219707,33.03495,"AlbaSanchez_a134"
"130",-5.010915,33.552338,"AlbaSanchez_a135"
"131",60.07,59.5000202,"Antipina_Galimov_a1"
"132",60.0708,59.49486,"Antipina_Galimov_a2"
"133",59.56994,57.49276,"Antipina_a1"
"134",59.5671,57.49424,"Antipina_a2"
"135",60.41132,57.15065,"Antipina_a3"
"136",60.54,64.23,"Antipina_a4"
"137",61.04,64.13,"Antipina_a5"
"138",59.55822,60.00015,"Antipina_a6"
"139",60.032087,61.016751,"Antipina_a7"
"140",63.35305,60.53937,"Antipina_a8"
"141",64.02,60.55,"Antipina_a9"
"142",64,60,"Antipina_a10"
"143",64.02649,60.55204,"Antipina_a11"
"144",63.35539,60.5567,"Antipina_a12"
"145",76.4512,61.0227,"Antipina_a13"
"146",79.3429,57.0444,"Antipina_a14"
"147",25.34138889,42.74111111,"Atanassova_a1"
"148",25.3275,42.75555556,"Atanassova_a2"
"149",25.3275,42.76,"Atanassova_a3"
"150",25.34083333,42.72055556,"Atanassova_a4"
"151",25.33722222,42.72444444,"Atanassova_a5"
"152",25.34138889,42.74111111,"Atanassova_b1"
"153",25.3275,42.75555556,"Atanassova_b2"
"154",25.3275,42.76,"Atanassova_b3"
"155",25.34083333,42.72055556,"Atanassova_b4"
"156",25.33722222,42.72444444,"Atanassova_b5"
"157",25.34138889,42.74111111,"Atanassova_c1"
"158",25.3275,42.75555556,"Atanassova_c2"
"159",25.3275,42.76,"Atanassova_c3"
"160",25.34083333,42.72055556,"Atanassova_c4"
"161",25.33722222,42.72444444,"Atanassova_c5"
"162",25.3275,42.75555556,"Atanassova_d1"
"163",25.3275,42.76,"Atanassova_d2"
"164",25.32138,42.735,"Atanassova_e1"
"165",25.32138,42.735,"Atanassova_e2"
"166",25.32138,42.735,"Atanassova_e3"
"167",25.3258,42.746,"Atanassova_e4"
"168",25.3258,42.746,"Atanassova_e5"
"169",25.3258,42.746,"Atanassova_e6"
"170",25.3258,42.746,"Atanassova_e7"
"171",25.325,42.738,"Atanassova_e8"
"172",25.325,42.738,"Atanassova_e9"
"173",25.325,42.738,"Atanassova_e10"
"174",25.325,42.738,"Atanassova_e11"
"175",25.323,42.7244,"Atanassova_e12"
"176",25.323,42.7244,"Atanassova_e13"
"177",25.323,42.7244,"Atanassova_e14"
"178",25.3202,42.717,"Atanassova_e15"
"179",25.3202,42.717,"Atanassova_e16"
"180",25.3202,42.717,"Atanassova_e17"
"181",30.401436,37.591179,"Bakker_a1"
"182",30.380378,37.591353,"Bakker_a2"
"183",30.41412,37.57448,"Bakker_a3"
"184",30.407665,37.566355,"Bakker_a4"
"185",30.40911,37.56973,"Bakker_a5"
"186",30.393515,37.589715,"Bakker_a6"
"187",30.40608,37.585288,"Bakker_a7"
"188",30.39121,37.589223,"Bakker_a8"
"189",30.403755,37.58995,"Bakker_a9"
"190",30.297804,37.550905,"Bakker_a10"
"191",30.300453,37.546514,"Bakker_a11"
"192",30.290816,37.538868,"Bakker_a12"
"193",30.284311,37.5388,"Bakker_a13"
"194",30.368871,37.568253,"Bakker_a14"
