"";"NameCal";"Loc.Longitude";"Loc.Latitude";"Abies";"Acer.campestre.type";"Ailanthus";"Alnus";"Apiaceae";"Araliaceae";"Artemisia";"Asteraceae";"Betula";"Campanulaceae";"Caprifoliaceae";"Carpinus";"Caryophyllaceae..periporate.excl..Paronychioideae.";"Castanea.sativa";"Celtis";"Chenopodiaceae.Amaranthaceae";"Convolvulaceae";"Corylus";"Cotinus";"Crassulaceae";"Cyperaceae";"Ephedra";"Euptelea";"Fraxinus";"Gentianaceae";"Geraniaceae";"Hippophae.rhamnoides";"Humulus";"Juglans";"Larix";"Leguminosae";"Moraceae";"Nitraria";"Oleaceae";"Ostryopsis";"Picea";"Pinus";"Plantaginaceae";"Poaceae";"Polygala";"Polygonum";"Populus";"Primulaceae";"Quercus";"Ranunculaceae";"Rhamnaceae";"Rhus";"Rosaceae";"Rubiaceae";"Rutaceae";"Salix";"Sanguisorba.minor.type";"Scrophulariaceae";"Solanaceae";"Stellera";"Syringa";"Tamarix";"Thalictrum";"Tilia";"Tsuga";"Ulmus";"Urtica";"Valerianaceae";"Verbenaceae"
"AlbaSanchez_a1";"AlbaSanchez_a1";-5,04162;36,66366;4,516129032;0;0;0,322580645;0;0;0;0,64516129;0,64516129;0;0;0;0,322580645;0;0;0,64516129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,580645164;0;3,548387097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a2";"AlbaSanchez_a2";-5,05957;36,66343;4,154302671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,890207715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,37388724;0;0,890207715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a3";"AlbaSanchez_a3";-5,05044;36,66917;27,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a4";"AlbaSanchez_a4";-5,01804;36,61151;18,60465116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45,34883721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a5";"AlbaSanchez_a5";-5,03367;36,66655;5,111821086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,638977636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,33865814;0;0,958466454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a6";"AlbaSanchez_a6";-5,02554;36,68877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,71428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a7";"AlbaSanchez_a7";-5,03423;36,6904;22,74247492;0;0;0;0;0;0;0,668896321;0;0;0;0;0;0;0;0,334448161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,04347826;0;2,006688963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a8";"AlbaSanchez_a8";-5,03876;36,69814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a9";"AlbaSanchez_a9";-4,96761;36,70322;23,37662338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,649350649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,14285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a10";"AlbaSanchez_a10";-4,96582;36,70322;10,41666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a11";"AlbaSanchez_a11";-5,04177;36,64856;1,136363636;0;0;0;0;0;0;0,284090909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,636363639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a12";"AlbaSanchez_a12";-5,03144;36,64856;12,38095238;0;0;0;0;0;0;0;0;0;0;0;0;2,857142857;0;1,904761905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71,904761906;0;1,428571429;0;0;0,952380952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a13";"AlbaSanchez_a13";-5,019;36,69548;5,501618123;0;0;0,323624595;0;0;0;0,323624595;0;0;0;0;0;1,618122977;0;0,323624595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,501618123;0;1,618122977;0;0;0;0;0;0;0;0;0;0,323624595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a14";"AlbaSanchez_a14";-5,0167;36,69592;15,16129032;0;0;0;0;0;0;0,322580645;0;0;0;0;0;0;0;3,548387097;0;0,322580645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,000000001;0;1,612903226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a15";"AlbaSanchez_a15";-5,01459;36,69353;4,01459854;0;0;0;0;0;0;9,854014599;0;0;0;0;0,729927007;0;0;2,919708029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,817518251;0;1,094890511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a16";"AlbaSanchez_a16";-5,01851;36,70011;62,12624585;0;0;0;0;0;0;1,328903654;0;0;0;0;0;0;0;0,332225914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,993355482;0;0,332225914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
