"";"Abies";"Acer campestre-type";"Alnus";"Apiaceae";"Artemisia";"Betula";"Campanulaceae";"Carpinus";"Caryophyllaceae (periporate excl. Paronychioideae)";"Chenopodiaceae/Amaranthaceae";"Corylus";"Cyperaceae";"Fraxinus";"Hippophae rhamnoides";"Picea";"Pinus";"Plantaginaceae";"Poaceae";"Polygonum";"Populus";"Quercus";"Rosaceae";"Rubiaceae";"Salix";"Thalictrum";"Tilia";"Ulmus"
"AlbaSanchez_a1";4,516129032;0;0,322580645;0;0;0,64516129;0;0;0,322580645;0,64516129;0;0;0;0;0;22,580645164;0;3,548387097;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a2";4,154302671;0;0;0;0;0;0;0;0;0,890207715;0;0;0;0;0;2,37388724;0;0,890207715;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a3";27,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,77777778;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a4";18,60465116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45,34883721;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a5";5,111821086;0;0;0;0;0;0;0;0;0,638977636;0;0;0;0;0;38,33865814;0;0,958466454;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,71428571;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a7";22,74247492;0;0;0;0;0;0;0;0;0,334448161;0;0;0;0;0;13,04347826;0;2,006688963;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a9";23,37662338;0;0;0;0;0;0;0;0;0,649350649;0;0;0;0;0;32,14285714;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a10";10,41666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,77777778;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a11";1,136363636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,636363639;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a12";12,38095238;0;0;0;0;0;0;0;0;1,904761905;0;0;0;0;0;71,904761906;0;1,428571429;0;0,952380952;0;0;0;0;0;0;0
"AlbaSanchez_a13";5,501618123;0;0,323624595;0;0;0;0;0;0;0,323624595;0;0;0;0;0;5,501618123;0;1,618122977;0;0;0;0;0,323624595;0;0;0;0
"AlbaSanchez_a14";15,16129032;0;0;0;0;0;0;0;0;3,548387097;0,322580645;0;0;0;0;20,000000001;0;1,612903226;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a15";4,01459854;0;0;0;0;0;0;0;0,729927007;2,919708029;0;0;0;0;0;24,817518251;0;1,094890511;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a16";62,12624585;0;0;0;0;0;0;0;0;0,332225914;0;0;0;0;0;1,993355482;0;0,332225914;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a17";38,16793893;0;0;0;0;0;0;0;0;0,763358779;0;0;0;0;0;4,580152672;0;0,763358779;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a18";10,13513514;0;0,337837838;0;0,337837838;0;0;0;0;0,675675676;0,337837838;0;0;0;0;7,77027027;0;1,351351351;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a19";39,35483871;0;0,322580645;0,322580645;0;0;0;0;0;0,64516129;0;0;0;0;0;5,483870968;0;0,64516129;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a20";18,79194631;0;0;0;0;0;0;0;0;2,013422819;0;0;0;0;0;4,362416107;0;0,33557047;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a21";38,75432526;0;0,346020761;0,346020761;0;0;0;0;0;0;0;0;0;0;0;2,422145329;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a23";1,433691756;0;0,716845878;0;0;0,358422939;0;0;0;0,716845878;0;0;0;0;0;6,810035843;0;1,792114695;0;0;0;0;0,716845878;0;0;0;0
"AlbaSanchez_a25";58,13953488;0;0;0;0;0;0;0;0;0,664451827;0;0;0;0;0;0,332225914;0;0,664451827;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a26";0;0;0,34965035;0,34965035;0;0;0;0;0;0,34965035;0;0;0;0;0;0;0;0,34965035;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a27";1,315789474;0;0,328947368;0;0;0;0;0;0;0,657894737;0;0;0;0;0;0,986842105;0;0,986842105;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a28";12,21122112;0;0;0;0;0;0;0;0;0,330033003;0;0;0;0;0;6,600660066;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a29";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a30";3,503184713;0;0;0;0;0;0;0;0;0;0;0,318471338;0;0;0;32,484076433;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,36842105;0;6,578947368;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a32";58,2781457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,298013245;0;0,331125828;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a33";53,97350993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,298013245;0;0,993377483;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a34";8,823529412;0;0;0;0;0;0;0;0;0,326797386;0;0;0;0;0;14,05228758;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a35";23,26283988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,80664652;0;1,510574018;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a36";3,149606299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,892388448;0;0,524934383;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a37";3,241895262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,23690773;0;4,488778055;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a38";41,63265306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,469387755;0;1,632653061;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a39";25,46583851;0;0;0;0;0;0;0;0;1,242236025;0,310559006;0;0;0;0;21,118012426;0;1,863354037;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a40";17,37704918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,180327867;0;0,983606557;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a41";58,30508475;0;0;0;0;0,677966102;0;0;0;0;0;0;0;0;0;26,779661014;0;0,338983051;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a42";16,61129568;0;0;0;0;0,332225914;0;0;11,62790698;0;0;0;0;0;0;4,651162791;0;1,328903654;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a43";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,409638554;0;2,409638554;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a44";0,588235294;0;0;0;0;0;0;0;0;1,470588235;0;0;0;0;0;0,882352941;0;0,882352941;0;0;0;0;0,588235294;0;0;0;0
"AlbaSanchez_a45";10,40268456;0;0;0;0;0;0;0;0;0,33557047;0;0;0;0;0;13,087248323;0;1,677852349;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a46";0;0;0,67114094;0;0;0;0;0;0;0;0;0;0;0;0;2,013422819;0;2,013422819;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a47";0;0;1,428571429;0;0;0;0;0;0;0;0;0;0;0;0;3,571428571;0;3,571428571;0;0;0;0;1,428571429;0;0;0;0
"AlbaSanchez_a49";21,875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,875;0;1,25;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a50";5,263157895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,403508772;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a51";0;0;0;0,709219858;0;0;0;0;0;0;0;0;0;0;0;0,709219858;0;0;0;0;0;0;0,354609929;0;0;0;0
"AlbaSanchez_a52";0;0;0;0;0;0;0;0;0,333333333;0,333333333;0;0;0;0;0;0;0;0,666666667;0;0;0;0;0,333333333;0;0;0;0
"AlbaSanchez_a53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,986842105;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a54";0;0;0;0;0;0,328947368;0;0;0,328947368;0,328947368;0;0;0;0;0;0,657894737;0;3,947368421;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a55";0;0;0;0;0,33557047;0;0;0;0,33557047;0,33557047;0;0;0;0;0;0;0;0,67114094;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a57";0;0;0;0;0;0;0;0;0;0,331125828;0;0;0;0;0;0;0;0,662251656;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a58";0;0;0,332225914;0;0;0;0;0;0;0,664451827;0;0;0;0;0;0;0;2,990033223;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a59";0;0;0,336700337;0;0;0;0;0;0;0,336700337;0;0;0;0;0;0;0;1,346801347;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a60";0;0;0;1;0;0;0;0;0;0,333333333;0;0;0;0;0;1,666666667;0;4;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a61";34,32343234;0;0;0,660066007;0;0;0;0;0;0;0;0;0;0;0;0;0;2,310231023;0;0;0;0;0,660066007;0;0;0;0
"AlbaSanchez_a62";3,355704698;0;0;0,33557047;0;0;0;0;0;0;0;0;0;0;0;0;0;1,006711409;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a63";10,52631579;0;0;0;0;0;0;0;0;0,328947368;0;0;0;0;0;0;0;0,657894737;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a64";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a65";1,003344482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,341137124;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a66";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,826855124;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a67";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a68";0;0;0;0;0;0;0;0;0;0,334448161;0;0;0;0;0;0;0;2,675585284;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a69";0;0;0;0,332225914;0;0;0;0;0;0;0;0;0;0;0;0;0;0,332225914;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a70";0;0;0;0;0;0;0;0;0,323624595;0,323624595;0;0;0;0;0;0;0;2,588996764;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a73";0;0;0;0,330033003;0;0;0;0;0;0;0;0;0;0;0;0;0;0,330033003;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a74";0;0;0;0;0;0;0;0;0;0,986842105;0;0;0;0;0;0;0;0,657894737;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a75";0;0;0;0;0;0;0;0;0;1,324503311;0;0;0;0;0;0;0;0,331125828;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a76";0;0;0;0,336700337;0;0;0;0;0;0;0;0;0;0;0;0;0;0,336700337;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a77";0;0;0;0;0,366300366;0;0;0;0,366300366;0;0;0;0;0;0;0;0;0,366300366;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a78";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,336700337;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a79";0;0;0;0,328947368;0,328947368;0;0;0;0;0,328947368;0;0,328947368;0;0;0;0;0;0,657894737;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a80";0;0;0;0;0;0;0;0;0,740740741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a81";0;0;0;0,641025641;0;0;0;0;0;0,320512821;0;0;0;0;0;0;0;0,961538462;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a82";0;0;0;0;0;0;0;0;0;0,993377483;0;0;0;0;0;0;0;1,324503311;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a83";0;0;0;0;0;0;0;0;0;0,99009901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a84";0;0;0;0;0;0;0;0;0;1,01010101;0;0;0;0;0;0;0;1,683501684;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a85";0;0;0;0,689655172;0;0;0;0;0,344827586;1,034482759;0;0;0;0;0;0;0;0,344827586;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a86";0;0;0;0;0,343642612;0;0;0;0;1,030927835;0;0;0;0;0;0;0;1,030927835;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a87";0;0;0;0;0;0;0;0;0;0,884955752;0;0;0;0;0;0;0;1,327433628;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a88";0;0;0;0;0;0;0;0;0,322580645;0;0;0;0;0;0;0;0;0,64516129;0;0;0;0;0;0;0;0;0
