;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
16951,2732;1,410157225;4,713136514;4,713136514;4,713136514;4,713136514;4,713136514;4,713136514;3,302979289;3,302979289;7,227499517;21,10702261;14,36218793;0;0;0;0
16956,41196;1,411389612;4,711743948;4,711743948;4,711743948;4,711743948;4,711743948;4,711743948;3,300354336;3,300354336;7,228244565;21,10944288;14,35877342;0;0;0;0
16961,55072;1,412619724;4,710341855;4,710341855;4,710341855;4,710341855;4,710341855;4,710341855;3,297722131;3,297722131;7,228989905;21,11186727;14,35536005;0;0;0;0
16966,68948;1,413813504;4,70890355;4,70890355;4,70890355;4,70890355;4,70890355;4,70890355;3,295090046;3,295090046;7,229704919;21,11416219;14,35192031;0;0;0;0
16971,82824;1,415043814;4,707496349;4,707496349;4,707496349;4,707496349;4,707496349;4,707496349;3,292452535;3,292452535;7,230443795;21,11656895;14,34849006;0;0;0;0
16976,967;1,416273742;4,706068907;4,706068907;4,706068907;4,706068907;4,706068907;4,706068907;3,289795165;3,289795165;7,231191176;21,11897435;14,34503085;0;0;0;0
16982,10576;1,417503289;4,704653735;4,704653735;4,704653735;4,704653735;4,704653735;4,704653735;3,287150447;3,287150447;7,231937868;21,12133835;14,34154435;0;0;0;0
16987,24452;1,418695658;4,703199617;4,703199617;4,703199617;4,703199617;4,703199617;4,703199617;3,284503959;3,284503959;7,23264102;21,12361247;14,33808409;0;0;0;0
16992,38328;1,419922572;4,701770903;4,701770903;4,701770903;4,701770903;4,701770903;4,701770903;3,281848331;3,281848331;7,233378136;21,12596894;14,33459399;0;0;0;0
16997,52204;1,421151008;4,700343762;4,700343762;4,700343762;4,700343762;4,700343762;4,700343762;3,279192753;3,279192753;7,234122781;21,12830049;14,33106845;0;0;0;0
17002,6608;1,422342338;4,698877712;4,698877712;4,698877712;4,698877712;4,698877712;4,698877712;3,276535374;3,276535374;7,234823949;21,1305424;14,32756915;0;0;0;0
17007,79956;1,423570049;4,697442555;4,697442555;4,697442555;4,697442555;4,697442555;4,697442555;3,273872505;3,273872505;7,235567245;21,13285201;14,32401717;0;0;0;0
17012,93832;1,424796437;4,696000577;4,696000577;4,696000577;4,696000577;4,696000577;4,696000577;3,27120414;3,27120414;7,236305742;21,13516916;14,32047469;0;0;0;0
17018,07708;1,425986742;4,694522519;4,694522519;4,694522519;4,694522519;4,694522519;4,694522519;3,268535777;3,268535777;7,237004939;21,1373783;14,31693566;0;0;0;0
17023,21584;1,427213365;4,693075262;4,693075262;4,693075262;4,693075262;4,693075262;4,693075262;3,265861897;3,265861897;7,237746207;21,13965452;14,31334348;0;0;0;0
17028,3546;1,428439621;4,691623947;4,691623947;4,691623947;4,691623947;4,691623947;4,691623947;3,263184326;3,263184326;7,238477559;21,14194164;14,30976916;0;0;0;0
17033,49336;1,429628915;4,6901338;4,6901338;4,6901338;4,6901338;4,6901338;4,6901338;3,260504886;3,260504886;7,239184033;21,14409511;14,30615814;0;0;0;0
17038,63212;1,430853508;4,688671576;4,688671576;4,688671576;4,688671576;4,688671576;4,688671576;3,257818068;3,257818068;7,239919165;21,14635632;14,3025482;0;0;0;0
17043,77088;1,432077738;4,687205268;4,687205268;4,687205268;4,687205268;4,687205268;4,687205268;3,25512753;3,25512753;7,24064437;21,14860507;14,29893275;0;0;0;0
17048,90964;1,433266031;4,685702952;4,685702952;4,685702952;4,685702952;4,685702952;4,685702952;3,252436921;3,252436921;7,241348902;21,15072435;14,2952803;0;0;0;0
17054,0484;1,43448956;4,684228469;4,684228469;4,684228469;4,684228469;4,684228469;4,684228469;3,249738909;3,249738909;7,242082022;21,15295116;14,29162893;0;0;0;0
17059,30857;1,435714649;4,682755449;4,682755449;4,682755449;4,682755449;4,682755449;4,682755449;3,247040801;3,247040801;7,242813464;21,15515037;14,28794841;0;0;0;0
17064,56874;1,436901956;4,681224306;4,681224306;4,681224306;4,681224306;4,681224306;4,681224306;3,24432235;3,24432235;7,243516066;21,15726677;14,28426914;0;0;0;0
17069,8289;1,438124436;4,679737463;4,679737463;4,679737463;4,679737463;4,679737463;4,679737463;3,241613027;3,241613027;7,244247188;21,15945857;14,28057554;0;0;0;0
17075,08907;1,439348484;4,678252054;4,678252054;4,678252054;4,678252054;4,678252054;4,678252054;3,238903571;3,238903571;7,244976634;21,16162231;14,27685228;0;0;0;0
17080,34924;1,440570256;4,676756922;4,676756922;4,676756922;4,676756922;4,676756922;4,676756922;3,236186666;3,236186666;7,245706413;21,16379033;14,27313007;0;0;0;0
17085,60941;1,441756261;4,675225864;4,675225864;4,675225864;4,675225864;4,675225864;4,675225864;3,233469603;3,233469603;7,24640645;21,16582722;14,26937785;0;0;0;0
17090,86958;1,442977354;4,673722428;4,673722428;4,673722428;4,673722428;4,673722428;4,673722428;3,230745074;3,230745074;7,247125637;21,16797012;14,26563484;0;0;0;0
17096,12974;1,444198097;4,672214814;4,672214814;4,672214814;4,672214814;4,672214814;4,672214814;3,228016716;3,228016716;7,247853432;21,17010198;14,26186907;0;0;0;0
17101,38991;1,445384109;4,670674094;4,670674094;4,670674094;4,670674094;4,670674094;4,670674094;3,225289985;3,225289985;7,248546413;21,1721058;14,25808116;0;0;0;0
17106,65008;1,446604182;4,669158118;4,669158118;4,669158118;4,669158118;4,669158118;4,669158118;3,222553936;3,222553936;7,249272899;21,17421318;14,25428585;0;0;0;0
17111,91025;1,447824877;4,667640722;4,667640722;4,667640722;4,667640722;4,667640722;4,667640722;3,219815845;3,219815845;7,250002863;21,17628803;14,25045126;0;0;0;0
17117,17042;1,449008979;4,666084679;4,666084679;4,666084679;4,666084679;4,666084679;4,666084679;3,2170757;3,2170757;7,250689797;21,17827487;14,24664281;0;0;0;0
17122,43059;1,450228045;4,664556077;4,664556077;4,664556077;4,664556077;4,664556077;4,664556077;3,214328032;3,214328032;7,251414317;21,1803449;14,24280252;0;0;0;0
17127,69075;1,451447739;4,663026025;4,663026025;4,663026025;4,663026025;4,663026025;4,663026025;3,211578286;3,211578286;7,252142323;21,1823819;14,23892239;0;0;0;0
17132,95092;1,452630909;4,661457357;4,661457357;4,661457357;4,661457357;4,661457357;4,661457357;3,208826448;3,208826448;7,252827357;21,1843311;14,23506837;0;0;0;0
17138,21109;1,45384898;4,659916039;4,659916039;4,659916039;4,659916039;4,659916039;4,659916039;3,206067059;3,206067059;7,253549921;21,18636302;14,2311822;0;0;0;0
17143,47126;1,455066715;4,658370455;4,658370455;4,658370455;4,658370455;4,658370455;4,658370455;3,203303741;3,203303741;7,254271828;21,18835691;14,22725539;0;0;0;0
17148,73143;1,456248963;4,656789072;4,656789072;4,656789072;4,656789072;4,656789072;4,656789072;3,200540109;3,200540109;7,25495497;21,19026767;14,22335488;0;0;0;0
17153,99159;1,457467997;4,655223621;4,655223621;4,655223621;4,655223621;4,655223621;4,655223621;3,197755624;3,197755624;7,255683892;21,19225253;14,21938827;0;0;0;0
17159,25176;1,458684755;4,653665182;4,653665182;4,653665182;4,653665182;4,653665182;4,653665182;3,194980427;3,194980427;7,256403857;21,19423234;14,2154394;0;0;0;0
17164,4109;1,459866096;4,652070973;4,652070973;4,652070973;4,652070973;4,652070973;4,652070973;3,192204877;3,192204877;7,257085119;21,19610386;14,21149143;0;0;0;0
