;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH;;
0,018;6,798871135;10,73314964;7,031879298;17,36542351;18,7937092;17,36542351;18,7937092;14,26782271;2,505992817;10,958198;5,011985634;5,011985634;0;0;0;3,6138622;;
0,054;3,625140003;9,140648338;7,688064433;14,03047852;17,18166877;14,03047852;17,18166877;11,85792242;2,364318084;7,941388374;2,334543903;2,334543903;0;0;0;3,661966685;;
0,09;4,754828209;10,68736607;8,020599161;12,96746388;16,81194043;13,40335377;17,24783033;11,31529247;2,088061302;8,860921242;3,172704915;3,172704915;0;0;0;3,464101615;;
0,126;4,423028963;9,40508768;8,196783082;14,61627917;16,71389687;15,3090995;17,40671719;12,09437513;2,88444102;8,444222816;1,208304597;1,208304597;0;0;0;4,482186966;;
0,162;1,892088793;6,360997331;6,360997331;12,50443616;14,39652495;12,50443616;14,39652495;10,61234736;2,576819745;5,870782046;0,721110255;0,721110255;0;0;0;5,101960408;;
0,198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0,234;4,236302032;8,818547006;7,029692624;13,93456231;15,7784712;14,8289895;16,67289839;10,59268747;1,843908891;8,881729892;4,03926423;4,03926423;0;0;0;4,204759208;;
0,27;5,960625556;7,61289672;5,173634537;13,21864736;13,21864736;13,21864736;13,21864736;9,697283992;1,652271164;11,3019737;3,029851482;3,029851482;0;0;0;3,029851482;;
0,306;2,227105745;4,189247432;3,07569456;11,97234791;11,97234791;11,97234791;11,97234791;10,85879504;1,962141687;6,543354116;1,72626765;1,72626765;0;0;0;4,883646179;;
0,342;4,178516483;6,790029455;5,397190627;13,79269876;13,79269876;13,79269876;13,79269876;11,00702111;2,611512971;9,542283816;0;0;0;0;0;4,070626487;;
0,378;5,708243446;6,899880975;3,92599992;14,53470991;14,53470991;15,21294291;15,21294291;12,47858052;1,191637529;10,84828236;1,356465997;1,356465997;0;0;0;3,730951621;;
0,413;1,232882801;3,537623016;3,537623016;9,52243944;9,52243944;9,52243944;9,52243944;7,575413796;2,304740215;6,503556382;3,467322822;3,467322822;0;0;0;2,930870178;;
0,449;7,030413212;8,271380576;5,503710076;13,73964022;13,73964022;13,73964022;13,73964022;9,476897507;1,240967365;12,51767118;1,240967365;1,240967365;0;0;0;3,42636834;;
0,485;7,668287019;9,377087768;7,225344289;16,92406235;16,92406235;16,92406235;16,92406235;11,99912678;2,300408727;11,94613695;1,691607978;1,691607978;0;0;0;3,509985755;;
0,521;3,286108971;5,007938096;3,894385224;11,60445046;12,21272671;12,71800333;13,32627959;10,54544724;1,113552873;8,344764919;1,113552873;1,113552873;0;0;0;3,286335345;;
0,557;5,071488933;5,771488933;3,235744467;13,35442099;13,35442099;13,35442099;13,35442099;10,81867652;0,7;8,294841225;3,235744467;3,235744467;0;0;0;4,161730409;;
0,593;4,308535235;4,308535235;2,565151068;12,51929705;12,51929705;12,51929705;12,51929705;9,954145984;0;8,347099336;2,19317122;2,19317122;0;0;0;3,813135193;;
0,629;5,136525283;5,776837707;4,004833192;15,11120134;15,75151376;15,75151376;16,39182618;12,38699299;0;9,341284491;2,224859546;2,224859546;0;0;0;2,224859546;;
0,671;5,72961124;5,72961124;3,72961124;15,68604193;15,68604193;15,68604193;15,68604193;11,95643069;0;9,806374662;1,483239697;1,483239697;0;0;0;3,348133809;;
0,736;6,111011271;7,62758636;4,214376727;16,81532245;16,81532245;16,81532245;16,81532245;14,11752081;1,516575089;9,657840841;1,170469991;1,170469991;0;0;0;3,413209633;;
0,801;5,057503192;6,175537181;3,993794758;15,81580806;15,81580806;15,81580806;15,81580806;12,94004729;1,118033989;9,962602579;1,118033989;1,118033989;0;0;0;1,118033989;;
0,837;10,62708363;11,14669887;4,220836681;18,81495094;18,81495094;18,81495094;18,81495094;15,11372951;0,519615242;13,8317677;0;0;0;0;0;1,60623784;;
0,866;6,682216019;6,682216019;4,750895228;15,94281691;15,94281691;15,94281691;15,94281691;11,19192168;0;11,224242;0;0;0;0;0;1,931320792;;
0,898;5,586135417;5,586135417;3,003331484;16,30760965;16,30760965;16,30760965;16,30760965;13,30427817;0;9,583516112;0;0;0;0;0;2,063976744;;
0,967;9,587559885;9,587559885;1,849324201;18,22827548;18,22827548;18,22827548;18,22827548;16,37895128;0;12,94315223;0;0;0;0;0;0,692820323;;
1,028;7,993321463;7,993321463;3,003331484;19,119833;19,119833;19,119833;19,119833;16,11650152;0;10,41199879;1,634013464;1,634013464;0;0;0;2,727636339;;
1,097;8,675007289;9,367827612;4,192820323;21,79448981;21,79448981;21,79448981;21,79448981;18,29448981;0,692820323;10,77262499;0;0;0;0;0;0,692820323;;
1,161;6,517231288;6,517231288;1,135781669;18,24934609;18,24934609;19,38512776;19,38512776;18,24934609;0;7,653012957;0;0;0;0;0;0;;
1,226;8,256362797;8,256362797;2,260530911;19,35431255;19,35431255;20,01005641;20,01005641;17,74952549;0;9,426832788;0;0;0;0;0;0;;
1,291;6,204711677;6,204711677;1,161895004;16,64051935;16,64051935;18,6727595;18,6727595;17,51086449;0;7,993566059;0,655743852;0,655743852;0;0;0;1,509966887;;
1,356;8,667580406;9,330905364;3,133142765;20,72134133;20,72134133;20,72134133;20,72134133;18,25152352;0,663324958;10,72184426;0;0;0;0;0;0;;
1,389;7,936829189;7,936829189;2,957193805;20,00733142;20,00733142;22,25677579;22,25677579;19,83809847;0,538516481;9,307960109;0;0;0;0;0;0,538516481;;
1,431;8,829355027;8,829355027;4,311612227;20,19761472;20,19761472;21,69093318;21,69093318;17,37932095;0;9,46966745;0;0;0;0;0;0;;
1,454;8,155693157;8,155693157;3,112876483;18,22313873;18,22313873;20,25537887;20,25537887;17,14250239;0;9,665660044;0;0;0;0;0;0;;
1,464;10,67777199;10,67777199;6,173329734;17,99171774;17,99171774;18,69171774;18,69171774;12,51838801;0;13,21351645;0;0;0;0;0;0;;
1,486;10,23745394;11,63745394;7,024428901;20,29586367;20,99586367;21,7029884;22,4029884;16,0785595;0,7;11,45400644;0;0;0;0;0;0;;
1,496;10,73885248;11,31330875;6,448126327;19,10979911;19,10979911;21,41847838;21,41847838;15,54480832;0,574456265;11,82051787;0;0;0;0;0;0,574456265;;
1,519;9,521839259;11,10297809;5,764438963;20,57135989;20,57135989;22,69268023;22,69268023;18,5093801;1,58113883;11,6431596;0;0;0;0;0;0;;
1,529;11,71529253;12,27206897;6,930943048;18,05083036;18,6076068;20,13409703;20,69087347;13,75993042;0;12,76885791;1,053565375;1,053565375;0;0;0;0;;
1,551;11,2789777;11,54355283;5,285531215;18,94952098;18,94952098;20,96694508;20,96694508;15,945989;0,264575131;13,2964018;0;0;0;0;0;1,337908816;;
1,561;9,647221213;10,27967675;4,709218954;19,3582776;19,3582776;20,49845302;20,49845302;16,4216896;0,632455532;11,86307319;0;0;0;0;0;0,632455532;;
1,584;9,760816857;9,760816857;3,923009049;20,12693694;20,12693694;20,12693694;20,12693694;16,20392789;0;12,73571181;0;0;0;0;0;0,655743852;;
1,594;10,30468855;10,84320503;5,346842593;19,1239822;19,1239822;20,75186426;20,75186426;15,94353815;0,538516481;12,71300746;0,538516481;0,538516481;0;0;0;1,034408043;;
1,631;10,24419894;10,24419894;2,959729717;20,63623723;20,63623723;21,29198108;21,29198108;18,33225137;0;11,75416582;0;0;0;0;0;0;;
1,649;10,40851577;11,04882819;3,061056111;19,27118818;19,27118818;19,27118818;19,27118818;16,8504445;0,640312424;13,17979706;0;0;0;0;0;0;;
1,693;9,100461398;9,716902798;3,334896844;19,66491067;19,66491067;19,66491067;19,66491067;16,94645523;0,6164414;10,55991335;0;0;0;0;0;0;;
1,711;7,404964747;7,943481228;2,592780339;15,87466917;15,87466917;16,41318565;16,41318565;14,35892179;0,538516481;11,40996163;1,572924524;1,572924524;0;0;0;1,36381817;;
1,755;6,300332886;6,956076739;2,916274764;16,55817477;16,55817477;18,07474986;18,07474986;15,81421895;0,655743852;10,4548485;0;0;0;0;0;0,655743852;;
1,773;5,880741786;7,812593438;3,569952751;17,12659065;17,12659065;17,83369743;17,83369743;14,78138277;1,224744871;9,5549764;1,58113883;1,58113883;0;0;0;1,58113883;;
1,816;7,786657474;8,994962071;3,527787298;19,42531414;19,42531414;20,11813446;20,11813446;17,79865176;1,208304597;10,49590091;0;0;0;0;0;1,208304597;;
1,835;7,939055105;8,594798957;3,284431738;16,70622125;16,70622125;17,86811625;17,86811625;15,23942837;0,655743852;11,05193159;0;0;0;0;0;1,788854382;;
1,878;8,687605364;9,327917788;3,571182602;15,2926705;15,93298293;15,93298293;16,57329535;13,00211275;0;11,91405852;1,148912529;1,148912529;0;0;0;0;;
1,897;8,078758752;9,621483614;3,618778811;15,43298998;15,43298998;16,62462751;16,62462751;14,54857356;1,542724862;12,29420653;2,076053949;2,076053949;0;0;0;1,191637529;;
1,94;8,709063709;8,709063709;2,707397274;16,51095428;16,51095428;16,51095428;16,51095428;13,80355701;0;11,57262792;0,608276253;0,608276253;0;0;0;1,113552873;;
1,959;8,133126331;8,840233112;3,759421442;15,60566417;15,60566417;15,60566417;15,60566417;13,26045629;1,414213562;12,43428896;0,707106781;0,707106781;0;0;0;1,870828693;;
2,002;8,842586256;9,362201498;3,201032778;17,89262331;17,89262331;18,91242721;18,91242721;16,23100967;0,519615242;11,52400379;0,519615242;0,519615242;0;0;0;1,019803903;;
2,021;7,246770685;9,52273202;5,97731244;16,42455824;16,42455824;17,95426409;17,95426409;14,25291299;2,275961335;11,58497308;1,360020246;1,360020246;0;0;0;1,095445115;;
2,064;8,430539122;8,430539122;2,19089023;18,17559424;18,17559424;18,68549619;18,68549619;16,49460596;0;10,94450014;0,509901951;0,509901951;0;0;0;1,009950494;;
2,082;7,880878417;8,528952487;3,889987085;15,08541189;15,08541189;15,73348596;15,73348596;12,49157294;0,64807407;12,4196007;0,64807407;0,64807407;0;0;0;2,022374842;;
2,12;6,543174678;8,019656984;3,228623853;17,96914572;17,96914572;17,96914572;17,96914572;16,21700418;1,476482306;10,60026723;1,2489996;1,2489996;0;0;0;2,204540769;;
2,144;7,474285167;8,048741432;3,058404734;17,64546195;17,64546195;19,32772234;19,32772234;16,84377387;0,574456265;11,17158148;1,081665383;1,081665383;0;0;0;2,121320344;;
2,181;8,683623308;10,26159669;5,276621786;20,63890269;20,63890269;20,63890269;20,63890269;16,94025429;1,577973384;12,76528963;1,319090596;1,319090596;0;0;0;0,994987437;;
2,206;7,173353328;8,259631378;3,7433441;17,64847882;17,64847882;18,23157401;18,23157401;15,57450796;1,086278049;10,77196417;1,923538406;1,923538406;0;0;0;1,42126704;;
2,249;7,203889663;7,723504906;3,053387134;19,32720312;19,32720312;20,34700703;20,34700703;17,81323514;0,519615242;9,412961867;1,60623784;1,60623784;0;0;0;1,019803903;;
2,268;6,666234785;7,282676185;4,257779493;15,95275099;15,95275099;16,56919239;16,56919239;12,9278543;0,6164414;11,38958106;0;0;0;0;0;2,181742423;;
2,311;8,20727226;9,57109043;4,220389541;19,99319924;19,99319924;19,99319924;19,99319924;17,13662787;1,36381817;11,06384363;0;0;0;0;0;1,034408043;;
2,33;6,076763422;7,56000312;3,483239697;14,75151133;14,75151133;14,75151133;14,75151133;12,75151133;1,483239697;10,67241354;0,632455532;0,632455532;0;0;0;1,760681686;;
2,373;7,912234743;9,521582437;4,393229875;19,19363523;19,19363523;19,19363523;19,19363523;16,40975305;1,609347694;11,20465027;0;0;0;0;0;0;;
2,392;5,828375527;7,32169398;4,095240819;15,85151994;15,85151994;16,49183236;16,49183236;13,88991;1,493318452;10,24425596;1,493318452;1,493318452;0;0;0;0;;
2,429;8,952582539;10,628888;5,125943124;17,62274761;17,62274761;18,19720388;18,19720388;14,74756621;1,676305461;13,15734175;1,072380529;1,072380529;0;0;0;0,574456265;;
2,454;7,718834039;7,718834039;3,535533906;17,86065141;17,86065141;19,44179024;19,44179024;15,90625633;0;10,45744683;0;0;0;0;0;1,870828693;;
2,621;7,929864072;8,409447225;3,477916022;16,77099984;16,77099984;16,77099984;16,77099984;13,77266697;0,479583152;11,58636513;0,979795897;0,979795897;0;0;0;2,607680962;;
2,905;7,737387742;8,642926256;3,371304115;17,01298984;17,01298984;18,2254254;18,2254254;15,7596598;0,905538514;8,642926256;0;0;0;0;0;0,905538514;;
3,096;7,397990303;7,877573455;2,254407087;16,17638412;16,65596727;17,15618002;17,63576317;15,38135608;0;10,00567126;0,979795897;0,979795897;0;0;0;1,96977156;;
3,287;6,205846896;6,205846896;1,977371993;18,94820524;18,94820524;20,25587492;20,25587492;18,27850293;0;6,205846896;0,489897949;0,489897949;0;0;0;0;;
3,669;6,294684387;6,294684387;1,483239697;17,42315223;17,42315223;18,90639193;18,90639193;17,42315223;0;7,777924084;1,236931688;1,236931688;0;0;0;0,424264069;;
3,764;8,226989473;8,558651952;2,431662479;16,88324075;16,88324075;18,4863627;18,4863627;16,3863627;0,331662479;8,558651952;0,331662479;0,331662479;0;0;0;0,854400375;;
3,962;4,97752055;5,789924391;1,095246553;17,39055664;17,39055664;18,49961029;18,49961029;18,21676758;0,81240384;6,086574201;0;0;0;0;0;0,282842712;;
4,064;4,032369031;4,032369031;0;15,55889061;15,55889061;16,34629139;16,34629139;16,34629139;0;5,11864708;0;0;0;0;0;0,244948974;;
4,473;7,406222419;7,906222419;2,993992783;16,76330025;16,76330025;18,34127363;18,34127363;15,84728085;0,5;8,401209856;0;0;0;0;0;0;;
4,677;7,592656333;7,592656333;2,988310559;18,33385381;18,33385381;18,33385381;18,33385381;15,34554325;0;7,592656333;0;0;0;0;0;0;;
4,983;5,782123679;6,909066446;2,870502344;17,05109801;18,17804077;17,05109801;18,17804077;15,30753843;0;7,248411509;0;0;0;0;0;0;;
5,085;6,574802738;7,533969042;2,898238248;17,75857899;18,7177453;19,03529353;19,99445983;17,09622159;0;7,851517271;0;0;0;0;0;0;;
5,289;6,480031697;6,480031697;1,830300522;18,41048405;18,41048405;20,24078457;20,24078457;18,41048405;0;7,158264695;0;0;0;0;0;0;;
5,494;4,846378759;6,474260819;3,482605759;15,61032547;15,61032547;17,66458932;17,66458932;15,80986563;1,62788206;4,846378759;0;0;0;0;0;0;;
5,596;3,263413436;3,911487506;1,29614814;15,3183175;15,3183175;18,26280388;18,26280388;17,61472981;0,64807407;3,263413436;0;0;0;0;0;0;;
5,8;3,834320369;4,45076177;2,991309818;17,18113553;17,79757693;18,29916952;18,91561092;15,9243011;0;4,45076177;0;0;0;0;0;0;;
