"";"CLDE";"TAIG";"PION";"CLMX";"COCO";"TEDE";"COMX";"WAMX";"XERO";"TUND";"COST";"WAST";"CODE";"HODE";"AQUA";"ANTH"
"X147.116789061375";7,82741589948492;16,3913774384089;13,135613319189;12,3561208008427;18,0218069905288;13,6599612818832;19,3256474715693;9,08830950161824;2,89827534923789;10,3769256562813;1,28387362203403;1,28387362203403;0;0;0;0
"X196.888012864325";9,01615292161312;17,7291592791193;14,7296499401027;13,9941020704351;19,2286030017561;14,5418246279403;19,7763255592612;8,52518104534373;3,47850542618522;10,776834607779;0,316227766016838;0,316227766016838;0;0;0;0
"X250.3480107365";8,6859298131291;18,6658340891358;15,2714068981359;13,2173362327886;19,9404307583773;14,2661450809588;20,9892396065474;7,97464245882959;2,75680975041804;10,2351231516121;0,5;0,5;0;0;0;0
"X307.4967826779";8,52206832572795;16,1378414315918;14,8531811145663;17,6988948250947;21,5067813780267;18,3313503571284;22,1392369100603;11,9306023749601;3,80788655293195;11,9861699408657;2,9382311171355;2,10157109060143;0;0;0;0
"X364.6455546193";9,11424585190951;14,7630588446901;12,5494644825722;17,7036193437217;20,005792230366;17,7036193437217;20,005792230366;10,8029678539301;3,3466401061363;13,4154084854308;2,6969790871968;2,6969790871968;0;0;0;0
"X417.30027691548";9,09916597380575;13,5180179890502;11,215845102406;18,3267531002245;20,4003972355573;18,7739666957245;20,8476108310572;11,976973608563;2,34520787991171;13,4923425011035;3,80055633293294;3,80055633293294;0;0;0;0
"X676.80136884025";10,1217914751211;15,3269144633028;13,297934349408;19,3292261697156;21,2785850386774;19,6454539357325;21,5948128046943;11,8688703405231;3,25576411921994;13,4684315812574;3,72943421456983;3,413206448553;0;0;0;0
"X469.95499921166";10,201180327076;15,4904713010121;12,3920846240462;21,3954199964554;23,8037389122138;21,3954199964554;23,8037389122138;14,9250818783789;2,88097205817759;13,0472302212275;2,40508648916649;1,77263095713281;0;0;0;0
"X755.16246753375";9,36043676752914;13,7538554157841;10,6233602472844;20,1339598361236;21,9778687275821;20,8410666173101;22,6849755087687;14,6111250182807;2,54950975679639;11,9488725886381;2,48997991959775;2,48997991959775;0;0;0;0
"X524.5500521865";9,64092542081604;13,7856864797688;10,9047144215912;19,5124804341918;21,5124804341918;19,5124804341918;21,5124804341918;12,7525270715533;2,14476105895272;12,5218974789936;1,30384048104053;1,30384048104053;0;0;0;0
"X833.52356622725";7,74845820601346;13,8451409109874;11,2183558036746;18,903521162277;21,6238152640241;19,350734757777;22,0710288595241;14,2290616590763;3,37638860322683;10,3752433133262;2,89670333828314;2,89670333828314;0;0;0;0
"X581.08543584";6,90845993136814;9,7927594283783;5,49159679485699;20,1352001284571;21,9240545104569;20,7676556604907;22,5565100424906;18,1603583626439;1,09544511501033;8,61139856796078;1,46911555856775;1,46911555856775;0;0;0;0
"X1112.15705757725";7,82153831001154;11,4339898596713;7,59993195713509;19,7954957693739;21,4079473190336;20,844304617544;22,4567561672038;16,8568242100687;2;9,43398985967125;0,836660026534076;0,836660026534076;0;0;0;0
"X637.6208194935";5,89240579031887;9,1310185778447;5,35993313108547;19,8836194609557;21,5267871334712;21,3668591583748;23,0100268308903;18,2455388148152;1,09544511501033;7,375645487738;1,37840487520902;1,37840487520902;0;0;0;0
"X1390.79054892725";8,855026824757;12,4596174023815;8,4721369949061;20,094373000946;21,8550546871119;20,9888001919459;22,7494818781118;16,1212537746643;1,84390889145858;10,6716170372155;1,62006824705737;1,62006824705737;0;0;0;0
"X715.981918187";7,81015521961481;9,35934855809778;5,47347671255269;20,4012180854871;21,1758147547286;22,2451269769457;23,0197236461872;18,320843602876;0,774596669241483;8,12638298563165;0,316227766016838;0,316227766016838;0;0;0;0
