;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
1820,874769;4,933235268;9,886813295;6,691972623;16,50629351;17,66898517;20,9236565;22,08634816;16,85987858;3,280824691;8,716727676;12,35348352;12,35348352;0;0;0;0
1926,580802;4,789960107;9,24025576;5,632456967;16,99905876;16,99905876;20,62347094;20,62347094;16,77843351;3,118857595;8,56788643;6,447238609;6,447238609;0;0;0;0
2005,860327;4,760608774;9,731525055;5,774890766;16,65141065;16,65141065;20,25462396;20,25462396;16,06197038;3,276576735;8,363822076;6,191248585;6,191248585;0;0;0;1,321813527
2120,757228;4,789960107;9,959667451;5,977700987;16,80459354;16,80459354;20,42900571;20,42900571;16,20980061;3,464101615;8,254061722;6,230536624;6,230536624;0;0;0;1,331438057
2213,634909;4,683798217;10,25222496;6,280099886;17,27910495;17,27910495;21,79506699;21,79506699;17,11126877;3,582364205;7,766005218;5,91776962;5,91776962;0;0;0;1,312334637
2301,352719;4,547039917;10,36051275;6,251774089;17,53213851;17,53213851;21,90653728;21,90653728;17,10330399;4,374398772;7,36147638;5,995237121;5,995237121;0;0;0;1,266989818
2393,355929;4,213891831;9,615889658;5,813845977;16,83105278;16,83105278;22,01283063;21,36674148;17,55763931;4,0264154;6,82912595;9,924257836;11,07962029;2,956814066;2,956814066;0;1,155362454
2490,2067;4,372196488;9,428861282;5,729364776;16,54774807;16,54774807;20,87753808;20,87753808;16,5053416;3,206916541;7,579113029;7,81777371;8,510877021;0,693103311;0,693103311;0;1,208629099
2592,323454;4,541903988;8,743736352;4,976062813;15,97331332;15,97331332;19,97266895;19,97266895;15,97801399;3,320268037;8,410226299;5,49220725;5,49220725;0;0;0;1,249742253
2685,08826;4,173424924;7,213580798;3,92614039;14,11718939;14,11718939;19,49020104;18,80399859;16,88896308;3,211832824;7,92350583;7,585511737;8,786239683;1,372404897;1,372404897;0;1,200727946
2783,006666;3,9698336;7,046681447;4,420498643;14,20258843;14,20258843;19,06460366;19,06460366;15,98775582;1,860213966;7,487117652;6,704508806;7,221071977;0,700070711;0,700070711;0;1,57171785
2865,33406;4,133120571;7,968952505;4,133120571;15,6984104;15,6984104;20,13831648;20,13831648;16,55987597;2,195255999;7,317189964;3,701282883;3,701282883;0;0;0;1,937864572
2962,84013;4,263690584;8,301447552;4,037756968;16,29423745;16,29423745;21,47748717;21,47748717;17,69244678;2,866630005;7,210497924;3,588023241;3,588023241;0;0;0;1,241296218
3055,214302;3,619718082;7,770714252;3,619718082;16,52878285;16,52878285;21,42350565;21,42350565;17,80378757;2,075498085;6,301565897;5,905447011;6,58481326;1,358732498;1,358732498;0;1,192927869
3159,69069;4,496321465;8,811244037;4,496321465;17,43152523;17,43152523;21,55775513;21,55775513;17,06143367;2,157461286;7,087941576;1,903604817;2,632252743;0;0;0;1,249742253
3259,883682;3,85924624;8,507083588;3,85924624;17,71263947;17,71263947;21,66599657;21,66599657;17,57540213;2,208244574;6,298839013;0,758464765;0,758464765;0;0;0;0,758464765
3344,256728;3,931707084;8,663440765;3,931707084;18,96228715;18,96228715;22,69651323;22,69651323;18,529985;2,24845627;5,91776962;0;0;0;0;0;0
3449,131951;3,600636324;8,248473671;3,85924624;18,87284485;18,87284485;22,2385479;22,2385479;18,14795346;2,208244574;5,251637989;0;0;0;0;0;0
3549,009284;3,535039399;8,102824581;3,790054595;19,37844966;19,37844966;23,82950367;23,09352358;19,81140274;2,16986942;4,793345125;0;0;0;0;0;0
3654,516384;3,040155873;7,434517074;3,287440408;18,83957347;18,83957347;22,90771394;22,22151149;19,39933726;2,086712462;4,240883819;1,886930394;1,886930394;0,686202448;0,686202448;0;0
3754,758336;3,600636324;7,758515556;3,600636324;18,60090454;18,60090454;21,44733222;21,44733222;17,58808598;1,949634658;4,885368825;0;0;0;0;0;0
3866,138283;4,133120571;7,711561078;3,835831934;17,87044179;17,87044179;20,7007489;20,7007489;16,56762832;1,640575935;5,408918204;0;0;0;0;0;0
3959,422219;4,418074881;7,476452233;3,528618949;17,15337788;17,15337788;21,24940687;21,24940687;17,07966877;1,208629099;5,62670398;1,901732411;3,11036151;1,386206622;1,386206622;0;0
4067,715458;4,594060818;7,263725418;2,925857969;17,17188545;17,17188545;20,16749627;20,16749627;16,05875762;0,743391956;6,224365912;0,743391956;0,743391956;0;0;0;0,743391956
4148,935387;4,803233287;6,729505931;2,182466013;16,50468061;16,50468061;19,83318589;19,83318589;15,72444724;0;6,729505931;0;0;0;0;0;0,743391956
4270,578359;4,660343714;7,102862999;2,684778997;17,28578128;17,28578128;22,19163356;22,19163356;18,36959525;0,652629987;6,450233012;3,834614187;3,834614187;0;0;0;0
