;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
X2372.170191948;7,808536606;9,150177392;3,896851258;19,09569349;19,09569349;19,59569349;19,59569349;15,25162864;0,447213595;9,999426836;0;0;0;0;0;0
X2741.14435579688;8,00555213;9,419765693;3;20,00742942;20,00742942;20,50742942;20,50742942;16,09321586;0;9,794406512;0;0;0,5;0,5;0;0
X3114.02420559;6,076422769;6,708878301;2,626785107;17,50785129;17,50785129;18,77276235;18,77276235;15,51352171;0;7,592997858;0;0;0;0;0;0
X3480.98868342488;5,5452589;5,861486666;1,483239697;17,71286597;17,71286597;18,549526;18,549526;16,75005853;0;7,218578953;0;0;0;0;0;0
X3855.927895845;4,095445115;5,778661072;1,595445115;19,27872611;19,27872611;19,77872611;19,77872611;17,50006504;0,5;4,095445115;0;0;0;0;0;0
X4226.1065010225;6,292609829;6,292609829;1,549193338;19,13261639;19,13261639;20,58175406;20,58175406;19,03256073;0;7,292609829;0;0;0;0;0;0
X4603.06593722;4,374790964;5,149387633;2,116237456;19,463302;19,463302;21,25215638;21,25215638;19,9105156;0,774596669;4,69101873;0;0;0;0;0;0
X4978.539503642;6,019607034;8,030467442;2,643315939;21,46028548;21,46028548;23,30419437;23,30419437;21,40682777;1,378404875;6,652062566;0;0;0;0;0;0
X5349.78286198888;4,855014948;6,783694263;3,061589224;19,37032921;19,37032921;21,1591836;21,1591836;19,39381815;1,61245155;4,855014948;0;0;0;0;0;0
X5707.50716804737;4,486392896;5,118848428;2,149030621;17,93773477;17,93773477;20,48724452;20,48724452;18,97066943;0,632455532;5,118848428;0;0;0;0;0;0
X6074.03131006188;3,455314327;3,771542093;2,076909452;16,49511271;16,49511271;19,2700001;19,2700001;17,50931841;0,316227766;3,771542093;0;0;0;0;0;0
X6437.17749750638;1,765365441;2,860810556;2,54458279;16,52837111;16,52837111;18,07756445;18,07756445;16,62842678;1,095445115;2,081593207;0;0;0;0;0;0
X6811.27186303263;1,61245155;1,61245155;1,61245155;14,3326235;14,3326235;14,3326235;14,3326235;12,72017195;0;1,61245155;0;0;0;0;0;0
X7187.71531388137;1,183215957;2,019875983;2,019875983;13,85705461;13,85705461;13,85705461;13,85705461;12,67383865;0,836660027;1,683215957;0;0;0;0;0;0
X7565.6092985525;0;0,632455532;0,632455532;11,59592352;11,59592352;11,59592352;11,59592352;11,59592352;0,632455532;0,894427191;0;0;0;0;0;0
X7937.01284071787;1,788854382;3,491793019;3,491793019;13,79907062;13,79907062;13,79907062;13,79907062;12,01021623;1,702938637;1,788854382;0;0;0;0;0;0
X8320.758890755;1;1,632455532;1,632455532;12,66388956;12,66388956;12,66388956;12,66388956;11,66388956;0,632455532;1,316227766;0;0;0;0;0;0
X8687.578946335;1,760681686;2,393137218;2,393137218;13,91984824;13,91984824;13,91984824;13,91984824;12,15916656;0,632455532;2,260681686;0;0;0;0;0;0
X9053.73464115875;1,378404875;3,249233569;3,249233569;14,70322738;14,70322738;14,70322738;14,70322738;13,32482251;1,870828693;2,153001544;0,547722558;0,547722558;0;0;0;0
X9417.0659189975;2,469817807;5,663561692;5,663561692;15,89996713;15,89996713;15,89996713;15,89996713;13,43014932;3,193743885;3,102273339;0,316227766;0,316227766;0;0;0;0
X9795.05097082625;4,568661805;8,441645151;7,54721796;18,20599985;18,20599985;18,20599985;18,20599985;14,53176524;3,872983346;5,463088996;0,316227766;0,316227766;0;0;0;0
X10166.3839667793;5,622445512;12,16461641;11,53216087;17,50875953;17,50875953;17,50875953;17,50875953;12,51876955;6,542170894;7,767206571;0,948683298;0,948683298;0;0;0;0
X10541.2855054305;6,706992551;12,51216266;11,87970713;13,46084596;13,46084596;13,46084596;13,46084596;7,38630894;5,805170109;10,91412935;2,529822128;2,529822128;0;0;0;0
X10902.7838587287;7,186016949;13,35853669;12,05469621;14,30721999;14,30721999;14,30721999;14,30721999;8,425043524;6,172519745;10,94101362;2,408318916;2,408318916;0,547722558;0,547722558;0;0
X11269.0876615349;6,911683588;12,55083246;12,0031099;12,55083246;12,55083246;12,55083246;12,55083246;6,186871429;5,639148872;11,08301431;2,469817807;2,469817807;0;0;0;0
X11619.9854175808;8,147862919;11,43419826;12,71903548;14,11493237;14,11493237;14,11493237;14,11493237;6,414283046;5,018386153;12,28307754;2,258317958;2,258317958;0;0;0;0
X11798.1635578195;8,79077006;11,21976162;12,16551348;14,14875318;14,14875318;14,14875318;14,14875318;6,841222818;4,857983121;13,61777741;2,19089023;2,19089023;0,5;0,5;0;0
X16794.8273413335;6,004812872;6,004812872;8,59291564;10,7376767;10,7376767;10,7376767;10,7376767;6,877624885;4,732863826;12,73534034;3,16227766;3,16227766;0;0;0;0
X16864.1751249386;5,389025383;6,613770254;8,525481264;10,10662009;10,10662009;10,10662009;10,10662009;6,298733541;4,717594711;12,42464902;3,860051813;3,860051813;0,948683298;0,948683298;0;0
X17148.0443523233;4,634648482;5,58333178;6,652644003;7,427240672;7,427240672;7,427240672;7,427240672;3,567188859;2,79259219;11,9490179;4,615192304;4,615192304;1,414213562;1,414213562;0;0
X17254.3084241269;3,073654521;4,022337819;3,810188998;4,858997846;4,858997846;4,858997846;4,858997846;2,834152173;1,785343325;10,81962121;5,215361924;5,215361924;1,58113883;1,58113883;0;0
X18031.9985664732;1,58113883;4,110960958;3,66227766;5,110960958;5,110960958;5,110960958;5,110960958;4,478505426;3,029822128;9,423332401;4,669047012;4,669047012;2,213594362;2,213594362;0;0
X18773.7082303946;3,120430693;5,0439691;4,710618585;6,527208797;6,527208797;6,527208797;6,527208797;5,223368316;3,406778104;11,36057632;4,147288271;4,147288271;0,774596669;0,774596669;0;0
X19516.8068191295;2,898064924;5,243272804;4,948357627;6,62167768;6,62167768;6,62167768;6,62167768;5,396932808;3,723612755;11,40100559;3,478505426;3,478505426;0;0;0;0
X20192.0593111339;1,183215957;3,632705699;3,498298591;4,681514548;4,681514548;4,681514548;4,681514548;4,681514548;3,498298591;10,08265414;3,016620626;3,016620626;0;0;0;0
X20921.2852656838;0,836660027;3,072728004;3,500979042;4,337639068;4,337639068;4,337639068;4,337639068;4,337639068;3,500979042;9,792105297;2,915475947;2,915475947;0,836660027;0,836660027;0;0
X21209.8309949944;1,764911064;4,521720814;5,470858489;5,970858489;5,970858489;5,970858489;5,970858489;4,705947425;4,205947425;10,30891481;3,492849839;3,492849839;0,5;0,5;0;0
X21504.6573028229;1,897366596;4,558802242;4,834863815;5,783547113;6,099774879;5,783547113;6,099774879;4,834863815;3,569952751;10,76866864;2,880972058;2,880972058;0;0;0;0
X21740.3011140392;2,884979311;4,83433818;4,530497699;5,83433818;5,83433818;5,83433818;5,83433818;4,25319935;2,949358869;11,89053315;2,302172887;2,302172887;1;1;0;0
X21834.2083687186;3,108819956;5,344887933;5,529114544;6,794025608;6,794025608;6,794025608;6,794025608;4,950116716;3,685205652;11,86096255;2,50998008;2,50998008;0,894427191;0,894427191;0;0
X22071.1225548589;3,014362841;6,71985589;6,261486987;6,403628124;7,352311422;6,403628124;7,352311422;4,480089718;3,389265282;11,30893938;3,31662479;3,31662479;1,341640786;1,341640786;0;0
X22791.1074179645;4,21893804;8,022077461;6,607863899;8,786951407;9,623611433;8,786951407;9,623611433;6,689333711;3,673586176;12,42259576;2,966479395;2,966479395;0,836660027;0,836660027;0;0
X23797.1360809613;3,829655356;10,52007112;10,75460377;10,96819814;12,96819814;10,96819814;12,96819814;8,087226079;5,873631716;11,0060054;2,049390153;2,049390153;0,894427191;0,894427191;0;0
X24885.4320062606;2,618400653;7,864229721;8,851842436;9,168070202;9,875176983;9,168070202;9,875176983;6,865897315;5,842562768;10,31904998;2,469817807;2,469817807;1,048808848;1,048808848;0;0
X25025.3636306012;3,445997907;10,18059189;11,27603701;11,82375957;12,91920468;11,82375957;12,91920468;8,925484217;7,282316544;9,833485676;2,774887385;2,774887385;0,774596669;0,774596669;0;0
X25165.2952549417;4,427188724;10,80684389;11,5667785;12,83168956;12,83168956;12,83168956;12,83168956;9,6694119;8,404500836;10,30085879;2,323790008;2,323790008;0,5;0,5;0;0
X25591.3662023382;4,178049716;9,025729574;8,732836355;9,732836355;9,732836355;9,732836355;9,732836355;6,554786639;5,554786639;11,47188273;2,366431913;2,366431913;1;1;0;0
X26150.7924127762;4,167114772;8,129437323;9,655358901;10,20308146;10,20308146;10,20308146;10,20308146;6,583689244;6,035966687;11,67710811;2,236067977;2,236067977;0,707106781;0,707106781;0;0
X26996.6066884893;3,193473869;6,961762605;9,115891265;9,663613822;9,663613822;9,663613822;9,663613822;7,017862511;6,470139954;10,92005138;2,645751311;2,645751311;0,774596669;0,774596669;0;0
X27824.427080681;0,447213595;6,329390063;8,565458041;9,012671636;9,012671636;9,012671636;9,012671636;9,012671636;8,565458041;7,404224448;2,258317958;2,258317958;1,264911064;1,264911064;0;0
X28457.3509694394;3,201851217;9,947219999;10,71213106;11,71213106;11,71213106;11,71213106;11,71213106;9,010279846;8,010279846;9,374370962;1,516575089;1,516575089;0,447213595;0,447213595;0;0
