"";"CLDE";"TAIG";"CLMX";"COCO";"TEDE";"COMX";"WAMX";"XERO";"TUND";"COST";"WAST";"CODE";"HODE";"AQUA";"ANTH"
"1";2,92917484645554;4,61692033926091;32,8097667783051;32,8097667783051;22,1637131338061;22,1637131338061;17,5467927945452;0;0;0,977008420918395;0;0;0;0;0
"2";0,639602149066831;2,498242903636;40,5230927227831;40,5230927227831;26,1583539521823;26,1583539521823;23,6601110485463;0;0;0;0;0;0;0;0
"3";0,750886001490266;0,750886001490266;34,9906193714394;34,9906193714394;21,7163386243738;21,7163386243738;20,9654526228835;0;0;0;0;0;0;0;0
"4";0;0;26,5724369309083;26,5724369309083;15,034373701345;15,034373701345;15,034373701345;0;0;0;0;0;0;0;0
"5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";0;0;0;0;0;0;0;0;0;0;0;0;0;1,33143804689789;0
"7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";0;0;0;0;1,99764011717222;1,99764011717222;1,99764011717222;0;0;0;0;0;0;0;0
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";0,261116483933546;0,261116483933546;0,261116483933546;0,261116483933546;0,261116483933546;0,261116483933546;0;0;0;1,56669890360128;0;0;0;0;0
"19";0;0;0;0;0,838040654579673;0,838040654579673;0,838040654579673;0;0;0,838040654579673;0;0,558693769719782;0,558693769719782;0;0
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;0;0;0;0,559315854056481;0,559315854056481;0,372877236037654;0,372877236037654;0;0
"25";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;0;0;0;0,460480059086988;2,21902766310687;0,306986706057992;0,306986706057992;0;0
"27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";0;0;0;0;0;0;0;0;0;0;0;2,17969145805564;2,17969145805564;0;0
"29";0;0;0;0;0,855896103236181;0,855896103236181;0,855896103236181;0;0;0;0,855896103236181;2,70228155109628;2,70228155109628;0;0
"30";0;0;0;0;0;0;0;0;0;1,09371044232263;0;0,729140294881754;0,729140294881754;0;0
"31";0;0,325669473639465;0;0,325669473639465;0;0,325669473639465;0;0;0;0;3,4443629837223;0,65133894727893;0,65133894727893;0;0
"32";0;0;0;0;0;0;0;0;0;0;0,745774614264189;2,17751533489614;2,17751533489614;0;0
"33";0;0;0;0;0;0;0;0;0;0;1,09371044232263;0;0;0;0
"34";0;1,00375235839946;1,00375235839946;1,00375235839946;1,00375235839946;1,00375235839946;0;0;0;0;1,50562853759919;3,65376299818516;3,65376299818516;0;0
"35";0;0,134665196045255;0;0,134665196045255;0;0,134665196045255;0;0;0;0;2,19691257688291;0,26933039209051;0,26933039209051;0;0
"36";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"37";0;0;1,95789002074512;1,95789002074512;0,652630006915041;0,652630006915041;0,652630006915041;0;0;1,95789002074512;4,52769256906872;2,32538328182848;2,32538328182848;0;0
"38";0;0;0;0;0;0;0;0;0;0;1,40528294086454;2,57547928067376;2,57547928067376;0;0
"39";0;0;0;0;0;0;0;0;0;0;4,0138120313364;2,6758746875576;2,6758746875576;0;0
"40";0;0;0;0;0;0;0;0;0;0;2,9068264977067;0,936855293909694;0,936855293909694;0;0
"41";0;0;0;0;0;0;0;0;0;0;5,27959285546002;3,08395709550352;3,08395709550352;0;0
"42";0;0;0;0;0;0;0;0;0;0;3,99431414069367;0,522232967867092;0,522232967867092;0;0
"43";0;0;0;0;0;0;0;0;0;1,22474487139159;5,64062530455552;2,94392028877596;2,94392028877596;0;0
"44";0;0;0;0;0;0;0;0;0;0;1,15937735192466;0,772918234616442;0,772918234616442;0;0
"45";0;0;0;0;0;0;0;0;0;0;0;1,57936127041026;1,57936127041026;0;0
"46";0;0,451912991750266;0,451912991750266;0,451912991750266;0,451912991750266;0,451912991750266;0;0;0;0;0;2,5398236602867;2,5398236602867;0;0
"47";0,47950704614142;0,47950704614142;0,47950704614142;0,47950704614142;1,91802818456568;1,91802818456568;1,43852113842426;0;0;0;1,43852113842426;0;0;0;0
"48";0,424584630955405;0,424584630955405;0,424584630955405;0,424584630955405;0,424584630955405;0,424584630955405;0;0;0;0;7,92760611884256;0,84916926191081;0,84916926191081;0;0
"49";0;0;0;0;0;0;0;0;0;0;1,57376751334068;0;0;0;0
"50";0;0;0;0;0;0;0;0;0;1,455213750218;1,455213750218;1,97036873228756;1,97036873228756;0;0
"51";0,402804736353905;0,402804736353905;0,402804736353905;0,402804736353905;0,402804736353905;0,402804736353905;0;0;0;0;2,72406494073187;1,81604329382125;1,81604329382125;0;0
"52";0;0;0;0;0;0;0;0;0;0;0;3,20076521462972;3,20076521462972;0;0
"53";0;0,639602149066831;0,639602149066831;0,639602149066831;0,639602149066831;0,639602149066831;0;0;0;0;1,91880644720049;0;0;1,49240501448927;0
"54";0;0,413691841347294;0;0,413691841347294;1,24107552404188;1,65476736538918;1,24107552404188;0;0;0;0;0,827383682694588;0,827383682694588;2,62346151783678;0
"55";0,96363356122207;1,72592030587993;0,96363356122207;1,72592030587993;0,96363356122207;1,72592030587993;0;0;0;0,604040449692624;0,604040449692624;2,9683009973402;2,9683009973402;0,201346816564208;0
"56";0,386459117308221;1,28016001733087;1,54583646923288;2,43953736925554;0,772918234616442;1,6666191346391;0,386459117308221;0;0;2,31875470384932;3,61005090441501;1,78740180004531;1,78740180004531;0;0
"57";0,314328482975344;1,77821283737732;0,942985448926032;1,77821283737732;0,942985448926032;1,77821283737732;0;0;0;0;2,50568216535387;3,51727984172854;3,51727984172854;0;0
"58";0;0;0;0;0;0;0;0;0;0;2,30999254842316;1,13079110563807;1,13079110563807;0;0
"59";0;0,438225424286805;0;0,438225424286805;0;0,438225424286805;0;0;0;0;1,31467627286042;0,87645084857361;0,87645084857361;0;0
"60";0,795031742572654;0,795031742572654;0,795031742572654;0,795031742572654;0,795031742572654;0,795031742572654;0;0;0;0;2,38509522771796;0;0;0;0
"61";0,314328482975344;2,2719793755063;2,66870188992846;3,21496482443233;2,04004492397778;2,58630785848164;0,314328482975344;0;0;0;0;0;0;0;0
"62";0,475806948053495;0,95161389610699;0,475806948053495;0,95161389610699;0,475806948053495;0,95161389610699;0;0;0;0;0;2,59166105457326;2,59166105457326;0;0
"63";0;1,15470053837925;1,15470053837925;1,15470053837925;1,15470053837925;1,15470053837925;0;0;0;0;0;0;0;0;0
"64";0,629969036181212;2,80930445453754;3,77981421708727;4,69921156308117;2,51987614472485;3,43927349071875;0,629969036181212;0;0;0;0;0;0;0;0
"65";0;0,279346884859891;0,838040654579673;1,11738753943956;0,279346884859891;0,558693769719782;0,279346884859891;0;0;3,33270707026359;0,838040654579673;0;0;0;0
"66";0;0,690795698501666;0;0,690795698501666;0;0,690795698501666;0;0;0;0;1,16755821371374;1,38159139700333;1,38159139700333;0;0
"67";0;0;0;0;0;0;0;0;0;0;2,70007277922289;0;0;0;0
"68";0;0,716598572084476;0;0,716598572084476;0;0,716598572084476;0;0;0;0;0;0;0;0;0
"69";0,261116483933546;0,261116483933546;0,261116483933546;0,261116483933546;1,04446593573418;1,04446593573418;0,783349451800638;0;0;0,783349451800638;0,783349451800638;0,522232967867092;0,522232967867092;0;0
"70";0,758464776508639;0,758464776508639;0,758464776508639;0,758464776508639;2,15546617351074;2,15546617351074;1,3970013970021;0;0;0;0;0;0;0;0
"71";0,314328482975344;0,628656965950688;1,25731393190138;1,57164241487672;3,13433913130455;3,4486676142799;2,82001064832921;0;0;1,88597089785206;0,942985448926032;2,27719756334732;2,27719756334732;0;0
"72";0;0;0;0;0;0;0;0;0;0;0;1,77488438842497;1,77488438842497;0;0
