;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE
14682,86027;9,779955336;10,62382808;4,845536946;20,02144356;20,02144356;22,737836;22,737836;17,37409578;0;11,71448997;0,651338947;0,325669474;0;0;;7%;8%;3%;14%;14%;16%;16%;12%;0%;8%;0%;0%;0%;0%
14788,88325;6,649953264;8,508594018;4,082521901;21,18354396;21,18354396;24,84526433;24,84526433;20,76274243;0,929320377;7,579273641;0;0;0;0;;5%;6%;3%;15%;15%;18%;18%;15%;1%;5%;0%;0%;0%;0%
14861,60123;5,991446716;8,416931972;6,442900419;19,83017643;19,83017643;23,01424582;23,01424582;18,99683065;2,425485255;7,460995786;1,997870724;1,997870724;0;0;;4%;6%;5%;14%;14%;17%;17%;14%;2%;5%;1%;1%;0%;0%
14970,6782;5,285453524;9,74405722;9,74405722;18,6015362;18,6015362;20,66050111;20,66050111;15,37504758;4,458603696;7,09969419;2,519869887;2,519869887;0;0;;4%;7%;7%;14%;14%;15%;15%;11%;3%;5%;2%;2%;0%;0%
15041,16796;7,581482387;12,88989508;11,71227355;12,88989508;12,88989508;12,88989508;12,88989508;6,486034213;5,30841269;11,59443312;4,538684321;4,538684321;0;0;;7%;11%;10%;11%;11%;11%;11%;6%;5%;10%;4%;4%;0%;0%
15146,9026;8,067174039;13,78397543;12,21505291;13,78397543;13,78397543;13,78397543;13,78397543;7,285723921;5,716801394;10,9981993;4,509574439;4,509574439;0;0;;7%;11%;10%;11%;11%;11%;11%;6%;5%;9%;4%;4%;0%;0%
15218,2835;6,570245222;12,43833672;12,43833672;12,43833672;12,43833672;12,43833672;12,43833672;5,868091497;5,868091497;9,439674512;4,813148416;4,813148416;0;0;;6%;11%;11%;11%;11%;11%;11%;5%;5%;8%;4%;4%;0%;0%
15325,35484;7,59097704;12,72377721;12,31008537;12,72377721;12,72377721;12,72377721;12,72377721;5,546492011;5,13280017;10,89391452;3,609207408;3,609207408;0;0;;7%;11%;11%;11%;11%;11%;11%;5%;5%;10%;3%;3%;0%;0%
15566,42284;8,391030872;12,69772555;11,80402465;12,69772555;12,69772555;12,69772555;12,69772555;5,200395578;4,306694678;11,39499651;5,607655592;5,607655592;0;0;;7%;11%;10%;11%;11%;11%;11%;4%;4%;10%;5%;5%;0%;0%
15671,33161;9,83737881;13,44480359;10,67498804;13,44480359;13,44480359;13,44480359;13,44480359;6,377240325;3,607424776;12,60355643;6,170130559;6,170130559;0;0;;8%;11%;9%;11%;11%;11%;11%;5%;3%;10%;5%;5%;0%;0%
15745,88994;7,490245229;11,54994129;12,34497303;12,34497303;12,34497303;12,34497303;12,34497303;4,8547278;4,8547278;10,77973679;5,519111549;5,519111549;0;0;;7%;10%;11%;11%;11%;11%;11%;4%;4%;10%;5%;5%;0%;0%
15857,72745;9,845488276;13,41025295;11,0550099;13,41025295;13,41025295;13,41025295;13,41025295;5,92000772;3,564764672;12,68081749;5,010066041;5,010066041;0,795031743;0,795031743;;8%;11%;9%;11%;11%;11%;11%;5%;3%;10%;4%;4%;1%;1%
15928,13631;8,853603456;12,15615461;11,33182448;12,66650378;12,66650378;12,66650378;12,66650378;5,147579615;3,81290032;12,53713994;6,092371408;6,092371408;0;0;;8%;10%;10%;11%;11%;11%;11%;4%;3%;11%;5%;5%;0%;0%
16033,7496;10,17825888;12,21569913;9,474775361;12,21569913;12,21569913;12,21569913;12,21569913;4,778364024;2,037440255;14,00233557;4,766601772;4,766601772;0,655921152;0,655921152;;9%;11%;8%;11%;11%;11%;11%;4%;2%;12%;4%;4%;1%;1%
16103,48581;10,41966979;13,03869773;9,791757683;13,03869773;13,03869773;13,03869773;13,03869773;5,86596799;2,619027942;12,71902454;6,920478795;6,920478795;1,209629474;1,209629474;;8%;11%;8%;11%;11%;11%;11%;5%;2%;10%;6%;6%;1%;1%
16208,09014;10,09343592;13,45386042;11,05145744;14,63148194;14,63148194;15,29736198;15,29736198;8,783950565;4,538046025;12,09960303;6,297695686;6,297695686;0,665880039;0,665880039;;8%;10%;8%;11%;11%;11%;11%;7%;3%;9%;5%;5%;0%;0%
16278,25118;8,782765986;11,01270698;10,14252426;12,42251625;12,42251625;12,42251625;12,42251625;5,919742252;3,639750263;13,01635334;7,379915653;7,379915653;0;0;;8%;9%;9%;11%;11%;11%;11%;5%;3%;11%;6%;6%;0%;0%
16383,49274;8,855639104;10,56124484;10,08718884;11,89268288;11,89268288;11,89268288;11,89268288;5,364770784;3,037043778;13,39432517;9,842085147;9,31985218;0,797724035;0,797724035;;7%;9%;8%;10%;10%;10%;10%;4%;3%;11%;8%;8%;1%;1%
16456,68387;8,649891432;10,19591;10,01585613;12,84439086;12,84439086;13,12373774;13,12373774;7,581727926;4,194499428;13,78450035;6,945642763;6,666295878;1,904850792;1,904850792;;7%;8%;8%;10%;10%;11%;11%;6%;3%;11%;6%;5%;2%;2%
16566,47058;7,932472581;9,552657756;8,555443256;11,17284293;11,17284293;11,17284293;11,17284293;5,857770024;3,240370349;13,91334892;8,199703681;8,199703681;0,707106781;0,707106781;;7%;9%;8%;10%;10%;10%;10%;5%;3%;12%;7%;7%;1%;1%
16639,73115;7,642980236;9,369997047;9,246567282;10,94640899;10,94640899;10,94640899;10,94640899;5,003270469;3,303428758;13,08825844;5,818924327;5,818924327;0,996261669;0,996261669;;7%;9%;9%;10%;10%;10%;10%;5%;3%;12%;6%;6%;1%;1%
16749,62201;8,856774367;9,853036036;9,145231059;12,58437252;12,58437252;12,58437252;12,58437252;7,16673962;3,727598156;14,00937094;6,451421242;6,451421242;1,407160084;1,407160084;;7%;8%;8%;11%;11%;11%;11%;6%;3%;12%;5%;5%;1%;1%
16819,8394;7,717169234;7,717169234;8,183779755;10,77644283;10,77644283;10,77644283;10,77644283;5,651936669;3,059273595;12,94625019;8,02383666;8,02383666;1,173854451;1,173854451;;7%;7%;8%;10%;10%;10%;10%;5%;3%;12%;8%;8%;1%;1%
16925,16548;6,274008443;7,324854805;8,310081704;10,06737014;10,06737014;10,06737014;10,06737014;5,737088754;3,793361698;12,56741387;11,75131134;11,75131134;1,991949618;1,991949618;;6%;7%;7%;9%;9%;9%;9%;5%;3%;11%;11%;11%;2%;2%
