X2;mean;X0,5_inf;X0,5_sup;X0,95_inf;X0,95_sup;mean,1;X0,5_inf,1;X0,5_sup,1;X0,95_inf,1;X0,95_sup,1;mean,2;X0,5_inf,2;X0,5_sup,2;X0,95_inf,2;X0,95_sup,2;mean,3;X0,5_inf,3;X0,5_sup,3;X0,95_inf,3;X0,95_sup,3;mean,4;X0,5_inf,4;X0,5_sup,4;X0,95_inf,4;X0,95_sup,4
0,018;4,679837202;2,431462704;7,442217955;-2,342066813;14,12293377;736,6033017;406,9468209;723,8112074;231,9642568;1290,642429;2,628354762;1,449849642;1,306685035;0,460569677;0,952409654;-0,12903393;-0,262249384;0,005510551;-0,518426353;0,263799572;291,2821652;186,3312822;365,6680262;47,54639059;655,9693911
0,054;5,091308669;3,247817971;7,328701201;-0,46629499;12,62332352;704,3946298;400,2539731;670,725649;226,5486786;1108,823265;2,032778442;1,103091436;0,990790634;0,349587512;0,726039284;-0,076212679;-0,16693389;0,014920912;-0,340781691;0,190477421;227,2493359;147,8060952;286,4705862;36,91394899;510,0950701
0,09;5,069107421;3,099385973;7,446352004;-0,881021199;13,22342959;735,763239;412,7227781;717,5111387;235,7999636;1254,587194;2,158104373;1,163051527;1,035827551;0,373108846;0,759338379;-0,088384517;-0,188513058;0,013130954;-0,382650077;0,207443765;243,9739919;156,5882184;306,8734676;39,62864516;549,899352
0,126;5,211476815;3,486536712;7,239936939;0,091038445;11,98995826;688,422197;387,2453703;644,619504;214,3569853;1079,817825;2,025507548;1,114769079;0,979353806;0,373611447;0,711672011;-0,074673507;-0,160034681;0,010593175;-0,323686645;0,175735984;229,9323993;147,1765557;289,4148145;37,20177848;519,1746402
0,162;5,299945686;3,696716731;7,251571496;0,555381485;11,79544012;638,8008243;358,4207915;565,6163116;192,7052106;857,30885;1,692370181;0,939739816;0,841784065;0,301954346;0,608050776;-0,05364555;-0,120216812;0,015339659;-0,252313368;0,145557389;180,3389419;119,0618806;227,5702985;30,6582444;402,7304041
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0,234;5,291343129;3,190834653;7,927159868;-1,116919761;14,54306163;795,2346645;447,3466387;774,3996729;259,4861371;1320,19305;2,239866535;1,190879563;1,065805593;0,37847296;0,785876906;-0,090096138;-0,194789031;0,015046292;-0,39665712;0,218536892;248,072928;160,418813;311,8507644;41,81822625;558,0165106
0,27;4,879576176;2,589875011;7,697367849;-2,236582153;14,80083399;803,1984561;454,9193277;779,4148047;260,5258749;1278,58452;2,00225624;1,061409184;0,954362469;0,32946791;0,70408807;-0,088429605;-0,187729055;0,011740955;-0,378636323;0,204102578;232,0706382;146,4596174;291,4059586;36,62964105;525,205387
0,306;5,130690008;3,351582732;7,370377551;-0,224643123;12,86999248;678,8232228;376,9772066;609,8128509;206,8144371;924,5753429;1,536883082;0,818249503;0,726789343;0,264736152;0,534737566;-0,049248913;-0,110967372;0,012235008;-0,229388342;0,131325123;167,4512198;108,2734762;211,0920805;27,03971512;375,845028
0,342;5,022579675;3,108172835;7,345672746;-0,800624618;12,75039242;706,2975135;396,5008612;648,7727323;218,5350171;1048,601596;1,704116638;0,924189024;0,813486566;0,30438787;0,592050317;-0,062739418;-0,134199291;0,008832242;-0,271576809;0,14687959;193,5232956;123,8701114;243,3333634;32,52152282;437,4151905
0,378;5,093847236;3,049610159;7,580250387;-1,129290675;13,59031171;727,1790343;406,6746968;684,9346468;226,4561708;1127,829966;1,977595231;1,088998258;0,951884769;0,365492914;0,687437015;-0,071749362;-0,156462124;0,015821314;-0,323580326;0,181102822;221,7484973;141,9483604;278,1387993;38,13427585;499,8502093
0,413;5,051324301;2,739521455;8,125924737;-2,204690695;16,54945286;793,2109269;427,4457215;720,6809739;235,1327993;1061,927546;1,582353476;0,824221414;0,741224453;0,252900004;0,550576255;-0,048913601;-0,117252241;0,019976837;-0,249194652;0,151169811;163,8181995;107,1340749;206,1172264;28,20782949;366,096888
0,449;4,787568634;2,533981534;7,469071163;-2,128623516;13,965368;768,7135566;428,8780353;735,9286823;240,7969129;1251,047073;1,905131211;1,033652189;0,908572756;0,337688366;0,658230693;-0,081573396;-0,167705652;0,006465033;-0,335517048;0,174561916;224,0167951;139,8252905;280,5721982;36,21554118;509,5870498
0,485;4,786631448;2,723450184;7,173221902;-1,471198684;12,74315492;730,4158671;416,316743;709,4853737;235,2958969;1234,636299;2,103592816;1,149394354;1,015646258;0,377308159;0,737624405;-0,091616101;-0,188246357;0,005933631;-0,374628309;0,193557451;249,9849294;156,7997819;313,1536892;41,12408675;567,6462946
0,521;5,59762952;3,991167852;7,653585652;0,893645048;12,56187203;704,6632091;400,8575684;647,1306425;224,0779507;995,5022436;1,754213548;0,953849045;0,832978749;0,32091421;0,605165232;-0,049307741;-0,114688343;0,016197968;-0,241094892;0,143357208;188,9363432;121,8717851;237,7504649;31,45696886;424,1344993
0,557;4,970291679;3,061916705;7,30321951;-0,759072108;12,89943832;700,7147011;400,0718942;660,6333119;225,0506867;1049,767403;1,741737303;0,93386859;0,828774029;0,302859548;0,608397464;-0,063485477;-0,137788288;0,011999024;-0,283117971;0,156360337;197,5668818;126,8312189;248,388542;32,52041435;444,8772574
0,593;5,083031406;3,245305948;7,297356204;-0,412049582;12,80885591;729,1240306;419,9467867;682,1566062;241,3116953;1072,45577;1,704671637;0,907687153;0,805215108;0,295980542;0,591914097;-0,060986272;-0,13049859;0,009866142;-0,266996887;0,145553668;200,9141666;127,8635261;253,3111253;31,55287946;453,7943294
0,629;5,359915032;3,663686795;7,4254912;0,331168959;12,36184223;708,5489388;415,2202051;674,8726509;239,2391571;1070,839971;2,017257752;1,103349266;0,976165941;0,366177819;0,711534234;-0,067323713;-0,150930503;0,016511714;-0,311952132;0,178533446;235,1644532;151,6824104;296,4366516;38,3686724;528,9550779
0,671;5,134421384;3,443435969;7,183485815;0,049219741;11,91581701;699,2610015;411,4526537;661,3305801;236,0235241;1053,595573;1,935338568;1,058280731;0,943050253;0,344360365;0,687211102;-0,06886046;-0,150183477;0,013931234;-0,308640597;0,172377664;232,690205;148,928244;293,0180709;36,81441286;524,0215986
0,736;4,89972184;3,13202439;6,952671671;-0,40689159;11,5285861;655,3752956;376,7448412;619,7430754;212,7013552;1044,394231;1,95083959;1,080484483;0,960307007;0,352502847;0,695467343;-0,075654975;-0,162000681;0,012938193;-0,329514734;0,180134853;228,6496177;146,1069399;287,4889376;37,82494755;516,6798104
0,801;5,167033676;3,502370362;7,169721823;0,195868989;11,8827216;693,6364486;404,6480951;656,5205432;232,0530188;1052,738123;1,98238231;1,083693644;0,964696257;0,356287582;0,70481568;-0,068240566;-0,147990301;0,012821104;-0,30452564;0,168807816;234,3192032;149,6733321;295,2632935;36,79018705;528,6991155
0,837;4,234140824;2,281125842;6,33373638;-1,626269664;10,82246607;634,9086409;349,7162333;609,5025738;193,3880648;1158,29595;2,204981266;1,2407773;1,103973788;0,407162949;0,795892195;-0,116961284;-0,230978219;-0,002762886;-0,450237027;0,218511058;288,9819369;175,0809339;361,8368757;42,78531163;664,5265748
0,866;4,890576541;3,00461809;7,063394089;-0,795302817;11,90929773;720,1281934;421,5316474;688,5976337;247,1655579;1190,311476;1,886328353;1,02938625;0,902568586;0,340836601;0,654063656;-0,079615922;-0,1621695;0,004488347;-0,324137194;0,165063102;232,7880947;147,1681225;292,2200303;38,22034444;528,9881546
0,898;5,162898629;3,531456505;7,099052436;0,283851716;11,46807641;679,4621621;400,1333084;633,6894089;231,8813681;1011,928504;1,935237325;1,077007912;0,94792814;0,358772974;0,683269735;-0,067338186;-0,148285387;0,013114527;-0,303081721;0,169760363;229,3203373;147,8459203;288,6244129;38,02472669;515,1801402
0,967;4,209523968;2,263597308;6,326624458;-1,69761893;10,9435877;631,642356;346,6670413;601,4405701;193,4129814;1143,444373;2,292361204;1,2958336;1,168123003;0,415200332;0,843392276;-0,1259577;-0,248391429;-0,001128505;-0,484589549;0,235546026;303,072717;183,5762158;380,0185701;43,92982509;697,7318412
1,028;4,646600256;2,899561439;6,556073969;-0,567022127;10,8054947;621,7342556;353,3975505;594,1909774;197,549905;1044,140049;2,196781197;1,236242081;1,111396593;0,402417109;0,805596722;-0,096206864;-0,201942428;0,011321007;-0,406721543;0,216660865;269,3702222;168,3786635;338,2897694;42,11769427;612,402217
1,097;4,556834186;3,043796598;6,162849941;0,01428716;9,557905663;590,3594727;340,6678803;562,0620445;189,9510757;980,7415506;2,196564609;1,243454082;1,118222708;0,411583615;0,811953547;-0,093168805;-0,196263129;0,010644177;-0,394601366;0,210071975;289,7720323;183,2376803;364,9322066;44,29615485;657,2167108
1,161;4,495568409;3,097455325;5,936711233;0,326081381;8,919517549;518,8835797;294,0076707;478,1682076;158,4554715;807,8441169;1,729894089;0,97721304;0,87417997;0,322162725;0,632718778;-0,065706397;-0,146059766;0,014609845;-0,300133674;0,170124119;218,017351;138,0063369;274,5534528;33,59994951;493,8156931
1,226;4,324926578;2,886590618;5,803136259;0,038068573;8,84546172;537,3833466;302,5322399;502,5030764;163,3472515;881,6237202;1,920421898;1,076097238;0,966709107;0,357407626;0,706108608;-0,082766668;-0,172642382;0,010043935;-0,348415942;0,184576894;253,4792045;158,5301253;319,1015109;37,85918567;576,8741091
1,291;4,699036385;3,327273025;6,167282439;0,670918543;9,323679278;537,1398657;301,6686662;496,3256779;161,1352;819,7538061;1,749987957;0,981844876;0,859537426;0,340685149;0,621603357;-0,058039571;-0,129818427;0,014942271;-0,269477945;0,156122328;210,6125088;133,1791385;265,2414946;32,81144237;475,9596186
1,356;4,44391456;2,890665676;6,090333748;-0,207522119;9,547475145;583,6374212;330,3381119;553,8273466;182,3134559;992,1815656;2,165815817;1,228935683;1,10413757;0,407215262;0,798938278;-0,09765957;-0,20079041;0,007200028;-0,399838676;0,205142783;288,4615797;180,1971703;363,4278131;42,81001861;657,9560627
1,389;4,670245338;3,251530276;6,128806833;0,447156716;9,169139999;555,000091;313,2965373;525,2823514;170,8070577;934,9509803;2,044215209;1,142683845;1,01760376;0,386916378;0,742242919;-0,075935918;-0,168989357;0,017584008;-0,347606675;0,198463604;266,172105;164,5034586;334,6797191;39,29185348;607,4734158
1,431;4,456477575;2,991644901;5,942335792;0,086744083;8,939353738;563,4806204;319,323043;532,2529311;176,5800157;969,6813194;2,031377881;1,141954174;1,023445969;0,380138638;0,74351462;-0,086503926;-0,183026974;0,011035459;-0,3694188;0,197981667;278,5335036;172,8849961;350,6357918;40,59747506;635,74352
1,454;4,687536304;3,316190114;6,142492934;0,575536299;9,144818309;558,050266;320,1380233;525,0983714;174,6252236;900,3226203;1,90541078;1,074221968;0,946593469;0,369006119;0,684091925;-0,069119285;-0,151051142;0,013609017;-0,310769766;0,173482402;245,7627704;154,5975433;309,4216252;37,23765583;557,5048842
1,464;4,483842011;2,701436764;6,367548161;-0,859682683;10,37494732;653,0018625;368,3938996;630,1985312;209,2228952;1200,359614;2,091900336;1,151318885;1,026796815;0,374289908;0,748827436;-0,098959235;-0,205170766;0,006971052;-0,408289522;0,212483367;286,8139509;173,1585879;359,9469902;39,9791653;659,927961
1,486;4,496349586;2,973925576;6,037548421;-0,03069064;9,22089838;599,9233974;338,9695577;576,4405751;188,5182168;1080,821919;2,171928725;1,204879565;1,069260045;0,409444648;0,78027744;-0,096771611;-0,196916643;0,005093242;-0,3915341;0,199811387;299,0620812;183,8709307;376,4544966;43,09659898;685,53054
1,496;4,68989269;3,151096405;6,271509596;0,074849385;9,513356575;599,9890658;338,7311673;576,2992759;186,0761422;1075,731284;2,060668371;1,137665324;1,008338089;0,382419196;0,734102674;-0,080204833;-0,177100053;0,01744835;-0,364767369;0,203646748;279,1211772;169,6662062;350,2567399;40,4169242;640,8205787
1,519;4,748105698;3,236841647;6,350460492;0,221662918;9,700318607;603,3038423;340,0460322;580,9957593;189,1117318;1084,313635;2,300997412;1,27516716;1,13400717;0,432059259;0,829857568;-0,091383192;-0,196436561;0,01672594;-0,401733294;0,220873689;305,0008013;186,2724963;383,4831402;43,65743527;698,9705246
1,529;4,706119585;3,035909819;6,43467311;-0,258533893;10,14848373;631,8004089;356,4987023;612,9561216;197,8703772;1158,873182;2,186095848;1,210794308;1,070360567;0,406801548;0,778630877;-0,089662511;-0,193346617;0,015363356;-0,394241022;0,216497679;290,7654612;175,9058239;364,2531137;42,05851725;667,4040981
