X2;mean;X0,5_inf;X0,5_sup;X0,95_inf;X0,95_sup;mean,1;X0,5_inf,1;X0,5_sup,1;X0,95_inf,1;X0,95_sup,1;mean,2;X0,5_inf,2;X0,5_sup,2;X0,95_inf,2;X0,95_sup,2;mean,3;X0,5_inf,3;X0,5_sup,3;X0,95_inf,3;X0,95_sup,3;mean,4;X0,5_inf,4;X0,5_sup,4;X0,95_inf,4;X0,95_sup,4
147,1167891;6,011485213;3,334209118;8,678336755;-1,923741083;13,90746202;887,3500253;497,1874284;919,1954877;285,547678;1671,385917;19,86382672;16,21072685;23,5192974;9,066886115;30,69707849;-4,513804334;-9,173222233;0,088845231;-18,19783182;9,205580645;11302,26617;6983,02602;14104,82381;1750,05029;20363,05959
196,8880129;5,878344656;3,185057557;8,532999168;-2,053415399;13,78218446;880,6509514;499,8662811;912,5257131;291,4397795;1649,09265;20,5851305;17,31170619;23,81479301;10,9255958;30,23364796;-4,785020961;-8,832260902;-0,733772373;-16,773302;7,219863744;10509,36582;6514,662218;13022,66087;1786,422341;18845,68494
250,3480107;5,677128089;3,000741021;8,340473754;-2,256876551;13,61343678;876,9081843;489,661218;906,9181901;282,0894019;1657,274588;20,18419541;16,79069839;23,59845937;10,07466726;30,31236755;-5,285559754;-9,963790984;-0,591917973;-19,15652385;8,552129037;10786,51;6687,672402;13393,31287;1829,655563;19381,11401
307,4967827;6,344984719;3,543097335;9,173124355;-2,023809156;14,75565262;877,6191645;502,0141784;915,7113593;289,8095078;1635,049534;20,93498035;17,63113586;24,19576846;11,15050903;30,72492373;-4,17334298;-7,941115168;-0,385988217;-15,40058274;7,063455948;10372,71766;6552,750653;12902,56671;1800,761695;18515,00968
364,6455546;4,321364509;0,773673962;7,894680355;-6,250441526;14,88604943;800,9167285;408,8890544;811,9446712;223,0682765;1589,004685;20,13762581;16,63665439;23,6722455;9,652766386;30,60491369;-6,600373255;-11,93029414;-1,281297544;-22,32472147;9,141329124;10856,39296;6627,70476;13423,04269;1898,327066;19639,76674
417,3002769;5,641490255;2,402941474;8,871302034;-3,964860191;15,23103436;829,8976002;441,0915282;851,0267401;244,1881004;1608,690265;20,59906511;17,18411185;24,02864636;10,4291561;30,78084413;-5,219330321;-9,930742452;-0,511054257;-19,17907703;8,716345729;10424,30523;6418,735367;12907,85574;1812,077917;18765,48252
469,9549992;6,091749846;3,084919038;9,095440839;-2,878760581;15,02205676;858,9094232;488,9254347;892,7229508;283,9648567;1605,618209;21,12192516;18,0047412;24,22213203;11,86927474;30,34802108;-4,735562046;-8,661555379;-0,848360301;-16,34352519;6,888907472;9963,333735;6262,918533;12318,70185;1853,290303;17792,99255
524,5500522;6,545744882;3,787472549;9,314336174;-1,705236898;14,8454016;881,5729357;512,0060833;921,2825639;299,5188605;1626,903303;21,02052791;17,83560733;24,19253605;11,51961691;30,49216788;-4,268104594;-8,125779718;-0,464030851;-15,60822725;7,069282402;10159,24591;6402,048703;12599,47839;1831,627518;18158,08882
581,0854358;6,865972492;4,306908773;9,445739236;-0,843378659;14,53464522;893,1909971;524,4648959;937,3108692;307,0030749;1634,248726;20,70978053;17,43084978;23,9804098;11,0320465;30,4095307;-3,301593648;-6,804773603;0,193274728;-13,67314222;7,085402225;10415,73928;6595,929605;12952,02405;1816,869729;18574,61077
637,6208195;7,485530902;5,041490167;9,917666071;0,207422001;14,76055238;908,259851;554,5309048;959,5999664;333,4305494;1624,132953;21,04930052;17,86650832;24,26828193;11,5190262;30,60255759;-3,221669949;-6,832269547;0,397792474;-13,97177975;7,551774408;10215,64258;6572,466936;12724,17128;1877,959911;18131,21878
676,8013688;5,388986884;2,208015027;8,532734482;-3,989014669;14,78983661;815,5414682;437,8732638;837,1759727;244,4460637;1573,648104;20,76933406;17,43629825;24,11243357;10,88722724;30,66488166;-5,763097334;-10,58406992;-0,907193377;-20,10137509;8,568199391;9670,079174;6191,050039;11983,67091;1860,142878;17144,01762
715,9819182;7,555846813;5,236696653;9,873186911;0,626581088;14,47670653;918,8628061;548,2195928;967,2663473;324,4205282;1666,495076;20,59422374;16,93271592;24,24461712;9,77494158;31,43834358;-2,957235904;-6,872266448;0,957296359;-14,54194174;8,588134988;11067,62934;7013,589379;13890,37447;1679,959136;19810,9943
755,1624675;6,495771916;3,804269589;9,15117212;-1,442278658;14,40543767;879,3268595;504,3235282;918,4541957;290,5936324;1634,033823;20,77337288;17,47948421;24,10517069;10,95458596;30,56782039;-4,334079026;-8,492200602;-0,161046207;-16,68915868;8,047390854;10273,41431;6505,743906;12767,05742;1842,088812;18349,65368
794,3430169;7,576873644;5,333605834;9,769587803;0,937566435;14,24027617;918,300483;546,3084145;965,2393838;322,014727;1670,415864;20,85713945;17,34387714;24,37214657;10,45941265;31,28323404;-2,752444323;-6,129910433;0,587720887;-12,84308409;7,290129778;11037,37861;6944,742823;13844,37281;1656,091567;19829,77624
833,5235662;6,669016856;4,1090083;9,258253994;-1,005421693;14,32742068;892,4694988;518,9686293;934,0295597;302,8558033;1644,234839;20,81499715;17,5350622;24,05569836;11,15733125;30,50570631;-3,799684425;-7,512571715;-0,075298417;-14,8036786;7,209210318;9778,254458;6308,185504;12172,56374;1807,649993;17308,33475
