X2;mean;X0.5_inf;X0.5_sup;X0.95_inf;X0.95_sup;mean.1;X0.5_inf.1;X0.5_sup.1;X0.95_inf.1;X0.95_sup.1;mean.2;X0.5_inf.2;X0.5_sup.2;X0.95_inf.2;X0.95_sup.2;mean.3;X0.5_inf.3;X0.5_sup.3;X0.95_inf.3;X0.95_sup.3;mean.4;X0.5_inf.4;X0.5_sup.4;X0.95_inf.4;X0.95_sup.4
0,018;6,718453434;4,178596286;9,22184024;-0,781777978;14,20984511;777,6108012;448,1755031;805,2922852;265,2645317;1438,047207;21,47264724;17,96247251;24,99346491;11,04204513;31,88005626;-5,663162752;-10,28637394;-1,03726904;-19,3657773;8,032296447;9682,870692;6007,099661;12138,02634;1388,037024;17493,41449
0,054;7,014929801;4,919785192;9,383798669;0,457534107;13,83389751;801,6861496;468,2424588;830,697519;280,4619876;1471,557612;21,46928732;18,00842783;24,91358806;11,20737683;31,68368767;-4,940360752;-9,205311915;-0,608653317;-17,71844313;7,794679092;9951,575535;6209,315567;12480,48281;1417,96926;17932,94898
0,09;6,536292914;4,520794065;9,12233342;-0,086946126;13,6719708;796,0395085;455,1762345;820,7147359;269,3297468;1481,172624;21,36488631;17,98216838;24,72207648;11,3482269;31,41071733;-5,583199671;-10,08438522;-1,055226079;-18,94894367;7,838095168;10154,80318;6255,090163;12730,99055;1398,215166;18398,18601
0,126;7,073457465;4,945483154;9,411313939;0,500399395;13,90617602;805,9171977;459,9839198;831,4403363;272,4847404;1500,174451;21,58198185;18,21930988;24,92852679;11,60561506;31,54592427;-4,954146353;-9,276707903;-0,666047798;-17,70432241;7,813295867;10072,93931;6199,83335;12632,14289;1375,055678;18227,36105
0,162;7,68674456;5,484019005;9,813767117;1,162596101;14,17830936;802,4372241;473,5910143;833,7720819;285,9170559;1465,027134;21,79075878;18,27946176;25,29891418;11,3342392;32,21746554;-4,246655801;-8,346539266;-0,149063552;-16,4339111;7,883153731;9738,223733;6105,300715;12211,74522;1416,866522;17513,44796
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0,234;6,510970634;4,210840127;9,037759528;-0,584053619;13,84507509;789,8674517;461,5281795;819,7688686;275,5907839;1450,663913;21,39902294;18,00150729;24,76457539;11,35926532;31,45888917;-5,833321326;-10,506055;-1,18878302;-19,60362306;7,92790471;9710,076217;6156,353976;12180,71893;1463,859746;17420,77863
0,27;6,586553576;4,196601213;9,155064989;-0,701404331;14,04463846;796,0789132;460,4181755;824,916157;272,2271885;1469,467465;21,29109356;17,84853803;24,75398798;11,03733365;31,56361161;-5,681124636;-10,31265219;-1,012701129;-19,42500061;7,988506487;10113,62588;6265,072761;12686,60138;1472,912797;18334,40231
0,306;7,750729629;5,279236515;9,537183773;1,005829069;13,80638867;821,2905996;474,8956946;849,7396278;283,324181;1516,642674;21,72394115;18,39611823;25,06828545;11,78995559;31,62354853;-4,676120041;-8,859178895;-0,50729704;-17,08965555;7,734826115;10069,78246;6227,685667;12625,95312;1399,315739;18208,81754
0,342;7,233433787;4,948803232;9,485881909;0,458679348;13,99763995;824,4500452;467,7069014;848,9574699;277,3387601;1541,658807;21,42104942;18,07452497;24,7605825;11,49023118;31,35987205;-4,888400769;-9,162638791;-0,580421003;-17,59157487;7,827043702;10336,05075;6422,101111;12956,43006;1490,197885;18687,56022
0,378;7,284951961;4,920740063;9,478874127;0,392899125;13,99662854;809,0780181;464,4946452;836,0879887;275,1968785;1501,239503;21,45405159;18,11799881;24,73972111;11,62727581;31,27220984;-4,916159806;-9,124750932;-0,664818086;-17,47918115;7,620441381;10072,67118;6314,033869;12617,61579;1487,116357;18146,15969
0,413;7,341332853;4,775272377;9,312910781;0,233689004;13,80327879;806,9849816;469,0701849;836,5656882;279,321046;1485,405694;21,50538043;18,11824133;24,93566018;11,37899108;31,63412772;-5,253394779;-9,735521265;-0,767504664;-18,55263564;8,045250235;9805,841989;6184,836292;12308,67136;1444,932651;17625,98405
0,449;6,53571681;4,441346881;9,238594498;-0,332194749;13,96425815;811,7410634;459,5035168;835,158462;271,9259252;1518,589975;21,28277465;17,91858164;24,6169998;11,35082094;31,19435709;-5,528990328;-10,03329139;-1,040657905;-18,8134246;7,793697015;10280,8647;6407,408243;12871,39821;1514,730374;18553,36816
0,485;6,753502421;4,497010852;9,256019652;-0,202044256;13,99272386;812,2412746;458,9456977;836,0344422;270,915057;1519,416678;21,27948352;17,91610069;24,63120051;11,26304531;31,22226825;-5,405932289;-9,853484359;-0,954522885;-18,49539343;7,770566105;10226,75855;6361,576526;12803,46085;1470,401358;18455,21772
0,521;7,698334796;5,528538531;9,711545819;1,342184059;13,93367716;823,9943675;468,5779837;848,7497387;277,715344;1535,912177;21,87519809;18,61695713;25,1603943;12,12777498;31,59357996;-4,341505604;-8,451939227;-0,192548157;-16,56095106;7,86881804;10224,96201;6261,176509;12812,09748;1372,987811;18549,84149
0,557;7,366421589;4,998426087;9,41311059;0,605624244;13,84091264;811,0241246;473,6724958;841,8660201;282,8735302;1489,638351;21,54519636;18,19197527;24,91226766;11,54809876;31,54994493;-4,939792046;-9,182656859;-0,628095467;-17,59720623;7,703197389;10058,5583;6296,144284;12622,84153;1458,812639;18128,92067
0,593;7,408856251;5,08181458;9,419398737;0,76802229;13,78145646;821,2250128;474,5587486;849,5963052;283,2611012;1515,993165;21,56485856;18,21613189;24,89428237;11,63242139;31,45862673;-4,87089241;-9,118525476;-0,627095945;-17,46427963;7,68961994;10263,13461;6365,127594;12884,36396;1425,384579;18562,0998
0,629;7,519229295;5,264232217;9,580673434;0,96082914;13,92478667;811,9645979;478,55607;844,8359594;287,7096467;1481,525564;21,65474118;18,30568273;25,0263333;11,68214691;31,64684621;-4,516607603;-8,650953482;-0,410406208;-16,72439457;7,646201292;9963,501784;6263,53745;12506,86796;1433,46672;17932,06061
0,671;7,49384113;5,258428593;9,655658991;0,88229578;13,98326092;816,6503163;476,0618463;846,9040314;284,4439442;1499,342084;21,6360089;18,18630303;25,03925633;11,48850702;31,75607897;-4,550217651;-8,681801081;-0,354642722;-16,88988983;7,81472945;9943,736147;6199,506455;12478,40499;1401,832485;17939,07508
0,736;7,486640243;5,125841159;9,614376357;0,659603453;14,06138286;819,8312143;467,970708;846,1767452;277,2373486;1526,055429;21,50706423;18,0884609;24,94594121;11,34000107;31,67518694;-4,65808534;-8,936280159;-0,379641768;-17,28472217;7,976986785;10155,04472;6310,22088;12737,69685;1428,42499;18353,90838
