X2;mean;X0.5_inf;X0.5_sup;X0.95_inf;X0.95_sup;mean.1;X0.5_inf.1;X0.5_sup.1;X0.95_inf.1;X0.95_sup.1;mean.2;X0.5_inf.2;X0.5_sup.2;X0.95_inf.2;X0.95_sup.2;mean.3;X0.5_inf.3;X0.5_sup.3;X0.95_inf.3;X0.95_sup.3;mean.4;X0.5_inf.4;X0.5_sup.4;X0.95_inf.4;X0.95_sup.4
2396,070946;7,392431725;5,325428102;9,450418245;1,184849234;13,62951246;844,9582691;479,4954771;869,3015329;283,8409613;1578,739374;21,29482057;17,95439387;24,59550753;11,42849612;31,14450573;-4,371711571;-8,508658684;-0,233607184;-16,6357012;7,872788597;10601,41596;6575,310973;13251,26122;1566,628582;19113,07691
2768,732889;7,506897714;5,355430186;9,477831963;1,272101448;13,62093437;838,1960855;482,3257167;865,9102013;286,3874099;1553,898884;21,29881761;17,97131925;24,61999773;11,39900901;31,15123773;-4,307089952;-8,421385289;-0,160816148;-16,51659165;7,866036666;10389,20217;6518,0407;12976,02401;1609,557852;18665,79883
3146,842834;7,930778862;5,933298084;9,699380675;2,10844222;13,45789554;848,0190407;497,1308743;878,8752747;300,2164923;1553,64991;21,5674712;18,47079189;24,65641541;12,34804142;30,84485132;-3,616229526;-7,319466101;0,120380545;-14,66955067;7,47623142;10372,92898;6578,827071;12950,68768;1698,917156;18571,52671
3514,851571;7,94479651;5,727155395;9,635442217;1,805301306;13,55181016;846,5297101;491,4119279;876,1336002;294,945247;1559,782234;21,47237146;18,29254206;24,67248103;11,92020848;31,00011796;-3,84571668;-7,699221871;0,030501955;-15,30807124;7,626804193;10419,65788;6560,698358;13000,68278;1643,621619;18700,54332
3878,586443;8,013464723;5,83636105;9,629711891;2,001393712;13,43291481;843,5549409;501,1232365;876,4719969;304,3282393;1533,718145;21,50167132;18,26364736;24,74889072;11,88099142;31,11539728;-3,804052006;-7,632092526;0,018996642;-15,1928417;7,564041638;10246,57168;6536,92394;12776,53606;1741,654887;18314,77898
4242,917962;7,795708262;5,462891334;9,456104408;1,451179689;13,43801073;837,3876544;480,9160813;863,8128887;288,1894306;1554,297685;21,5639946;18,35102754;24,74024764;12,06482042;31,01094566;-4,292183868;-8,313445319;-0,233224428;-16,21629548;7,639937528;10610,4937;6502,526503;13226,44875;1562,78409;19194,66043
4609,330769;8,079317632;5,754953846;9,57220707;1,944702983;13,39045818;843,8401445;488,7181072;871,8318801;294,1106201;1560,619703;21,78900814;18,71097387;24,80547174;12,66340592;30,91421259;-4,042057216;-7,863734543;-0,210941536;-15,47011125;7,339503521;10556,40156;6511,325004;13161,46378;1585,327005;19084,41004
4979,506773;7,84102487;5,482308166;9,493396819;1,480112234;13,48706567;839,6277526;477,2490455;864,7619252;283,3242056;1570,208141;21,70507865;18,59164568;24,84738966;12,42289582;31,00227762;-4,318908548;-8,293809117;-0,297077288;-16,16812419;7,58140857;10610,32122;6458,062816;13236,81616;1499,616412;19227,18337
5351,021504;7,834563115;5,475909207;9,460544611;1,508189198;13,41736273;841,5636536;477,5373124;865,2961294;285,5514464;1574,003912;21,83601691;18,72722684;24,96043545;12,53896837;31,13210541;-4,510632066;-8,560407217;-0,385035648;-16,65109407;7,636012679;10771,52291;6497,019297;13429,50269;1514,334474;19627,60215
5715,113859;8,016363722;5,682112027;9,543539563;1,816007611;13,41109774;843,4028434;479,3524587;867,7148185;285,0001722;1577,200038;21,98317351;18,96128008;24,97616928;13,03812858;30,96934044;-4,300486803;-8,231442851;-0,346629;-16,0149031;7,332823477;10796,07279;6509,019979;13471,48013;1495,052462;19683,02463
