X2;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
0,018;7,712011241;3,316284385;688,0445074;278,9658597;23,54738887;5,020403262;-5,975755236;6,986428089;7893,720781;3995,738057
0,054;7,826186755;3,095308827;813,7760554;278,018306;21,20209591;5,261172256;-3,401090599;6,925861098;9218,537206;3986,984303
0,09;7,232103761;3,15135083;822,7583863;280,7839357;21,0214835;5,23354004;-3,994262383;7,014358812;9438,665778;4031,594969
0,126;8,638918574;3,103675041;829,4155379;289,7186381;22,84446471;5,086136092;-3,129813482;6,777069374;8961,216918;4002,973206
0,162;8,967996679;3,100321064;845,8047878;294,7281171;22,44350042;5,263125197;-2,437032843;6,911078544;8931,926701;4049,011176
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0,234;8,19838515;3,176638554;816,8561238;277,5729001;22,3008799;5,248679826;-3,197315445;7,055592981;8740,272272;3945,730808
0,27;7,199435839;3,22008663;850,0125181;294,474293;22,17490392;5,104147677;-5,009299392;6,991842433;9857,690691;4451,302999
0,306;8,953526881;3,089435762;816,2953693;279,4178275;20,57196197;5,428475375;-0,324634358;7,107667774;8590,427679;3904,660502
0,342;8,833903652;3,100787774;855,2160379;278,5151617;22,08077698;5,085177735;-1,923938421;6,781217424;8989,212803;3902,987752
0,378;7,779250198;3,29420687;778,7196523;273,6372658;21,4498317;5,183739074;-3,360044377;7,129525377;8572,519936;3881,019117
0,413;8,76209208;3,076349144;813,8087185;277,6260963;20,7289439;5,132770475;-1,175803995;6,853065554;8472,472779;3898,069079
0,449;7,246679625;3,28261778;798,647077;276,8229027;21,86942235;4,990824869;-4,163342561;6,92451608;8930,043793;3930,029951
0,485;7,572827655;3,265710405;764,0983695;274,2378799;22,13959857;5,091541002;-4,104593341;6,959369237;8564,706155;3891,924983
0,521;8,562274635;3,075212595;875,6204909;278,552727;19,78324698;5,336505313;-0,043236939;7,070146258;9098,436571;3919,774118
0,557;8,164431741;3,105338767;741,0682482;278,5500004;21,32132375;5,362132506;-2,486510197;7,117777663;8021,155868;3967,444593
0,593;8,432391429;3,068527542;804,1873467;274,9591262;20,0808725;5,338104207;-0,352547655;7,05759009;8424,43546;3882,21988
0,629;8,08265685;3,154913313;762,2930924;278,842465;20,2534611;5,329699514;-1,593916003;7,111850317;8576,324715;4065,192161
0,671;8,103233291;3,104334056;779,225558;274,4183571;21,7321407;5,201892741;-2,974134411;6,984126859;8729,709962;3992,448646
0,736;8,238948075;3,167853317;741,2990582;274,3829206;20,47322386;5,334929094;-1,376667384;7,033203943;8075,007435;3910,790578
0,801;8,302695548;3,093656451;839,3658392;277,310773;19,91545362;5,411828885;-0,547683196;7,03907292;8914,642842;3925,007949
0,837;6,635049415;3,206651432;734,8368745;289,6286679;22,74175616;5,076067984;-5,979067885;6,815573272;8478,229703;4111,313848
0,866;8,742456988;3,370292692;792,6026771;278,5001672;20,11957758;5,407211151;0,235390272;7,327612858;8513,557193;3951,26162
0,898;8,088298809;3,094532641;785,5949056;277,9246755;19,57842495;5,374313999;-0,654498632;7,147625366;8698,039917;3969,525731
0,967;6,958136999;3,463855262;851,4676781;301,7398196;22,20664858;5,184221357;-5,765304993;6,965377455;9570,470297;4070,849283
1,028;7,608010022;3,23039977;740,5769773;285,4254704;23,06844119;5,056152653;-5,860625824;6,835952674;8632,538958;3976,901683
1,097;7,796620123;3,305201658;756,2129789;293,837734;22,81155257;5,044385332;-4,927128327;6,956819581;8955,448523;4080,729748
1,161;8,368381248;3,309404755;720,4454492;296,8863515;23,30028217;5,057820529;-5,442848139;6,934495139;8067,364279;4039,704493
1,226;7,892843787;3,290634221;717,6419916;303,930188;23,33760421;5,068261693;-5,568130609;6,85959311;8031,090074;4097,995044
1,291;9,481892624;3,31159203;769,4896574;286,8995448;23,92571959;5,050768754;-3,650778974;7,028702341;8383,577343;3993,085369
1,356;8,041201076;3,38166104;862,1506548;312,7408567;22,77596074;5,083189274;-4,662561238;7,027385815;9601,986984;4195,068654
1,389;8,090582602;3,294904024;768,7535361;295,7907422;22,72463564;5,052948799;-4,716476101;6,993397552;9005,101188;4073,664962
1,431;7,019701535;3,29053215;786,4980093;298,3470503;22,01706395;5,030075549;-5,841471738;7,041195108;9718,847511;4160,505416
1,454;8,025683546;3,292556678;766,3799842;295,7210432;22,75314341;5,039648498;-4,551889775;6,935640025;9078,182157;4108,28146
1,464;6,265731481;3,327820936;878,2790983;320,2943759;20,56741042;5,007073864;-5,625321828;7,198412439;11911,98467;4576,64071
1,486;7,026556709;3,202756548;885,7728021;314,7236038;22,20959788;4,958193894;-5,99684098;7,048911569;11138,32043;4367,147032
1,496;6,411878219;3,341423703;820,5007978;315,4770506;21,58257452;5,029122399;-6,74939908;7,162467368;10650,904;4475,059205
1,519;7,067624686;3,360224748;789,9598935;299,6962565;21,69711963;5,045595174;-5,340374535;7,032849225;10008,42225;4227,74493
1,529;4,252935313;3,482777977;720,7152513;306,563369;21,08769301;5,04016604;-9,380417104;7,269501547;9700,546706;4283,080051
1,551;6,71527232;3,402372271;798,624859;306,0552308;21,59562589;5,054883237;-5,705375428;7,187900033;10139,50138;4310,284177
1,561;7,083870812;3,351933512;783,9665584;288,8220899;22,15350666;5,089371253;-5,309934435;7,043722253;9470,150299;4078,183053
1,584;6,912532481;3,387815372;789,2413181;291,2858353;21,90154947;5,119158533;-5,981168649;7,031530581;9745,923008;4088,939463
1,594;6,967710059;3,308023407;738,129897;288,437618;22,30403274;5,019252229;-5,816695067;7,068456026;9060,003677;4066,720024
1,631;6,635924444;3,48357393;827,7358063;307,1426972;22,08783715;5,145531099;-6,233390613;7,055439617;9485,805649;4136,667632
1,649;6,014724972;3,44732984;806,9972343;299,374782;21,1927961;5,149401163;-6,381180282;7,085575357;9485,636347;4006,353822
1,693;7,753814418;3,309407838;785,6254437;307,2487188;23,02482418;5,059516715;-5,123953973;6,99242024;9018,434509;4143,491061
1,711;8,552596591;3,440932931;812,1942876;293,4425113;22,28192361;5,233768496;-2,537491947;7,228745738;8983,174416;4070,549288
1,755;9,181548696;3,113571747;775,5317372;284,802139;22,22750515;5,188425272;-1,233665768;6,892071628;8691,318571;4069,728767
1,773;8,475603312;3,085452317;767,6259389;288,7436769;21,8823027;5,266150503;-2,432848748;6,975842001;8810,570354;4098,255328
1,816;8,172923135;3,330764543;757,0850328;291,2083715;22,57624068;5,034740582;-3,996761178;7,010640267;8797,803693;4043,250322
1,835;7,974221886;3,305144697;761,1656747;282,3652452;22,11282033;5,069138697;-3,694297507;7,005130596;8964,415335;4026,216802
1,878;7,850047331;3,246023951;775,5645996;289,0846184;22,62602631;5,042158377;-4,144792465;6,907289958;9434,337162;4221,353061
1,897;7,892513435;3,306615283;749,3438233;288,4412098;21,29441047;5,197641194;-2,602314917;7,142591659;8912,630328;4051,830041
1,94;7,6464078;3,264951587;749,0561128;283,9551045;22,06305754;5,045018426;-4,014286273;6,919407143;8984,417714;4108,666699
1,959;7,622225405;3,326797072;780,1866226;289,3099155;22,09721166;5,025034028;-3,921870815;7,023039795;9277,372103;4014,585738
2,002;7,634254013;3,288842718;771,7699514;289,6710368;22,15239345;5,029944178;-4,222905857;6,978747179;9526,431039;4177,841625
2,021;8,318304412;3,174641194;797,2616251;285,3667871;21,61662957;5,17659801;-2,294790753;6,931767114;9234,835871;4062,522801
2,064;7,863525897;3,286191049;765,7468305;288,8459866;22,37408688;5,045919892;-4,384818833;6,890760717;8939,650321;4016,697687
2,082;7,724771954;3,32156009;738,4994293;283,9349359;22,58183418;5,068639056;-4,128453;6,96965862;8668,949373;4050,036074
2,12;8,868920983;3,172032799;740,2533908;278,6864276;22,15823943;5,223962966;-2,01784177;6,99912959;8248,358777;3908,666045
