X2;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
1,820874769;8,051465153;3,464257;855,2111131;286,8716102;20,19230807;5,560216697;-1,213774083;6,90282458;9355,772122;3976,004624
1,926580802;8,003684799;3,387705357;828,2816752;265,5212661;19,93957556;5,38434769;-1,050927906;7,061233219;8823,610321;3674,453641
2,005860327;7,914976849;3,440095765;836,4072235;274,2172538;19,91459914;5,580075582;-1,050149179;7,081087597;8794,232084;3751,264298
2,120757228;7,565865638;3,41149559;872,5911627;267,2053471;19,38076964;5,450287907;-1,050632069;7,076378809;9153,811927;3675,448153
2,213634909;7,816793651;3,303394482;860,1713595;266,9699468;19,70667832;5,151628453;-1,047768157;7,054604187;8898,083392;3717,937462
2,301352719;7,944761908;3,25579945;871,4629915;265,2258502;19,7554356;5,027679339;-0,737409359;7,042180744;9050,927705;3720,799157
2,393355929;7,325404519;3,252493246;876,7476732;262,3065239;21,40900617;4,846839445;-3,457288206;6,637200419;9056,203527;3620,521648
2,4902067;7,939473012;3,467748604;849,8209912;275,5956818;19,88302513;5,323231845;-0,981747124;6,940143765;9004,752995;3731,656876
2,592323454;8,672377189;3,450091382;852,5205443;278,1778009;20,20067865;5,35733013;0,076832847;6,984132666;8791,620954;3744,200961
2,68508826;8,842651797;3,322284403;861,6883166;279,8281351;21,12397598;5,255277537;-0,559277286;6,748440234;8897,51264;3718,28232
2,783006666;9,163561265;3,454728063;815,8489876;283,2362222;21,62701747;5,57064321;-0,43699208;7,014403063;8337,795297;3803,923305
2,86533406;8,640353582;3,376652364;875,2829513;286,3459296;20,8940949;5,406792381;-0,781270192;7,028607504;9304,169865;3872,915106
2,96284013;8,569849257;3,335467375;877,2590014;283,2097027;21,65706714;5,111628499;-1,791365723;6,900636278;9663,770884;4001,339813
3,055214302;8,628077055;3,344835015;831,0475951;279,141551;21,16127741;5,406898465;-1,08018291;6,966918877;8556,774076;3736,965805
3,15969069;8,251830426;3,405079812;835,5815577;279,4767452;21,42169376;5,14369991;-2,003053543;6,764170544;8846,79264;3749,461883
3,259883682;8,010420049;3,230134348;874,669614;275,3856002;21,97831703;4,964304948;-2,997648874;6,583160952;9306,955096;3812,953505
