X2;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
14682,86027;6,455408902;3,089868817;774,6418874;285,7892242;21,57033742;4,858546347;-6,344351118;6,906686672;9032,908974;3979,964991
14788,88325;7,440455459;3,067488367;796,4549087;291,4898553;20,84028836;4,852882757;-4,936658081;6,949128754;9710,248963;4089,834812
14861,60123;8,306678051;3,065647243;796,0952899;287,0153382;20,83907567;4,869239632;-3,250831277;6,940363955;10692,42421;4275,234833
14970,6782;4,773437931;3,189552281;817,6477427;284,2258169;19,80397758;4,847618872;-8,212529979;6,962676208;10807,82474;4387,074865
15041,16796;1,218896172;3,282392755;676,9984912;307,3057001;21,4039259;4,698712296;-16,83341268;7,339800762;8501,099755;4812,770322
15146,9026;1,21444271;3,289575365;863,2904755;346,2097788;19,96529338;4,654478651;-14,83608709;7,160543039;11853,02128;5358,312167
15218,2835;0,894720406;3,300442319;691,4113174;303,0531594;20,33553494;4,611725609;-16,23677341;7,166229533;9433,999631;4612,751362
15325,35484;1,450250265;3,251420554;682,671741;287,1139635;21,76061628;4,622738713;-16,41095157;6,991802252;8342,369957;4295,84779
15566,42284;0,883011518;3,241528172;648,1772224;286,6848438;21,90072412;4,68709762;-17,25688856;7,000046787;8220,653957;4374,977419
15671,33161;1,464733143;3,169067319;869,1392277;312,1505835;18,81018052;4,620333476;-12,37655921;7,052736719;12866,93139;4726,159118
15745,88994;1,007647083;3,093836147;759,7368189;305,0008056;19,35968961;4,568696548;-14,36192329;6,80971943;10803,08128;4612,596312
15857,72745;1,469262341;3,181449224;840,7380825;300,0874086;18,67387369;4,521001869;-12,52540019;6,931559065;12430,60405;4606,623247
15928,13631;1,427497861;3,126277654;834,6469986;297,6273074;18,91737692;4,548195925;-12,44652456;6,839064508;12272,69284;4552,387182
16033,7496;1,648405715;3,179210502;807,3297418;275,6128414;19,36145435;4,59358206;-11,57186648;6,924465543;11706,06697;4093,752842
16103,48581;1,678295193;3,182866783;773,0185086;281,6101689;20,44687475;4,729862507;-13,69957278;7,024976649;10703,05684;4377,430566
16208,09014;1,737931041;3,17981778;707,2048562;291,0252713;20,85269521;4,722321256;-14,82514716;6,971441072;9876,743533;4571,540054
16278,25118;2,447850182;3,16816708;803,7345626;297,4632372;20,42089073;4,720123815;-12,26532395;7,135549563;11712,35814;4633,804829
16383,49274;2,060378613;3,14299092;747,6747343;295,7830437;20,78803952;4,774303842;-13,35596091;7,214422526;10628,23542;4591,709603
16456,68387;2,600242231;3,207481257;779,8500326;296,7245612;19,99643407;4,687642572;-11,47534735;7,132392318;11302,55567;4538,554419
16566,47058;1,683112358;3,137454352;765,336379;275,4978769;20,33472947;4,708984507;-13,31441397;7,127807829;11024,15264;4187,928066
16639,73115;2,379573047;3,130130707;801,900803;285,8021106;20,61774291;4,742166876;-12,77436532;7,1809402;10843,70944;4421,552706
16749,62201;3,274486655;3,220121838;823,5946628;285,2900904;19,9687413;4,659211454;-9,989899944;7,022240479;11850,31581;4327,831175
16819,8394;2,409773742;3,219970039;882,5933247;292,6326636;19,27146441;4,635594194;-9,969216715;7,016820284;12888,75642;4407,119699
16925,16548;2,005554645;3,282861674;724,3101218;282,4523886;20,37276751;4,823073926;-11,29361838;7,124326758;10278,29499;4327,08711
16993,45173;2,198876102;3,231993498;746,9039435;277,603349;19,75770514;4,776723723;-12,42301431;7,173701569;10056,07699;4173,092349
17095,88112;2,259038622;3,269765204;606,1340705;269,0373142;22,45957759;4,566158912;-15,06738094;7,09812091;6874,091037;3907,362007
17164,52035;0,471975376;3,27409309;598,832125;269,647053;22,67913229;4,63322651;-16,88197995;7,129101243;6967,131988;3954,626674
17338,20459;0,157010269;3,200233734;564,1454106;263,9881681;22,70938251;4,602115499;-16,22770722;6,815821388;6289,90804;3854,454132
17444,29267;3,588530366;3,475320591;639,6805141;288,6384076;22,61954773;4,692738311;-13,24385615;7,348418035;6861,567063;4053,272445
17516,49097;0,860320001;3,446361877;642,8597128;293,8158651;22,6830044;4,647185802;-13,77515924;7,501453443;7218,833099;4121,696428
17839,5801;6,901615893;3,342752685;760,2944336;284,6275442;22,09611621;4,591179094;-7,846556391;7,229749496;8646,144483;4027,692821
17919,93796;3,210681072;3,52823535;659,6550613;287,4084688;22,41124616;4,695283761;-12,18274977;7,47884602;7200,362022;4018,849881
18040,30629;7,294242573;3,520649253;776,0344391;284,6904951;22,06129801;4,679566677;-8,588789676;7,383454326;8379,502956;3968,426635
18120,32722;1,688745069;3,565139219;664,8033919;292,8171271;21,7362183;4,657788127;-14,25309841;7,594236617;7273,899931;4052,873108
18449,46142;3,75197466;3,659482466;704,7499876;292,7191537;20,92633616;4,755831177;-14,12784802;7,691222542;8052,973057;4104,376625
18532,58269;8,008179163;3,41833091;897,3460176;310,2170901;21,7143198;4,764317406;-5,46937972;6,834509426;10832,11139;4506,929209
18738,03224;2,639999093;3,56303854;618,3643624;288,8499698;22,19651612;4,728749403;-15,21126272;7,436007169;6730,90489;4051,39644
19151,37901;1,767438153;3,617257701;687,1697667;277,8432904;20,54563531;4,861434344;-15,26733904;7,274877232;7784,669397;3977,765109
19473,92262;3,824193427;3,52999134;604,8609768;269,0406666;22,02863042;4,829077815;-14,7164954;7,185828329;6519,08025;3889,667905
19554,71688;7,692018354;3,633342524;764,5803533;284,5105499;22,11120166;4,726251722;-8,792499917;7,393505453;8133,256504;4015,291633
19676,79085;3,290992031;3,514709415;640,0459155;282,3916758;21,32023688;4,791377364;-15,30709089;7,189835778;6975,618175;3972,632024
19759,35027;5,741367441;3,629296972;751,9353381;299,1859526;21,67366735;4,69243867;-10,37458471;7,426006045;8289,027552;4141,653698
19981,6234;6,511505628;3,707431473;704,1634332;277,7235936;21,69175726;4,798868479;-12,75561489;7,474842453;7353,239292;3950,232925
20123,98455;4,802874201;3,703181725;765,1440551;284,0601397;20,72440537;4,83448696;-9,90872693;7,489729862;8785,134677;4094,611037
20222,42193;1,561142783;3,643474907;761,18778;280,596036;20,3549704;4,774223088;-11,40050237;7,412194778;8592,874369;3981,198382
20457,77925;4,585770069;3,431809402;777,4626986;289,0299384;21,60481305;4,748425569;-8,475705187;7,178516851;8606,134551;4129,495999
20694,92978;9,374192532;3,315133351;879,3310451;291,7911617;22,1774072;4,54278372;-6,773394445;7,127235376;9598,563191;4129,98044
20839,90027;6,486950647;3,538323869;828,6547583;295,3882604;21,70871938;4,690155426;-6,819690588;7,154828705;9081,648224;4048,776835
21078,94307;8,725437857;3,320263021;888,8191843;302,9769421;22,29637416;4,568536203;-5,064951986;6,960374102;9901,737094;4165,59348
21175,24115;5,020240147;3,788914654;854,6790525;298,9202175;21,3653301;4,819573158;-9,4134793;7,475155662;9262,54553;4132,922025
21564,7929;9,529518444;3,604340604;787,9577293;293,2705503;22,18070687;4,784430667;-7,139444446;7,215443679;8448,609246;4069,629742
21809,47281;5,803087607;3,653881853;731,9667768;289,3826184;21,94974297;4,794455379;-9,409212929;7,463828888;7717,244053;4043,263173
22240,57846;3,278273178;3,529445036;694,2623705;279,313544;21,28284043;4,822322029;-10,88282631;7,21497477;7760,777145;3979,447762
22434,89416;5,851229476;3,352152736;853,3485692;280,1393245;21,61736959;4,68825337;-6,785548794;7,091013375;9516,15278;4072,782961
22777,15888;0,291744483;3,550826156;706,5031042;274,6279776;19,9894615;4,747130677;-12,59576546;7,461061222;8607,133087;4073,792448
23017,69505;3,416028267;3,412923403;699,7302364;265,233028;20,53712907;4,655025578;-13,38116067;7,341512962;8384,72912;3873,908833
23268,45401;2,665411142;3,72030397;711,3716517;283,6351749;20,76324523;4,805907085;-13,20441012;7,515004834;8210,500287;4062,486666
23514,48208;7,750335946;3,176890397;881,0646961;301,7454186;22,1387848;4,551204709;-4,543964588;6,671293468;10269,10176;4230,425349
23798,25938;7,576896809;3,19325356;953,6922189;301,7059523;21,84367531;4,560148033;-4,867597122;6,626219942;11122,14285;4094,078367
24036,49631;5,080588531;3,224303011;882,0284875;291,0028069;20,86976607;4,555662454;-7,277094585;7,121035537;10872,13488;4149,779575
24131,68861;7,400264903;3,22840175;938,5429219;305,7700928;21,58548207;4,570755617;-4,849701066;6,727781991;11599,51153;4266,986117
24317,55326;6,212600675;3,336059026;908,8856026;299,2772198;21,97296359;4,595558978;-6,212564404;7,055531886;10700,64823;4152,769211
24798,57298;6,135506378;3,319360826;884,3243072;293,536443;21,35901874;4,597153406;-7,638087117;7,355307216;10781,26178;4141,517638
25014,43028;7,798132076;3,228306619;989,0037451;302,9750437;21,72542943;4,591237372;-4,864825534;6,615043386;11828,1693;4290,738291
25235,60986;4,720190313;3,396263255;808,4626726;288,0398448;22,02616572;4,586037322;-7,050630989;7,242509708;9569,428678;4127,586664
25584,02913;5,115788334;3,337952164;952,8058359;298,2877127;21,07163855;4,588647753;-7,769891025;7,253354329;11445,76397;4154,892337
25866,59256;7,338024283;3,261365697;932,6865074;293,5710479;21,29172271;4,577096381;-5,047421644;6,707843101;10965,39594;4092,331937
26288,75728;5,838132431;3,36244589;893,339839;298,0497862;21,15853587;4,564120038;-7,392526473;7,275918155;10804,93166;4154,488078
26643,97191;2,363960748;3,386069809;817,2913241;286,5659718;21,19023342;4,595851834;-8,547991062;7,521955223;9982,779079;4104,210138
26992,28854;3,655489792;3,343002799;843,8247037;291,3872444;20,59300809;4,641832513;-8,548516444;7,501435222;10561,40104;4215,8945
27339,57703;2,449378581;3,623163902;761,6511043;286,8175356;20,27823837;4,811866312;-11,35875855;7,533074496;9232,424873;4173,558799
27688,11276;-0,041200772;3,488852501;732,1615931;275,110369;19,50101497;4,836850272;-13,2793449;7,431479333;9378,629853;4108,777068
27981,74654;2,008451798;3,453070118;758,9973063;274,8513054;20,50931861;4,797223073;-10,1669484;7,338171696;9367,160596;4134,1438
28055,15499;1,80943934;3,48467735;794,5537721;288,8738549;19,33449358;4,823101504;-11,3892294;7,606108647;10664,38684;4514,500067
28478,87486;1,732717755;3,385052888;809,2650044;283,669226;19,23082896;4,928724787;-7,927583161;7,598758978;10692,41388;4434,317092
28775,32181;-0,467281677;3,23344383;624,3985333;266,9504931;21,34780527;4,746327758;-17,37849312;7,37685613;7508,754974;4015,526574
29184,62377;3,398091722;3,449590497;791,0720696;277,7823392;20,09848017;4,743703863;-9,155864191;7,373334422;10566,24959;4221,862166
29386,14602;1,087513595;3,559175691;697,3545806;269,3076348;19,89130395;5,547751617;-11,03171557;8,248441072;8118,936431;3965,768921
29726,36593;0,644591896;3,568617984;734,8969971;275,3833145;19,83150452;4,824710918;-12,27275379;7,579103672;9094,841688;4127,360042
30162,41476;1,758656973;3,432247361;846,3259598;291,1038815;18,73487278;4,77526712;-11,32007425;7,657198047;11696,39003;4574,661896
30515,21333;1,694350231;3,624109696;758,034053;289,5244032;19,33766442;4,771117583;-12,33369658;7,495831042;9171,680048;4136,221956
31008,75005;2,129267057;3,46881402;733,6424066;294,3832072;20,43413164;4,834335418;-11,14583824;7,629523371;9824,16813;4558,955845
31218,56793;1,540923407;3,467281311;771,8779007;272,7291253;19,49980207;4,795210799;-11,39023977;7,565640603;10215,65013;4134,081272
31423,81316;-0,29754149;3,346107548;678,2046946;273,0446017;20,24079108;4,81603622;-15,52210425;7,317939945;8424,842639;4060,040894
31823,12414;1,313264932;3,510775282;846,1337003;292,2807275;18,36902088;4,755115772;-12,77123007;7,673449806;11369,30266;4494,031087
31923,85023;0,069018242;3,542193502;776,8304442;295,1568765;19,16350463;4,944560891;-14,33820544;7,58926362;10149,53258;4452,996335
32213,57722;1,924990734;3,465652892;883,5736727;295,953853;17,57266853;4,857144031;-9,253862436;7,46281681;12622,02126;4543,525482
32413,82938;1,133682865;3,499407331;745,9785198;277,4123609;19,84298624;4,674372715;-16,32401677;7,736998796;8776,251462;3982,68178
32650,7657;0,1411974;3,561637118;747,7982921;276,7297615;17,86179937;4,921233178;-12,55411809;7,857829428;9606,400078;4118,074715
32844,02421;-0,739271501;3,551907561;721,0620157;271,5757017;18,91142617;4,863938715;-16,04656977;7,447130604;8791,9599;3941,287212
32961,02405;1,867382395;3,369873313;729,1980071;277,1211503;19,35796612;4,827464625;-13,16521054;7,117239805;9213,122097;4093,046333
33155,26365;0,618432088;3,421444981;836,2245691;300,5010376;19,80567863;4,829387472;-11,84426108;7,55404005;11112,70189;4649,325383
33389,91543;1,950943447;3,617509899;723,1155183;273,2384964;20,08977838;4,801638214;-12,79512587;7,46240915;8859,378101;4004,256755
33613,12863;1,36075413;3,449827515;859,2844567;296,5805995;18,16878674;4,784314613;-10,65413448;7,473798233;11900,41022;4618,677909
33721,66307;0,168387221;3,579536391;712,792205;284,4868416;20,14642568;4,82780117;-12,3885383;7,493486851;8875,714252;4268,86146
33923,71665;3,204660322;3,464233944;755,5025814;282,2896351;19,95217412;4,86955694;-9,760841653;7,358087043;9890,684056;4365,694042
34048,88032;1,6113449;3,632306796;751,3127921;274,0464474;19,54666106;4,840202491;-13,09441378;7,745696639;9487,784353;4047,619832
34215,56193;-0,228037715;3,474882679;721,6140217;274,2027331;18,94563765;4,780046362;-15,17941349;7,291157032;8899,709094;4017,836859
34338,98006;-0,698510844;3,305918941;690,1657407;270,0497346;20,26793616;4,754061784;-15,71226524;7,284447281;8800,201483;4001,132513
34583,36314;1,234798977;3,479531037;745,1067309;275,905873;20,08364404;4,793415181;-12,00737463;7,362359566;9387,0244;4108,599843
