"","Age","predMATfit","predMATSEP"
"1",0.018,676.6,235.065188756702
"2",0.054,790.6,242.347529329088
"3",0.09,724.8,232.730400179428
"4",0.126,914.2,246.749492193329
"5",0.162,985.8,242.959737428608
"6",0.198,1334.6,499.340781751709
"7",0.234,994,234.945088523705
"8",0.27,1004.6,268.229912154832
"9",0.306,1050.6,232.596401000822
"10",0.342,961,230.436180922278
"11",0.378,954,236.283391331642
"12",0.413,967.4,237.16582437085
"13",0.449,954,231.749535868003
"14",0.485,873,242.381622209829
"15",0.521,943.2,238.782510408384
"16",0.557,637.8,246.40574980398
"17",0.593,940.4,244.783787994405
"18",0.629,712.2,233.176803255803
"19",0.671,646,236.256322566223
"20",0.736,637.8,233.282173121582
"21",0.801,776.8,246.429405315235
"22",0.837,727.2,237.60874762763
"23",0.866,927.2,231.82866553628
"24",0.898,889.2,242.695233587367
"25",0.967,819.6,233.492662125017
"26",1.028,649.4,230.586253186384
"27",1.097,654.4,247.314361580871
"28",1.161,825.4,248.509096523359
"29",1.226,749,258.130372264919
"30",1.291,882,249.822782278965
"31",1.356,819,257.184133777526
"32",1.389,743.6,252.774006740446
"33",1.431,839.2,253.588135898023
"34",1.454,672.2,236.204748940104
"35",1.464,977.4,332.315109445678
"36",1.486,819.6,246.690171527839
"37",1.496,713.8,234.321968464383
"38",1.519,769.8,243.148326455227
"39",1.529,685.2,267.543071759682
"40",1.551,791.2,236.123653838672
"41",1.561,898.8,242.097106041879
"42",1.584,712.6,235.496754991185
"43",1.594,730.2,234.082280018663
"44",1.631,850,238.904053954707
"45",1.649,788.6,236.219809724674
"46",1.693,774.8,239.679612327937
"47",1.711,888.4,257.262628376537
"48",1.755,905.6,258.180779949097
"49",1.773,846.2,254.910139021433
"50",1.816,698.6,236.377917862159
"51",1.835,646.2,228.682292205952
"52",1.878,805.8,242.939536715769
"53",1.897,686.2,238.197397387996
"54",1.94,686.6,236.966212850657
"55",1.959,719.6,234.09596569896
"56",2.002,782.8,238.487334914012
"57",2.021,883.2,265.916578614321
"58",2.064,782.8,245.968227234134
"59",2.082,766.8,237.506359715839
"60",2.12,704,242.818878758658
"61",2.144,722.2,242.026271393877
"62",2.181,749.4,236.522320180562
"63",2.206,629.6,231.972724869532
"64",2.249,752.6,253.55397494647
"65",2.268,697.8,236.333186390114
"66",2.311,817.4,253.139266048141
"67",2.33,816.4,242.634833298462
"68",2.373,800,255.747492851196
"69",2.392,889.4,256.451649102795
"70",2.429,690.4,235.56790840628
"71",2.454,839.2,259.10401574643
"72",2.621,716.2,235.843293555396
"73",2.905,742.4,257.78168733939
"74",3.096,724.4,236.453361141948
"75",3.287,695,241.715957519853
"76",3.669,863.8,259.255620411703
"77",3.764,786.4,239.057784248531
"78",3.962,737.4,269.896670718425
"79",4.064,627.8,275.528136126478
"80",4.473,814.4,276.475208861585
"81",4.677,959.8,272.259584013877
"82",4.983,786.2,309.112116728491
"83",5.085,797,258.793802140031
"84",5.289,933.4,288.50135669361
"85",5.494,812.8,285.777579021441
"86",5.596,656,287.699059564424
"87",5.8,832.2,325.046209697298
