X2;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
0,018;12,31422778;1,905009217;995,5422867;193,6081035;25,83426145;1,976112659;-0,647390995;7,183873362;7714,865034;1616,908448
0,054;14,84093952;2,009503932;1224,570499;237,8458974;24,05573617;2,232589397;8,094340375;7,188178562;9335,044131;1845,427573
0,09;12,873057;1,936564801;1230,234185;235,9768778;22,38595251;2,262615507;5,937266802;5,754519556;10018,11595;1883,08852
0,126;16,32516552;1,977753979;1055,362458;217,4636217;24,84499567;2,240194368;10,34765608;7,381937691;7330,137826;1871,86231
0,162;19,1346974;2,684907973;982,095261;260,3611925;27,84252642;2,850382546;11,92045189;10,6157711;5546,426531;2380,016226
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0,234;13,18523661;2,012292553;1144,780302;207,0456745;23,85431149;2,202838472;4,031792473;7,08008174;9420,305493;1901,625731
0,27;10,05757533;1,872841105;1163,382203;211,7648673;23,09938454;2,091705372;-0,322275167;5,848722962;10167,76177;1660,644244
0,306;16,73930215;2,419376457;1128,131536;276,0336491;25,695144;2,58418003;13,48177181;8,432665796;6598,486714;2254,134334
0,342;15,92732935;1,998892288;1203,409425;253,3796367;23,57609239;2,059299482;13,19005833;6,577764658;8295,399134;1800,694891
0,378;15,9919661;2,270057154;1327,596365;304,5363665;23,71438462;2,269603224;13,99664787;7,370375645;8638,091606;1969,455749
0,413;12,96483034;2,132108301;1305,550192;281,4841122;22,5574776;2,135311774;10,05527152;6,115105112;9116,491267;1887,303509
0,449;13,12420272;1,706422968;1115,637916;208,0559531;23,23901612;1,832616785;6,677820493;5,55490833;8651,123906;1534,633415
0,485;14,18179032;2,005033057;1224,404661;262,500969;23,24308704;2,12818138;9,875704608;6,593530787;8531,224748;1776,983565
0,521;15,63645756;2,011972483;1336,311699;275,0913199;23,08496168;2,10551731;15,79525341;6,535146932;8982,924753;1748,308029
0,557;14,31479479;2,565452111;1240,802195;319,5906629;25,21624346;2,617964045;9,450652594;8,570316893;7158,164685;2294,132435
0,593;14,96523083;2,257315733;1340,87101;294,1307641;23,71175239;2,398277636;13,3541746;7,775600407;9018,404588;2027,087914
0,629;14,51800565;2,454115182;1520,320337;321,7630111;23,75342895;2,570725874;12,09541724;9,221352922;10935,37278;1965,656799
0,671;15,11905369;2,355266376;1381,001561;293,5680189;24,4939107;2,517626198;11,27705165;8,876718125;9888,010641;1932,646878
0,736;15,88311722;2,609819747;1480,045086;360,4369682;23,49944985;2,428951731;15,38803064;8,292261366;9403,469509;2306,429845
0,801;14,91876115;1,998683423;1431,597372;269,0025396;23,13617272;2,186103328;12,79457666;7,894321701;10982,6879;1646,129438
0,837;10,44647373;2,244745941;1147,316959;225,0867153;23,89522615;2,045712424;0,192469041;7,136396209;10346,90834;2015,216774
0,866;15,75824514;2,415737024;1800,559367;375,4510969;20,21154099;2,496669944;19,21353189;7,834508693;13925,50589;2362,862918
0,898;16,11013726;2,655684073;1726,645103;391,4475383;22,34380007;2,736745674;19,42755854;9,121895604;12101,65456;2296,658318
0,967;12,56272351;2,501250092;1377,735642;267,7596761;23,46305106;2,190841589;3,423375688;8,513099033;13444,64404;2395,433097
1,028;14,23909509;2,629158088;1420,886663;318,0917461;24,72412012;2,350427801;8,853983097;9,13478099;10516,89652;2312,466384
1,097;16,04865468;2,995650311;1440,773836;319,4663114;26,09532307;2,831064526;10,04311175;11,78702701;11241,91597;2326,663158
1,161;15,53607407;3,587876365;1722,596503;456,0554095;24,54773115;2,973969621;16,83178096;12,10007688;11131,58933;3120,787385
1,226;14,65275611;3,203107164;1215,790761;303,8715218;26,70815512;2,840987457;7,160918332;12,0169521;9355,464593;2558,849623
1,291;15,8007643;3,128109031;1426,676758;372,7499211;26,25210123;2,619816526;14,49525168;10,83057479;8394,53159;2656,343812
1,356;15,78886105;2,955078057;1359,648224;291,5938538;26,12733035;2,631758893;8,026655193;11,20146818;11619,53555;2434,380223
1,389;15,51085114;2,971428702;1655,796717;362,2808057;24,38157633;2,450572898;14,33443751;10,45313989;12833,93873;2697,635962
1,431;15,35018658;2,894461123;1750,883731;356,3472578;23,28223212;2,902407281;12,58529544;11,43932609;15705,99823;2828,840645
1,454;15,1310515;2,937213347;1449,222013;338,4246965;25,45211047;2,663466162;11,89155855;10,87138025;10203,72494;2412,513365
1,464;8,014531582;2,02954844;1450,789933;255,4895057;20,19613124;2,775878832;-0,616476992;6,921965123;14981,28384;2137,168088
1,486;12,35851635;2,270332853;1375,84322;249,2989243;23,09227595;2,659824505;4,815458082;8,943339088;13443,4139;2222,218384
1,496;9,46180547;2,264913572;1473,867697;283,3466986;21,38692731;2,753530062;2,831723526;7,525418116;13661,9431;2227,878362
1,519;12,56972173;2,283936845;1514,360553;281,0757688;22,40115494;2,363327445;7,192432243;8,482844471;14310,1362;2356,720641
1,529;7,060707787;2,09540704;1283,263589;240,5919234;21,39434051;2,848374986;-2,830274185;6,964696624;12806,47527;2068,97289
1,551;10,24751788;2,214787458;1365,624778;253,7276534;22,39479121;2,460916265;1,952108202;7,701790918;13114,89145;2137,405871
1,561;12,53402323;2,412860986;1434,159807;275,0143082;23,27931933;2,409443719;5,125954469;8,789345948;13196,73519;2265,450656
1,584;12,6222292;2,538128918;1494,446017;287,7263214;23,28451038;2,478649231;4,09985411;9,104974239;14160,74567;2377,911468
1,594;10,06834145;2,208361811;1321,033094;249,1660109;22,97129343;2,377889079;1,152402206;7,410957401;12132,95856;2047,737474
1,631;12,51714169;2,794378749;1481,400265;306,1184874;23,09082665;2,565830323;4,922340561;9,891127642;14341,93255;2745,11378
1,649;10,00946652;2,452519873;1369,535887;274,746894;22,42917719;2,169493907;1,287838801;7,549725852;12854,29589;2382,638143
1,693;12,42564489;2,564679364;1326,826817;268,3928274;24,35066665;2,305386141;3,93247238;8,727516429;11884,41186;2402,773301
1,711;12,58553006;2,012918395;1413,913625;254,7257884;22,46604552;1,859432927;6,907612312;6,98647143;12806,99776;2052,011051
1,755;15,25179201;1,992347745;1416,169438;251,8717757;23,32165042;2,005496701;12,83902094;8,058700362;11880,90609;1828,347787
1,773;14,89445971;2,064145229;1447,534922;284,2467103;23,14340757;2,032033061;12,75526026;7,717854355;10750,24527;1835,515075
1,816;12,93095243;2,361384539;1356,475489;283,645771;23,16293438;2,170483963;8,771154923;7,919950747;10848,45496;2209,393613
1,835;12,46200904;2,345339012;1393,629718;286,9183895;23,12602608;2,096474802;7,692856746;6,979644321;10980,43839;2192,770003
1,878;9,864525289;1,864448635;1042,784332;180,3168537;23,58908135;2,01543464;0,278646706;6,434576222;9843,442629;1806,792841
1,897;10,18114376;1,874421991;1191,471974;229,9693119;22,7683723;1,713405805;2,81436733;5,429317219;9688,622597;1735,393012
