X2;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
0,018;8,185510444;0,109259284;698,0247674;10,29614218;24,99574153;0,184528211;-5,12550986;0,169516224;7172,931145;84,81770384
0,054;9,782011751;0,093420802;830,1193825;12,49512197;24,39719042;0,181351555;-1,364423013;0,171751187;7627,626343;90,22929579
0,09;8,726370279;0,086895128;848,2994654;12,72100934;23,45368622;0,167192169;-2,770724813;0,161256192;8113,691424;90,73255665
0,126;10,66196899;0,104452556;748,2234138;11,7423302;25,30236456;0,189546112;-0,184106121;0,170292922;6825,320055;87,16900017
0,162;12,18190107;0,137929039;739,1239295;15,19144159;26,9444543;0,265154033;1,529284044;0,217072662;6235,861201;115,6917285
0,198;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0,234;9,329297868;0,119536574;797,4212469;12,560376;24,4833412;0,198341576;-2,214599155;0,189016139;7566,424824;96,14782183
0,27;7,544601201;0,116574869;776,3304793;10,97533664;23,58886768;0,185670927;-4,979938752;0,191902831;8021,781669;91,7218433
0,306;12,62167335;0,130405233;783,8288336;15,073005;26,43281204;0,240537744;3,07712231;0,228298823;6184,525482;108,441951
0,342;11,01938053;0,107884256;786,851576;12,88143047;25,15788837;0,20325355;0,900886837;0,190218297;6766,884706;94,94742211
0,378;10,43235996;0,108310313;803,7432555;14,38363964;24,74753759;0,226928335;-0,016128115;0,204658115;7054,582975;105,6377236
0,413;11,40396497;0,11478395;829,3317008;14,52464792;24,89776615;0,202440392;1,844184452;0,223350035;6739,01307;98,0354428
0,449;9,071435644;0,102402469;747,7531335;10,7343312;24,35601986;0,171359095;-2,318027955;0,1663323;7128,752956;86,60451911
0,485;9,170073841;0,094809916;742,9821326;11,61762262;24,05365588;0,179010499;-2,054897166;0,170729714;7121,648796;88,5212956
0,521;11,78670766;0,10339344;812,9062672;13,57317482;25,25194158;0,189146313;2,320369344;0,206178036;6667,584402;90,05469823
0,557;10,82130098;0,11644479;788,0186073;14,7586877;25,01259253;0,222791229;0,495507434;0,218229468;6762,995429;106,103826
0,593;11,61942384;0,110194503;821,2150887;14,22375142;24,94074501;0,203897273;2,208517808;0,221575594;6825,401165;95,9172339
0,629;9,941264193;0,10216303;848,8316674;14,67443799;23,88778954;0,216720927;-0,561446755;0,213760593;7686,718948;102,5861895
0,671;9,89598969;0,098389488;805,8164735;12,96828609;24,35205034;0,195031115;-1,002911659;0,191391606;7503,982062;96,33227002
0,736;10,20625135;0,106940044;835,6539274;15,24191913;24,03627146;0,225505789;-0,030826597;0,214610002;7338,776941;106,8259381
0,801;10,78277453;0,092750252;831,8285021;12,87139393;24,31596101;0,182969609;0,927498418;0,196751167;7213,64529;87,53886041
0,837;5,590548072;0,190196182;755,1700526;12,732091;22,32996648;0,170491285;-7,827937702;0,285926582;8375,11904;107,4341229
0,866;9,550618546;0,099358329;908,665561;16,52413057;22,51296004;0,229398005;-0,129048308;0,223957662;8225,367306;114,9201254
0,898;10,39162068;0,106612271;903,1470679;17,53213874;23,55957982;0,264103181;0,647868276;0,246693326;7938,327268;120,0041574
0,967;5,901252768;0,198767014;837,757944;15,63937021;22,12547856;0,200138212;-7,187858415;0,298535801;9045,349329;134,266665
1,028;8,149274853;0,131510728;805,130688;13,4968558;23,53629969;0,193570995;-3,96176628;0,215189268;7962,932386;106,8051646
1,097;8,759173418;0,13942193;808,0503886;15,58099723;23,76189405;0,227067675;-3,059997646;0,219202641;7919,546565;122,1780142
1,161;9,34008896;0,159390642;903,2521221;19,2793261;22,98402713;0,289028689;-1,035539302;0,284967738;8005,82328;141,0787235
1,226;8,413783696;0,184692937;766,8760655;16,03063441;23,94538289;0,234630578;-3,667039801;0,271959496;7465,664779;129,0349706
1,291;10,46133512;0,143091364;823,3507928;16,11482924;24,54613476;0,227088587;0,088879741;0,246164717;6996,038161;118,8101147
1,356;8,614344328;0,163392282;808,0136612;15,72253495;23,85125728;0,217914607;-3,294960427;0,244196886;7882,578491;127,1448423
1,389;8,343910808;0,151673162;887,2517026;16,27673697;22,99716769;0,210494594;-3,067526594;0,246962369;8474,05474;127,2337551
1,431;7,353466403;0,133357344;887,9496461;16,55550482;22,08318421;0,211469477;-4,569922012;0,219652075;9251,730543;139,5153314
1,454;8,776971516;0,145477979;814,2332365;15,0159353;23,51180879;0,21692767;-2,544376654;0,234112886;7740,022358;115,8147459
1,464;2,950285121;0,143850879;776,176295;11,70691546;19,78560442;0,156417227;-11,43604629;0,238416109;10126,49386;116,1834506
1,486;6,136749888;0,128744785;781,5609243;12,28867353;21,98693212;0,174182555;-6,814752595;0,21171192;8850,810345;111,5483209
1,496;3,548076526;0,14650201;784,7144484;12,1442112;20,28655074;0,157099258;-10,58826411;0,239142685;9839,296032;113,4289993
1,519;5,919090005;0,142070926;842,2346744;13,74129074;21,65151426;0,166524521;-6,89973676;0,226933046;9265,318156;120,8553287
1,529;2,311987183;0,157792599;710,409801;11,47692952;20,04088902;0,152054117;-12,92092819;0,262735401;9823,621025;111,9946976
1,551;4,095726688;0,16069134;779,1208814;12,27633122;20,98171381;0,156048648;-9,974393897;0,251881917;9541,7458;112,6934145
1,561;5,99701786;0,155752051;814,3501312;13,36194997;21,9332993;0,175176987;-6,935357863;0,240084639;8975,932804;116,0993633
1,584;5,343206918;0,170427623;835,8292328;14,66909447;21,69210375;0,196893813;-8,153522561;0,260215537;9401,483342;127,1400566
1,594;4,503522778;0,159189104;764,463795;11,73112488;21,45867109;0,154558071;-9,549993805;0,248583727;9154,663874;104,4253781
1,631;5,146925005;0,205746745;850,7653815;16,90727773;21,38327414;0,220181307;-8,261338753;0,313505656;9478,653292;145,3100102
1,649;4,598214017;0,215306686;828,4009102;15,35797862;21,11305927;0,200697593;-8,935291929;0,327816123;9313,130246;129,728565
1,693;6,828525996;0,184475569;807,5608433;14,54106692;22,62064234;0,194974641;-5,736735423;0,284419057;8372,52473;122,8151394
1,711;7,903207894;0,135051635;842,4605584;12,95330756;22,99152075;0,15826471;-3,766992914;0,21719097;8278,034466;106,2638097
1,755;10,08186095;0,104487791;840,276689;12,32888785;24,06756606;0,163114938;-0,242982916;0,192872775;7534,401944;91,48934371
1,773;10,14469922;0,096241138;827,3003945;12,6817436;23,994729;0,16880805;-0,182827881;0,190428808;7321,822059;88,43666438
1,816;8,103117175;0,140254324;824,0305648;12,74715417;22,88232582;0,17569946;-3,308284375;0,233724866;7953,750744;100,1341074
1,835;7,619017;0,139168862;831,3873194;12,7782224;22,80670457;0,167661012;-4,190278362;0,228657954;8197,090803;100,3541112
1,878;7,109492304;0,157870712;728,6099954;11,14509887;23,23381495;0,169718026;-5,473954234;0,254729603;7626,226443;92,94448572
1,897;7,057737823;0,138832596;755,8235199;10,80213709;23,17525286;0,146377899;-5,586342235;0,217532798;7774,387519;85,95220415
1,94;7,395375287;0,159233988;769,5477791;12,09628667;23,03811435;0,172198154;-4,747424838;0,258692061;7722,134838;97,62173134
1,959;6,427801697;0,160083022;791,6136434;11,88187242;22,61938287;0,161952718;-6,327966591;0,244522348;8313,972519;97,29483275
2,002;6,609683805;0,172684158;770,3340843;12,29601726;22,63467228;0,165543185;-6,032761762;0,269419206;8051,823824;101,4154981
2,021;7,961658819;0,084473582;771,5648968;8,655326918;23,24304311;0,11782255;-3,875348365;0,147625128;7853,347179;71,1095334
2,064;7,81658955;0,155976432;816,1953112;13,53478983;22,88994171;0,186524012;-3,897368372;0,248753049;8022,303236;107,893835
2,082;7,568333239;0,117135666;766,4935012;9,529342464;23,31545282;0,132783821;-4,609071408;0,185824039;7875,27756;79,1498503
2,12;9,254670764;0,103273332;836,9418441;12,11941871;23,58292442;0,161903963;-1,587869263;0,191465298;7714,884536;90,07738875
2,144;8,619256991;0,111008798;823,9236766;11,80048615;23,65050051;0,145151016;-2,949810674;0,186719631;7967,858018;92,99781704
2,181;7,181897981;0,097950395;819,0834875;10,88192932;22,37003009;0,144505072;-4,97025727;0,174210238;8596,846174;91,63575202
2,206;9,095243309;0,100884604;795,985816;11,95390514;23,75482263;0,164062816;-2,13312786;0,185020382;7487,295519;87,28719805
2,249;9,023425698;0,119023434;858,3689201;14,66469009;23,05480941;0,198048942;-1,776883663;0,220672488;7952,938014;108,3810462
2,268;9,641948883;0,088808302;829,9818894;11,29610699;23,8195093;0,149751774;-0,925587118;0,168833301;7715,605814;84,18568464
2,311;7,39412587;0,137618319;890,7085814;14,9242774;22,27880744;0,174798996;-4,452297095;0,231249878;8942,743413;124,3715179
2,33;10,11828417;0,097233055;811,3289284;10,93900998;24,15302397;0,160810509;-0,112865773;0,186137487;7222,520968;80,34428945
2,373;8,545491435;0,127628016;797,6864492;11,76635859;23,43023706;0,171718786;-2,880990973;0,215353108;7754,205607;96,78818718
2,392;10,02223856;0,088257811;814,2282383;11,28902511;24,05309113;0,1551388;-0,417118099;0,175383758;7409,688926;85,26429762
2,429;6,419111828;0,124438853;787,3853368;10,07853943;22,33812027;0,133356572;-6,273797188;0,200344385;8458,832619;86,48547956
2,454;8,145940228;0,110632179;904,9354387;15,01794138;22,48439672;0,171932922;-3,104134781;0,199770647;8951,73777;122,0255357
2,621;7,300625706;0,127327831;818,4264769;11,97466644;22,80699358;0,15526312;-4,908481365;0,202839174;8435,546135;99,49644702
2,905;8,539218587;0,137130413;909,2093034;16,18548415;22,18584828;0,209190766;-1,895078291;0,245164611;8550,372542;127,1591249
3,096;8,619173885;0,143706543;785,1154509;11,99592693;23,72636919;0,165758327;-2,86741114;0,239417265;7406,508489;94,50978782
