/* DATA DESCRIPTION:
Citation:	Müller, Ulrich C (2014): Pollen profile FURAMOOS, Baden-Württemberg, Germany [dataset]. European Pollen Database (EPD), PANGAEA, https://doi.org/10.1594/PANGAEA.835950
Related to:	Müller, Ulrich C; Pross, Jörg; Bibus, Erhard (2003): Vegetation response to rapid climate change in central europe during the past 140,000 yr based on evidence from the Füramoos pollen record. Quaternary Research, 59(2), 235-245, https://doi.org/10.1016/S0033-5894(03)00005-X
Coverage:	LATITUDE: 47.983330 * LONGITUDE: 9.883330
	MINIMUM DEPTH, sediment/rock: 0.100 m * MAXIMUM DEPTH, sediment/rock: 14.100 m
Event(s):	FURAMOOS (Füramoos) * LATITUDE: 47.983330 * LONGITUDE: 9.883330 * ELEVATION: 662.0 m * LOCATION: Füramoos, Germany * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: Between two moraine ridges. Physiography: basin. Dune Dammed Lake
Comment:	This dataset was archived on 2014-09-12 from the EPD database (http://www.europeanpollendatabase.net).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Abies [#] (Abi) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Acer [#] (Ace) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Alnus [#] (Aln) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Artemisia [#] (Art) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Betula [#] (Bet) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Buxus [#] (Bux) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Campanula [#] (Cam) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Carpinus [#] (Car) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Caryophyllaceae [#] (Cphae) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Centaurea montana-type [#] (Cen.m-T) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Chenopodiaceae [#] (Cheae) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Corylus [#] (Cor) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Cyperaceae [#] (Cypae) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Drosera [#] (Dro) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Ephedra distachya [#] (Eph.d) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Ericaceae [#] (Eriae) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Euphorbiaceae [#] (Eupae) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Fagus [#] (Fag) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Filipendula [#] (Flp) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Fraxinus [#] (Frx) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Gentiana [#] (Gen) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Gentianaceae [#] (Genae) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Gramineae [#] (Graae) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Hedera [#] (Hed) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Helianthemum [#] (Hel) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Ilex [#] (Ile) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Juniperus [#] (Jun) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Larix [#] (Lar) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Littorella uniflora [#] (Ltt.u) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Melampyrum [#] (Mel) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Menyanthes trifoliata [#] (Mey.t) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Myriophyllum alterniflorum [#] (Myo.a) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Myriophyllum spicatum [#] (Myo.s) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Myriophyllum verticillatum [#] (Myo.v) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Nymphaea [#] (Nym) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Onobrychis-type [#] (Onb-T) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Picea [#] (Pic) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Pinus [#] (Pin) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Plantago lanceolata [#] (Pla.l) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Plantago maritima-type [#] (Pla.m-T) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Polemonium [#] (Poe) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Polygonum aviculare [#] (Pol.i) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Polygonum bistorta [#] (Pol.b) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Populus [#] (Pop) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
	Potentilla-type [#] (Pti-T) * PI: Müller, Ulrich C (ulrich_c.mueller@yahoo.de) * METHOD/DEVICE: Counting, palynology
