depth	min	max	median	mean
22	575	887	711	716
23	670	932	785	791
24	761	1008	860	866
25	816	1112	934	941
26	855	1239	1007	1016
27	890	1362	1081	1091
28	1073	1434	1219	1226
29	1232	1521	1358	1362
30	1364	1645	1498	1498
31	1462	1813	1634	1634
32	1547	1995	1766	1770
33	1596	2019	1796	1801
34	1636	2049	1826	1832
35	1666	2086	1859	1863
36	1690	2128	1894	1894
37	1708	2175	1924	1925
38	1785	2205	1961	1966
39	1845	2245	2001	2007
40	1881	2283	2043	2049
41	1909	2328	2086	2090
42	1927	2394	2124	2131
43	1990	2417	2172	2178
44	2027	2448	2220	2224
45	2057	2491	2268	2271
46	2079	2555	2315	2317
47	2100	2639	2359	2364
48	2208	2659	2412	2421
49	2300	2685	2464	2477
50	2365	2720	2522	2534
51	2395	2795	2586	2591
52	2418	2895	2648	2648
53	2487	2917	2688	2692
54	2536	2944	2731	2736
55	2573	2981	2781	2779
56	2598	3033	2828	2823
57	2620	3102	2872	2867
58	2706	3120	2910	2910
59	2776	3146	2950	2954
60	2820	3186	2993	2997
61	2852	3240	3036	3040
62	2876	3315	3079	3083
63	2904	3344	3112	3114
64	2922	3379	3144	3146
65	2938	3430	3175	3177
66	2949	3489	3205	3208
67	2958	3554	3232	3240
68	2997	3579	3270	3276
69	3031	3610	3308	3313
70	3054	3652	3345	3349
71	3070	3708	3383	3386
72	3086	3783	3416	3422
73	3124	3803	3446	3454
74	3157	3829	3481	3487
75	3188	3867	3516	3519
76	3205	3910	3549	3552
77	3224	3974	3582	3584
78	3265	3989	3615	3618
79	3305	4011	3653	3653
80	3330	4035	3685	3687
81	3351	4066	3722	3721
82	3373	4117	3756	3756
83	3426	4138	3793	3791
84	3472	4150	3829	3826
85	3507	4174	3868	3862
86	3540	4205	3907	3897
87	3561	4244	3942	3933
88	3622	4259	3974	3966
89	3670	4278	4007	3999
90	3705	4297	4040	4032
91	3732	4323	4077	4065
92	3755	4359	4110	4097
93	3834	4371	4141	4131
94	3893	4382	4172	4165
95	3947	4395	4206	4198
96	3980	4413	4242	4232
97	4012	4447	4277	4266
98	4034	4458	4295	4284
99	4059	4477	4312	4302
100	4084	4503	4329	4319
101	4104	4539	4344	4337
102	4118	4575	4360	4355
103	4133	4592	4375	4371
104	4156	4606	4391	4386
105	4174	4626	4404	4402
106	4183	4647	4419	4417
107	4191	4671	4432	4433
108	4218	4686	4450	4449
109	4230	4705	4466	4465
110	4247	4719	4481	4482
111	4262	4737	4497	4498
112	4277	4763	4513	4514
113	4297	4777	4527	4530
114	4315	4791	4542	4545
115	4331	4807	4556	4561
116	4343	4825	4571	4576
117	4355	4845	4588	4591
118	4386	4866	4603	4608
119	4408	4881	4620	4625
120	4426	4908	4636	4641
121	4441	4931	4654	4658
122	4458	4954	4669	4675
123	4484	4969	4684	4690
124	4508	4981	4699	4706
125	4527	4999	4715	4721
126	4544	5009	4731	4736
127	4555	5029	4746	4752
128	4585	5054	4765	4771
129	4610	5069	4786	4791
130	4630	5082	4806	4810
131	4647	5106	4826	4830
132	4658	5136	4843	4850
133	4698	5157	4874	4882
134	4721	5190	4904	4914
135	4739	5234	4934	4947
136	4754	5305	4963	4979
137	4764	5378	4993	5012
138	4796	5392	5026	5043
139	4820	5410	5060	5075
140	4840	5433	5095	5106
141	4860	5466	5126	5138
142	4874	5521	5157	5170
143	4914	5538	5193	5203
144	4944	5561	5233	5237
145	4972	5582	5270	5271
146	4992	5613	5305	5304
147	5008	5660	5339	5338
148	5058	5678	5368	5369
149	5098	5695	5400	5399
150	5133	5716	5431	5430
151	5154	5741	5467	5460
152	5175	5769	5497	5491
153	5229	5785	5525	5521
154	5274	5795	5557	5550
155	5311	5816	5587	5580
156	5336	5837	5618	5610
157	5360	5864	5648	5639
158	5430	5875	5674	5668
159	5488	5893	5701	5697
160	5535	5909	5729	5726
161	5572	5927	5761	5754
162	5594	5952	5792	5783
163	5651	5978	5831	5821
164	5688	6007	5868	5859
165	5711	6065	5903	5897
166	5727	6141	5935	5935
167	5740	6223	5968	5973
168	5803	6242	6006	6010
169	5835	6267	6044	6046
170	5860	6295	6085	6083
171	5884	6334	6123	6119
172	5901	6392	6159	6156
173	5980	6405	6195	6194
174	6052	6428	6230	6232
175	6114	6449	6265	6270
176	6161	6479	6301	6308
177	6196	6526	6340	6345
178	6268	6546	6379	6387
179	6308	6583	6423	6428
180	6330	6640	6465	6469
181	6342	6722	6504	6511
182	6355	6813	6541	6552
183	6404	6834	6581	6591
184	6433	6865	6623	6630
185	6460	6897	6665	6668
186	6477	6945	6707	6707
187	6495	7008	6745	6746
188	6563	7022	6778	6783
189	6626	7043	6815	6820
190	6673	7062	6852	6857
191	6713	7091	6892	6893
192	6742	7136	6930	6930
193	6778	7157	6959	6959
194	6802	7182	6988	6988
195	6818	7223	7016	7016
196	6830	7267	7041	7045
197	6840	7322	7066	7073
198	6870	7342	7091	7098
199	6893	7369	7118	7123
200	6910	7399	7144	7147
201	6925	7435	7168	7172
202	6934	7484	7192	7196
203	6968	7499	7216	7221
204	6991	7519	7240	7245
205	7009	7546	7264	7269
206	7023	7581	7291	7293
207	7037	7616	7314	7317
208	7070	7630	7337	7341
209	7099	7649	7362	7366
210	7127	7667	7387	7390
211	7146	7695	7414	7414
212	7164	7723	7439	7438
213	7202	7743	7461	7463
214	7234	7758	7483	7487
215	7259	7775	7510	7511
216	7281	7796	7533	7536
217	7295	7834	7558	7560
218	7350	7849	7578	7584
219	7393	7865	7599	7608
220	7430	7882	7622	7633
221	7459	7900	7645	7657
222	7480	7926	7668	7681
223	7592	7973	7730	7746
224	7638	8064	7795	7811
225	7658	8201	7857	7876
226	7673	8357	7914	7941
227	7689	8526	7966	8006
228	7785	8607	8084	8114
229	7838	8697	8207	8221
230	7877	8800	8327	8328
231	7908	8958	8439	8435
232	7935	9142	8543	8543
233	8166	9171	8661	8664
234	8375	9210	8787	8786
235	8546	9255	8910	8908
236	8673	9320	9033	9029
237	8772	9431	9152	9151
238	8889	9565	9262	9261
239	8967	9798	9362	9371
240	9033	10086	9454	9481
241	9075	10379	9545	9590
242	9100	10682	9633	9700
243	9182	10779	9738	9802
244	9240	10876	9847	9904
245	9288	11010	9953	10007
246	9333	11176	10056	10109
247	9366	11360	10153	10211
248	9460	11439	10261	10314
249	9563	11542	10373	10417
250	9629	11662	10482	10521
251	9674	11819	10589	10624
252	9731	12001	10689	10728
253	9835	12084	10799	10831
254	9915	12161	10903	10935
255	9976	12252	11011	11039
256	10031	12399	11120	11142
257	10084	12564	11226	11246
258	10191	12618	11322	11344
259	10271	12700	11416	11442
260	10354	12784	11528	11540
261	10420	12894	11634	11638
262	10469	13024	11732	11736
263	10598	13095	11840	11845
264	10682	13149	11958	11954
265	10783	13249	12070	12062
266	10874	13346	12180	12171
267	10918	13486	12293	12280
268	11057	13538	12392	12381
269	11181	13610	12500	12483
270	11302	13686	12613	12584
271	11381	13772	12727	12685
272	11453	13875	12838	12787
273	11601	13916	12940	12889
274	11731	13969	13044	12991
275	11857	14037	13152	13093
276	11951	14132	13259	13196
277	12022	14240	13363	13298
278	12225	14278	13454	13401
279	12407	14327	13552	13503
280	12548	14391	13656	13606
281	12677	14459	13768	13708
282	12768	14568	13872	13811
283	13059	14605	13952	13914
284	13320	14642	14035	14017
285	13564	14689	14114	14120
286	13760	14744	14209	14223
287	13868	14825	14306	14325
288	13943	14870	14357	14382
