/* DATA DESCRIPTION:
Citation:	Sirocko, Frank; Knapp, Hannes; Dreher, Frank; Förster, Michael W; Albert, Johannes; Brunck, Heiko; Veres, Daniel; Dietrich, Stephan; Zech, Michael; Hambach, Ulrich; Röhner, Marieke; Rudert, Saskia; Schwiebus, Klaus; Adams, Christel; Sigl, Petra (2016): TOC content in sediment core AU2. PANGAEA, https://doi.org/10.1594/PANGAEA.868673, 
	In supplement to: Sirocko, F et al. (2016): The ELSA-Vegetation-Stack: Reconstruction of Landscape Evolution Zones (LEZ) from laminated Eifel maar sediments of the last 60,000years. Global and Planetary Change, 142, 108-135, https://doi.org/10.1016/j.gloplacha.2016.03.005
Related to:	Brunck, Heiko; Sirocko, Frank; Albert, Johannes (2016): The ELSA-Flood-Stack: A reconstruction from the laminated sediments of Eifel maar structures during the last 60000 years. Global and Planetary Change, 142, 136-146, https://doi.org/10.1016/j.gloplacha.2015.12.003
	Förster, Michael W; Sirocko, Frank (2016): The ELSA tephra stack: Volcanic activity in the Eifel during the last 500,000 years. Global and Planetary Change, 142, 100-107, https://doi.org/10.1016/j.gloplacha.2015.07.012
	Sirocko, Frank (2016): The ELSA - Stacks (Eifel-Laminated-Sediment-Archive): An introduction. Global and Planetary Change, 142, 96-99, https://doi.org/10.1016/j.gloplacha.2016.03.011
Other version:	The ELSA Stacks - Online Resouce University of Mainz, Germany (URI: https://elsa-project.de/)
Coverage:	LATITUDE: 50.283830 * LONGITUDE: 6.595740
	MINIMUM DEPTH, sediment/rock: 2.15 m * MAXIMUM DEPTH, sediment/rock: 113.95 m
Event(s):	ELSA_AU2 (AU2) * LATITUDE: 50.283830 * LONGITUDE: 6.595740 * ELEVATION: 453.0 m * Recovery: 123 m * LOCATION: Aueler Maar, Eifel, Germany * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: Gauß-Krüger coordinate system: 2542455/5572017
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Age [ka b2k] (Age) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Carbon, organic, total [%] (TOC) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	1014 data points
*/
Depth sed [m]	Age [ka b2k]	TOC [%]
2.15	10.449	0.123
2.35	10.491	0.081
2.55	10.533	0.090
2.75	10.575	0.077
2.95	10.616	0.082
3.15	10.658	0.086
3.20	10.669	0.065
3.55	10.742	0.065
3.75	10.784	0.071
3.95	10.825	0.061
4.95	11.034	0.061
5.15	11.076	0.067
6.15	11.285	0.056
6.35	11.327	0.049
6.55	11.369	0.054
6.75	11.410	0.077
6.95	11.452	0.061
7.15	11.494	0.070
7.35	11.536	0.079
7.55	11.577	0.050
7.75	11.619	0.061
7.95	11.661	0.072
8.15	11.703	0.069
8.35	11.745	0.061
8.55	11.786	0.078
8.75	11.828	0.072
8.95	11.870	0.089
9.15	11.912	0.067
9.35	11.954	0.086
9.55	11.995	0.090
9.75	12.037	0.080
9.95	12.079	0.086
10.15	12.121	0.098
10.35	12.162	0.097
10.55	12.204	0.107
10.75	12.246	0.076
10.95	12.288	0.076
11.15	12.330	0.084
11.35	12.371	0.045
11.55	12.413	0.049
11.75	12.455	0.055
11.95	12.497	0.050
12.15	12.539	0.054
12.35	12.580	0.050
12.55	12.622	0.047
12.75	12.664	0.048
12.95	12.706	0.055
13.15	12.747	0.074
13.35	12.789	0.069
13.55	12.831	0.085
13.75	12.873	0.124
13.95	12.939	0.316
14.15	13.051	0.751
14.35	13.162	0.716
14.55	13.274	0.778
14.75	13.385	0.601
14.95	13.497	0.773
15.15	13.608	0.776
15.35	13.720	0.881
15.55	13.831	0.893
15.75	13.943	0.902
15.95	14.054	0.954
16.15	14.166	0.925
16.35	14.277	1.024
16.55	14.389	1.062
16.75	14.500	1.361
16.95	14.693	1.028
17.15	14.886	0.924
17.35	15.079	1.050
17.55	15.272	0.997
17.75	15.465	0.908
17.95	15.658	0.869
18.15	15.851	0.819
18.35	16.044	0.733
18.55	16.236	0.153
18.75	16.429	0.728
18.95	16.622	0.949
19.15	16.815	0.967
19.35	17.008	1.070
19.55	17.201	1.016
19.75	17.394	1.023
19.95	17.587	0.887
20.15	17.780	0.959
20.35	17.973	0.799
20.55	18.166	0.894
20.75	18.359	0.986
20.95	18.552	0.819
21.35	18.938	0.927
21.55	19.131	0.940
21.75	19.324	0.917
21.95	19.516	0.931
25.05	22.507	0.916
25.25	22.700	0.951
25.45	22.803	0.749
25.65	22.907	0.818
25.85	23.010	0.884
26.15	23.165	0.728
26.35	23.268	0.701
26.55	23.371	0.657
26.75	23.475	0.696
26.95	23.578	0.774
27.15	23.681	0.627
27.35	23.785	0.596
27.55	23.888	0.651
27.75	23.991	0.709
27.95	24.095	0.668
28.15	24.198	0.583
28.35	24.301	0.576
28.55	24.404	0.554
28.75	24.508	0.619
28.95	24.611	0.663
29.15	24.714	0.717
29.35	24.818	0.708
29.55	24.921	0.718
29.75	25.024	0.611
29.95	25.127	0.744
30.15	25.231	0.618
30.35	25.334	0.642
30.55	25.437	0.676
30.75	25.541	0.644
30.95	25.644	0.638
31.15	25.747	0.690
31.35	25.851	0.681
31.55	25.954	0.655
31.75	26.057	0.834
31.95	26.160	0.808
32.15	26.264	0.771
32.35	26.367	0.672
32.55	26.470	0.823
32.75	26.574	0.846
32.95	26.677	0.801
33.15	26.780	0.746
33.35	26.884	0.778
33.55	26.987	0.730
33.75	27.090	0.713
33.95	27.193	0.792
34.15	27.297	1.989
34.35	27.400	2.012
34.55	27.442	1.634
