/* DATA DESCRIPTION:
Citation:	Sirocko, Frank; Knapp, Hannes; Dreher, Frank; Förster, Michael W; Albert, Johannes; Brunck, Heiko; Veres, Daniel; Dietrich, Stephan; Zech, Michael; Hambach, Ulrich; Röhner, Marieke; Rudert, Saskia; Schwiebus, Klaus; Adams, Christel; Sigl, Petra (2016): Varve-stack of combined sediment record ELSA. PANGAEA, https://doi.org/10.1594/PANGAEA.868674, 
	In supplement to: Sirocko, F et al. (2016): The ELSA-Vegetation-Stack: Reconstruction of Landscape Evolution Zones (LEZ) from laminated Eifel maar sediments of the last 60,000years. Global and Planetary Change, 142, 108-135, https://doi.org/10.1016/j.gloplacha.2016.03.005
Related to:	Brunck, Heiko; Sirocko, Frank; Albert, Johannes (2016): The ELSA-Flood-Stack: A reconstruction from the laminated sediments of Eifel maar structures during the last 60000 years. Global and Planetary Change, 142, 136-146, https://doi.org/10.1016/j.gloplacha.2015.12.003
	Förster, Michael W; Sirocko, Frank (2016): The ELSA tephra stack: Volcanic activity in the Eifel during the last 500,000 years. Global and Planetary Change, 142, 100-107, https://doi.org/10.1016/j.gloplacha.2015.07.012
	Sirocko, Frank (2016): The ELSA - Stacks (Eifel-Laminated-Sediment-Archive): An introduction. Global and Planetary Change, 142, 96-99, https://doi.org/10.1016/j.gloplacha.2016.03.011
Other version:	The ELSA Stacks - Online Resouce University of Mainz, Germany (URI: https://elsa-project.de/)
Coverage:	LATITUDE: 50.160000 * LONGITUDE: 6.830000
Event(s):	ELSA (Eifel Laminated Sediment Archive) * LATITUDE: 50.160000 * LONGITUDE: 6.830000 * COMMENT: Combination of different ELSA-Cores
Comment:	Sediment core combination: DE3 (Dehner Maar Lat.: 50.294400, Long.: 6.506990, elevation: 565, recovery 87 m, Gauß-Krüger coordinate system: 2536122/5573145) + HM1 (Holzmaar Lat.: 50.1203, Long.: 6.87963, elevation: 425, recovery: 10 m, Gauß-Krüger coordinate system: 2562900/5554030)
Parameter(s):	Age [ka b2k] (Age) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Index (Index) * PI: Sirocko, Frank (sirocko@uni-mainz.de) * COMMENT: The normalized varve index was calculated by the average thickness of well identifiable varves between 0 (minor varve thickness) and 1 (major varve thickness) applied to the entire length of the 10 cm thin section and calculated to the number of years below the LST tephra. It is an approach which resulted a continuous record back to 32,000 b2k.
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	938 data points
*/
Age [ka b2k]	Index
0.898	0.38
0.963	0.53
1.028	0.44
1.093	0.52
1.158	0.45
1.223	0.44
1.288	0.54
1.353	0.48
1.418	1.00
1.483	0.34
1.548	0.55
1.625	0.37
2.243	0.55
2.367	0.32
2.491	0.27
2.614	0.51
2.738	0.95
2.895	0.90
3.086	0.40
3.277	0.12
3.468	0.02
3.659	0.07
3.850	0.14
4.054	0.06
4.258	0.00
4.463	0.03
4.667	0.08
4.871	0.19
5.075	0.18
5.279	0.05
5.483	0.05
5.688	0.07
5.892	0.23
6.096	0.34
6.300	0.49
6.492	0.12
6.683	0.13
6.875	0.09
7.067	0.08
7.258	0.25
7.450	0.09
7.642	0.09
7.833	0.05
8.025	0.18
8.217	0.21
8.408	0.12
8.600	0.08
8.783	0.13
8.966	0.07
9.150	0.07
9.333	0.10
9.516	0.08
9.699	0.02
9.882	0.16
10.066	0.23
10.249	0.19
10.432	0.12
10.615	0.13
10.798	0.12
10.982	0.22
11.163	0.18
11.344	0.17
11.525	0.14
11.706	0.15
11.887	0.09
12.068	0.16
12.249	0.12
12.430	0.12
12.610	0.11
12.791	0.15
13.022	0.85
13.049	0.83
13.078	0.78
13.099	0.74
13.122	0.76
13.147	0.80
13.175	1.00
13.201	0.98
13.223	0.95
13.243	0.90
13.254	0.86
13.283	0.86
13.308	0.85
13.341	0.81
13.376	0.73
13.409	0.51
13.439	0.68
13.471	0.66
13.506	0.64
13.535	0.59
13.549	0.57
13.576	0.53
13.620	0.49
13.649	0.46
13.678	0.39
13.723	0.20
13.771	0.15
13.808	0.18
13.864	0.20
13.916	0.16
13.957	0.14
13.988	0.14
14.038	0.15
14.101	0.16
14.157	0.17
14.204	0.17
14.244	0.16
14.295	0.18
14.339	0.22
14.382	0.23
14.414	0.22
14.454	0.20
14.487	0.22
14.527	0.21
14.578	0.20
14.627	0.15
14.668	0.15
14.724	0.18
14.783	0.23
14.845	0.24
14.894	0.27
14.931	0.26
14.972	0.24
15.027	0.27
15.074	0.32
15.127	0.33
15.197	0.31
15.236	0.32
15.277	0.35
15.308	0.39
15.343	0.39
15.382	0.43
15.423	0.36
15.457	0.32
15.512	0.33
15.559	0.36
15.583	0.35
15.635	0.35
15.677	0.28
15.704	0.29
15.745	0.31
15.789	0.36
15.843	0.38
15.893	0.35
15.936	0.29
15.981	0.29
16.005	0.26
16.060	0.30
16.117	0.32
16.158	0.31
16.202	0.31
16.230	0.32
16.274	0.35
16.322	0.38
16.366	0.34
16.398	0.35
16.440	0.31
16.484	0.31
16.539	0.30
16.591	0.28
16.629	0.27
16.666	0.24
16.717	0.22
16.767	0.21
16.816	0.18
16.869	0.17
16.924	0.19
16.933	0.18
16.984	0.16
17.042	0.15
17.082	0.14
17.137	0.15
17.191	0.15
17.240	0.22
17.295	0.26
17.346	0.27
17.408	0.31
17.439	0.32
17.467	0.32
17.505	0.33
17.545	0.35
17.593	0.41
17.624	0.36
17.667	0.34
17.709	0.30
17.746	0.28
17.798	0.31
17.843	0.34
17.894	0.31
17.943	0.30
17.983	0.29
18.026	0.29
18.107	0.34
18.152	0.38
18.193	0.41
18.233	0.44
18.268	0.45
18.305	0.50
18.345	0.50
18.378	0.44
18.396	0.43
18.419	0.39
18.464	0.33
18.535	0.32
18.591	0.30
18.638	0.27
18.698	0.31
18.741	0.34
18.778	0.35
18.817	0.35
18.852	0.37
18.888	0.39
18.954	0.35
19.013	0.34
19.051	0.33
19.099	0.25
19.161	0.22
19.202	0.22
19.256	0.27
19.319	0.24
19.358	0.23
19.375	0.26
19.401	0.25
19.456	0.29
19.509	0.32
19.544	0.34
19.588	0.34
19.628	0.44
19.672	0.45
19.714	0.46
19.778	0.45
19.796	0.42
19.848	0.39
19.895	0.37
19.941	0.36
20.000	0.37
20.049	0.35
20.104	0.34
20.141	0.29
20.175	0.30
20.201	0.36
20.257	0.39
20.351	0.42
20.396	0.33
20.432	0.34
20.472	0.23
20.512	0.25
20.743	0.28
20.795	0.29
20.839	0.23
20.876	0.21
20.910	0.17
20.952	0.28
21.010	0.27
21.052	0.30
21.113	0.31
21.152	0.33
21.204	0.33
21.240	0.34
21.284	0.36
21.329	0.40
21.367	0.38
21.409	0.42
21.441	0.37
21.481	0.36
21.526	0.36
21.566	0.33
21.616	0.33
21.666	0.27
21.700	0.24
21.749	0.24
21.773	0.21
21.839	0.21
21.890	0.21
21.936	0.20
21.987	0.21
22.024	0.22
22.068	0.26
22.114	0.28
22.152	0.28
22.196	0.32
22.235	0.30
22.278	0.31
22.324	0.34
22.357	0.33
22.404	0.36
22.436	0.33
22.474	0.35
22.517	0.35
22.543	0.35
22.566	0.38
22.607	0.38
22.653	0.36
22.691	0.38
22.728	0.35
22.774	0.37
22.815	0.32
22.856	0.33
22.892	0.33
22.932	0.33
22.961	0.32
22.997	0.37
23.025	0.38
23.055	0.43
23.097	0.53
23.123	0.58
23.158	0.62
23.183	0.60
23.202	0.60
23.220	0.61
23.241	0.56
23.278	0.52
23.312	0.45
23.349	0.35
23.390	0.34
23.441	0.27
23.486	0.26
23.528	0.25
23.559	0.23
23.598	0.22
23.639	0.26
23.678	0.28
23.720	0.25
23.764	0.21
23.799	0.21
23.835	0.22
23.897	0.20
23.944	0.23
23.987	0.22
24.022	0.17
24.069	0.11
24.106	0.12
24.151	0.13
24.205	0.12
24.268	0.10
24.315	0.13
24.331	0.11
24.374	0.11
24.416	0.11
24.453	0.15
24.497	0.18
24.547	0.20
24.597	0.20
24.632	0.15
24.672	0.10
24.709	0.07
24.761	0.08
24.819	0.08
24.861	0.08
24.924	0.05
24.964	0.01
25.013	0.00
25.058	0.03
25.115	0.05
25.162	0.07
25.224	0.04
25.275	0.04
25.313	0.02
25.360	0.02
25.433	0.03
25.490	0.06
25.556	0.06
25.608	0.04
25.653	0.06
25.695	0.09
25.754	0.15
25.817	0.21
25.857	0.21
25.901	0.21
25.931	0.21
25.965	0.22
26.015	0.24
26.065	0.22
26.109	0.21
26.159	0.16
26.209	0.12
26.259	0.12
26.309	0.12
26.362	0.11
26.412	0.11
26.462	0.11
26.512	0.11
26.562	0.08
26.612	0.09
26.662	0.09
26.712	0.09
26.792	0.09
26.842	0.09
26.892	0.11
26.942	0.10
26.992	0.10
27.042	0.13
27.082	0.13
27.139	0.13
27.189	0.13
27.239	0.16
27.289	0.16
27.339	0.14
27.384	0.15
27.421	0.15
27.471	0.18
27.521	0.18
27.571	0.18
27.625	0.16
27.660	0.13
28.368	0.10
28.408	0.12
28.448	0.12
28.489	0.12
28.529	0.12
28.570	0.12
28.610	0.12
28.651	0.12
28.691	0.12
28.732	0.15
28.772	0.14
28.813	0.11
28.853	0.09
28.888	0.07
28.943	0.09
29.032	0.09
29.101	0.12
29.163	0.09
29.206	0.04
29.254	0.04
29.290	0.08
29.362	0.11
29.432	0.14
29.492	0.10
29.505	0.08
29.547	0.05
29.582	0.09
29.629	0.11
29.679	0.12
29.722	0.09
29.760	0.07
29.814	0.03
29.864	0.04
29.926	0.06
29.981	0.08
30.042	0.19
30.101	0.18
30.155	0.17
30.194	0.19
30.357	0.20
30.580	0.27
30.804	0.28
31.027	0.28
31.251	0.25
31.475	0.12
31.698	0.11
31.922	0.10
32.145	0.09
32.369	0.12
32.593	0.07
32.816	0.05
33.040	0.05
33.263	0.04
33.487	0.02
33.711	0.02
33.934	0.02
34.158	0.04
34.381	0.04
34.605	0.03
34.829	0.04
35.052	0.04
35.276	0.11
35.499	0.12
35.723	0.13
