/* DATA DESCRIPTION:
Citation:	Sirocko, Frank; Knapp, Hannes; Dreher, Frank; Förster, Michael W; Albert, Johannes; Brunck, Heiko; Veres, Daniel; Dietrich, Stephan; Zech, Michael; Hambach, Ulrich; Röhner, Marieke; Rudert, Saskia; Schwiebus, Klaus; Adams, Christel; Sigl, Petra (2016): Macro remains of combined sediment record ELSA. PANGAEA, https://doi.org/10.1594/PANGAEA.868669, 
	In supplement to: Sirocko, F et al. (2016): The ELSA-Vegetation-Stack: Reconstruction of Landscape Evolution Zones (LEZ) from laminated Eifel maar sediments of the last 60,000years. Global and Planetary Change, 142, 108-135, https://doi.org/10.1016/j.gloplacha.2016.03.005
Related to:	Brunck, Heiko; Sirocko, Frank; Albert, Johannes (2016): The ELSA-Flood-Stack: A reconstruction from the laminated sediments of Eifel maar structures during the last 60000 years. Global and Planetary Change, 142, 136-146, https://doi.org/10.1016/j.gloplacha.2015.12.003
	Förster, Michael W; Sirocko, Frank (2016): The ELSA tephra stack: Volcanic activity in the Eifel during the last 500,000 years. Global and Planetary Change, 142, 100-107, https://doi.org/10.1016/j.gloplacha.2015.07.012
	Sirocko, Frank (2016): The ELSA - Stacks (Eifel-Laminated-Sediment-Archive): An introduction. Global and Planetary Change, 142, 96-99, https://doi.org/10.1016/j.gloplacha.2016.03.011
Other version:	The ELSA Stacks - Online Resouce University of Mainz, Germany (URI: https://elsa-project.de/)
Coverage:	MEDIAN LATITUDE: 50.202065 * MEDIAN LONGITUDE: 6.737685 * SOUTH-BOUND LATITUDE: 50.120300 * WEST-BOUND LONGITUDE: 6.595740 * NORTH-BOUND LATITUDE: 50.283830 * EAST-BOUND LONGITUDE: 6.879630
	MINIMUM ELEVATION: 425.0 m * MAXIMUM ELEVATION: 453.0 m
Event(s):	ELSA_AU2 (AU2) * LATITUDE: 50.283830 * LONGITUDE: 6.595740 * ELEVATION: 453.0 m * Recovery: 123 m * LOCATION: Aueler Maar, Eifel, Germany * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: Gauß-Krüger coordinate system: 2542455/5572017
	ELSA_HM1 (HM1) * LATITUDE: 50.120300 * LONGITUDE: 6.879630 * ELEVATION: 425.0 m * Recovery: 10 m * LOCATION: Holzmaar, Eifel, Germany * METHOD/DEVICE: Piston corer, UWITEC (PCUWI) * COMMENT: Gauß-Krüger coordinate system: 2562900/5554030
Parameter(s):	Event label (Event) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Age [ka b2k] (Age) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Moss remains [#] (mos.rem) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Alnus glutinosa [#] (Aln.g) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Betula pendula [#] (Bet.p) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Betula sp. [#] (Betula sp.) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Caryophyllaceae [#] (Cphae) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Cerealia sp. [#] (Cel.sp) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Charcoal [#] (Charcoal) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Cenococcum [#] (Cenococcum) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Cyperaceae [#] (Cypae) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Ephippia [#] (Ephip) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Indeterminata [#] (Indet) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Insect remains [#] (Insect rem) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Linum usitatissimum [#] (Lin.u) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Oogonia [#] (Oogonia) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Ostracoda [#] (Ostrac) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Picea, needles [#] (Picea needle) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Ranunculaceae [#] (Ranae) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Ranunculus aquatilis [#] (Rau.a) * PI: Sirocko, Frank (sirocko@uni-mainz.de) * COMMENT: agg.
	Ranunculus flammula [#] (Ran.f) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Ranunculus repens [#] (Ran.rep) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Ranunculus sp. [#] (Ranunculus sp.) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Wood remains [#] (Wood) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Betula [#] (Bet) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Ranunculus [#] (Ran) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Woodland [%] (Woodland) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Heliophytes [#] (Heliophytes) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3806 data points
*/
Event	Age [ka b2k]	mos.rem [#]	Aln.g [#]	Bet.p [#]	Betula sp. [#]	Cphae [#]	Cel.sp [#]	Charcoal [#]	Cenococcum [#]	Cypae [#]	Ephip [#]	Indet [#]	Insect rem [#]	Lin.u [#]	Oogonia [#]	Ostrac [#]	Picea needle [#]	Ranae [#]	Rau.a [#]	Ran.f [#]	Ran.rep [#]	Ranunculus sp. [#]	Wood [#]	Bet [#]	Ran [#]	Woodland [%]	Heliophytes [#]
ELSA_HM1	0.000	0	0	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	0.036	0	0	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	0.072	0	0	0	0	0	0	0				0	1	0	0	0			1	0	0	0		0	1		
ELSA_HM1	0.108	0	0	0	0	0	0	0				0	1	0	0	0			1	0	0	0		0	1		
ELSA_HM1	0.144	1	0	0	0	0	0	0				0	1	0	0	0			1	0	0	0		0	1		
ELSA_HM1	0.180	0	0	0	0	0	0	0				0	1	0	0	0			10	0	0	0		0	10		
ELSA_HM1	0.216	0	0	0	0	0	0	0				0	0	0	0	0			1	0	0	0		0	1		
ELSA_HM1	0.252	0	0	0	0	0	0	0				0	1	0	0	0			0	1	0	0		0	1		
ELSA_HM1	0.288	0	0	0	0	0	0	0				0	0	1	0	0			2	1	0	1		0	4		
ELSA_HM1	0.324	1	0	0	0	0	0	1				0	1	3	0	0			7	0	0	0		0	7		
ELSA_HM1	0.360	0	0	0	0	0	0	0				0	1	0	0	0			1	1	0	0		0	2		
ELSA_HM1	0.396	1	0	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	0.431	1	0	0	0	0	0	0				0	1	0	1	0			10	0	0	0		0	10		
ELSA_HM1	0.467	0	0	0	0	0	0	0				0	0	0	1	0			9	0	0	0		0	9		
ELSA_HM1	0.503	1	0	0	0	0	0	0				0	0	0	0	0			8	0	0	0		0	8		
ELSA_HM1	0.539	0	0	0	0	0	0	0				0	0	0	0	0			7	0	0	0		0	7		
ELSA_HM1	0.575	1	0	0	0	0	0	1				0	1	0	1	0			11	2	0	1		0	14		
ELSA_HM1	0.611	1	0	0	0	0	0	1				0	1	2	2	0			23	11	0	1		0	35		
ELSA_HM1	0.647	1	1	0	0	0	0	1				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	0.703	0	0	0	0	0	0	0				0	0	0	0	0			0	0	0	0		0	0		
ELSA_HM1	0.768	1	0	1	0	0	0	0				0	1	0	0	0			0	0	0	0		1	0		
ELSA_HM1	0.833	1	1	0	0	0	1	1				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	0.898	1	0	0	0	0	0	0				0	1	0	1	0			0	0	0	0		0	0		
ELSA_HM1	0.963	1	1	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	1.028	1	1	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	1.093	1	0	0	0	0	0	0				0	1	0	0	0			0	1	0	0		0	1		
ELSA_HM1	1.158	1	1	1	0	0	0	0				0	1	0	0	0			0	0	0	0		1	0		
ELSA_HM1	1.223	1	0	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	1.288	0	0	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	1.353	1	0	1	0	0	0	0				0	1	0	0	0			0	0	0	0		1	0		
ELSA_HM1	1.418	1	0	0	0	0	0	0				0	1	0	1	0			0	0	0	0		0	0		
ELSA_HM1	1.483	1	1	4	0	0	0	0				0	1	0	1	0			0	0	0	0		4	0		
ELSA_HM1	1.548	1	2	2	0	0	0	0				0	1	0	0	0			0	0	0	0		2	0		
ELSA_HM1	1.625	0	3	1	0	0	0	0				0	1	0	0	0			0	0	0	0		1	0		
ELSA_HM1	1.748	1	1	0	0	0	0	0				0	1	0	1	0			0	0	0	0		0	0		
ELSA_HM1	1.872	1	1	0	0	0	0	0				0	1	0	1	0			0	0	0	0		0	0		
ELSA_HM1	1.996	0	0	0	0	0	0	1				0	1	0	1	0			1	0	0	0		0	1		
ELSA_HM1	2.120	1	1	0	0	0	0	0				0	1	0	0	0			1	0	0	0		0	1		
ELSA_HM1	2.243	1	0	0	0	0	0	0				0	0	0	1	0			1	0	0	0		0	1		
ELSA_HM1	2.367	0	1	1	0	0	0	0				0	0	0	0	0			0	1	0	0		1	1		
ELSA_HM1	2.491	1	3	1	0	0	0	1				0	1	0	0	0			0	0	0	0		1	0		
ELSA_HM1	2.614	1	1	0	0	1	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	2.738	1	16	2	0	0	0	1				1	1	0	0	0			0	0	1	0		2	1		
ELSA_HM1	2.895	1	3	1	0	1	0	1				0	1	0	2	0			0	0	0	0		1	0		
ELSA_HM1	3.086	1	6	2	0	0	0	1				0	1	0	1	0			0	0	0	0		2	0		
ELSA_HM1	3.277	1	8	6	0	0	0	1				0	1	0	0	0			0	0	0	0		6	0		
ELSA_HM1	3.468	1	10	7	0	0	0	0				0	1	0	2	0			0	0	0	0		7	0		
ELSA_HM1	3.659	1	1	3	0	0	0	1				0	1	0	1	0			0	0	0	0		3	0		
ELSA_HM1	3.850	1	7	2	0	0	0	1				0	1	0	0	0			0	0	0	0		2	0		
ELSA_HM1	4.054	1	4	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	4.258	1	1	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	4.463	1	10	1	0	0	0	0				0	1	0	0	0			0	0	0	0		1	0		
ELSA_HM1	4.667	1	8	8	0	0	0	0				0	1	0	0	0			0	0	0	0		8	0		
ELSA_HM1	4.871	1	3	1	0	0	0	1				0	1	0	0	0			0	0	0	0		1	0		
ELSA_HM1	5.075	0	3	0	0	0	0	0				1	1	0	0	0			0	0	0	0		0	0		
ELSA_HM1	5.279	1	0	0	0	0	0	0				0	1	0	0	0			0	0	0	0		0	0		
