T_ann;P_ann
12,33;833
12,78;815
12,66;822
14,08;761
12,33;833
10,24;952
11,14;901
11,71;871
12,02;837
12,48;807
11,56;879
13,18;792
10,09;954
10,09;954
9,82;968
11,61;878
11,61;878
12,09;857
12,09;857
10,76;922
11,61;878
9,33;990
10,27;941
10,02;954
9,92;964
11,71;871
14,23;738
14,11;746
13,26;794
12,75;812
12,81;816
12,47;815
12,67;800
11,51;871
11,51;871
10,87;916
11,65;869
12,17;832
12,02;837
11,23;888
10,61;926
10,61;926
15,23;703
12,04;1088
12,04;1088
10,4;1058
10,32;1065
10,28;959
10,75;1050
10,97;1040
9,81;960
11,57;1028
8,29;910
11,45;1009
12,89;837
12,96;851
9,4;1060
9,05;1068
8,92;1073
11,29;1081
10,75;1089
10,75;1089
10,08;888
9,45;881
10,45;842
10,94;847
11,93;812
12,01;372
11,42;389
12;421
10,9;399
10,95;395
11,55;394
11,8;362
9,88;369
9,44;375
11,5;380
11,59;406
12,68;433
12,21;423
11,67;383
10,87;321
10,18;349
11,48;340
9,01;1039
10,46;1035
12,03;976
12,12;973
9,95;1047
10,39;1043
10,09;1050
15,8;1003
13,28;407
10,72;451
10,98;437
11,47;350
10,89;338
10,23;313
10,43;295
8,93;352
8,52;370
9,49;349
9,97;331
11,89;325
10,43;269
10,33;269
8,92;324
11,05;306
10,11;323
9,28;350
10,73;369
10,43;369
10,56;370
10,43;381
10,9;380
11,14;386
11;386
10,61;389
10,91;379
10,22;383
10,31;396
10,04;379
9,22;394
9,53;387
11,65;381
11,27;377
10,97;368
10,68;358
10,12;361
11,04;337
0,72;510
0,75;512
0,88;616
0,88;616
1,76;514
-2,87;523
-2,7;501
-0,53;602
-1;570
-0,16;515
-0,36;521
0,22;519
-0,38;523
-0,18;518
-2,38;538
-0,26;473
7,78;713
7,77;712
8,17;700
9,13;662
9,13;662
7,78;713
7,77;712
8,17;700
9,13;662
9,13;662
7,78;713
7,77;712
8,17;700
9,13;662
9,13;662
7,77;712
8,17;700
7,71;712
7,71;712
7,71;712
7,45;729
7,45;729
7,45;729
7,45;729
8,26;696
8,26;696
8,26;696
8,26;696
9,41;656
9,41;656
9,41;656
9,41;656
9,41;656
9,41;656
11,12;526
10,65;539
11,09;526
10,38;544
11,09;526
11,07;526
11,12;526
10,97;528
11,12;526
10,11;547
10,11;552
10,27;547
10,27;547
10,83;532
11,97;528
10,61;538
