Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Chenopodiaceae/Amaranthaceae;Poaceae
4,502;0,322;0,643;0;0;0;0;0;0;0,643;34,727;0;0;0;0;0;3,537
4,094;0;0;0;0;0;0;0;0;0,877;23,392;0;0;0;0;0;0,877
27,778;0;0;0;0;0;0;0;0;0;27,778;0;0;0;0;0;0
18,605;0;0;0;0;0;0;0;0;0;45,349;0;0;0;0;0;0
5,063;0;0;0;0;0;0;0;0;0,633;75;0;0;0;0;0;0,949
0;0;0;0;0;0;0;0;0;0;10,714;0;0;0;0;0;0
22,15;0;0;0;0;0;0;0;0;0,326;31,922;0;0;0;0;0;1,954
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22,43;0;0;0;0;0;0;2,492;0;0,623;34,268;0;0;0;0;0;0
10,417;0;0;0;0;0;0;2,778;0;0;55,556;0;0;0;0;0;0
1,136;0;0;0;0;0;0;0;0;0;94,318;0;0;0;0;0;0
12,264;0;0;0;0;0;0;1,415;0;1,887;71,226;0;0;0;0;0;1,415
5,449;0,321;0;0;0;0;0;2,885;0;0,321;18,91;0;0;0;0;0;1,603
15,016;0;0;0;0,319;0;0;0,958;0;3,514;26,198;0;0;0;0;0;1,597
3,86;0;0;0;0;0;0;5,614;0;2,807;32,281;0;0;0;0;0;1,053
61,921;0;0;0;0;0;0;0,331;0;0,331;12,252;0;0;0;0;0;0,331
38,168;0;0;0;0;0;0;0;0;0,763;27,481;0;0;0;0;0;0,763
9,934;0,331;0;0;0,331;0;0;1,656;0;0,662;32,119;0;0;0;0;0,331;1,325
38,73;0,317;0;0;0;0;0;2,222;0;0,635;22,857;0;0;0;0;0;0,635
18,301;0;0;0;0;0;0;4,575;0;1,961;25,163;0;0;0;0;0;0,327
38,488;0,344;0;0;0;0;0;1,031;0;0;19,588;0;0;0;0;0;0
1,408;0,704;0,352;0;0;0;0;4,225;0;0,704;26,761;0;0;0;0;0;1,761
57,947;0;0;0;0;0;0;0,331;0;0,662;12,914;0;0;0;0;0;0,662
0;0,337;0;0;0;0;0;2,357;0;0,337;10,774;0;0;0;0;0;0,337
1,294;0,324;0;0;0;0;0;0,324;0;0,647;20,388;0;0;0;0;0;0,971
12,052;0;0;0;0;0;0;0,326;0;0,326;44,625;0;0;0;0;0;0
0;0;0;0;0;0;0;1,805;0;0;64,26;0;0;0;0;0;0
3,503;0;0;0;0;0;0;0;0;0;62,102;0;0;0;0;0;0
0;0;0;0;0;0;0;0,637;0;0;38,217;0;0;0;0;0;6,369
58,086;0;0;0;0;0;0;0;0;0;21,452;0;0;0;0;0;0,33
53,795;0;0;0;0;0;0;3,3;0;0;18,812;0;0;0;0;0;0,99
8,824;0;0;0;0;0;0;0,327;0;0,327;87,908;0;0;0;0;0;0
23,263;0;0;0;0;0;0;0;0;0;67,674;0;0;0;0;0;1,511
