Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Chenopodiaceae/Amaranthaceae;Poaceae
1,3;19,5;12,4;1,5;15,6;26,1;0,5;0;0,2;0,7;16,8;0;0;0;0,2;0;5,3
2,5;20,8;9,5;0,5;12,9;37,3;0,5;0;0;0,3;10,4;0,5;0,5;0;0;0,5;3,7
0,9;12,4;7,4;0;11,1;57,4;2,1;0;0;0,4;4,6;0,2;0,4;0,2;0;0;2,8
0,6;17;2,7;0;18;50;1,2;0;0;0,3;5,4;0;0,6;0,6;0,3;0;3,3
1,9;9,5;1,7;0;12,1;59,9;0,5;0;0;0,5;9;0;3,1;1,1;0,3;0;0,3
0;23;2,9;0;23,3;28,1;2,6;0;0;0,3;12,2;0,3;4,4;1,2;0;0;1,5
0;9,7;2,3;0;29,1;28,2;3,7;0;0;1,1;17,1;0;4,5;3,4;0,3;0;0,6
0,9;20,2;2,1;0,9;34,3;15,6;3,9;0;0;2,4;12,3;0,6;3;2,8;0;0;0,9
0,6;12,1;2,6;0;36;2;3,7;0;0;3,1;24,2;0;7,8;7,8;0;0;0
0;6,6;2,8;0;43,8;0,5;7;0;0;0,9;19,3;0,5;8;9,5;0;0;0,9
0;2,4;3,6;0;52,1;0;8,2;0;0;0,6;15,2;0,6;9,1;7,3;0;0;0,6
0;0,6;2,6;0;50,5;0;2,9;0;0;1,7;18,1;0;13,8;9,2;0;0;0,6
0;0;3,1;0;71,9;0,4;0;0;0;0,4;12,8;0;2,2;9,3;0;0;0
0;0;1,9;0;75,5;0;0,2;0;0;1,2;12,9;0,2;1;6,6;0;0;0,5
0;0;0,4;0;72,3;0;0;0;0;0,9;17,9;0;0,4;6,7;0;0;1,3
0;0;3,7;0;76,1;0;0,3;0;0;3,4;12,4;0,3;0,3;3,1;0;0;0,3
0;0;1,5;0;76,7;0,3;0,3;0;0;0,9;13,6;0;0;5,8;0,3;0;0,6
0;0,2;3,6;0;84,8;0;0;0;0;0,9;3,8;0,2;0;6;0;0;0,5
0;0;2,4;0;77,1;0;0,3;0;0;4;6,4;0;0;7,8;0,8;0;1,1
0;0;6,6;0,3;65,6;0;0;0;0;10,7;10,1;0;0;5,2;0,6;0;0,9
0;0;14;0;60,4;0;0;0;0;15,5;2;1,3;0,3;4,6;0,6;0;1,3
0;0;25,4;0;22,7;0;0;0;0;43,3;0,3;0,9;0;0,9;1,4;0;5,1
0;0,6;37,4;0;0,6;0;0;0;0;34,2;0,6;0,6;0,6;0,6;6,9;0;18,2
0;0,3;35,1;0;1,4;0;0;0,3;0;38,6;0;2,2;0,3;0;6,3;0,8;14,6
0;0;41;0;0,4;0;0;0,4;0;32,3;0;0,8;0;0;6,6;0,4;17,9
0;0;59,8;0;1,4;0;0;3,5;0;11,3;0;0,7;0;0;5,6;0;17,6
0;0;53,9;0;0,5;0;0;6,4;0;6,4;0,5;2,7;0;0;5,3;0,5;23,8
0;0;15,4;0;0;0;0;22,9;0;0,1;0;5,1;0;0,1;10,5;0,1;45,8
0;0;15;0;0,3;0;0;12,7;0;2;0;3;0;0,3;15,4;1,4;50
0;0;15,4;0;0;0;0;3,9;0;1,4;0;1,1;0;0;21,8;2,5;54
0;0;4,6;0;0;0;0;1,2;0;1,4;0;1,6;0;0;27,7;3;60,5
0;0;0,9;0;0,5;0;0;0,5;0;6,9;0;1,4;0;0;22,3;5,4;62
0;0;2,2;0;0;0;0;2,7;0;4,2;0;3,8;0;0;17,7;1,1;68,4
0;0;2;0;0;0;0;2,4;0;6;0,4;3,3;0;0;12,6;0,4;72,8
0;0;0,3;0;0;0;0;1,6;0;6,5;0;1,9;0;0;9,6;0,3;79,7
0;0;0,3;0;0;0;0;2,1;0;5,5;0;1,2;0;0;9;1,2;80,7
0;0;2,1;0;0;0;0;2,6;0;8,1;0;0,5;0;0;12,7;0,5;73,5
0;0;1,4;0;0;0;0;2;0,6;6;0;1,4;0;0,6;8,8;0;79,2
0;0;3;0;0;0;0;1,5;0;4,3;0;2,2;0;0;5,8;1,5;81,6
0;0,9;3,9;0;0,4;0;0;2,6;0,4;5,5;0;0,9;0;0,4;6,8;1,3;77,1
0;0,6;4,2;0;0,3;0;0;0,9;1,4;8,1;0,3;1,1;0;0;11,5;2,3;69,3
0;1;4,9;0,7;0,7;0;0;1;1,2;9,3;0,2;2,5;0;0;9,3;1,2;67,8
0;0,6;8,8;0,6;0,6;0;0;1,9;4,5;22,5;0,9;0,9;0;0,9;4,7;1,3;52
0;0,2;5,8;0;1;0;0;2,2;1;21,1;0;0,6;0;0,2;6,6;1,6;59,8
