GDD5	MTCO	PANN	E_PE	TANN	MTWA
E001	1022.477	-4.549	859.789	98.891	4.627	15.278
E008	1148.201	-4.084	1231.601	99.306	5.115	15.692
E017	754.188	-12.267	754.358	101.591	0.256	13.793
E032	1379.665	-2.544	871.395	99.867	6.518	16.753
E035	1516.177	-1.989	748.389	97.493	7.148	17.272
E042	2511.517	0.127	863.895	81.2	10.806	20.889
E060	1271.064	-3.058	1077.3	99.679	5.967	16.288
E061	2185.672	-0.058	1073.087	97.698	9.936	19.954
E062	1213.931	-12.525	1304.842	96.751	2.466	16.314
E063	1722.794	-5.301	959.905	93.327	7.07	18.816
E066	1455.201	-2.027	971.443	98.9	6.915	16.999
E069	1256.417	-4.195	700.192	96.685	5.434	16.279
E070	608.606	-12.86	523.067	100.379	-0.711	12.958
E071	1363.06	-3.2	731.71	95.893	6.172	16.69
E077	1988.275	-2.854	987.885	99.397	8.575	19.582
E080	3448.372	5.146	756.557	65.11	14.257	22.978
E088	4677.504	10.34	655.856	49.877	17.769	24.928
E106	2981.479	1.168	477.819	39.322	12.521	22.533
E109	4971.775	10.984	694.818	42.437	18.573	25.619
E111	3016.969	0.871	434.922	34.114	12.387	22.277
E126	1387.539	-3.513	634.237	92.136	6.185	16.931
E140	676.928	-12.008	526.003	100.49	-0.062	13.367
E141	738.302	-9.259	506.289	97.152	1.297	13.635
E142	729.991	-9.34	491.857	97.221	1.226	13.594
E154	1757.12	-1.895	589.794	87.996	7.913	18.4
E155	1208.495	-6.186	702.817	97.691	4.536	16.21
E165	1415.982	-3.238	599.79	91.946	6.384	17.065
E169	1510.157	-2.985	612.522	90.023	6.649	17.306
E194	550.864	-29.868	296.024	89.982	-8.146	13.367
E195	559.457	-29.626	325.121	94.553	-8.027	13.401
E197	791.251	-24.899	488.86	92.178	-4.499	15.119
E198	1923.891	0.718	739.6	86.049	9.207	18.592
E202	1796.043	-0.214	1290.992	95.985	8.652	18.234
E215	1088.256	-7.967	1441.843	103.107	3.344	15.506
E216	856.07	-6.765	971.566	98.245	2.828	14.174
E258	2249.753	-0.239	878.898	66.154	10.299	20.281
E281	1133.933	-8.768	673.07	100.667	3.136	15.808
E287	1583.741	-1.409	782.224	98.473	7.543	17.507
E296	1641.919	-1.251	721.91	95.704	7.769	17.763
E297	1641.919	-1.251	721.91	95.704	7.769	17.763
E298	1640.458	-1.259	722.461	95.755	7.762	17.758
E302	1183.76	-5.783	570.94	92.803	4.511	16.052
E303	1070.611	-7.01	576.975	94.35	3.642	15.551
E307	1178.024	-5.839	573.368	92.953	4.459	16.002
E309	1224.272	-11.261	1253.17	99.665	3.244	16.742
E335	1913.382	0.513	738.095	91.228	9.094	18.575
E339	3085.903	4.32	677.172	63.638	13.267	21.885
E343	3127.631	4.808	905.802	75.744	13.47	21.911
E348	1722.794	-5.301	959.905	93.327	7.07	18.816
E358	2567.377	1.573	882.2	88.684	11.406	20.973
E370	3613.144	5.816	568.57	56.365	14.605	23.222
E401	1193.626	-6.183	578.267	93.63	4.4	16.111
E404	1756.189	-1.89	587.476	87.938	7.919	18.406
E405	546.092	-11.856	469.602	100.311	-0.721	12.373
E406	458.735	-12.607	435.753	101.387	-1.463	11.793
E407	472.342	-13.076	526.305	101.551	-1.586	11.858
E408	415.209	-14.176	485.306	100.901	-2.16	11.648
E411	886.514	-8.77	557.099	98.015	2.164	14.508
E416	897.281	-9.057	573.362	98.806	2.145	14.69
E417	718.613	-11.534	528.664	100.407	0.312	13.613
E418	1004.376	-6.768	574.933	93.543	3.454	15.128
E421	498.83	-12.554	453.686	100.49	-1.24	12.066
E423	992.901	-7.976	596.813	96.571	2.945	15.18
E424	933.677	-8.571	586.289	98.33	2.492	14.878
E425	985.016	-7.87	594.354	96.835	2.967	15.137
E426	996.834	-7.668	600.351	95.713	3.1	15.216
E427	945.933	-7.54	562.333	96.494	2.947	14.905
E428	999.597	-7.056	589.029	93.946	3.352	15.171
E429	944.688	-7.462	533.217	94.178	2.982	14.903
E431	1013.018	-6.829	565.609	92.85	3.471	15.2
E434	942.486	-8.944	612.852	98.391	2.418	15.042
E435	1013.307	-6.546	553.194	91.966	3.607	15.2
E466	3494.26	6.624	770.654	68.665	14.333	22.275
E497	3036.964	2.938	839.516	70.557	12.865	22.272
E524	749.39	-8.087	933.45	99.316	1.848	13.593
E528	1934.712	-2.957	908.836	98.001	8.41	19.593
E532	1816.178	-3.699	818.452	98.348	7.551	18.95
E537	1963.413	-1.622	679.188	91.011	8.626	19.232
EC01	1249.801	-6.031	929.965	99.896	4.661	16.141
EC02	1180.113	-6.443	920.429	100.128	4.304	15.88
EC03	1161.168	-7.972	949.885	100.741	3.629	15.79
ER02	2501.368	0.578	750.907	65.572	10.96	20.714
ER13	2225.375	-1.44	856.376	72.059	9.692	20.055
ER17	1984.589	-2.782	597.426	60.228	8.845	19.579
ER22	1706.057	-5.106	660.464	64.98	7.343	18.749
ER25	1534.4	-6.711	712.746	68.829	6.292	18.151
ER28	1344.412	-9.354	1102.661	90.285	4.525	17.142
ER45	2369.744	-0.325	782.982	67.905	10.394	20.42
ER47	2375.329	-0.272	774.26	67.446	10.426	20.437
ES01	2485.011	0.399	786.478	63.368	10.871	20.693
ES02	1755.222	-4.291	1390.204	85.336	7.762	18.96
ES03	3200.482	5.256	763.216	64.994	13.558	21.816
ES04	3522.367	6.774	794.246	60.865	14.733	22.562
ES05	2977.725	3.002	771.965	55.919	12.725	21.725
ES06	3972.015	8.643	734.433	59.899	15.671	22.82
ES07	5550.589	9.348	2016.806	36.214	18.009	23.166
ES08	4339.671	10.052	608.38	53.451	16.726	23.447
ES09	1510.962	-5.895	2113.001	107.912	6.694	18.292
ES10	3201.302	5.26	762.455	64.981	13.561	21.818
ES11	3653.718	5.707	472.51	39.455	14.694	22.888
ES12	3983.085	8.687	729.398	59.599	15.706	22.842
ES13	2890.132	2.394	516.276	47.689	12.342	21.595
ES14	3067.991	3.24	634.799	55.446	12.927	21.905
ES15	2958.176	4.911	899.16	78.762	12.572	20.793
ES16	3326.221	4.751	600.33	48.898	13.857	22.327
ES17	2561.179	0.484	706.363	54.789	11.108	20.827
ES18	2988.847	3.867	652.338	57.723	12.991	21.697
ES19	3199.147	5.193	755.948	64.262	13.558	21.841
ES20	3409.303	5.481	519.795	48.538	14.222	22.461
ES21	3416.073	5.515	508.552	47.224	14.236	22.467
ES22	3408.919	5.482	518.656	48.447	14.221	22.46
ES23	2225.727	-1.191	636.003	62.353	9.909	20.206
ES24	4504.126	10.089	521.374	41.167	17.356	24.172
ES25	4281.129	8.514	491.841	37.23	16.613	23.927
ES26	2117.92	-2.204	625.892	60.645	9.266	19.872
ES27	3224.691	5.446	565.885	60.651	13.806	22.023
ES28	4267.433	8.069	445.415	34.062	16.513	23.975
ES29	3325.541	5.954	586.237	60.854	13.98	22.036
ES30	1710.167	-5.428	725.003	71.729	7.099	18.643
ES31	1710.167	-5.428	725.003	71.729	7.099	18.643
ES32	2277.364	-0.681	603.716	61.607	10.183	20.323
ES33	3200.109	4.348	706.799	60.648	13.546	22.185
ES34	5554.798	9.365	2017.559	36.216	18.022	23.174
ES35	5425.695	8.871	2077.926	40.813	17.665	22.945
ES36	2659.952	1.145	707.571	55.905	11.528	21.024
ES37	1394.059	-8.362	824.372	78.815	5.151	17.518
ES38	3500.361	4.854	532.171	43.598	14.154	22.592
ES39	3315.447	5.142	500.77	47.568	13.949	22.302
ES40	1464.95	-6.332	2235.142	112.099	6.412	18.132
ES41	3405.125	5.474	504.64	46.985	14.202	22.448
ES42	2254.515	-0.212	800.048	64.214	10.311	20.281
ES43	3405.125	5.474	504.64	46.985	14.202	22.448
ES44	3231.121	5.621	567.616	61.508	13.818	21.961
ES45	3319.795	6.22	578.796	62.464	13.946	21.862
ES46	3348.123	6.269	576.216	61.515	14.035	21.95
ES47	3341.297	6.021	570.616	59.965	14.069	22.098
K180	534.707	-29.677	752.962	53.408	-7.698	13.398
K183	569.258	-29.001	192.982	71.928	-7.221	13.687
K186	651.556	-28.149	49.992	84.651	-6.388	14.381
K187	568.646	-29.027	98.755	74.87	-7.263	13.673
K188	697.355	-27.259	371.619	87.873	-5.82	14.654
K189	605.836	-29.101	156.987	67.549	-7.056	13.988
K190	595.071	-30.238	331.578	63.105	-7.697	13.838
K191	582.907	-30.631	427.258	56.571	-8.023	13.644
K192	553.821	-31.262	289.602	55.014	-8.374	13.511
K193	636.068	-29.631	269.466	71.795	-7.147	14.219
K194	616.772	-29.97	473.13	62.071	-7.542	13.913
K195	435.404	-33.482	65.778	35.261	-9.999	12.586
K197	466.92	-32.877	107.235	42.529	-9.543	12.846
K198	709.81	-27.767	605.278	77.489	-6.114	14.6
K199	449.585	-33.208	101.118	36.496	-9.806	12.696
K201	839.678	-25.275	818.352	105.1	-4.226	15.718
K202	626.392	-29.012	239.917	85.234	-6.936	14.176
K203	616.204	-29.035	265.154	71.866	-7.054	14.003
K207	672.859	-28.025	335.658	86.621	-6.285	14.484
K208	671.993	-28.041	334.564	86.353	-6.297	14.476
K209	675.741	-28.109	366.484	84.252	-6.31	14.496
K212	700.278	-28.015	392.155	105.092	-6.032	14.88
K213	638.518	-29.642	213.076	63.624	-7.068	14.329
K214	640.135	-29.612	219.438	64.646	-7.046	14.34
K215	798.837	-26.7	664.482	89.675	-5.047	15.431
K216	741.294	-27.778	519.09	81.591	-5.79	15.02
K217	729.413	-27.928	457.392	81.19	-5.899	14.94
K218	593.709	-30.414	209.083	77.644	-7.688	13.973
K219	737.021	-27.404	575.443	107.877	-5.681	15.027
K220	782.626	-26.635	673.039	106	-5.119	15.328
K221	795.445	-26.17	688.437	109.004	-4.857	15.416
K222	789.266	-26.416	692.056	108.222	-4.997	15.375
K223	828.331	-25.602	679.452	110.489	-4.369	15.675
K224	679.646	-28.848	363.758	78.38	-6.548	14.579
K225	683.049	-28.768	398.879	77.529	-6.486	14.6
K229	874.698	-24.862	940.993	100.994	-3.844	15.953
K230	621.724	-29.961	244.611	68.677	-7.3	14.162
K231	633.258	-29.77	247.655	69.952	-7.162	14.26
K232	649.51	-28.289	98.752	85.494	-6.449	14.39
K236	602.588	-27.35	398.496	75.575	-6.237	13.869
K237	627.407	-26.668	737.447	72.343	-5.831	13.977
K238	591.912	-27.725	181.364	79.059	-6.441	13.847
K239	585.875	-28.033	86.697	81.292	-6.602	13.848
K240	604.888	-27.702	173.572	78.751	-6.373	13.972
K241	553.722	-28.701	69.707	73.948	-7.059	13.625
K242	613.503	-28.09	242.684	77.933	-6.58	14.027
K243	629.151	-27.923	297.635	78.77	-6.444	14.134
K244	629.518	-27.879	310.943	78.571	-6.421	14.133
K245	648.761	-27.411	462.112	77.438	-6.124	14.246
K251	746.089	-26.949	482.893	98.774	-5.408	15.055
K252	749.993	-27.138	514.945	94.703	-5.481	15.077
K253	756.848	-26.361	460.519	100.652	-5.102	15.127
K254	766.278	-26.258	491.987	99.6	-5.014	15.189
K255	661.151	-27.463	400.543	82.149	-6.09	14.356
K256	814.728	-25.805	681.634	95.608	-4.6	15.509
K257	793.642	-26.205	608.924	95.035	-4.871	15.37
K258	920.948	-23.93	915.895	108.821	-3.258	16.279
K259	820.429	-25.94	715.368	93.302	-4.639	15.544
K260	835.119	-24.74	641.448	100.093	-4.045	15.643
K261	937.548	-23.881	1001.277	107.382	-3.164	16.388
K262	927.979	-24.052	952.223	106.179	-3.28	16.322
K263	719.378	-28.217	372.924	80.906	-6.102	14.858
K264	923.149	-24.147	909.144	106.882	-3.339	16.297
K267	1012.106	-22.461	994.57	117.172	-2.16	16.945
K269	896.613	-24.925	567.104	100.476	-3.794	16.137
K270	834.5	-26.158	371.152	92.806	-4.634	15.699
K271	808.976	-26.592	397.926	90.564	-4.941	15.518
K272	738.193	-27.921	301.462	83.271	-5.857	15.018
K273	864.195	-25.551	479.691	96.511	-4.222	15.91
K274	863.702	-25.622	406.435	95.737	-4.26	15.907
K275	935.295	-24.225	600.066	104.231	-3.302	16.414
K276	856.927	-25.641	512.242	96.35	-4.291	15.86
K277	696.701	-28.721	219.869	79.03	-6.402	14.728
K278	930.009	-24.02	864.048	108.353	-3.209	16.381
K279	682.41	-28.917	245.395	78.652	-6.533	14.633
R050	862.29	-10.166	539.261	98.408	1.57	14.624
R051	860.108	-10.175	532.856	98.1	1.543	14.587
R052	830.094	-9.903	540.565	97.711	1.55	14.425
R053	830.094	-9.903	540.565	97.711	1.55	14.425
R054	830.094	-9.903	540.565	97.711	1.55	14.425
R055	1145.918	-9.566	575.306	97.491	2.975	16.287
R056	1145.918	-9.566	575.306	97.491	2.975	16.287
R057	1145.918	-9.566	575.306	97.491	2.975	16.287
R058	1145.918	-9.566	575.306	97.491	2.975	16.287
R059	960.189	-10.336	566.263	99.023	1.987	15.324
R060	1112.449	-8.773	551.081	95.304	3.097	15.898
R061	786.887	-19.517	262.685	44.893	-2.128	14.091
R062	791.911	-19.499	257.953	43.574	-2.098	14.13
