"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_1.0"	"NILEDS2"	"Neotoma"	1744	1802	"Nile Delta S2"	31.3	31.6	1	"Africa"	"Alluvial/Fluvial"	"Raw"	4	"AWI"	2	1302	3126	608	1824	"Physiography: Nile Delta."	"1985-01-01 00:00:00"	"Coutellier, V. and Stanley, D.J., 1987. Late Quaternary stratigraphy and paleogeography of the eastern Nile Delta, Egypt. Marine geology, 77(3-4), pp.257-275."	"https://doi.org/10.1016/0025-3227(87)90116-2"	"Leroy, S.A., 1992. Palynological evidence of Azolla nilotica Dec. in recent Holocene of the eastern Nile Delta and palaeoenvironment. Vegetation History and Archaeobotany, 1(1), pp.43-52."	"https://doi.org/10.1007/BF00190700"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"NILEDS6"	"Neotoma"	1745	1803	"Nile Delta S6"	31.10833	31.71667	2	"Africa"	"Alluvial/Fluvial"	"Raw"	4	"AWI"	3	3965	4455	163.3	490	"Physiography: Nile Delta."	"1985-01-01 00:00:00"	"Coutellier, V. and Stanley, D.J., 1987. Late Quaternary stratigraphy and paleogeography of the eastern Nile Delta, Egypt. Marine geology, 77(3-4), pp.257-275."	"https://doi.org/10.1016/0025-3227(87)90116-2"	"Foucault, A. and Stanley, D.J., 1989. Late Quaternary palaeoclimatic oscillations in East Africa recorded by heavy minerals in the Nile delta. Nature, 339(6219), pp.44-46."	"https://doi.org/10.1038/339044a0"	"Leroy, S.A., 1992. Palynological evidence of Azolla nilotica Dec. in recent Holocene of the eastern Nile Delta and palaeoenvironment. Vegetation History and Archaeobotany, 1(1), pp.43-52."	"https://doi.org/10.1007/BF00190700"	"Stanley, D.J., Sheng, H. and Pan, Y., 1988. Heavy minerals and provenance of late Quaternary sands, eastern Nile Delta. Journal of African Earth Sciences, 7(4), pp.735-741."	"https://doi.org/10.1016/0899-5362(88)90121-2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"NILEDS7"	"Neotoma"	1746	1804	"Nile Delta S7"	31.125	31.86667	1	"Africa"	"Alluvial/Fluvial"	"Raw"	5	"AWI"	4	3073	8013	1235	4940	"Physiography: Nile Delta."	"1985-01-01 00:00:00"	"Coutellier, V. and Stanley, D.J., 1987. Late Quaternary stratigraphy and paleogeography of the eastern Nile Delta, Egypt. Marine geology, 77(3-4), pp.257-275."	"https://doi.org/10.1016/0025-3227(87)90116-2"	"Foucault, A. and Stanley, D.J., 1989. Late Quaternary palaeoclimatic oscillations in East Africa recorded by heavy minerals in the Nile delta. Nature, 339(6219), pp.44-46."	"https://doi.org/10.1038/339044a0"	"Leroy, S.A., 1992. Palynological evidence of Azolla nilotica Dec. in recent Holocene of the eastern Nile Delta and palaeoenvironment. Vegetation History and Archaeobotany, 1(1), pp.43-52."	"https://doi.org/10.1007/BF00190700"	"Stanley, D.J., Sheng, H. and Pan, Y., 1988. Heavy minerals and provenance of late Quaternary sands, eastern Nile Delta. Journal of African Earth Sciences, 7(4), pp.735-741."	"https://doi.org/10.1016/0899-5362(88)90121-2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"NILEDS8"	"Neotoma"	1747	1805	"Nile Delta S8"	31.21667	32.03333	0	"Africa"	"Alluvial/Fluvial"	"Raw"	4	"AWI"	7	4388	7180	930.7	2792	"Physiography: Nile Delta."	"1985-01-01 00:00:00"	"Coutellier, V. and Stanley, D.J., 1987. Late Quaternary stratigraphy and paleogeography of the eastern Nile Delta, Egypt. Marine geology, 77(3-4), pp.257-275."	"https://doi.org/10.1016/0025-3227(87)90116-2"	"Foucault, A. and Stanley, D.J., 1989. Late Quaternary palaeoclimatic oscillations in East Africa recorded by heavy minerals in the Nile delta. Nature, 339(6219), pp.44-46."	"https://doi.org/10.1038/339044a0"	"Leroy, S.A., 1992. Palynological evidence of Azolla nilotica Dec. in recent Holocene of the eastern Nile Delta and palaeoenvironment. Vegetation History and Archaeobotany, 1(1), pp.43-52."	"https://doi.org/10.1007/BF00190700"	"Stanley, D.J., Sheng, H. and Pan, Y., 1988. Heavy minerals and provenance of late Quaternary sands, eastern Nile Delta. Journal of African Earth Sciences, 7(4), pp.735-741."	"https://doi.org/10.1016/0899-5362(88)90121-2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"RUSAKA"	"Neotoma"	2233	2312	"Rusaka Swamp"	-3.43333	29.61667	2070	"Africa"	"Peat"	"Raw"	141	"AWI"	33	471	40780	287.9	40309	"Raised mire, drained for agriculture. Physiography: Burundi highlands. Surrounding vegetation: sweet potato, bean, and manihot fields."	"1990-11-01 00:00:00"	"Bonnefille, R., Riollet, G., Buchet, G., Icole, M., Lafont, R., Arnold, M. and Jolly, D., 1995. Glacialanterglacial record from intertropical Africa, high resolution pollen and carbon data at Rusaka, Burundi. Quaternary Science Reviews, 14(9), pp.917-936."	"https://doi.org/10.1016/0277-3791(95)00071-2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"DARFATMA"	"Neotoma"	15750	24197	"Dar Fatma"	36.81825	8.77474	780	"Africa"	"Peat"	"Raw"	106	"Neotoma_CAL BP"	9	106	44370	421.6	44264	"Peaty marsh. Physiography: Several bowls in peak area. Surrounding vegetation: Oakwood Q.suber Erica Agrimonia Calycoto."	NA	"Stambouli-Essassi, S., Roche, E. and Bouzid, S., 2007. Evolution de la vegetation et du climat dans le Nord-ouest de la Tunisie au cours des 40 derniers millenaires [Evolution of vegetation and climatic changes in North- Western Tunisia during the last 40 millennia]. Geo-Eco-Trop, 31, pp.171-214 (in French)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"GHORRA01"	"Neotoma"	15757	24207	"Djebel El Ghorra"	36.5975	8.394722	1203	"Africa"	"Valley"	"Raw"	51	"AWI"	5	-57	6306	127.3	6363	"Vegetation formation: Humid."	NA	"Ben Tiba, B., 1995. Cinq millenaires d'histoire de la vegetation a Djebel El Ghorra. In: Tunisie septentrionale ed. by L. Thomas and E. Roche (pp.49-55). Symposium de Palynologie africaine, Tervuren, Belgique."	NA	"Ben Tiba, B., 1987. Recherches pollenanalytiques a Djebel El Ghorra, Tunisie septentrionale : premieres approches. Agronomie et Horticulture 2, pp.57-60 (in French)."	NA	"Stambouli-Essassi, S., Roche, E. and Bouzid, S., 2007. Evolution de la vegetation et du climat dans le Nord-ouest de la Tunisie au cours des 40 derniers millenaires [Evolution of vegetation and climatic changes in North- Western Tunisia during the last 40 millennia]. Geo-Eco-Trop, 31, pp.171-214 (in French)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Chenhzi: estimated from Neotoma map. Lake shapes: ? no lake visible"
"LegacyPollen_1.0"	"MAJORBOG"	"Neotoma"	15761	24216	"Majen El Orbi"	37.14924	9.099085	200	"Africa"	"Peat"	"Raw"	144	"AWI"	6	45	5855	40.6	5810	"Marsh with peaty border. Physiography: Depression. Surrounding vegetation: Myrtus Erica Pistacia Phillyrea Arbutus."	NA	"Stambouli-Essassi, S., Roche, E. and Bouzid, S., 2007. Evolution de la vegetation et du climat dans le Nord-ouest de la Tunisie au cours des 40 derniers millenaires [Evolution of vegetation and climatic changes in North- Western Tunisia during the last 40 millennia]. Geo-Eco-Trop, 31, pp.171-214 (in French)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"MAJORMAR"	"Neotoma"	15762	24218	"Majen El Orbi"	37.15294	9.0984	148	"Africa"	"Peat"	"Raw"	112	"AWI"	2	-19	5888	53.2	5907	"Marsh with peaty border. Physiography: Depression. Surrounding vegetation: Myrtus Erica Pistacia Phillyrea Arbutus."	NA	"Stambouli-Essassi, S., Roche, E. and Bouzid, S., 2007. Evolution de la vegetation et du climat dans le Nord-ouest de la Tunisie au cours des 40 derniers millenaires [Evolution of vegetation and climatic changes in North- Western Tunisia during the last 40 millennia]. Geo-Eco-Trop, 31, pp.171-214 (in French)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"MAJENHMI"	"Neotoma"	15811	24323	"Majen Ben H'mida"	37.13333	9.083333	330	"Africa"	"Peat"	"Raw"	76	"AWI"	5	-57	11846	158.7	11903	"Peaty zone. Physiography: Clearing dominated by Pteridium aquilinum. Surrounding vegetation: Quercus Erica Arbutus Myrtus Pistacia."	NA	"Stambouli-Essassi, S., Roche, E. and Bouzid, S., 2007. Evolution de la vegetation et du climat dans le Nord-ouest de la Tunisie au cours des 40 derniers millenaires [Evolution of vegetation and climatic changes in North- Western Tunisia during the last 40 millennia]. Geo-Eco-Trop, 31, pp.171-214 (in French)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
