"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_1.0"	"Adycha_River"	"Neotoma"	11	11	"Konus Exposure, Adycha River"	67.75	135.5833	130	"Asia"	"Alluvial/Fluvial"	"Raw"	13	"AWI"	5	1007	9817	734.2	8810	"Exposure on slope. Surrounding vegetation: open Larix dahurica forest."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"AKULININ"	"Neotoma"	19	19	"Akulinin Exposure P1282"	47.11667	138.55	20	"Asia"	"Alluvial/Fluvial"	"Raw"	29	"AWI"	4	4810	44906	1432	40096	"Exposure in river terrace. Physiography: river valley in mountains. Surrounding vegetation: secondary Betula forest."	"1975-06-18 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Kind, N.V., 1974. Geochronology of the late Anthropogene by isotopic data. Nauka, Moscow (in Russian)."	NA	"Korotkii, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian)."	NA	"Korotky, A.M., Kovalyukh, N.N. and Volkov, V.G., 1989. Radiocarbon dating of Quaternary deposits (south Far East). Preprint. Far East Branch of the USSR Academy of Sciences, Vladivostok (in Russian)."	NA	"Korotky, A.M., Pletnev, S.P., Pushkar, V.S., Grebennikova, T.A., Raszhigaeva, N.T., Sahebgareeva, E.D. and Mohova, L.M., 1988. Evolution environment of south Far East (late Pleistocene and Holocene). Nauka, Moscow (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"ALUT"	"Neotoma"	31	31	"Alut Lake"	60.14	152.33	480	"Asia"	"Lake"	"Raw"	117	"AWI"	25	-66	34322	296.4	34388	"Tectonic lake. Physiography: valley in mountains. Surrounding vegetation: Larix forest."	"1996-07-01 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Anderson, P.M., Lozhkin, A.V., Belaya, B.V. and Stetsenko, T.V., 1998. New data about the stratigraphy of late Quaternary deposits of northern Priokhot'ye. In: Environmental changes in Beringia during the Quaternary ed. by K.V. Simakov (pp.69-87). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian)."	NA	"Anderson, P.M. and Lozhkin, A.V., 2001. The latest Pleistocene interstade (Karginskii/Boutellier interval) of Beringia: variations in paleoenvironments and implications for paleoclimatic interpretations. Quaternary Science Reviews, 20(1-3), pp.93-125."	"https://doi.org/10.1016/S0277-3791(00)00129-3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	791210.7	"GIS"	"l, GE, L2, modified LW shape"
"LegacyPollen_1.0"	"AMBA"	"Neotoma"	33	33	"Amba River Exposure 596"	43.31667	131.8167	5	"Asia"	"Coast"	"Raw"	8	"AWI"	3	1613	5706	584.7	4093	"Exposure of alluvial and lagoon sediment. Physiography: coastal plain. Surrounding vegetation: Quercus-Carpinus-Abies holophylla forest."	"1970-06-17 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Korotky, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"AMGUEMA1"	"Neotoma"	68	68	"Amguema River Valley Exposure 1"	67.75	178.7	175	"Asia"	"Alluvial/Fluvial"	"Raw"	4	"AWI"	2	1788	25242	7818	23454	"Exposure in a mine excavation. Physiography: river valley in glacial outwash. Surrounding vegetation: shrub tundra."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Kotov, A.N., 1997. Cryolithogenesis in the ablation zone of late Pleistocene glaciers. In: Results of fundamental investigations of the cryosphere of earth in the Arctic and Subarctic, 1996 (pp.249-259). Nauka, Novosibirsk (in Russian)."	NA	"Lozhkin, A.V., Trumpe, M.A., Polujan, A.I., Kotova, L.N. and Takmazyan, E.D., 1995. Radiocarbon dates for upper Quaternary sequences in northeastern Asia and Alaska. In: History of climate and vegetation in Beringia during the late Cenozoic ed. by Y.M. Bychkov and A.V. Lozhkin (pp.169-184). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"AMGUEMA2"	"Neotoma"	69	69	"Amguema River Valley Exposure 2"	67.66667	178.6	87	"Asia"	"Alluvial/Fluvial"	"Raw"	8	"AWI"	2	1888	3039	164.4	1151	"Exposure in river bank. Physiography: river valley in glacial outwash. Surrounding vegetation: shrub tundra."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Kotov, A.N., 1997. Cryolithogenesis in the ablation zone of late Pleistocene glaciers. In: Results of fundamental investigations of the cryosphere of earth in the Arctic and Subarctic, 1996 (pp.249-259). Nauka, Novosibirsk (in Russian)."	NA	"Lozhkin, A.V., Trumpe, M.A., Polujan, A.I., Kotova, L.N. and Takmazyan, E.D., 1995. Radiocarbon dates for upper Quaternary sequences in northeastern Asia and Alaska. In: History of climate and vegetation in Beringia during the late Cenozoic ed. by Y.M. Bychkov and A.V. Lozhkin (pp.169-184). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"BARABA"	"Neotoma"	228	230	"Lower Barabaschevka River Exposure 594"	43.13333	131.6	5	"Asia"	"Alluvial/Fluvial"	"Raw"	6	"AWI"	2	4853	10240	1077.4	5387	"Exposure in alluvium-marine terrace. Physiography: lower river valley. Surrounding vegetation: Quercus-Carpinus-Abies holophylla forest."	"1970-06-17 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Korotky, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"BELSKALA"	"Neotoma"	251	256	"Belaya Skala Exposure"	43.25	134.5667	4	"Asia"	"Coast"	"Raw"	14	"AWI"	3	357	6845	499.1	6488	"Lagoon terrace. Physiography: coastal plain. Surrounding vegetation: Quercus mongolica-Betula forest."	"1986-06-18 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Korotky, A.M. and Karaulova, L.P., 1975. New data about the stratigraphy of Quaternary deposits of Primor'ye. In: Questions of geomorphology and Quaternary geology of the southern Far East ed. by A.M. Korotky and A.P. Kulakov (pp.79-110). Far Eastern Branch, USSR Academy of Sciences, Vladivostok (in Russian)."	NA	"Korotky, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"Indigirka_Lowland"	"Neotoma"	253	259	"Berelyekh River, Indigirka Lowland"	70.58333	145	20	"Asia"	"Alluvial/Fluvial"	"Raw"	16	"AWI"	6	8515	20446	795.4	11931	"Exposure on river terrace. Physiography: river valley. Surrounding vegetation: shrub tundra."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Lozhkin, A.V., 1977. Environment of the Berelyekh mammoth population. In: Mammoth fauna of the Russian plain and Eastern Siberia ed. by O.A. Skarlato (pp.67-68). Zoological Institute, USSR Academy of Sciences, Leningrad (in Russian)."	NA	"Lozhkin, A.V., 1998. Questions concerning radiocarbon data and palynological characteristics of the mammoth burials, Berelyekh River, lower Indigirka drainage. In: Environmental changes in Beringia during the Quaternary ed. by K.V. Simakov (pp.45-62). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian)."	NA	"Vereschagin, N.K., 1977. Berelyekh mammoth \"cemetery\". In: Mammoth fauna of the Russian plain and Eastern Siberia ed. by O.A. Skarlato (pp.5-50). Zoological Institute, USSR Academy of Sciences, Leningrad (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"BETENK"	"Neotoma"	255	261	"Betenkyos Exposure, Adycha River"	67.66667	135.5833	135	"Asia"	"Alluvial/Fluvial"	"Raw"	10	"AWI"	3	-61	2967	336.4	3028	"Floodplain exposure. Physiography: river valley. Surrounding vegetation: open Larix dahurica forest."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
