"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_1.0"	"3PINES"	"Neotoma"	7	7	"Three Pines Bog"	47	-80.1167	294	"Eastern North America"	"Peat"	"Raw"	41	"AWI"	2	207	7394	179.7	7187	"Bog."	NA	"Gordon, D.L., 1990. Prehistoric occupations at Lake Temagami. In: Temagami: a debate on wilderness, ed. by Bray, M. and Thomson, A. (pp.152-183). Dunburn Press, Toronto, Ontario, Canada."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	"b, LW, L2,"
"LegacyPollen_1.0"	"ALEXLAKE"	"Neotoma"	24	24	"Alexander Lake"	53.3	-60.54	143	"Eastern North America"	"Lake"	"Raw"	25	"AWI"	4	4178	7237	127.5	3059	"Physiography: rolling glacial till, eskers, kettles,."	"1972-01-01 00:00:00"	"Jordan, R.H., 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern Maritime Archaic. Arctic Anthropology, 12(2), pp.92-116."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	430322.3	"GIS"	"l, LW, L1,"
"LegacyPollen_1.0"	"ALEXISLK"	"Neotoma"	25	25	"Alexis Lake"	52.51667	-57.0333	200	"Eastern North America"	"Lake"	"Raw"	15	"AWI"	4	-67	27644	1979.4	27711	"Lake in Alexis River watershed. Physiography: Mecatina Plateau/Laurentian region. Surrounding vegetation: Black Spruce, Lichen Barrens."	NA	"Lamb, H.F., 1978. Post-glacial vegetation change in southeastern Labrador. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	863081.8	"GIS"	"l, LW, L2,"
"LegacyPollen_1.0"	"ALIUK"	"Neotoma"	27	27	"Aliuk Pond"	54.58333	-57.3667	25	"Eastern North America"	"Lake"	"Raw"	9	"AWI"	2	2323	11207	1110.5	8884	"Small glacial scour lake. Physiography: coastal lowlands. Surrounding vegetation: sedge-shrub and lichen-heath tundra."	"1972-01-01 00:00:00"	"Jordan, R.H., 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern Maritime Archaic. Arctic Anthropology, 12(2), pp.92-116."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7196.784	"Google Earth"	"6 lakes in 1 km radius averaged"
"LegacyPollen_1.0"	"ANDERSLK"	"Neotoma"	202	202	"Anderson Lake"	46.41667	-92.7167	339	"Eastern North America"	"Lake"	"Raw"	24	"AWI"	4	11693	12647	41.5	954	"Physiography: Nickerson Moraine. Surrounding vegetation: maple-basswood, Juglans cinerea."	NA	"Wright Jr, H.E. and Watts, W.A., 1969. Glacial and vegetational history of northeastern Minnesota. Special Publications Series 11. Minnesota Geological Survey, University of Minnesota, Minneapolis, Minnesota, USA."	NA	"Stuiver, M., 1969. Yale natural radiocarbon measurements IX. Radiocarbon, 11(2), pp.545-658."	"https://doi.org/10.1017/S0033822200011413"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30284.46	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"ANDERSON"	"Neotoma"	203	203	"Anderson Pond"	36.03	-85.5	303	"Eastern North America"	"Lake"	"Raw"	60	"AWI"	10	-42	30146	511.7	30188	NA	"1976-01-01 00:00:00"	"Delcourt, H.R., 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs, 49(3), pp.255-280."	"https://doi.org/10.2307/1942485"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	265.33	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"ANDREE"	"Neotoma"	204	204	"Andree Bog"	45.725	-93.25	300	"Eastern North America"	"Peat"	"Raw"	20	"AWI"	4	9575	13447	203.8	3872	"Shallow irregular peat deposit. Physiography: gently rolling ground moraine. Surrounding vegetation: sedge meadow and shrub-carr."	NA	"Cushing, E.J., 1967. Late-Wisconsin pollen stratigraphy and the glacial sequence in Minnesota. In: Quaternary paleoecology ed. by E.J. Cushing and H.E. Wright Jr (pp.59-88). Yale University Press, New Haven, Connecticut, USA."	NA	"Cushing, E.J., 1963. Late-Wisconsin pollen stratigraphy in east-central Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA."	NA	"Cushing, E.J., 1964. Redeposited pollen in Late Wisconsin pollen spectra from east-central Minnesota. American Journal of Science, 262(9), pp.1075-1088."	"https://doi.org/10.2475/ajs.262.9.1075"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"ANDRUSC2"	"Neotoma"	205	205	"Andrus Lake"	46.70169	-85.039	190	"Eastern North America"	"Lake"	"Raw"	13	"AWI"	26	-34.2	156.5	15.9	190.8	"Seepage lake. Physiography: flat sandy glacial lake bottom. Surrounding vegetation: Pinus/Betula/Quercus/Acer."	"1984-02-15 00:00:00"	"Charles, D.F. and Whitehead, D.R., 1984. Paleoecological Investigation of Recent Lake Acidification (PIRLA): December 1984 Status Report. RP 2174-10, Electric Power Research Institute, Palo Alto, CA."	NA	"Charles, D.F. and Whitehead, D.R., 1986. Paleoecological Investigation of Recent Lake Acidification (PIRLA): Methods and Project Description. EPRI EA-4906, Electric Power Research Institute, Palo Alto, CA."	NA	"Shane, L.C., 1987. Northern Great Lakes States pollen and charcoal data. PIRLA Unpublished Report Series 9, Indiana University, Bloomington, IN."	NA	"Kingston, J.C., Cook, R.B., Kreis, R.G., Camburn, K.E., Norton, S.A., Sweets, P.R., Binford, M.W., Mitchell, M.J., Schindler, S.C., Shane, L.C.K. and King, G.A., 1990. Paleoecological investigation of recent lake acidification in the northern Great Lakes states. Journal of Paleolimnology, 4(2), pp.153-201."	"https://doi.org/10.1007/BF00226322"	"Charles, D.F. and Whitehead, D.R., 1987. The PIRLA project: paleoecological investigations of recent lake acidification. Hydrobiologia, 143, pp.13-20."	"https://doi.org/10.1007/BF00026639"	NA	NA	NA	NA	NA	NA	132905	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"ANGE"	"Neotoma"	208	209	"Lac a l'Ange"	47.48	-70.68	648	"Eastern North America"	"Lake"	"Raw"	57	"AWI"	8	-59	15915	285.2	15974	"Rock basin with steep sides. Physiography: rugged mountainous morainic area. Surrounding vegetation: Betulo papyriferae - Abietetum."	"1977-01-01 00:00:00"	"Labelle, C. and Richard, P.J.H., 1981. Vegetation tardiglaciaire et postglaciaire au sud-est du parc des Laurentides, Quebec. Geographie physique et Quaternaire, 35(3), pp.345-359 (in French)."	"https://doi.org/10.7202/1000544ar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53127.09	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"ARRINGTO"	"Neotoma"	213	214	"Arrington Marsh"	39.495	-95.5267	280	"Eastern North America"	"Peat"	"Raw"	26	"AWI"	2	19368	29163	391.8	9795	"Spring marsh along edge of floodplain. Physiography: floodplain edge of the Delaware River."	NA	"Gruger, J., 1973. Studies on the late Quaternary vegetation history of northeastern Kansas. Geological Society of America Bulletin, 84(1), pp.239-250."	"https://doi.org/10.1130/0016-7606(1973)84<239:SOTLQV>2.0.CO;2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
