"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_1.0"	"ADANGE"	"Neotoma"	9	9	"Adange"	43.30556	41.33333	1750	"Europe"	"Alluvial/Fluvial"	"Raw"	40	"AWI"	4	-61	4653	120.9	4714	"Meander of Adange river. Physiography: Fluvial terrace above flood-plain. Surrounding vegetation: Subalpine tall herbaceous vegetation."	"1984-08-01 00:00:00"	"Kvavadze, E.V. and Rukhadze, L.P., 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Scientific and Publishing Council of the Georgian SSR Academy of Sciences, p.136 (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"AGE_neotoma"	"Neotoma"	12	12	"Agerods Mosse"	55.93448	13.42774	58	"Europe"	"Peat"	"Raw"	135	"AWI"	33	-29	12403	92.8	12432	"Forested Sphagnum bog. Physiography: till. Surrounding vegetation: pasture and arable land."	"1960-01-01 00:00:00"	"Nilsson, T., 1964. Standard pollen diagramme und C14 datiengen aus dem Agerods mosse in mittleren schonen. Lunds Universitets Arsskrift N. F., 59(7), pp.1-52 (in German)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"AHL5"	"Neotoma"	16	16	"Ahlenmoor"	53.694	8.729075	2	"Europe"	"Peat"	"Raw"	50	"AWI"	5	136	4537	89.8	4401	"Excavated bog. Physiography: Raised bog. Surrounding vegetation: Sphagnetum."	"1973-06-26 00:00:00"	"Behre, K.E. and Kucan, D., 1986. Die Reflektion archaologisch bekannter Siedlungen in Pollendiagrammen verschiedener Entfernung - Beispiele aus der Siedlungskammer Flogeln, Nordwestdeutschland .In: Anthropogenic indicators in pollen diagrams ed. by K.E. Behre (pp.95-114). Balkema, Rotterdam (in German)."	NA	"Behre, K.E., 1976. Pollenanalytische Untersuchungen zur Vegetations-und Siedlungsgeschichte bei Flogeln und im Ahlenmoor (Elb-Weser-Winkel). Probleme der Kustenforschung im sudlichen Nordseegebiet, 11, pp.101-118 (in German)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"AKUV"	"Neotoma"	20	20	"Akuvaara"	69.12326	27.67406	170	"Europe"	"Lake"	"Raw"	34	"AWI"	5	-23	10745	326.3	10768	"Lake. Physiography: Hill of sandy/gravelly outwash. Surrounding vegetation: Thin pine forest."	"1973-04-01 00:00:00"	"Hyvarinen, H., 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia-International Journal of Geography, 142(1), pp.1-23."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43966.09	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"AMTKEL"	"Neotoma"	200	200	"Amtkel"	43.26806	41.30833	1830	"Europe"	"Alluvial/Fluvial"	"Raw"	14	"AWI"	3	123	2048	148.1	1925	"Lower part of glacial trough. Physiography: Head of river Amtkel. Surrounding vegetation: Subalpine beech elfin woodland."	"1982-08-01 00:00:00"	"Kvavadze, E.V. and Rukhadze, L.P., 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Scientific and Publishing Council of the Georgian SSR Academy of Sciences, p.136 (in Russian)."	NA	"Kvavadze, E.V., Rukhadze, L.P., Tretyak, P.R. and Petrenko, L.V., 1987. On the migration on high-mountain vegetation belts in the late Holocene in the valley of the Amtqel River (Abkhazia). Bulletin of the Georgian Academy of Sciences, 125(2), pp.421-424."	"https://doi.org/10.1594/PANGAEA.738965"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"ARTSLOUG"	"Neotoma"	214	215	"Arts Lough"	52.95	-6.43333	490	"Europe"	"Peat"	"Raw"	30	"AWI"	6	647	12245	399.9	11598	"Eroding blanket peat. Physiography: Steep cliffs to south rising to 800m. Surrounding vegetation: Heathland vegetation."	NA	"Bradshaw, R.H.W. and McGee, E., 1988. The extent and time-course of mountain blanket peat erosion in Ireland. New Phytologist, 108(2), pp.219-224."	"https://doi.org/10.1111/j.1469-8137.1988.tb03699.x"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"BALLIN"	"Neotoma"	223	225	"Ballinloghig Lake"	52.19	-10.31	84	"Europe"	"Lake"	"Raw"	68	"AWI"	12	1425	17609	241.6	16184	"Lake with marginal fen. Physiography: Southern slope of Slieve Mish mountains. Surrounding vegetation: Blanket bog, heath, pasture and woodland."	NA	"Barnosky, C.W., 1988. A late-glacial and post-glacial pollen record from the Dingle Peninsula, County Kerry. Proceedings of the Royal Irish Academy, 88(B), pp.23-37."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8966.372	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"BALLYBET"	"Neotoma"	224	226	"Ballybetagh"	53.16667	-6.25	250	"Europe"	"Peat"	"Raw"	36	"AWI"	6	11115	15708	131.2	4593	"Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains."	NA	"Cwynar, L.C. and Watts, W.A., 1989. Accelerator-mass spectrometer ages for late-glacial events at Ballybetagh, Ireland. Quaternary Research, 31(3), pp.377-380."	"https://doi.org/10.1016/0033-5894(89)90044-6"	"Jessen, K. and Farrington, A., 1938. The bogs at Ballybetagh, near Dublin, with remarks on late-glacial conditions in Ireland. Proceedings of the Royal Irish Academy, 44B(10), pp.205-260."	NA	"Watts, W.A., 1977. The late Devensian vegetation of Ireland. Philosophical Transactions of the Royal Society of London. B, Biological Sciences, 280(972), pp.273-293."	"https://doi.org/10.1098/rstb.1977.0110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"BRUVAT"	"Neotoma"	310	317	"Bruvatnet [Rovvejavri]"	70.18109	28.40721	119	"Europe"	"Lake"	"Raw"	40	"AWI"	5	337	13310	332.6	12973	"Lake. Physiography: Bedrock hills mantled by gl. drift (till. Surrounding vegetation: Thin mountain birch scrub."	"1973-04-01 00:00:00"	"Hyvarinen, H., 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia-International Journal of Geography, 142(1), pp.1-23."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	444155.6	"GIS"	"l, GE, L2, modified LW shape"
"LegacyPollen_1.0"	"CARNINO"	"Neotoma"	335	342	"Selle di Carnino"	44.15	7.694444	1905	"Europe"	"Peat"	"Raw"	69	"AWI"	7	337	17067	246	16730	"Large peaty depression. Surrounding vegetation: Subalpine meadows."	NA	"de Beaulieu, J.L., 1977. Contribution pollenanalytique a l'histoire tardiglaciaire et Holocene de la vegetation des Alpes meridionales francaices. Doctoral dissertation. Universite d'Aix-Marseille, Marseille, France."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
