"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_1.0"	"BEGASWAM"	"Neotoma"	247	252	"Bega Swamp"	-36.5167	149.5	1080	"Indopacific"	"Peat"	"Raw"	489	"AWI"	39	-45.2	14487	29.8	14532.2	NA	NA	"Donders, T.H., Haberle, S.G., Hope, G., Wagner, F. and Visscher, H., 2007. Pollen evidence for the transition of the Eastern Australian climate system from the post-glacial to the present-day ENSO mode. Quaternary Science Reviews, 26(11-12), pp.1621-1637."	"https://doi.org/10.1016/j.quascirev.2006.11.018"	"Hope, G., Kershaw, A.P., van der Kaars, S., Xiangjun, S., Liew, P.M., Heusser, L.E., Takahara, H., McGlone, M., Miyoshi, N. and Moss, P.T., 2004. History of vegetation and habitat change in the Austral-Asian region. Quaternary International, 118, pp.103-126."	"https://doi.org/10.1016/S1040-6182(03)00133-2"	"Green, D., Singh, G., Polach, H., Moss, D., Banks, J. and Geissler, E.A., 1988. A fine-resolution palaeoecology and palaeoclimatology from south-eastern Australia. Journal of Ecology, 76(3), pp.790-806."	"https://doi.org/10.2307/2260574"	"Hope, G.S., 1995. Robustness and sensitivity of pollen data-a high resolution record from Bega Swamp. Proceedings of the Climate Change Conference, University of Melbourne and the Australian Quaternary Association, pp.6-8."	NA	"Polach, H. and Singh, G., 1980. Contemporary 14C levels and their significance to sedimentary history of Bega Swamp, New South Wales. Radiocarbon, 22(2), pp.398-409."	"https://doi.org/10.1017/S0033822200009693"	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"BLUELAKE"	"Neotoma"	279	285	"Blue Lake"	-36.4	148.31	1890	"Indopacific"	"Lake"	"Raw"	43	"AWI"	10	216	15333	359.9	15117	"Glacial lake 40m deep. Physiography: mountainous. Surrounding vegetation: Alpine heath and scrub."	"1971-02-01 00:00:00"	"Raine, J.I. 1974. Pollen sedimentation in relation to Quaternary vegetation history of the Snowy Mountains of New South Wales. Doctoral dissertation. Australian National University, Canberra, Australia."	NA	"Raine, J.I., 1982. Dimictic thermal regime and morphology of Blue Lake in the Snowy Mountains of New South Wales. Marine and Freshwater Research, 33(6), pp.1119-1122."	"https://doi.org/10.1071/mf9821119"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	145019.1	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"LGEORGE"	"Neotoma"	1583	1630	"Lake George"	-35.0897	149.4293	673	"Indopacific"	"Lake"	"Raw"	42	"AWI"	20	-68	39651	968.8	39719	"Closed Tectonic basin. Physiography: Hilly, scarp 200m high on western shore. Surrounding vegetation: Eucalypt woodland, grasslands."	"1970-04-01 00:00:00"	"Singh, G., Opdyke, N.D. and Bowler, J.M., 1981. Late Cainozoic stratigraphy, palaeomagnetic chronology and vegetational history from Lake George, NSW. Journal of the Geological Society of Australia, 28(3-4), pp.435-452."	"https://doi.org/10.1080/00167618108729180"	"Singh, G. and Geissler, E.A., 1985. Late Cainozoic history of vegetation, fire, lake levels and climate, at Lake George, New South Wales, Australia. Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences, 311(1151), pp.379-447."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39e+08	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"LYNCHA"	"Neotoma"	1628	1683	"Lynch's Crater"	-17.3659	145.6861	760	"Indopacific"	"Lake"	"Raw"	233	"AWI"	26	745	192864	828.1	192119	NA	NA	"Kershaw, A.P., 1974. A long continuous pollen sequence from north-eastern Australia. Nature, 251(5472), pp.222-223."	"https://doi.org/10.1038/251222a0"	"Kershaw, A.P., 1976. A late Pleistocene and Holocene pollen diagram from Lynch's Crater, northeastern Queensland, Australia. New Phytologist, 77(2), pp.469-498."	"https://doi.org/10.1111/j.1469-8137.1976.tb01534.x"	"Kershaw, A.P., 1994. Pleistocene vegetation of the humid tropics of northeastern Queensland, Australia. Palaeogeography, Palaeoclimatology, Palaeoecology, 109(2-4), pp.399-412."	"https://doi.org/10.1016/0031-0182(94)90188-0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"can't find a basin"
"LegacyPollen_1.0"	"YARLINGT"	"Neotoma"	2945	3043	"Yarlington Tier"	-42.5436	147.3006	650	"Indopacific"	"Peat"	"Raw"	21	"AWI"	2	-22	10943	548.2	10965	"Sphagnum Bog with Beech swamp forest. Physiography: Dolorite Shelf. Surrounding vegetation: Dry Sclerophyll Eucalypt forest."	"1989-01-01 00:00:00"	"Harle, K.J., Kershaw, A.P., Macphail, M.K. and Neyland, M.G., 1993. Palaeoecological analysis of an isolated stand of Nothofagus cunninghamii (Hook.) Oerst. in eastern Tasmania. Australian Journal of Ecology, 18(2), pp.161-170."	"https://doi.org/10.1111/j.1442-9993.1993.tb00440.x"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"KIRKPAT"	"Neotoma"	9865	14622	"Lake Kirkpatrick"	-45.0272	168.5737	570	"Indopacific"	"Lake"	"Raw"	26	"AWI"	11	-24	756	31.2	780	"Located in the Lake Wakatipu catchment, southeastern hill country, South Island. Surrounded by pastureland with Agrostis capillaris, Poa spp. and other introduced grasses, Trifolium spp., Hypericum spp., Pinus radiata plantations, and small areas of native Nothofagus menziesii forest."	"2009-03-01 00:00:00"	"McWethy, D.B., Wilmshurst, J.M., Whitlock, C., Wood, J.R. and McGlone, M.S., 2014. A high-resolution chronology of rapid forest transitions following Polynesian arrival in New Zealand. PLoS One, 9(11), p.e111328."	"https://doi.org/10.1371/journal.pone.0111328"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41322.56	"Google Earth"	NA
"LegacyPollen_1.0"	"DUKES"	"Neotoma"	9868	14629	"Dukes Tarn"	-44.964	168.4928	830	"Indopacific"	"Lake"	"Raw"	46	"Neotoma_McWethy et al. 2014"	9	3	792	17.5	789	"Glacial tarn located within the Lake Wakatipu catchment. Surrounding vegetation: patches of trees and shrubs (Nothofagus solandri, Coprosma spp. Phyllocladus, Dracophyllum longifolium, Hebe spp., Gaultheria spp.), native tussock (Chionochloa spp.), and introduced pasture grasses (Festuca spp.)."	"2008-03-01 00:00:00"	"McWethy, D.B., Whitlock, C., Wilmshurst, J.M., McGlone, M.S., Fromont, M., Li, X., Dieffenbacher-Krall, A., Hobbs, W.O., Fritz, S.C. and Cook, E.R., 2010. Rapid landscape transformation in South Island, New Zealand, following initial Polynesian settlement. Proceedings of the National Academy of Sciences, 107(50), pp.21343-21348."	"https://doi.org/10.1073/pnas.1011801107"	"McWethy, D.B., Wilmshurst, J.M., Whitlock, C., Wood, J.R. and McGlone, M.S., 2014. A high-resolution chronology of rapid forest transitions following Polynesian arrival in New Zealand. PLoS One, 9(11), p.e111328."	"https://doi.org/10.1371/journal.pone.0111328"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10641.19	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"BONATOAB"	"Neotoma"	9979	14897	"Bonatoa Bog"	-18.0667	178.5333	4	"Indopacific"	"Peat"	"Raw"	21	"AWI"	4	-36	4980	250.8	5016	"Levee-dammed peatland on delta. Physiography: Estuarine plain, 6 km inland. Regional vegetation: disturbed tropical forest. Local vegetation: Pandanus-sedge-Sphagnum open shrubland."	"1984-06-15 00:00:00"	"Hope, G., Stevenson, J. and Southern, W., 2009. Vegetation histories from the Fijian Islands: alternative records of human impact. In: The early prehistory of Fiji. Terra Australis 31. ed. by G. Clark and A. Anderson (pp.63-86). Australian National University Press, Canberra, ACT, Australia."	"https://doi.org/10.22459/TA31.12.2009.04"	"Hope, G., O'Dea, D. and Southern, W., 1999. Holocene vegetation histories in the Western Pacific: alternative records of human impact. Le Pacifique de 5000 a 2000 avant le present: supplements a l'histoire d'une colonisation ed. by J.C. Galipaud and I. Lilley. Actes du colloque, Vanuatu 31 juillet-6 aout 1996. Collection Colloques et seminaires. Institut de recherche pour le developpement, Paris, France."	NA	"Southern, W., 1986. The late Quaternary environmental History of Fiji. Doctoral dissertation. Australian National University, Canberra, Australian Capital Territory, Australia."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"BRASS"	"Neotoma"	9988	14921	"Brass Tarn"	-5.78747	145.0432	3910	"Indopacific"	"Peat"	"Raw"	48	"AWI"	5	-33	12429	265.1	12462	"Sedge fen infilling a glacial tarn, perched on wall of deep glacial valley in the Bismarck Range. Located in shrub-rich subalpine grasslands slightly above the tree-line. Local vegetation: Carex gaudichaudiana sedgeland."	"1969-05-27 00:00:00"	"Hope, G.S., 1996. History of Nothofagus in New Guinea and New Caledonia. In: The ecology and biogeography of Nothofagus forests ed. by T.T. Veblen, R.S. Hill, and J. Read (pp.257-270). Yale University Press, New Haven, Connecticut, USA."	NA	"Hope, G.S. and Peterson, J.A., 1975. Glaciation and vegetation in the high New Guinea mountains. In: Quaternary studies. Bulletin 13 ed. by R.P. Suggate and M.M. Cresswell (pp.155-162). Royal Society of New Zealand, Wellington, New Zealand."	NA	"McGlone, M.S., Hope, G., Chappell, J. and Barrett, P., 1996. Past climatic change in Oceania and Antarctica. In: Greenhouse: coping with climate change ed. by J. Bouma, G.I. Pearman, and N.R. Manning (pp.81-99). CSIRO Publishing, Melbourne, Victoria, Australia."	NA	"Hope, G.S., 1976. The vegetational history of Mt Wilhelm, Papua New Guinea. The Journal of Ecology, 64(2), pp.627-663."	"https://doi.org/10.2307/2258776"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"IJOMBA"	"Neotoma"	9996	14941	"Ijomba"	-4.02063	137.2169	3630	"Indopacific"	"Peat"	"Raw"	32	"Neotoma_Neotoma 1"	4	-31	17159	554.5	17190	"Moraine dammed mire in the Discovery Valley on the Kemabu Plateau. Surrounding vegetation: disturbed subalpine forest and treefern. Local vegetation: Astelia hummock bog and Carex fen."	"1971-01-10 00:00:00"	"Hope, G.S. and Peterson, J.A., 1975. Glaciation and vegetation in the high New Guinea mountains. In: Quaternary studies. Bulletin 13 ed. by R.P. Suggate and M.M. Cresswell (pp.155-162). Royal Society of New Zealand, Wellington, New Zealand."	NA	"Hope, G.S. and Peterson, J.A., 1976. Palaeoenvironments. In: The equatorial glaciers of New Guinea ed. by G.S. Hope, J.A. Peterson, I. Allison, and U. Radok (pp.173-205). A.A. Balkema, Rotterdam, Netherlands."	NA	"Flenley, J.R., 1988. Palynological evidence for land use changes in South-East Asia. Journal of Biogeography, 15(1), pp.185-197."	"https://doi.org/10.2307/2845059"	"Haberle, S.G., Hope, G.S. and van der Kaars, S., 2001. Biomass burning in Indonesia and Papua New Guinea: natural and human induced fire events in the fossil record. Palaeogeography, Palaeoclimatology, Palaeoecology, 171(3-4), pp.259-268."	"https://doi.org/10.1016/S0031-0182(01)00248-6"	"Hope, G. and Golson, J., 1995. Late Quaternary change in the mountains of New Guinea. Antiquity, 69(265), pp.818-830."	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
