"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_1.0"	"AGUILAR"	"Neotoma"	15	15	"Aguilar"	-23.8333	-65.75	4000	"South America"	"Peat"	"Raw"	24	"AWI"	3	-56	11192	489	11248	"Fen along creek above Mina Aguilar. Physiography: bog cut by creek draining endmoraines. Surrounding vegetation: Altiplano paramo grassland."	"1981-02-01 00:00:00"	"Markgraf, V., 1985. Paleoenvironmental history of the last 10,000 years in northwestern Argentina. Zentralblatt fur Geologie und Palaontologie. Teil 1, Allgemeine, Angewandte, Regionale und Historische Geologie, 1984(11-12), pp.1739-1749."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"AMARETE"	"Neotoma"	32	32	"Amarete"	-15.2333	-68.9833	4000	"South America"	"Peat"	"Raw"	15	"AWI"	2	-60	10281	738.6	10341	"Mire."	NA	"Graf, K., 1992. Pollendiagramme aus den Anden: Eine Synthese zur Klimageschichte und Vegetationsentwicklung seit der letzten Eiszeit. Physische Geographie 34. Universitat Zurich-Irchel, Geographisches Institut, Zurich, Switzerland (in German)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"AQUIRI"	"Neotoma"	211	212	"Lago do Aquiri"	-3.16	-45.01	10	"South America"	"Lake"	"Raw"	27	"AWI"	3	7140	8278	43.8	1138	"Natural lake, sometimes flooded by river. Physiography: soft rolling area with flood plains. Surrounding vegetation: anthropog. palm forest, swamp savanna."	"1994-05-20 00:00:00"	"Behling, H. and da Costa, M.L., 1997. Studies on Holocene tropical vegetation, mangrove and coast environments in the state of Maranhao, NE Brazil. Quaternary of South America and Antarctic Peninsula, 10(7), pp.93-118."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22475090	"Google Earth"	"l, GE, L2,"
"LegacyPollen_1.0"	"BOAVISTA"	"Neotoma"	288	294	"Serra da Boa Vista"	-27.7	-49.15	1160	"South America"	"Peat"	"Raw"	38	"AWI"	4	-38	17887	484.5	17925	"Peat bog. Physiography: situated on a small slope. Surrounding vegetation: grassland."	"1989-05-04 00:00:00"	"Behling, H., 1993. Untersuchungen zur spatpleistozanen und holozanen Vegetations- und Klimageschichte der tropischen Kustenwalder und der Araukarienwalder in Santa Catarina (Sudbrasilien). Dissertationes Botanicae 206. J Cramer, Berlin Stuttgart, Germany (in German)."	NA	"Behling, H., 1995. Investigations into the Late Pleistocene and Holocene history of vegetation and climate in Santa Catarina (S Brazil). Vegetation History and Archaeobotany, 4(3), pp.127-152."	"https://doi.org/10.1007/BF00203932"	"Ledru, M.P., Behling, H., Fournier, M., Martin, L. and Servant, M., 1994. Localisation de la foret d'Araucaria du Bresil au cours de l'Holocene. Implications paleoclimatiques. Comptes rendus de l'Academie des sciences. Serie 3, Sciences de la vie, 317(6), pp.517-521 (in French)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"CALACONT"	"Neotoma"	323	330	"Cala Conto"	-17.5667	-65.9333	2700	"South America"	"Alluvial/Fluvial"	"Raw"	30	"AWI"	4	12506	42655	1039.6	30149	"Interandean plain."	NA	"Graf, K., 1992. Pollendiagramme aus den Anden: Eine Synthese zur Klimageschichte und Vegetationsentwicklung seit der letzten Eiszeit. Physische Geographie 34. Universitat Zurich-Irchel, Geographisches Institut, Zurich, Switzerland (in German)."	NA	"Graf, K., 1989. Palinologia del cuaternario reciente en los Andes del Ecuador, del Peru, y de Bolivia. Boletin Servicio Geologico Bolivia, 4, pp.69-91 (in Spanish)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"CAUNAHU1"	"Neotoma"	342	350	"Caunahue"	-40	-72	500	"South America"	"Alluvial/Fluvial"	"Raw"	58	"AWI"	9	3026	17810	259.4	14784	"Outcrop along Caunahue river (L. Ranco). Physiography: within end-moraines. Surrounding vegetation: Valdivian rainforest."	"1987-01-01 00:00:00"	"Markgraf, V., 1991. Younger Dryas in southern South America?. Boreas, 20(1), pp.63-69."	"https://doi.org/10.1111/j.1502-3885.1991.tb00459.x"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"CAYAMBE"	"Neotoma"	343	351	"Cayambe"	-0.03333	-78.0333	4350	"South America"	"Peat"	"Raw"	22	"AWI"	6	283	5909	267.9	5626	NA	NA	"Graf, K., 1992. Pollendiagramme aus den Anden: Eine Synthese zur Klimageschichte und Vegetationsentwicklung seit der letzten Eiszeit. Physische Geographie 34. Universitat Zurich-Irchel, Geographisches Institut, Zurich, Switzerland (in German)."	NA	"Graf, K., 1989. Palinologia del cuaternario reciente en los Andes del Ecuador, del Peru, y de Bolivia. Boletin Servicio Geologico Bolivia, 4, pp.69-91 (in Spanish)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"CHACALT1"	"Neotoma"	347	355	"Chacaltaya 1"	-16.3667	-68.15	4750	"South America"	"Peat"	"Raw"	45	"AWI"	5	23	8750	198.3	8727	NA	NA	"Graf, K., 1992. Pollendiagramme aus den Anden: Eine Synthese zur Klimageschichte und Vegetationsentwicklung seit der letzten Eiszeit. Physische Geographie 34. Universitat Zurich-Irchel, Geographisches Institut, Zurich, Switzerland (in German)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"CHACALT2"	"Neotoma"	348	356	"Chacaltaya 2"	-16.3667	-68.15	4350	"South America"	"Peat"	"Raw"	41	"AWI"	5	-50	12336	309.6	12386	NA	NA	"Graf, K., 1992. Pollendiagramme aus den Anden: Eine Synthese zur Klimageschichte und Vegetationsentwicklung seit der letzten Eiszeit. Physische Geographie 34. Universitat Zurich-Irchel, Geographisches Institut, Zurich, Switzerland (in German)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"CLARENCE"	"Neotoma"	477	488	"Isla Clarence"	-54.2	-71.233333	10	"South America"	"Peat"	"Raw"	39	"AWI"	3	317	10807	276.1	10490	"Surrounding vegetation: Nothofagus betuloides rain forest."	NA	"Markgraf, V., 1983. Late and postglacial vegetational and paleoclimatic changes in subantarctic, temperate, and arid environments in Argentina. Palynology, 7(1), pp.43-70."	"https://doi.org/10.1080/01916122.1983.9989252"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"COCALVAR"	"Neotoma"	483	495	"Cerro Calvario"	-16.25	-68.5	3950	"South America"	"Peat"	"Raw"	18	"AWI"	3	5259	8637	198.7	3378	NA	NA	"Graf, K., 1992. Pollendiagramme aus den Anden: Eine Synthese zur Klimageschichte und Vegetationsentwicklung seit der letzten Eiszeit. Physische Geographie 34. Universitat Zurich-Irchel, Geographisches Institut, Zurich, Switzerland (in German)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"COTAPAMP"	"Neotoma"	497	509	"Cotapampa"	-15.2167	-69.1	4450	"South America"	"Peat"	"Raw"	16	"AWI"	5	-50	11328	758.5	11378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"CUEVAHAI"	"Neotoma"	521	535	"Cueva Haichol"	-38.5833	-70.6667	1050	"South America"	"Valley"	"Raw"	9	"AWI"	2	192	7598.5	925.8	7406.5	"Rockshelter. Physiography: about 50m above valley. Surrounding vegetation: scrub steppe with Maytenus and Schinus."	"1979-01-01 00:00:00"	"Markgraf, V., 1988. Analisis palinologicos de los sedimentos. In: Arqueologia de la Cueva Haichol ed. by J.C. Fernandez (pp.97-102). Anales de Arqueologia y Etnologia (in Spanish)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
