"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_1.0"	"ABALONE"	"Neotoma"	8	8	"Abalone Rocks Marsh"	33.95639	-119.977	0	"Western North America"	"Peat"	"Raw"	32	"AWI"	8	-49	5845	190.1	5894	"Small estuarine marsh. Physiography: Santa Rosa Island. Surrounding vegetation: coastal marsh and grassland."	NA	"Cole, K.L. and Liu, G.W., 1994. Holocene paleoecology of an estuary on Santa Rosa Island, California. Quaternary Research, 41(3), pp.326-335."	"https://doi.org/10.1006/qres.1994.1037"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"ANDYLAKE"	"Neotoma"	206	206	"Andy Lake"	64.64	-128.08	1360	"Western North America"	"Lake"	"Raw"	57	"AWI"	4	-66	13049	234.2	13115	"Lake dammed by a Mountain River moraine. Physiography: Mackenzie Mountains. Surrounding vegetation: shrub tundra."	"1990-04-01 00:00:00"	"Szeicz, J.M., MacDonald, G.M. and Duk-Rodkin, A., 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology, 113(2-4), pp.351-371."	"https://doi.org/10.1016/0031-0182(95)00070-3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	479644.3	"GIS"	"l, LW, L2,"
"LegacyPollen_1.0"	"ANGAL"	"Neotoma"	207	208	"Angal Lake"	67.13	-153.9	820	"Western North America"	"Lake"	"Raw"	37	"AWI"	3	-51	17051	475.1	17102	"Cirque lake. Physiography: mountainous. Surrounding vegetation: Betula shrub tundra."	"1979-08-01 00:00:00"	"Brubaker, L.B., Garfinkee, H.L. and Edwards, M.E., 1983. A late Wisconsin and Holocene vegetation history from the central Brooks Range: implications for Alaskan palaeoecology. Quaternary Research, 20(2), pp.194-214."	"https://doi.org/10.1016/0033-5894(83)90077-7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31838.04	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"ANTELOPE"	"Neotoma"	209	210	"Antelope Playa"	43.5	-105.45	1450	"Western North America"	"Alluvial/Fluvial"	"Raw"	25	"AWI"	3	-54	16494	689.5	16548	"Small playa. Physiography: Powder River Basin. Surrounding vegetation: Artemisia tridentata grassland."	"1982-03-01 00:00:00"	"Markgraf, V. and Lennon, T., 1986. Paleoenvironmental history of the last 13,000 years of the eastern Powder River Basin, Wyoming, and its implications for prehistoric cultural patterns. Plains Anthropologist, 31(111), pp.1-12."	"https://doi.org/10.1080/2052546.1986.11909310"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"BARRETT"	"Neotoma"	231	234	"Barrett Lake"	37.6	-119.01	2816	"Western North America"	"Lake"	"Raw"	38	"AWI"	5	-61	15366	416.9	15427	"Glacial scour lake. Physiography: Sierra Nevada mountains. Surrounding vegetation: lodgepole/limber pine, mountain hemlock."	NA	"Anderson, R.S., 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA."	NA	"Anderson, R.S., 1990. Holocene forest development and paleoclimates within the central Sierra Nevada, California. Journal of Ecology, 78(2), pp.470-489."	"https://doi.org/10.2307/2261125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13669.55	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"BATLGRND"	"Neotoma"	236	239	"Battle Ground Lake"	45.8	-122.49	155	"Western North America"	"Lake"	"Raw"	105	"AWI"	15	-40	24274	233.8	24314	"Volcanic crater. Physiography: Puget Trough. Surrounding vegetation: second-growth Pseudotsuga/decid forest."	"1980-10-01 00:00:00"	"Barnosky, C.W., 1983. Late-Quaternary vegetational and climatic history of southwestern Washington. Doctoral dissertation. University of Washington, Seattle, Washingtion, USA."	NA	"Barnosky, C.W., 1985. Late Quaternary vegetation near Battle Ground Lake, southern Puget Trough, Washington. Geological Society of America Bulletin, 96(2), pp.263-271."	"https://doi.org/10.1130/0016-7606(1985)96<263:LQVNBG>2.0.CO;2"	"Whitlock, C., 1992. Vegetational and climatic history of the Pacific Northwest during the last 20,000 years: implications for understanding present-day biodiversity. Northwest Environmental Journal, 8, pp.5-28."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	107929.8	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"BEEFPAST"	"Neotoma"	246	250	"Beef Pasture"	37.47311	-108.16	3060	"Western North America"	"Peat"	"Raw"	91	"AWI"	10	-24	6033	67.3	6057	"Open wet meadow and fen occupying a depression formed by a landslide ~5000 BP in the La Plata Mountains. Local upland vegetation dominated by Picea engelmannii, Pseudotsuga menziesii, Populus tremuloides, and Alnus tenuifolia. Salix brachycarpa lines the edges of the wet meadow."	"1973-08-17 00:00:00"	"Petersen, K.L., 1988. Climate and the Dolores River Anasazi: a paleoenvironmental reconstruction from a 10,000-year pollen record, La Plata Mountains, Southwestern Colorado. University of Utah, Anthropological Papers 113. University of Utah Pres, Salt Lake City, Utah, USA."	NA	"Petersen, K.L., 1985. Palynology in Montezuma County, southwestern Colorado: the local history of the Pinyon Pine (Pinus edulis). In: Late Quaternary Vegetation and Climates in the American Southwest. Contribution Series 16. ed. by B.F. Jacobs, P.L. Fall, and O.K. Davis (pp.47-62). American Association of Stratigraphic Palynologists, Dallas, Texas, USA."	NA	"Petersen, K.L., 1994. A warm and wet Little Climatic Optimum and a cold and dry Little Ice Age in the southern Rocky Mountains, USA. Climatic Change, 26(2), pp.243-269."	"https://doi.org/10.1007/BF01092417"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"BELLS"	"Neotoma"	248	253	"Bell's Lake"	65.01667	-127.483	580	"Western North America"	"Lake"	"Raw"	53	"AWI"	5	-57	12638	244.1	12695	"Ground moraine depression. Physiography: Mackenzie Mountains. Surrounding vegetation: open Picea muskeg and forest."	"1990-04-01 00:00:00"	"Szeicz, J.M., MacDonald, G.M. and Duk-Rodkin, A., 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology, 113(2-4), pp.351-371."	"https://doi.org/10.1016/0031-0182(95)00070-3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78729.32	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"BELMONT"	"Neotoma"	249	254	"Belmont Bog"	65.02	-127.47	497	"Western North America"	"Peat"	"Raw"	46	"AWI"	7	73	19718	436.6	19645	NA	"1973-01-01 00:00:00"	"Spear, R.W. and Miller, N.G., 1976. A radiocarbon dated pollen diagram from the Allegheny Plateau of New York State. Journal of the Arnold Arboretum, 57(3), pp.369-403."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"BI74MS11"	"Neotoma"	261	267	"Banks Island 74MS11"	71.76	-124.24	30	"Western North America"	"Lake"	"Raw"	55	"AWI"	3	-50	12691	235.9	12741	"Small coastal kettle lake. Physiography: ice-contact sediments, Carpenter Till."	NA	"Gajewski, K., Mott, R.J., Ritchie, J.C. and Hadden, K., 2000. Holocene vegetation history of Banks Island, Northwest Territories, Canada. Canadian Journal of Botany, 78(4), pp.430-436."	"https://doi.org/10.1139/b00-018"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48872.82	"Google Earth"	"12 neotoma mentions lake, but coordinates are in a 1km diameter lake. lakes in 1 km radius averaged"
