"";"X.1";"X";"optima";"mean";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"mean.1";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"mean.2";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"mean.3";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3";"mean.4";"X0.5_inf.4";"X0.5_sup.4";"X0.95_inf.4";"X0.95_sup.4"
"1";1;0,018;6,876876877;6,928912422;3,873873874;10,03003003;-2,132132132;16,03603604;844,8972489;475,0750751;878,6786787;260,6606607;1584,984985;21,19551351;16,93693694;25,58558559;8,468468468;33,87387387;-4,742075842;-10,04004004;0,610610611;-20,5005005;10,88088088;10765,25131;6261,561562;14014,71471;-100;20310,01001
"2";2;0,054;7,027027027;7,042157124;4,324324324;9,72972973;-0,930930931;15,13513514;866,5133332;487,6876877;899,6996997;273,2732733;1622,822823;20,93403572;16,75675676;25,04504505;8,648648649;33,15315315;-4,307507298;-9,089089089;0,610610611;-18,5985986;10,12012012;11028,49466;6592,892893;14346,04605;98,7987988;20773,87387
"3";3;0,09;6,726726727;6,775932956;4,024024024;9,57957958;-1,531531532;15,13513514;863,6534242;479,2792793;895,4954955;264,8648649;1635,435435;20,8593119;16,75675676;24,86486486;8,828828829;32,97297297;-4,78261949;-9,84984985;0,42042042;-19,92992993;10,31031031;11176,03656;6592,892893;14544,84484;32,53253253;21105,20521
"4";4;0,126;7,177177177;7,12907316;4,474474474;9,87987988;-0,780780781;15,13513514;858,2219372;466,6666667;887,0870871;252,2522523;1635,435435;21,06590667;16,93693694;25,04504505;9,009009009;32,97297297;-4,326551675;-9,089089089;0,610610611;-18,5985986;10,12012012;11034,19659;6460,36036;14346,04605;-33,73373373;20840,14014
"5";5;0,162;7,477477477;7,419133229;4,924924925;10,03003003;-0,18018018;14,98498498;857,6742472;483,4834835;891,2912913;269,0690691;1606,006006;21,16610712;16,93693694;25,22522523;8,828828829;33,33333333;-3,778954096;-8,328328328;0,800800801;-17,26726727;9,73973974;10723,2101;6460,36036;13948,44845;165,0650651;20177,47748
"6";6;0,198;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";7;0,234;6,876876877;6,842852812;3,873873874;9,72972973;-1,981981982;15,58558559;870,86291;491,8918919;908,1081081;273,2732733;1627,027027;20,95058059;16,75675676;25,22522523;8,288288288;33,51351351;-4,689169036;-10,04004004;0,610610611;-20,31031031;11,07107107;11032,9918;6526,626627;14346,04605;32,53253253;20773,87387
"8";8;0,27;6,876876877;6,910837008;4,024024024;9,87987988;-1,981981982;15,73573574;874,8734746;500,3003003;912,3123123;281,6816817;1627,027027;20,96039125;16,75675676;25,22522523;8,468468468;33,51351351;-4,565967989;-9,84984985;0,610610611;-19,92992993;10,88088088;11254,39613;6526,626627;14611,11111;-100;21237,73774
"9";9;0,306;7,327327327;7,315168244;4,774774775;9,87987988;-0,33033033;14,83483483;878,5902852;491,8918919;912,3123123;273,2732733;1652,252252;21,12343932;17,11711712;25,22522523;9,189189189;33,15315315;-3,962502712;-8,708708709;0,610610611;-17,83783784;9,73973974;11115,58707;6592,892893;14478,57858;32,53253253;20972,67267
"10";10;0,342;7,177177177;7,205492976;4,474474474;9,87987988;-0,780780781;15,28528529;865,6582642;466,6666667;891,2912913;252,2522523;1656,456456;21,11016807;16,93693694;25,22522523;8,828828829;33,51351351;-4,20609763;-9,089089089;0,800800801;-18,78878879;10,5005005;11043,42468;6526,626627;14346,04605;32,53253253;20840,14014
"11";11;0,378;7,327327327;7,265152428;4,474474474;10,03003003;-1,081081081;15,58558559;860,2800981;470,8708709;891,2912913;256,4564565;1635,435435;21,20202712;16,93693694;25,40540541;8,828828829;33,69369369;-4,165943739;-9,279279279;0,800800801;-18,97897898;10,69069069;10893,53521;6394,094094;14147,24725;32,53253253;20508,80881
"12";12;0,413;7,177177177;7,149641879;4,474474474;9,87987988;-0,930930931;15,28528529;874,7273529;491,8918919;908,1081081;273,2732733;1635,435435;21,0757012;16,75675676;25,22522523;8,468468468;33,51351351;-4,17416642;-9,279279279;0,800800801;-19,16916917;10,69069069;10929,29493;6460,36036;14213,51351;98,7987988;20641,34134
