;X;X2;optima;mean;X0.5_inf;X0.5_sup;X0.95_inf;X0.95_sup;mean.1;X0.5_inf.1;X0.5_sup.1;X0.95_inf.1;X0.95_sup.1;mean.2;X0.5_inf.2;X0.5_sup.2;X0.95_inf.2;X0.95_sup.2;mean.3;X0.5_inf.3;X0.5_sup.3;X0.95_inf.3;X0.95_sup.3;mean.4;X0.5_inf.4;X0.5_sup.4;X0.95_inf.4;X0.95_sup.4
1;1;147,1167891;7,627627628;7,638986783;5,375375375;10,03003003;0,720720721;14,68468468;636,3670031;529,7297297;685,2852853;407,8078078;887,0870871;20,27441358;15,85585586;24,68468468;7,207207207;33,33333333;-4,386029809;-10,23023023;1,371371371;-21,45145145;12,78278278;8528,99664;5135,035035;11098,999;165,0650651;16068,96897
2;2;196,8880129;7,327327327;7,302120908;4,624624625;9,87987988;-0,48048048;14,98498498;651,2351994;512,9129129;702,1021021;374,1741742;958,5585586;21,07384283;16,93693694;25,04504505;8,828828829;33,15315315;-5,179874304;-10,8008008;0,610610611;-21,83183183;11,64164164;8557,891979;5002,502503;11098,999;-33,73373373;16135,23524
3;3;250,3480107;7,027027027;7,001134941;4,324324324;9,57957958;-0,930930931;14,98498498;665,6245244;504,5045045;718,9189189;357,3573574;1017,417417;20,79702166;16,57657658;24,86486486;8,648648649;32,97297297;-5,379317584;-10,99099099;0,42042042;-22,21221221;11,45145145;9050,795422;5267,567568;11761,66166;-33,73373373;17062,96296
4;4;307,4967827;7,027027027;7,009704449;4,024024024;10,03003003;-1,981981982;15,88588589;744,5661044;475,0750751;790,3903904;290,0900901;1294,894895;21,55740849;17,47747748;25,76576577;9,369369369;33,87387387;-5,269428296;-10,8008008;0,42042042;-21,64164164;11,26126126;9634,188731;5598,898899;12556,85686;-100;18189,48949
5;5;364,6455546;7,027027027;7,014953753;4,024024024;10,03003003;-1,981981982;16,03603604;665,0653781;491,8918919;714,7147147;340,5405405;1034,234234;20,95377285;16,3963964;25,40540541;7,747747748;34,23423423;-6,073065077;-12,51251251;0,42042042;-25,06506507;12,97297297;9512,533737;5466,366366;12358,05806;-100;17990,69069
6;6;417,3002769;6,876876877;6,804231596;3,573573574;10,18018018;-3,033033033;16,63663664;828,1940638;433,033033;849,2492492;227,027027;1610,21021;21,69930532;17,47747748;25,94594595;9,189189189;34,05405405;-5,395137845;-11,18118118;0,23023023;-22,21221221;11,45145145;10249,81369;5797,697698;13285,78579;-100;19514,81481
7;7;469,9549992;7,327327327;7,270739137;4,174174174;10,33033033;-1,831831832;16,48648649;728,4775394;462,4624625;773,5735736;281,6816817;1273,873874;22,24888767;18,1981982;26,30630631;10,27027027;34,05405405;-5,046685657;-10,42042042;0,23023023;-20,69069069;10,69069069;8665,517867;4936,236236;11231,53153;-100;16466,56657
8;8;524,5500522;7,177177177;7,117476515;4,024024024;10,18018018;-1,981981982;16,33633634;811,4532206;441,4414414;836,6366366;239,6396396;1547,147147;22,00028942;18,01801802;26,12612613;10,09009009;34,05405405;-4,859901709;-10,04004004;0,42042042;-20,31031031;10,5005005;9198,046353;5267,567568;11960,46046;-100;17526,82683
9;9;581,0854358;7,777777778;7,825558975;5,375375375;10,33033033;0,42042042;15,28528529;680,0441531;508,7087087;731,5315315;357,3573574;1051,051051;21,54967518;17,47747748;25,76576577;9,369369369;33,87387387;-3,645566391;-8,518518519;1,181181181;-17,83783784;10,69069069;9000,606736;5400,1001;11695,3954;98,7987988;16996,6967
10;10;637,6208195;7,927927928;7,866411807;5,375375375;10,48048048;0,27027027;15,43543544;705,5056825;496,0960961;756,7567568;332,1321321;1143,543544;21,90245519;17,83783784;25,94594595;9,72972973;34,05405405;-3,612786131;-8,328328328;0,990990991;-17,45745746;10,31031031;8865,204681;5267,567568;11496,5966;98,7987988;16731,63163
11;11;676,8013688;6,726726727;6,708746355;3,123123123;10,18018018;-3,633633634;17,08708709;803,9164859;420,4204204;824,024024;222,8228228;1568,168168;21,84202826;17,65765766;26,12612613;9,189189189;34,59459459;-5,748052819;-11,56156156;0,23023023;-23,16316316;11,83183183;9537,807313;5400,1001;12424,32432;-100;18189,48949
12;12;715,9819182;7,627627628;7,666603889;5,075075075;10,18018018;0,12012012;15,13513514;749,5554395;500,3003003;803,003003;319,5195195;1265,465465;21,22689467;17,11711712;25,22522523;9,189189189;33,33333333;-3,60063774;-8,328328328;0,990990991;-17,26726727;10,12012012;10301,11175;6129,029029;13418,31832;98,7987988;19448,54855
13;13;755,1624675;6,876876877;6,869872424;3,723723724;10,03003003;-2,432432432;16,18618619;838,2857669;454,0540541;866,0660661;243,8438438;1606,006006;21,50258626;17,2972973;25,58558559;9,189189189;33,87387387;-4,993314043;-10,42042042;0,42042042;-20,88088088;11,07107107;9973,894623;5665,165165;12954,45445;-100;18984,68468
14;14;794,3430169;7,927927928;7,901180462;5,675675676;10,18018018;1,171171171;14,68468468;654,3070479;525,5255255;706,3063063;390,990991;945,9459459;20,95716211;16,75675676;25,04504505;8,648648649;33,15315315;-3,382223888;-8,138138138;1,561561562;-17,64764765;10,88088088;8925,912286;5333,833834;11562,86286;98,7987988;16797,8979
15;15;833,5235662;7,027027027;7,081277272;4,024024024;10,03003003;-1,831831832;15,88588589;837,5682441;458,2582583;866,0660661;252,2522523;1589,189189;21,61436857;17,47747748;25,76576577;9,369369369;33,69369369;-4,686196211;-9,84984985;0,610610611;-20,12012012;10,69069069;9767,703428;5532,632633;12689,38939;-100;18587,08709
16;16;972,8403119;7,627627628;7,61548122;5,075075075;10,03003003;0,27027027;14,98498498;672,1980204;517,1171171;723,1231231;374,1741742;1013,213213;20,99718572;16,75675676;25,22522523;8,468468468;33,51351351;-4,016212474;-9,089089089;1,181181181;-19,16916917;11,26126126;9163,401599;5400,1001;11894,19419;32,53253253;17261,76176
17;17;1112,157058;7,327327327;7,343217412;4,624624625;10,18018018;-0,930930931;15,73573574;850,7983766;470,8708709;882,8828829;260,6606607;1606,006006;21,50692192;17,47747748;25,58558559;9,54954955;33,51351351;-4,147866215;-9,089089089;0,610610611;-18,5985986;10,12012012;10192,07167;5930,23023;13219,51952;-100;19249,74975
18;18;1251,473803;7,777777778;7,745946768;5,375375375;10,03003003;0,720720721;14,68468468;663,4258995;517,1171171;714,7147147;374,1741742;983,7837838;21,21815124;17,11711712;25,22522523;9,009009009;33,33333333;-3,905370492;-8,898898899;0,990990991;-18,40840841;10,69069069;8941,309112;5333,833834;11629,12913;98,7987988;16864,16416
19;19;1390,790549;7,327327327;7,350138175;4,624624625;10,18018018;-0,780780781;15,58558559;736,8927947;487,6876877;786,1861862;306,9069069;1252,852853;21,35947378;17,2972973;25,40540541;9,189189189;33,51351351;-4,329615487;-9,279279279;0,800800801;-19,35935936;10,69069069;9876,824987;5731,431431;12821,92192;-100;18653,35335
