"";"X";"X2";"optima";"mean";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"mean.1";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"mean.2";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"mean.3";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3";"mean.4";"X0.5_inf.4";"X0.5_sup.4";"X0.95_inf.4";"X0.95_sup.4"
"1";1;1820,874769;7,627627628;7,599765941;4,624624625;10,48048048;-1,081081081;16,33633634;863,4437831;496,0960961;899,6996997;281,6816817;1601,801802;21,7422675;17,65765766;25,94594595;9,369369369;34,05405405;-3,792827114;-8,898898899;1,371371371;-19,16916917;11,45145145;9998,178573;5996,496496;13020,72072;165,0650651;18852,15215
"2";2;1926,580802;7,477477477;7,448104104;4,324324324;10,48048048;-1,681681682;16,63663664;863,0192538;491,8918919;899,6996997;277,4774775;1610,21021;21,64983291;17,2972973;25,94594595;8,828828829;34,59459459;-3,930252851;-9,279279279;1,561561562;-19,92992993;12,02202202;10228,1637;6062,762763;13285,78579;32,53253253;19316,01602
"3";3;2005,860327;7,477477477;7,477297075;4,324324324;10,48048048;-1,681681682;16,48648649;865,9686221;487,6876877;899,6996997;269,0690691;1622,822823;21,65923554;17,2972973;25,94594595;8,828828829;34,41441441;-3,872610729;-9,279279279;1,561561562;-19,92992993;12,21221221;10269,1959;5996,496496;13352,05205;-33,73373373;19382,28228
"4";4;2120,757228;7,477477477;7,474789124;4,324324324;10,48048048;-1,681681682;16,48648649;865,8269055;487,6876877;899,6996997;269,0690691;1622,822823;21,66029475;17,2972973;25,94594595;8,828828829;34,41441441;-3,878454296;-9,279279279;1,561561562;-19,92992993;12,21221221;10269,16092;5996,496496;13352,05205;-33,73373373;19382,28228
"5";5;2213,634909;7,477477477;7,484028072;4,474474474;10,48048048;-1,381381381;16,48648649;867,2403271;483,4834835;899,6996997;269,0690691;1627,027027;21,63862803;17,2972973;25,94594595;9,009009009;34,41441441;-3,837942341;-9,279279279;1,561561562;-19,73973974;12,02202202;10270,23749;6062,762763;13352,05205;-33,73373373;19382,28228
"6";6;2301,352719;7,627627628;7,696216699;4,624624625;10,63063063;-1,231231231;16,63663664;860,648123;483,4834835;895,4954955;269,0690691;1618,618619;21,75548757;17,47747748;26,12612613;8,828828829;34,59459459;-3,599088742;-9,089089089;1,751751752;-19,73973974;12,4024024;9953,226789;5863,963964;12954,45445;-33,73373373;18785,88589
"7";7;2393,355929;7,927927928;7,949647822;4,924924925;10,93093093;-1,081081081;16,93693694;844,123035;475,0750751;878,6786787;264,8648649;1580,780781;22,22812451;17,83783784;26,48648649;9,369369369;34,95495495;-3,266277511;-8,328328328;1,941941942;-18,40840841;11,83183183;9037,533028;5201,301301;11761,66166;-100;17129,22923
"8";8;2490,2067;7,627627628;7,565302767;4,474474474;10,63063063;-1,531531532;16,78678679;848,4973233;470,8708709;878,6786787;260,6606607;1606,006006;21,89993138;17,65765766;26,30630631;9,189189189;34,77477477;-3,864552834;-9,279279279;1,371371371;-19,73973974;12,02202202;9557,287866;5466,366366;12424,32432;-100;18189,48949
"9";9;2592,323454;7,777777778;7,760526792;4,774774775;10,78078078;-1,081081081;16,63663664;876,1446803;500,3003003;912,3123123;281,6816817;1622,822823;21,56323249;17,11711712;25,94594595;8,468468468;34,59459459;-3,343201366;-8,708708709;1,941941942;-19,16916917;12,4024024;9947,808424;5996,496496;12954,45445;165,0650651;18785,88589
"10";10;2685,08826;8,378378378;8,403042071;5,525525526;11,23123123;-0,03003003;16,93693694;863,2173219;500,3003003;903,9039039;285,8858859;1589,189189;22,26977308;18,01801802;26,48648649;9,72972973;34,95495495;-2,663677568;-7,567567568;2,322322322;-17,26726727;11,83183183;9218,209335;5532,632633;11960,46046;165,0650651;17394,29429
"11";11;2783,006666;7,927927928;7,951581507;5,075075075;10,78078078;-0,630630631;16,48648649;850,0511016;487,6876877;887,0870871;277,4774775;1572,372372;21,9333992;17,65765766;26,30630631;9,009009009;34,77477477;-3,220504164;-8,328328328;1,941941942;-18,5985986;12,02202202;9584,748329;5731,431431;12490,59059;98,7987988;18056,95696
"12";12;2865,33406;7,777777778;7,766861331;4,924924925;10,63063063;-0,780780781;16,33633634;872,0438068;496,0960961;908,1081081;281,6816817;1622,822823;21,52168333;17,11711712;25,94594595;8,288288288;34,59459459;-3,221906854;-8,328328328;1,941941942;-18,40840841;12,02202202;10076,83465;5996,496496;13086,98699;98,7987988;18984,68468
"13";13;2962,84013;7,777777778;7,829753366;4,924924925;10,78078078;-0,930930931;16,48648649;863,6766918;491,8918919;899,6996997;277,4774775;1601,801802;21,58412078;17,11711712;25,94594595;8,468468468;34,77477477;-3,257750303;-8,518518519;2,132132132;-18,97897898;12,4024024;9761,86302;5797,697698;12689,38939;98,7987988;18454,55455
"14";14;3055,214302;7,627627628;7,693944838;4,774774775;10,63063063;-1,081081081;16,33633634;863,0999588;491,8918919;899,6996997;273,2732733;1610,21021;21,68640695;17,2972973;26,12612613;8,648648649;34,77477477;-3,498378625;-8,898898899;1,751751752;-19,16916917;12,02202202;9981,485668;5930,23023;12954,45445;98,7987988;18785,88589
"15";15;3159,69069;7,627627628;7,55462173;4,624624625;10,48048048;-1,231231231;16,33633634;863,6634755;487,6876877;899,6996997;273,2732733;1614,414414;21,44148838;17,11711712;25,94594595;8,288288288;34,59459459;-3,608900352;-9,089089089;1,751751752;-19,54954955;12,21221221;9999,71751;6062,762763;13020,72072;231,3313313;18852,15215
"16";16;3259,883682;7,477477477;7,447269045;4,624624625;10,33033033;-1,081081081;15,88588589;873,8154079;496,0960961;908,1081081;281,6816817;1627,027027;21,21160806;16,75675676;25,58558559;8,108108108;34,23423423;-3,553511982;-8,898898899;1,751751752;-19,35935936;12,21221221;10046,68313;6195,295295;13086,98699;363,8638639;18918,41842
"17";17;3344,256728;7,327327327;7,314283167;4,474474474;10,18018018;-1,231231231;15,88588589;874,1329236;496,0960961;912,3123123;277,4774775;1627,027027;21,11492027;16,75675676;25,58558559;8,108108108;34,05405405;-3,749303325;-9,089089089;1,751751752;-19,73973974;12,21221221;10087,85081;6195,295295;13086,98699;363,8638639;18918,41842
"18";18;3449,131951;7,327327327;7,312887294;4,474474474;10,03003003;-1,081081081;15,73573574;877,6257063;500,3003003;916,5165165;281,6816817;1631,231231;21,05742971;16,75675676;25,40540541;8,108108108;34,05405405;-3,701654254;-9,089089089;1,561561562;-19,54954955;12,02202202;10137,18586;6327,827828;13153,25325;430,1301301;18984,68468
"19";19;3549,009284;7,777777778;7,824134483;5,075075075;10,48048048;-0,18018018;15,73573574;887,9738906;512,9129129;929,1291291;294,2942943;1639,63964;21,79959311;17,65765766;25,76576577;9,72972973;33,87387387;-2,866698255;-7,567567568;1,751751752;-16,50650651;10,88088088;10001,97221;6261,561562;12954,45445;496,3963964;18785,88589
"20";20;3654,516384;7,927927928;7,923877585;5,225225225;10,63063063;-0,33033033;16,03603604;873,6572947;500,3003003;912,3123123;285,8858859;1618,618619;22,04382099;17,83783784;26,12612613;9,72972973;34,41441441;-2,844123708;-7,377377377;1,751751752;-16,50650651;10,69069069;9857,697049;6062,762763;12821,92192;297,5975976;18520,82082
"21";21;3754,758336;7,327327327;7,306609227;4,474474474;10,03003003;-0,930930931;15,58558559;880,6716743;504,5045045;920,7207207;281,6816817;1635,435435;21,00754933;16,75675676;25,40540541;8,288288288;33,87387387;-3,70570995;-8,898898899;1,561561562;-19,16916917;11,83183183;10262,15997;6394,094094;13352,05205;430,1301301;19249,74975
"22";22;3866,138283;7,177177177;7,228741108;4,474474474;10,03003003;-1,081081081;15,43543544;883,7630895;500,3003003;920,7207207;281,6816817;1643,843844;20,91064508;16,75675676;25,22522523;8,468468468;33,51351351;-3,830179566;-9,089089089;1,371371371;-19,16916917;11,64164164;10407,59399;6394,094094;13484,58458;363,8638639;19514,81481
"23";23;3959,422219;7,477477477;7,431967815;4,624624625;10,18018018;-0,930930931;15,73573574;873,6373821;487,6876877;908,1081081;269,0690691;1648,048048;21,37585949;17,2972973;25,58558559;9,009009009;33,87387387;-3,804962961;-8,898898899;1,371371371;-18,97897898;11,45145145;10387,63543;6261,561562;13550,85085;165,0650651;19581,08108
"24";24;4067,715458;7,327327327;7,320701601;4,474474474;10,03003003;-1,081081081;15,58558559;881,0731038;500,3003003;916,5165165;281,6816817;1643,843844;21,02752634;16,75675676;25,22522523;8,468468468;33,69369369;-3,75192923;-8,898898899;1,561561562;-18,97897898;11,64164164;10413,81354;6394,094094;13550,85085;297,5975976;19581,08108
"25";25;4148,935387;7,327327327;7,331012204;4,624624625;10,18018018;-1,081081081;15,73573574;878,6668966;496,0960961;916,5165165;277,4774775;1648,048048;21,07179479;16,75675676;25,22522523;8,468468468;33,69369369;-3,777885522;-9,089089089;1,371371371;-19,16916917;11,64164164;10380,11013;6327,827828;13484,58458;231,3313313;19514,81481
"26";26;4270,578359;7,327327327;7,383893383;4,474474474;10,33033033;-1,381381381;16,03603604;866,6262853;487,6876877;903,9039039;269,0690691;1622,822823;21,51637869;17,2972973;25,58558559;9,009009009;33,87387387;-4,011545425;-9,279279279;1,181181181;-19,35935936;11,45145145;10383,72648;6129,029029;13484,58458;32,53253253;19581,08108
"27";27;4370,877736;7,627627628;7,577222416;4,774774775;10,33033033;-0,630630631;15,88588589;873,0808087;483,4834835;903,9039039;264,8648649;1648,048048;21,52591763;17,2972973;25,58558559;9,369369369;33,69369369;-3,648136689;-8,518518519;1,371371371;-18,40840841;11,07107107;10344,67583;6129,029029;13418,31832;98,7987988;19514,81481
"28";28;4476,263758;7,627627628;7,577221973;4,924924925;10,33033033;-0,48048048;15,58558559;880,3455834;496,0960961;916,5165165;277,4774775;1652,252252;21,25765079;17,11711712;25,40540541;9,009009009;33,51351351;-3,465011251;-8,328328328;1,371371371;-17,83783784;11,07107107;10365,91687;6261,561562;13484,58458;165,0650651;19514,81481
"29";29;4584,470568;7,477477477;7,468097577;4,774774775;10,18018018;-0,630630631;15,58558559;874,8139868;483,4834835;908,1081081;264,8648649;1652,252252;21,37517707;17,2972973;25,40540541;9,369369369;33,51351351;-3,749396936;-8,708708709;1,181181181;-18,40840841;11,07107107;10479,22291;6195,295295;13617,11712;98,7987988;19779,87988
