;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
1;X147.116789061375;147,1167891;5,466;2,459822028;859,4;259,0207085;20,78;4,626336971;-7,58;5,232860654;11402,4;3892,209311
2;X196.888012864325;196,8880129;6,008;2,519776639;658,8;222,233288;21,72;4,562773774;-7,24;5,43570739;8792,8;3488,411638
3;X250.3480107365;250,3480107;2,608;2,688103319;642,4;241,9723031;21,96;4,712718121;-15,24;5,827465997;9244,6;3728,859411
4;X307.4967826779;307,4967827;6,394;2,422717326;966,8;333,1915001;20,5;4,566488811;-5,92;5,208076845;11511;4490,304446
5;X364.6455546193;364,6455546;7,576;2,47839899;849,8;247,435111;21,72;4,575392393;-4,34;5,381201713;9257;3765,240148
6;X417.30027691548;417,3002769;8,158;2,452123854;951,2;248,6206951;20,42;4,581237378;-2,5;5,418506391;11570,8;3787,781891
8;X469.95499921166;469,9549992;7,406;2,420085091;746,8;236,2462323;21,04;4,555876992;-4,76;5,328447041;8674,6;3519,964542
10;X524.5500521865;524,5500522;7,846;2,394491053;767,2;240,975823;20,84;4,561631464;-3,78;5,231421137;9251,8;3513,892116
12;X581.08543584;581,0854358;7,128;2,463847597;710,8;236,6967507;19,96;4,638095025;-3,54;5,198539577;9618,6;3647,338088
14;X637.6208194935;637,6208195;8,054;2,31740628;681,2;236,4799436;20,86;4,557237113;-2,1;5,030468409;8968,8;3531,224076
7;X676.80136884025;676,8013688;8,438;2,481513607;945,6;256,8022043;21,04;5,771539171;-2,04;7,209494731;10901,4;4139,945426
16;X715.981918187;715,9819182;8,214;2,333164004;634,6;247,6586275;20,72;4,572455543;-1,78;5,042124164;8472;3573,29434
9;X755.16246753375;755,1624675;6,952;2,397564593;685,2;252,8319847;20,44;4,547380786;-5,22;5,304667813;8623;3606,00233
17;X794.3430168805;794,3430169;8,16;2,30819724;703,4;229,9131738;21,46;4,633706789;-2,98;5,120560799;9082,6;3527,825798
11;X833.52356622725;833,5235662;6,894;2,450606342;887,2;270,4065932;20,98;4,595854884;-5,58;5,382640951;10033,2;3736,374432
18;X972.84031190225;972,8403119;8,138;2,307584735;691,4;229,6251354;21,02;4,570082066;-2,04;5,025253827;9059,6;3499,358371
13;X1112.15705757725;1112,157058;8,214;2,306997466;634,6;224,0821883;20,72;4,555356281;-1,78;5,005813166;8472;3472,454106
19;X1251.47380325225;1251,473803;7,52;2,361864152;876,2;268,2094082;20,76;4,583353394;-2,86;5,034279396;10043;3697,07228
15;X1390.79054892725;1390,790549;8,214;2,310141633;634,6;234,5346176;20,72;4,552081295;-1,78;5,011483436;8472;3495,261393
20;X1530.10729460225;1530,107295;8,102;2,328381896;607,6;247,8820474;21,02;4,609049506;-2,26;5,021705854;8169,4;3752,902163
21;X1632.31662846275;1632,316628;8,01;2,318537004;637,4;235,1686217;20,64;4,558012437;-2,78;5,018277537;8653,6;3529,755302
22;X1734.52596232325;1734,525962;8,186;2,312611189;634,2;224,3492996;20,38;4,579802654;-1,68;5,062333117;8578,6;3460,625907
23;X1829.129193684;1829,129194;8,186;2,309289883;634,2;222,0887222;20,38;4,604373726;-1,68;5,057571321;8578,6;3455,721603
24;X1916.126322545;1916,126323;8,186;2,30939379;634,2;222,4412485;20,38;4,578635945;-1,68;5,017454157;8578,6;3445,186472
25;X2003.123451406;2003,123451;8,398;2,318012371;646,6;232,5092811;21,2;4,650065844;-2,22;5,051570923;8346,2;3564,559415
26;X2101.95538463085;2101,955385;8,106;2,313055708;648,4;223,6845051;20,28;4,607478779;-1,78;5,031282956;8860,2;3458,333383
27;X2200.7873178557;2200,787318;8,184;2,309328308;692,8;232,8596044;21,66;4,61738515;-3;5,115394242;8796;3539,053187
325;X2200.7873178557.1;2200,787318;-3,74;3,870258502;370,2;275,1754556;19,66;4,332365299;-27,3;6,864937613;4822,2;4022,413012
28;X2302.84909506388;2302,849095;8,148;2,345995102;622,4;227,3341386;20,82;4,568309188;-1,94;5,024859059;8255,6;3437,984204
29;X2408.14071625538;2408,140716;8,154;2,311386747;618;222,8483436;20,64;4,551743284;-1,84;5,009186198;8276,8;3445,083534
326;X2408.14071625538.1;2408,140716;2,1;3,997143118;566,4;279,5368114;22,38;4,511403383;-16,78;7,288780721;7159;4036,327818
30;X2513.43233744687;2513,432337;7,68;2,333794132;709,4;235,7834385;20,46;4,554426886;-2,82;5,064949531;9203,2;3530,971075
31;X2605.23708379837;2605,237084;8,158;2,309393934;707,2;235,9109909;20,86;4,572717127;-1,88;5,045970019;9315,8;3571,43379
327;X2605.23708379837.1;2605,237084;-1,532;4,09217103;473,4;287,0910087;20,8;4,451395654;-22,42;7,325311343;6050,8;4148,045397
32;X2697.04183014987;2697,04183;8,174;2,313081722;633,8;232,4791493;20,48;4,567495265;-1,68;5,044735439;8533;3496,591173
33;X2789.92049551888;2789,920496;8,158;2,322340298;637,6;240,7710472;20,46;4,560375631;-1,82;5,01957848;8577,8;3518,267729
328;X2789.92049551888.1;2789,920496;-0,222;4,062818325;580,6;283,5421453;20,36;4,515856381;-19,74;7,484767684;7293,8;4110,753368
34;X2883.87307990537;2883,87308;8,214;2,311300799;634,6;222,1932641;20,72;4,610556368;-1,78;5,041662145;8472;3455,807592
35;X2977.82566429188;2977,825664;8,656;2,326226064;654,6;222,7756789;22,18;4,692172373;-2,74;5,070748245;8028,2;3483,66684
329;X2977.82566429188.1;2977,825664;0,278;4,077591002;651,4;280,2980493;20,22;4,498106617;-18,28;7,408442353;8202,4;4055,581651
36;X3050.73404410267;3050,734044;8,11;2,312438192;706;227,1439968;20,42;4,626192945;-1,82;5,035236097;9445;3488,036596
37;X3123.64242391347;3123,642424;8,158;2,308486962;707,2;229,4663997;20,86;4,578198914;-1,88;5,054293245;9315,8;3491,457102
330;X3123.64242391347.1;3123,642424;-0,31;4,07739461;635;277,1837177;20,3;4,50056916;-19,52;7,376404622;8461;4028,851379
38;X3196.94165844313;3196,941658;8,158;2,318465156;707,2;233,0040633;20,86;4,575641267;-1,88;5,077641055;9315,8;3543,390897
39;X3270.63174769163;3270,631748;7,636;2,338185914;700;233,5365601;20,54;4,554952134;-2,98;5,073794025;9051,4;3501,147805
331;X3270.63174769163.1;3270,631748;3,36;3,977643702;736,6;278,4948028;21,14;4,525867703;-12,46;7,248623728;9228;4013,875205
40;X3344.32183694013;3344,321837;8,154;2,311422934;618;225,0670532;20,64;4,552837443;-1,84;5,010676282;8276,8;3469,330356
41;X3406.58437091743;3406,584371;8,098;2,337087953;621;225,6348961;20,38;4,560945634;-1,88;5,049230459;8382,6;3483,377299
332;X3406.58437091743.1;3406,584371;-0,222;4,051360454;580,6;329,4581861;20,36;4,63460316;-19,74;7,732333584;7293,8;4976,04703
42;X3468.84690489472;3468,846905;8,098;2,311585037;690,6;238,3293187;20,78;4,55644681;-1,94;5,007466716;9120,6;3505,582965
43;X3533.61070713463;3533,610707;7,562;2,356002316;794,8;263,3183461;20,24;4,561688802;-2,46;5,029939141;9725,8;3633,543429
333;X3533.61070713463.1;3533,610707;3,332;3,849171279;760,2;267,5884088;20,66;4,514758544;-12,28;6,892843836;9905,4;3856,882697
44;X3600.87577763712;3600,875778;8,778;2,377105998;692;235,7255571;21,04;4,570877153;-1;5,103085414;8337,6;3498,974042
45;X3668.14084813963;3668,140848;8,098;2,413076868;621;236,9625892;20,38;4,583167499;-1,88;5,12191642;8382,6;3547,373981
334;X3668.14084813963.1;3668,140848;-0,538;3,969117447;734,6;372,2374956;20,04;4,783537555;-19,94;7,763043722;9219,8;5108,001745
46;X3735.04503245842;3735,045032;8,778;2,373467034;692;238,3295807;21,04;4,573820847;-1;5,081106317;8337,6;3503,703562
47;X3801.94921677723;3801,949217;7,68;2,33862595;709,4;234,3136486;20,46;4,553694252;-2,82;5,073676058;9203,2;3516,225635
335;X3801.94921677723.1;3801,949217;3,588;3,842388469;715;277,2908489;20,96;4,509330542;-12,58;7,187607516;8856,4;4022,992063
48;X3870.0328317954;3870,032832;7,68;2,333027093;709,4;232,5252093;20,46;4,552757517;-2,82;5,063201272;9203,2;3503,966462
49;X3939.29587751295;3939,295878;7,68;2,340705261;709,4;251,4049831;20,46;4,55347368;-2,82;5,073018559;9203,2;3585,992794
336;X3939.29587751295.1;3939,295878;0,552;4,023173702;747,8;303,1061479;18,94;4,738403738;-16,02;7,679539217;9437,4;4329,552664
50;X4008.5589232305;4008,558923;7,68;2,337558846;709,4;233,2272912;20,46;4,552274893;-2,82;5,069107489;9203,2;3511,25547
51;X4085.0133494195;4085,013349;8,158;2,310298644;707,2;234,4172797;20,86;4,554272339;-1,88;5,011906332;9315,8;3499,4566
337;X4085.0133494195.1;4085,013349;3,574;4,211322928;831,4;283,2969357;19,98;4,565042174;-10,22;7,69490957;9924;4053,525057
52;X4161.4677756085;4161,467776;7,622;2,349283682;811,4;260,391319;20,32;4,556559513;-2,4;5,031915545;9921;3639,329825
53;X4221.78475098505;4221,784751;8,098;2,373667874;690,6;244,9393532;20,78;4,576963896;-1,94;5,091519407;9120,6;3584,754661
