;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
1;X1820.8747688703;1820,874769;13,9663334;3,727327679;725,8;281,5141145;25,95999999;7,76822063;5,579999848;7,219728145;6045,4;3966,955849
2;X1926.5808022218;1926,580802;9,497500056;3,640429641;709,8;264,6263943;14,64000001;8,402385891;7,719999848;8,478540943;6795,2;3807,476364
3;X2005.86032723543;2005,860327;9,331500056;2,783000974;952,6;248,7871612;13,42000001;8,337031828;9,299999848;8,3157544;8563,8;3588,788943
4;X2120.75722828545;2120,757228;9,331500056;2,852541574;952,6;244,8808807;13,42000001;7,76369146;9,299999848;8,028871609;8563,8;3577,941838
5;X2213.63490907825;2213,634909;8,734666678;3,090522393;961,6;230,6067952;13;6,760775252;8,619999924;8,005646927;9021,2;3524,281615
6;X2301.35271871588;2301,352719;7,808333396;2,939986542;1011,8;220,1541784;17,29999999;5,955484346;2,679999848;7,512870329;9419;3432,291738
7;X2393.35592928645;2393,355929;8,382;2,354462706;1135,6;214,5233461;22,9;4,557194071;-1,04;5,250226919;10427,6;3368,454069
8;X2490.20670021852;2490,2067;10,47066679;2,671876943;997,4;230,2627405;14,93999999;6,110736081;10,11999992;7,359238107;8841,8;3494,234395
9;X2592.32345410215;2592,323454;10,21383345;2,585319818;891,4;244,6889658;9,360000009;7,531757566;14,79999992;8,416187283;7823,8;3544,754432
10;X2685.08825976855;2685,08826;9,307500056;2,836686062;952;255,4937095;13,42000002;8,179473477;9,380000076;8,031085621;8528,4;3636,816855
11;X2783.00666574975;2783,006666;13,98150006;3,519279931;605,8;276,8213116;20,58000002;8,686462528;10,62000008;8,201486064;4839,2;3834,553369
12;X2865.33405953595;2865,33406;10,33383334;2,864991491;886,8;258,426376;9,440000029;8,141871765;15,06000015;8,237972595;7724,8;3738,88436
13;X2962.84012989025;2962,84013;10,59066668;2,607720714;992,8;229,296221;15,02000001;6,217845489;10,38000015;7,839836288;8742,8;3517,304215
14;X3055.21430180485;3055,214302;9,269500056;2,481011129;954,4;242,8241433;13,40000002;6,883317508;9,360000076;7,435598906;8543,4;3547,644377
15;X3159.69069049125;3159,69069;9,544333396;2,747272249;1066,8;243,7260683;19,02;6,137279454;4,760000076;6,927006243;9580,8;3573,234016
16;X3259.88368222675;3259,883682;8,55;2,412572;1133,8;226,2940919;23,02;5,050881152;-0,84;5,997659588;10376,4;3502,81237
17;X3344.25672789875;3344,256728;8,422;2,340834258;1008,2;226,1163589;22,9;4,34419013;-1,78;4,846380581;8946,2;3449,335369
18;X3449.1319507942;3449,131951;8,634;2,34235146;905;224,2196952;23,04;4,375397154;-2,34;4,867406911;7746,6;3425,712938
19;X3549.0092836975;3549,009284;8,29;2,332720641;834,2;226,2610812;21,78;4,297059398;-2,14;4,802832827;7963;3427,992874
20;X3654.51638385489;3654,516384;7,666;2,339264254;897,2;237,1290435;21;4,291318519;-2,94;4,795318641;8936;3564,99134
21;X3754.75833617577;3754,758336;8,116;2,341641164;763;229,0293118;20,92;4,279586181;-1,94;4,819768071;8024,2;3454,798038
22;X3866.13828319897;3866,138283;7,786;2,330552766;666,8;225,3017469;20,54;4,253412974;-2,56;4,80696642;7626,6;3443,9988
23;X3959.42221932276;3959,422219;7,444;2,346310948;713,2;231,9589164;20,58;4,253361236;-3,4;4,83866748;8588;3454,71184
24;X4067.71545779946;4067,715458;7,32;2,373004076;754;229,5266262;20,18;4,265957351;-3,44;4,854533062;8576,4;3452,542497
25;X4148.93538665699;4148,935387;8,084;2,432550141;810,4;228,0499069;20,54;4,268318672;-2,22;4,936678356;9120,2;3525,576216
26;X4270.5783593352;4270,578359;7,726;2,497644902;1040,6;276,5084001;20,52;4,319715408;-2,42;4,88968782;10643,4;3739,129454
27;X4370.8777356123;4370,877736;7,556;2,546402599;983,4;263,862059;20,36;4,298005483;-2,9;4,985510656;10474,2;3663,301682
28;X4476.26375817437;4476,263758;8,696;2,43809705;599,6;255,817758;21,28;4,318358335;-1,4;4,862261369;7100,6;3591,452991
29;X4584.47056768688;4584,470568;7,82;2,341052909;949,2;251,6844414;22,16;4,280525645;-3,04;4,797135685;9122,6;3582,218987
30;X4692.67737719937;4692,677377;7,26;2,41485534;1014,6;265,9043594;21,42;4,553650423;-3,8;5,351302475;10050;3732,743798
31;X4762.61142787935;4762,611428;7,236;2,39448592;1121,8;258,8993354;21,58;4,312386729;-3,56;4,840403064;10595;3702,341182
32;X4880.17087483155;4880,170875;9,026333244;2,67536828;849,8;286,5409256;18,12;5,373744117;3,020000076;6,571250039;7730,2;3932,980805
33;X4981.69948810845;4981,699488;9,112;2,744764834;762,6;295,0205057;22,82;5,176796077;-1,64;6,298878986;6959,8;4067,746561
34;X5082.63657150225;5082,636572;9,112;2,696616509;762,6;293,111335;22,82;5,203063304;-1,64;6,21779954;6959,8;4052,303303
35;X5178.86365451655;5178,863655;8,948;2,640310199;893,6;298,5419024;22,76;5,02611658;-1,76;5,767765068;8538,4;4078,163914
36;X5291.45945532905;5291,459455;10,116;2,7145606;688,6;304,6360584;23,74;5,154602444;-0,46;6,202222003;6373;4096,142479
37;X5387.83416568175;5387,834166;10,116;2,695875839;688,6;303,3192277;23,74;4,923487564;-0,46;5,803090127;6373;4101,845883
38;X5478.8547254593;5478,854725;8,862333244;2,641128183;980,8;293,0716658;18,06;5,732012579;2,900000076;6,790300509;9308,8;3982,577708
39;X5597.48343841325;5597,483438;9,042;2,691887174;886,8;303,9333231;22,94;5,032956816;-1,74;6,282227384;8477,6;4135,256281
40;X5679.19136420825;5679,191364;8,916;2,837287636;907,8;309,1928815;22,58;5,560345038;-1,56;6,948513501;8747,8;4235,829686
41;X5777.24087516225;5777,240875;8,076;2,669322422;1156,4;249,8397279;21,86;5,622006451;-2,38;7,248105398;10980,8;3783,1994
42;X5895.5788979261;5895,578898;8,076;2,548181054;1156,4;240,5841092;21,86;5,451008746;-2,38;6,594640319;10980,8;3694,916427
43;X5975.67939329023;5975,679393;9,787000038;2,783203289;941;233,7386361;18,84;6,064442054;4,019999924;6,132736857;8463,8;3519,142313
44;X6093.47450921478;6093,474509;9,787000038;2,783254876;941;233,7162026;18,84;6,058733301;4,019999924;6,13454571;8463,8;3515,597219
45;X6178.2908454364;6178,290845;9,787000038;2,725568368;941;233,559679;18,84;6,133188253;4,019999924;6,321339415;8463,8;3513,145019
46;X6291.3792937319;6291,379294;9,787000038;2,483768983;941;231,9356563;18,84;5,821206354;4,019999924;6,473653914;8463,8;3468,086936
47;X6387.0245695557;6387,02457;10,556;2,588552486;726,2;253,8414319;24,86;5,032420118;0,04;5,759219577;6306,2;3615,768193
48;X6507.90255768;6507,902558;10,556;2,592554092;726,2;252,9560766;24,86;4,991981366;0,04;5,366534622;6306,2;3597,202269
49;X6595.8138217704;6595,813822;10,944;2,590310055;606;255,6738777;25,58;4,998639772;0,22;5,340634447;5041,2;3610,073996
50;X6694.23366119629;6694,233661;10,944;2,549029315;606;255,5562624;25,58;5,094324702;0,22;5,40050678;5041,2;3600,958907
51;X6816.65804463389;6816,658045;10,68700004;2,532203364;714;249,3284805;20,58;5,966847352;4,739999924;6,312984356;5989,2;3582,818874
52;X6932.96120889961;6932,961209;10,944;2,551979008;606;258,3038763;25,58;5,254803894;0,22;5,642801959;5041,2;3612,352648
53;X7032.2005613874;7032,200561;10,944;2,574919327;606;260,3253308;25,58;5,450131281;0,22;5,884757092;5041,2;3628,71784
54;X7169.0671221095;7169,067122;11,35300004;2,419068707;721,8;248,6400902;21,84;6,419646864;4,679999924;6,575223714;5696,2;3530,960635
55;X7262.38523169275;7262,385232;11,4885;2,420346912;824,2;235,2929796;17,20000001;7,086492307;9,679999924;8,144750371;6493,8;3457,548686
56;X7413.97514998962;7413,97515;12,2225;2,434674981;673,4;251,9356972;17,50000001;7,14114805;10,57999992;7,48995266;5320,6;3549,88774
57;X7547.37427809088;7547,374278;12,08700004;2,419499422;571;246,2861242;22,14;6,87833048;5,579999924;7,059320933;4523;3534,652256
58;X7691.79937141719;7691,799371;12,08700004;2,412451565;571;244,587107;22,14;6,913268017;5,579999924;7,067833451;4523;3533,859665
59;X7824.04483183981;7824,044832;12,08700004;2,458125318;571;264,1275209;22,14;6,603033442;5,579999924;6,886524935;4523;3597,342811
60;X7994.65077342127;7994,650773;12,08700004;2,404646534;571;250,0607913;22,14;6,404025645;5,579999924;6,585763359;4523;3659,299651
61;X8110.93786724127;8110,937867;11,668;2,440857631;687,4;295,1842789;25,24;5,090578049;1,36;5,261258294;7133,4;4378,532659
62;X8253.9306860768;8253,930686;11,802;2,438226936;686,2;290,8948629;25,54;5,734771205;1,32;5,846251504;7087,2;4384,566779
63;X8382.45639146345;8382,456391;11,668;2,464692659;687,4;311,6224513;25,24;5,195714483;1,36;5,203304931;7133,4;4761,380966
64;X8513.1752351699;8513,175235;11,802;2,421360745;686,2;304,9852416;25,54;5,834721139;1,32;5,859654939;7087,2;4561,527014
65;X8666.08073035865;8666,08073;11,57100004;2,552603477;609,2;251,9669673;22,04;6,566956217;5,039999924;6,700565607;4747,2;3651,108178
66;X8818.255847903;8818,255848;11,57100004;2,509859715;609,2;269,1493335;22,04;6,193297386;5,039999924;6,474303105;4747,2;4104,517736
67;X8932.729377341;8932,729377;10,508;2,572818193;690,6;279,1083426;24,14;5,316666346;-0,52;5,730592283;7682,2;4487,029456
68;X9095.5056995528;9095,5057;11,54500004;2,483956782;793,2;283,7162539;20,6;5,926334513;5,799999924;6,189240614;8023,4;4490,891978
69;X9228.6227625647;9228,622763;11,35300004;2,516853632;721,8;276,1860527;21,84;6,519888958;4,679999924;6,808300733;5696,2;4153,343538
70;X9361.7398255766;9361,739826;11,57100004;2,519002418;609,2;257,4886059;22,04;6,92187097;5,039999924;7,060362422;4747,2;3661,951961
71;X9514.70729168878;9514,707292;8,018;2,561941179;859,4;267,0953258;22,88;4,370957209;-3,48;5,040966852;7382;3754,098027
72;X9649.44860162112;9649,448602;6,21133332;2,865409268;670,8;234,5751402;16,68;6,590386941;-1,239999924;9,519402771;7310,2;3511,778331
73;X9775.71546756191;9775,715468;-3,052;3,706236716;373,6;248,9009823;20,9;4,433709088;-28,04;5,899492331;4734,8;3844,394306
