;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
1;X2372.170192;2372,170192;8,492;2,590859366;637;242,0616807;22,18;4,781175264;-2,76;5,358430647;7804,6;3670,751178
2;X2741.144356;2741,144356;8,204;2,582901762;639;235,4308833;21,1;4,808458474;-2,78;5,352417016;8314,2;3635,995057
3;X3114.024206;3114,024206;8,206;2,591318753;627,6;243,1286668;20,82;4,730339609;-1,82;5,265803262;8191,2;3659,067814
4;X3480.988683;3480,988683;8,082;2,607022554;694,4;243,9593234;20,76;4,747217623;-2,08;5,274530286;9165,4;3682,746081
5;X3855.927896;3855,927896;8,324;2,694771213;775,4;252,1712925;21,34;4,75698236;-2,22;5,383267046;8951,2;3676,349081
6;X4226.106501;4226,106501;8,468;2,603646212;755,2;266,1996666;20,8;4,756018165;-1,68;5,262917677;9491;3738,818667
7;X4603.065937;4603,065937;8,894;2,724677461;914;289,9128396;22,16;4,833623518;-1,52;5,35377136;10193,4;4040,375286
8;X4978.539504;4978,539504;9,044;2,649784807;729,6;270,5439175;21,74;4,790618454;-0,74;5,312696358;8854,2;3766,193501
9;X5349.782862;5349,782862;9,242;2,649371976;857,6;276,7372183;22,32;4,836812402;-0,94;5,425915838;9594,4;3801,446409
10;X5707.507168;5707,507168;8,58;2,688033;771,8;264,2620973;21,54;4,801789309;-2,22;5,448601398;9058,2;3739,635113
11;X6074.03131;6074,03131;9,236;2,772414929;585,8;251,5349106;22,04;4,846822393;-1,34;5,480713665;7026,4;3794,369082
12;X6437.177498;6437,177498;10,614;2,83017942;470;259,9116099;23,34;4,903358743;0,9;5,438134322;5528,6;3864,411684
13;X6811.271863;6811,271863;12,064;2,865894554;477;269,824775;26,38;4,981720012;1,02;5,411713466;4298,4;3881,762885
14;X7187.715314;7187,715314;12,494;2,869299383;450,6;262,2272857;27,2;4,966624658;1,44;5,452287115;3429;3854,20467
15;X7565.609299;7565,609299;11,278;3,343203877;870,4;279,4726954;25,86;8,780179512;-0,86;8,808680462;7862,2;3338,17099
16;X7937.012841;7937,012841;12,494;2,880322009;450,6;268,9064687;27,2;4,979704788;1,44;5,418470826;3429;3871,104103
17;X8320.758891;8320,758891;12,064;2,848039045;477;261,4807989;26,38;4,945930166;1,02;5,41976881;4298,4;3809,120993
18;X8687.578946;8687,578946;11,564;2,896539899;476,8;293,3018094;25,3;4,918383292;0,94;5,498355487;4364,8;4232,200542
19;X9053.734641;9053,734641;11,132;2,951209689;528;280,0974211;24,92;4,895408244;-0,34;5,596262756;4769;3930,48533
20;X9417.065919;9417,065919;10,166;2,975225005;667,8;298,6114859;24,9;4,998990227;-1,42;5,525412883;5715;4040,129551
21;X9795.050971;9795,050971;7,122;2,848923648;1202,6;369,9297699;19,7;5,117984749;-3,98;5,537366389;14002,4;5532,940833
22;X10166.38397;10166,38397;4,656;3,19897752;1118;250,2531704;19,06;5,237069111;-7,24;5,464587628;13174,8;5444,09003
23;X10541.28551;10541,28551;4,756;2,860218252;543;236,1756819;23,8;4,766407224;-12,82;6,135183903;6363,2;3636,550818
24;X10902.78386;10902,78386;3,246;2,824600131;493,4;236,6090671;23,94;4,766895791;-15,82;6,242709116;5753,6;3641,267282
25;X11269.08766;11269,08766;2,03;2,591965963;464;235,1686124;24,52;4,728927214;-19,06;5,314480929;5129,6;3616,168757
