"";"Abies";"Acer campestre-type";"Artemisia";"Betula";"Carpinus";"Chenopodiaceae/Amaranthaceae";"Corylus";"Cyperaceae";"Fagus";"Filipendula";"Fraxinus";"Helianthemum";"Hippophae rhamnoides";"Juniperus";"Picea";"Pinus";"Poaceae";"Quercus robur-type";"Rumex";"Thalictrum";"Ulmus"
"AlbaSanchez_a1";0,0909090909090909;0;0;0,012987012987013;0;0,012987012987013;0;0;0;0;0;0;0;0;0;0,701298701298701;0,0714285714285714;0,11038961038961;0;0;0
"AlbaSanchez_a2";0,099290780141844;0;0;0;0;0,0212765957446809;0;0;0;0;0;0;0;0;0;0,567375886524823;0,0212765957446809;0,290780141843972;0;0;0
"AlbaSanchez_a3";0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0
"AlbaSanchez_a4";0,290909090909091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,709090909090909;0;0;0;0;0
"AlbaSanchez_a5";0,0610687022900763;0;0;0;0;0,00763358778625954;0;0;0;0;0;0;0;0;0;0,904580152671756;0,0114503816793893;0,0152671755725191;0;0;0
"AlbaSanchez_a6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"AlbaSanchez_a7";0,375690607734807;0;0;0;0;0,00552486187845304;0;0;0;0;0;0;0;0;0;0,541436464088398;0,0331491712707182;0,0441988950276243;0;0;0
"AlbaSanchez_a8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"AlbaSanchez_a9";0,375;0;0;0;0;0,0104166666666667;0;0;0;0;0;0;0;0,0416666666666667;0;0,572916666666667;0;0;0;0;0
"AlbaSanchez_a10";0,151515151515152;0;0;0;0;0;0;0;0;0;0;0;0;0,0404040404040404;0;0,808080808080808;0;0;0;0;0
"AlbaSanchez_a11";0,0119047619047619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,988095238095238;0;0;0;0;0
"AlbaSanchez_a12";0,13903743315508;0;0;0;0;0,0213903743315508;0;0;0;0;0;0;0;0,0160427807486631;0;0,807486631016043;0,0160427807486631;0;0;0;0
"AlbaSanchez_a13";0,171717171717172;0;0;0;0;0,0101010101010101;0;0;0;0;0;0;0;0,0909090909090909;0;0,595959595959596;0,0505050505050505;0,0808080808080808;0;0;0
"AlbaSanchez_a14";0,291925465838509;0;0;0;0;0,0683229813664596;0,0062111801242236;0;0;0;0;0;0;0,0186335403726708;0;0,509316770186335;0,031055900621118;0,0745341614906832;0;0;0
"AlbaSanchez_a15";0,0785714285714286;0;0;0;0;0,0571428571428571;0;0;0;0;0;0;0;0,114285714285714;0;0,657142857142857;0,0214285714285714;0,0714285714285714;0;0;0
"AlbaSanchez_a16";0,820175438596491;0;0;0;0;0,0043859649122807;0;0;0;0;0;0;0;0,0043859649122807;0;0,162280701754386;0,0043859649122807;0,0043859649122807;0;0;0
"AlbaSanchez_a17";0,568181818181818;0;0;0;0;0,0113636363636364;0;0;0;0;0;0;0;0;0;0,409090909090909;0,0113636363636364;0;0;0;0
