"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"AlbaSanchez_a1";0,0510948905109489;0;0,394160583941606;0,0072992700729927;0,00364963503649635;0;0;0,503649635036496;0;0;0;0;0,0401459854014599;0;0;0;0;0;0;0
"AlbaSanchez_a2";0,0444444444444444;0;0,253968253968254;0;0;0;0;0,692063492063492;0;0;0;0;0,00952380952380952;0;0;0;0;0;0;0
"AlbaSanchez_a3";0,277777777777778;0;0,277777777777778;0;0;0;0;0,444444444444444;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a4";0,186046511627907;0;0,453488372093023;0;0;0;0;0,36046511627907;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a5";0,0551724137931034;0;0,817241379310345;0;0;0;0;0,117241379310345;0;0;0;0;0,0103448275862069;0;0;0;0;0;0;0
"AlbaSanchez_a6";0;0;0,107142857142857;0;0;0;0;0,892857142857143;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a7";0,291845493562232;0;0,420600858369099;0;0;0;0;0,261802575107296;0;0;0;0;0,0257510729613734;0;0;0;0;0;0;0
"AlbaSanchez_a8";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a9";0,309012875536481;0;0,472103004291845;0;0;0;0;0,184549356223176;0;0;0;0;0;0;0;0;0;0,0343347639484979;0;0
"AlbaSanchez_a10";0,126050420168067;0;0,672268907563025;0;0;0;0;0,168067226890756;0;0;0;0;0;0;0;0;0;0,0336134453781513;0;0
"AlbaSanchez_a11";0,0117994100294985;0;0,979351032448378;0;0;0;0;0,00884955752212389;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a12";0,140540540540541;0;0,816216216216216;0;0;0;0;0;0;0;0;0;0,0162162162162162;0;0;0;0;0,0162162162162162;0,0108108108108108;0
"AlbaSanchez_a13";0,0871794871794872;0;0,302564102564103;0;0,00512820512820513;0;0;0,533333333333333;0;0;0;0;0,0256410256410256;0;0;0;0;0,0461538461538462;0;0
"AlbaSanchez_a14";0,20704845814978;0;0,361233480176211;0;0;0,00440528634361234;0;0,392070484581498;0;0;0;0;0,0220264317180617;0;0;0;0;0,013215859030837;0;0
"AlbaSanchez_a15";0,0591397849462366;0;0,494623655913978;0;0;0;0;0,344086021505376;0;0;0;0;0,0161290322580645;0;0;0;0;0,0860215053763441;0;0
"AlbaSanchez_a16";0,727626459143969;0;0,143968871595331;0;0;0;0;0,120622568093385;0;0;0;0;0,00389105058365759;0;0;0;0;0,00389105058365759;0;0
"AlbaSanchez_a17";0,467289719626168;0;0,336448598130841;0;0;0;0;0,186915887850467;0;0;0;0;0,00934579439252336;0;0;0;0;0;0;0
"AlbaSanchez_a18";0,138888888888889;0;0,449074074074074;0;0,00462962962962963;0,00462962962962963;0;0,356481481481481;0;0;0;0;0,0185185185185185;0;0,00462962962962963;0;0;0,0231481481481481;0;0
"AlbaSanchez_a19";0,48605577689243;0;0,286852589641434;0;0,00398406374501992;0;0;0,187250996015936;0;0;0;0;0,00796812749003984;0;0;0;0;0,0278884462151394;0;0
"AlbaSanchez_a20";0,26046511627907;0;0,358139534883721;0;0;0;0;0,311627906976744;0;0;0;0;0,00465116279069767;0;0;0;0;0,0651162790697674;0;0
"AlbaSanchez_a21";0,509090909090909;0;0,259090909090909;0;0,00454545454545455;0;0;0,213636363636364;0;0;0;0;0;0;0;0;0;0,0136363636363636;0;0
"AlbaSanchez_a23";0,021505376344086;0;0,408602150537634;0,00537634408602151;0,010752688172043;0;0;0,462365591397849;0;0;0;0;0,0268817204301075;0;0;0;0;0,0645161290322581;0;0
"AlbaSanchez_a25";0,705645161290323;0;0,157258064516129;0;0;0;0;0,125;0;0;0;0;0,00806451612903226;0;0;0;0;0,00403225806451613;0;0
"AlbaSanchez_a26";0;0;0,17877094972067;0;0,00558659217877095;0;0;0,770949720670391;0;0;0;0;0,00558659217877095;0;0;0;0;0,0391061452513966;0;0
"AlbaSanchez_a27";0,0159362549800797;0;0,250996015936255;0;0,00398406374501992;0;0;0,713147410358566;0;0;0;0;0,0119521912350598;0;0;0;0;0,00398406374501992;0;0
"AlbaSanchez_a28";0,158119658119658;0;0,585470085470085;0;0;0;0;0,252136752136752;0;0;0;0;0;0;0;0;0;0,00427350427350427;0;0
"AlbaSanchez_a29";0;0;0,681992337164751;0;0;0;0;0,298850574712644;0;0;0;0;0;0;0;0;0;0,0191570881226054;0;0
"AlbaSanchez_a30";0,0398550724637681;0;0,706521739130435;0;0;0;0;0,253623188405797;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a31";0;0;0,545454545454545;0;0;0;0;0,354545454545455;0;0;0;0;0,0909090909090909;0;0;0;0;0,00909090909090909;0;0
"AlbaSanchez_a32";0,67953667953668;0;0,250965250965251;0;0;0;0;0,0656370656370656;0;0;0;0;0,00386100386100386;0;0;0;0;0;0;0
"AlbaSanchez_a33";0,63921568627451;0;0,223529411764706;0;0;0;0;0,0862745098039216;0;0;0;0;0,0117647058823529;0;0;0;0;0,0392156862745098;0;0
"AlbaSanchez_a34";0,0909090909090909;0;0,905723905723906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00336700336700337;0;0
"AlbaSanchez_a35";0,241379310344828;0;0,702194357366771;0;0;0;0;0,0407523510971787;0;0;0;0;0,0156739811912226;0;0;0;0;0;0;0
"AlbaSanchez_a36";0,0333333333333333;0;0,941666666666667;0;0;0;0;0,0194444444444444;0;0;0;0;0,00555555555555556;0;0;0;0;0;0;0
"AlbaSanchez_a37";0,0483271375464684;0;0,159851301115242;0;0;0;0;0,724907063197026;0;0;0;0;0,0669144981412639;0;0;0;0;0;0;0
"AlbaSanchez_a38";0,485714285714286;0;0,39047619047619;0;0;0;0;0,104761904761905;0;0;0;0;0,019047619047619;0;0;0;0;0;0;0
