;Abies;Acer campestre-type;Alnus;Artemisia;Betula;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Ephedra;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Poaceae;Hedera;Helianthemum;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Polygonum;Populus;Quercus;Ranunculaceae;Rosaceae;Rubiaceae;Salix;Sanguisorba;Saxifraga;Saxifragaceae;Scabiosa;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Urtica;Valeriana;Varia;Hippophae rhamnoides;Rumex;Asteraceae subf. Cichorioideae;Apiaceae;Brassicaceae;Asteraceae subf. Asteroideae
AlbaSanchez_a1;0,049469965;0;0,003533569;0;0,007067138;0;0;0;0,003533569;0;0,007067138;0;0;0;0;0;0;0;0;0,038869258;0;0;0;0;0;0,381625442;0;0;0;0,487632509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,021201413;0;0;0
AlbaSanchez_a2;0,043887147;0;0;0;0;0;0;0;0;0;0,009404389;0;0;0;0;0;0;0;0;0,009404389;0;0;0;0;0;0,250783699;0;0;0;0,68338558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003134796;0;0;0
AlbaSanchez_a3;0,277777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,277777778;0;0;0;0,444444444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a4;0,186046512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,453488372;0;0;0;0,360465116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a5;0,054794521;0;0;0;0;0;0;0;0;0;0,006849315;0;0;0;0;0;0;0;0;0,010273973;0;0;0;0;0;0,811643836;0;0;0;0,116438356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,107142857;0;0;0;0,892857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a7;0,290598291;0;0;0;0;0;0;0;0;0;0,004273504;0;0;0;0;0;0;0;0;0,025641026;0;0;0;0;0;0,418803419;0;0;0;0,260683761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a9;0,305084746;0;0;0;0;0;0;0;0;0;0,008474576;0;0;0;0;0;0;0;0;0;0;0;0;0,033898305;0;0,466101695;0;0;0;0,18220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004237288;0;0;0
AlbaSanchez_a10;0,12605042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,033613445;0;0,672268908;0;0;0;0,168067227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a11;0,01179941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,979351032;0;0;0;0,008849558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a12;0,137566138;0;0;0;0;0;0;0;0;0;0,021164021;0;0;0;0;0;0;0;0;0,015873016;0;0;0;0,015873016;0;0,798941799;0;0;0,010582011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a13;0,085;0;0,005;0;0;0;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0,025;0;0;0;0,045;0;0,295;0;0;0;0,52;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,015;0;0;0;0;0;0;0;0
AlbaSanchez_a14;0,197478992;0;0;0;0;0;0;0;0;0;0,046218487;0,004201681;0;0;0;0;0;0;0;0,021008403;0;0;0;0,012605042;0;0,344537815;0;0;0;0,37394958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a15;0,054187192;0;0;0;0;0,004926108;0;0;0,009852217;0;0,039408867;0;0;0;0;0;0;0;0;0,014778325;0;0;0;0,078817734;0;0,45320197;0;0;0;0,315270936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02955665;0;0;0
AlbaSanchez_a16;0,724806202;0;0;0;0;0;0;0;0;0;0,003875969;0;0;0;0;0;0;0;0;0,003875969;0;0;0;0,003875969;0;0,143410853;0;0;0;0,120155039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a17;0,462962963;0;0;0;0;0;0;0;0;0;0,009259259;0;0;0;0;0;0;0;0;0,009259259;0;0;0;0;0;0,333333333;0;0;0;0,185185185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a18;0,137614679;0;0,004587156;0,004587156;0;0;0;0;0;0;0,009174312;0,004587156;0;0;0;0;0;0;0;0,018348624;0;0;0;0,02293578;0;0,444954128;0;0;0;0,353211009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a19;0,480314961;0;0,003937008;0;0;0;0;0;0;0;0,007874016;0;0;0;0;0;0;0;0;0,007874016;0;0;0;0,027559055;0;0,283464567;0;0;0;0,18503937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003937008;0;0
AlbaSanchez_a20;0,251121076;0;0;0;0;0;0;0;0;0;0,02690583;0;0;0;0;0;0;0;0;0,004484305;0;0;0;0,062780269;0;0,34529148;0;0;0;0,30044843;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004484305;0;0;0;0;0,004484305;0;0;0
AlbaSanchez_a21;0,50678733;0;0,004524887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013574661;0;0,257918552;0;0;0;0,212669683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004524887;0;0
AlbaSanchez_a23;0,020942408;0;0,010471204;0;0,005235602;0;0;0;0;0;0,010471204;0;0;0;0;0;0;0;0;0,02617801;0;0;0;0,062827225;0;0,397905759;0;0;0;0,45026178;0;0;0,010471204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005235602;0;0;0
