"";"Abies";"Acer.campestre.type";"Alnus";"Apiaceae";"Armeria.type";"Artemisia";"Asteraceae.subf..Cichorioideae";"Asteraceae.subf..Asteroideae";"Betula";"Boraginaceae";"Botrychium";"Brassicaceae";"Buxus";"Calluna.vulgaris";"Campanulaceae";"Carpinus";"Caryophyllaceae..periporate.excl..Paronychioideae.";"Cedrus";"Centaurea";"Chenopodiaceae.Amaranthaceae";"Corylus";"Cyperaceae";"Dipsacaceae";"Ephedra";"Ericaceae";"Euphorbia";"Fagaceae";"Fagus";"Filipendula";"Fraxinus";"Hedera";"Helianthemum";"Hippophae.rhamnoides";"Juniperus";"Lamiaceae";"Olea.europaea";"Picea";"Pinus";"Plantago";"Plantago.lanceolata.type";"Poaceae";"Polygonum";"Quercus.robur.type";"Quercus.ilex.type";"Ranunculaceae";"Rosaceae";"Rubiaceae";"Rumex";"Salix";"Saxifraga";"Scrophulariaceae";"Thalictrum";"Thymelaeaceae";"Tilia";"Ulmus";"Urticaceae"
"AlbaSanchez_a1";0,047945205479452;0;0,00342465753424657;0;0;0;0,0205479452054794;0;0,00684931506849315;0;0;0;0;0;0;0;0,00342465753424657;0;0;0,00684931506849315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00342465753424657;0,023972602739726;0;0,369863013698631;0,00342465753424657;0;0,0376712328767123;0;0,0582191780821917;0,414383561643835;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a2";0,0424242424242425;0;0;0;0;0;0,00303030303030303;0;0;0;0;0;0;0;0;0;0;0;0;0,0090909090909091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0333333333333333;0;0,242424242424242;0;0;0,0090909090909091;0;0,124242424242424;0,536363636363636;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a3";0,277777777777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,277777777777778;0;0;0;0;0;0,444444444444444;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a4";0,186046511627907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,453488372093023;0;0;0;0;0;0,36046511627907;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a5";0,0533333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0133333333333334;0;0,79;0,0133333333333334;0;0,01;0;0,0133333333333334;0,0999999999999999;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,107142857142857;0;0;0;0;0;0,892857142857143;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a7";0,232876712328767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00342465753424657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,195205479452055;0;0,335616438356164;0,00342465753424657;0;0,0205479452054794;0;0,0273972602739726;0,181506849315068;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0535117056856187;0;0;0;0;0;0;0,00334448160535117;0,94314381270903;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a9";0,24;0;0;0;0;0;0,00333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0,00666666666666666;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0266666666666667;0;0,183333333333334;0;0,366666666666666;0,03;0;0;0;0;0,143333333333334;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a10";0,104166666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0277777777777778;0;0,173611111111111;0;0,555555555555556;0;0;0;0;0;0,138888888888889;0;0;0;0;0;0;0;0;0;0;0;0
