"";"Abies";"Acer campestre-type";"Alnus";"Armeria-type";"Artemisia";"Betula";"Boraginaceae";"Botrychium";"Buxus";"Calluna vulgaris";"Carpinus betulus";"Caryophyllaceae (periporate excl. Paronychioideae)";"Cedrus";"Centaurea";"Chenopodiaceae/Amaranthaceae";"Asteraceae subf. Asteroideae";"Asteraceae subf. Cichorioideae";"Corylus";"Crassulaceae";"Brassicaceae";"Cyperaceae";"Dipsacaceae";"Ephedra";"Ericaceae";"Fagus";"Filipendula";"Fraxinus";"Gentianaceae";"Poaceae";"Hedera";"Helianthemum";"Hippophae rhamnoides";"Ilex";"Juniperus";"Osmunda regalis";"Picea";"Pinus";"Plantago";"Plantago lanceolata-type";"Polygonum";"Polypodium";"Populus";"Potamogeton";"Quercus ilex-type";"Quercus robur-type";"Ranunculaceae";"Ranunculus-type";"Rhamnus";"Rosaceae";"Rubiaceae";"Rumex";"Salix";"Saxifraga";"Scrophulariaceae";"Selaginella";"Taxus";"Thalictrum";"Tilia";"Ulmus";"Valeriana"
"AlbaSanchez_a1";0,0492957746478873;0;0,00352112676056338;0;0;0,00704225352112676;0;0;0;0;0;0,00352112676056338;0;0;0,00704225352112676;0;0,0211267605633803;0;0;0;0;0;0;0;0;0;0;0;0,0387323943661972;0;0;0;0;0;0;0;0,380281690140845;0,00352112676056338;0;0;0;0;0;0,426056338028169;0,0598591549295775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a2";0,0438871473354232;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00940438871473354;0;0,00313479623824451;0;0;0;0;0;0;0;0;0;0;0;0,00940438871473354;0;0;0;0;0;0;0;0,250783699059561;0;0;0;0;0;0;0,554858934169279;0,128526645768025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a3";0,277777777777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,277777777777778;0;0;0;0;0;0;0,444444444444444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a4";0,186046511627907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,453488372093023;0;0;0;0;0;0;0,36046511627907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a5";0,0540540540540541;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00675675675675676;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0101351351351351;0;0;0;0;0;0;0;0,800675675675676;0,0135135135135135;0;0;0;0;0;0,101351351351351;0,0135135135135135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,107142857142857;0;0;0;0;0;0;0,892857142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a7";0,28936170212766;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00425531914893617;0;0;0;0;0;0;0;0;0;0;0;0;0;0,025531914893617;0;0;0;0;0;0;0;0,417021276595745;0,00425531914893617;0;0;0;0;0;0,225531914893617;0,0340425531914894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,996466431095406;0,00353356890459364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a9";0,293877551020408;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00816326530612245;0;0,00408163265306122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0326530612244898;0;0;0,448979591836735;0,036734693877551;0;0;0;0;0;0,175510204081633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a10";0,126050420168067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0336134453781513;0;0;0,672268907563025;0;0;0;0;0;0;0,168067226890756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a11";0,0116959064327485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,970760233918129;0,0087719298245614;0;0;0;0;0;0,0087719298245614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a12";0,133333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0205128205128205;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0153846153846154;0;0;0;0;0,0153846153846154;0;0;0,774358974358974;0,0307692307692308;0;0;0;0,0102564102564103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a13";0,0858585858585859;0;0,00505050505050505;0;0;0;0;0;0;0;0;0;0;0;0,00505050505050505;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0252525252525253;0;0;0;0;0,0454545454545455;0;0;0,297979797979798;0,00505050505050505;0;0;0;0;0;0,484848484848485;0,0404040404040404;0;0;0;0;0,00505050505050505;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a14";0,197478991596639;0;0;0;0;0;0;0;0;0;0;0;0;0;0,046218487394958;0;0;0,00420168067226891;0;0;0;0;0;0;0;0;0;0;0,0210084033613445;0;0;0;0;0,0126050420168067;0;0;0,34453781512605;0;0;0;0;0;0;0,323529411764706;0,0504201680672269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a15";0,0536585365853659;0;0;0;0;0;0;0;0,0048780487804878;0;0;0,00975609756097561;0;0;0,0390243902439024;0;0,0292682926829268;0;0;0;0;0;0;0;0;0;0;0;0,0146341463414634;0;0;0;0;0,0780487804878049;0;0;0,448780487804878;0,00975609756097561;0;0;0;0;0;0,263414634146341;0,048780487804878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a16";0,724806201550388;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00387596899224806;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00387596899224806;0;0;0;0;0,00387596899224806;0;0;0,143410852713178;0;0;0;0;0;0;0,116279069767442;0,00387596899224806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
