;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
AlbaSanchez_a1;0,049815594;0,001769797;0;0,001765168;0;0,001175754;0;0;0;0,003877285;0;0;0,029275937;0,036001808;0;0;0
AlbaSanchez_a2;0,043645217;0;0;0;0;0,001565951;0;0;0;0,000939918;0;0;0,019282832;0,049413542;0;0;0
AlbaSanchez_a3;0,277777778;0;0;0;0;0;0;0;0;0;0;0;0,021367521;0,031746032;0;0;0
AlbaSanchez_a4;0,186046512;0;0;0;0;0;0;0;0;0;0;0;0,034883721;0,025747508;0;0;0
AlbaSanchez_a5;0,054662834;0;0;0;0;0,00112822;0;0;0;0,001014644;0;0;0,061643246;0,008381051;0;0;0
AlbaSanchez_a6;0;0;0;0;0;0;0;0;0;0;0;0;0,008241758;0,06377551;0;0;0
AlbaSanchez_a7;0,289949491;0;0;0;0;0,00070946;0;0;0;0,002553709;0;0;0,032083563;0,018702892;0;0;0
AlbaSanchez_a8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,071428571;0;0;0
AlbaSanchez_a9;0,303522643;0;0;0;0;0,001367788;0;0;0;0;0,00297706;0;0,03462152;0,013212086;0;0;0
AlbaSanchez_a10;0,12605042;0;0;0;0;0;0;0;0;0;0,003055768;0;0,051712993;0,012004802;0;0;0
AlbaSanchez_a11;0,011798486;0;0;0;0;0;0;0;0;0;0;0;0,074723839;0,000632504;0;0;0
AlbaSanchez_a12;0,139037433;0;0;0;0;0,003442341;0;0;0;0,001544799;0,001403837;0;0,05975465;0;0;0;0
AlbaSanchez_a13;0,086032389;0,002527806;0;0;0;0,000842034;0;0;0;0,002525763;0,00413299;0;0,022925085;0,038100736;0;0;0
AlbaSanchez_a14;0,193964185;0;0;0;0;0,007679887;0,00059869;0;0;0,00209704;0,001144028;0;0,026466017;0,027968833;0;0;0
AlbaSanchez_a15;0,054852547;0;0;0;0;0,006527747;0;0;0;0,001466607;0,007109412;0;0,034579477;0,024615846;0;0;0
AlbaSanchez_a16;0,724467492;0;0;0;0;0,000645945;0;0;0;0,000387579;0,000352346;0;0,011031207;0,00861561;0;0;0
AlbaSanchez_a17;0,462163096;0;0;0;0;0,001542765;0;0;0;0,000925766;0;0;0,025637612;0,013349485;0;0;0
AlbaSanchez_a18;0,136720398;0,002275697;0,001516471;0;0;0,001515811;0,000649593;0;0;0,001818656;0,002066606;0;0,033922893;0,02546771;0;0;0
AlbaSanchez_a19;0,4815007;0,001974823;0;0;0;0,001317198;0;0;0;0,000790397;0,002514933;0;0,02188866;0,013373657;0;0;0
AlbaSanchez_a20;0,250916972;0;0;0;0;0,004500513;0;0;0;0,000450211;0,005730234;0;0,026669609;0,022250678;0;0;0
AlbaSanchez_a21;0,509090908;0,002272727;0;0;0;0;0;0;0;0;0,001239669;0;0,01993007;0,01525974;0;0;0
AlbaSanchez_a23;0,021018136;0,005245051;0;0,001310081;0;0,001746249;0;0;0;0,002618745;0,005713437;0;0,030616621;0,033034615;0;0;0
AlbaSanchez_a25;0,698602794;0;0;0;0;0,001324065;0;0;0;0,000794123;0,000360946;0;0,011910215;0,008932369;0;0;0
AlbaSanchez_a26;0;0,002692539;0;0;0;0,000896542;0;0;0;0,000537809;0,003422319;0;0,013237381;0,055080599;0;0;0
AlbaSanchez_a27;0,014769485;0,001828726;0;0;0;0,001211513;0;0;0;0,001088997;0,000329943;0;0,017583872;0,051007366;0;0;0
AlbaSanchez_a28;0,157109676;0;0;0;0;0,000706462;0;0;0;0;0,000385282;0;0,044661715;0,018012471;0;0;0
AlbaSanchez_a29;0;0;0;0;0;0;0;0;0;0;0,001741553;0;0,052460949;0,02134647;0;0;0
AlbaSanchez_a30;0,038510325;0;0;0;0;0;0;0;0;0;0;0;0,048104941;0,018233582;0;0;0
AlbaSanchez_a31;0;0;0;0;0;0;0;0;0;0,008649567;0,000786085;0;0,039890241;0,025385211;0;0;0
AlbaSanchez_a32;0,679536679;0;0;0;0;0;0;0;0;0,0003861;0;0;0,019305019;0,004688362;0;0;0
AlbaSanchez_a33;0,639215686;0;0;0;0;0;0;0;0;0,001176471;0,003565062;0;0,01719457;0,006162465;0;0;0
AlbaSanchez_a34;0,090604027;0;0;0;0;0,000559284;0;0;0;0;0,000305064;0;0,069437274;0;0;0;0
AlbaSanchez_a35;0,24137931;0;0;0;0;0;0;0;0;0,001567398;0;0;0,054014951;0,002910882;0;0;0
AlbaSanchez_a36;0,033331533;0;0;0;0;0;0;0;0;0,000554167;0;0;0,07225034;0,001389158;0;0;0
AlbaSanchez_a37;0,047811761;0;0;0;0;0;0;0;0;0,006596065;0;0;0,012119847;0,051793988;0;0;0
AlbaSanchez_a38;0,484024043;0;0;0;0;0;0;0;0;0,001848657;0;0;0,029132422;0,007498461;0;0;0
AlbaSanchez_a39;0,332938589;0;0;0;0;0,002673276;0,000572642;0;0;0,002403565;0;0;0,029572204;0,016386409;0;0;0
AlbaSanchez_a40;0,186504101;0;0;0;0;0;0;0;0;0,00104962;0;0;0,054626045;0,006290592;0;0;0
AlbaSanchez_a41;0,62515695;0;0;0,001803214;0;0;0;0;0;0,000360084;0;0;0,024369097;0,003119183;0;0;0
AlbaSanchez_a42;0,243087208;0;0;0,00112399;0;0;0;0;0;0,001771724;0,00120691;0;0,020736397;0,027348911;0;0;0
AlbaSanchez_a43;0;0;0;0;0;0;0;0;0;0,003571429;0;0;0,03021978;0,040816327;0;0;0
AlbaSanchez_a44;0,007209529;0;0;0;0;0,003035066;0;0;0;0,001093529;0;0;0,009255596;0,06105381;0;0;0
AlbaSanchez_a45;0,122753877;0;0;0;0;0,000656798;0;0;0;0,001969638;0,001432389;0;0,050294833;0,012811187;0;0;0
