"","X1","X2","X3"
"1",10,NA,NA
"2",20,NA,NA
"3",30,1484.5128537575,80.9561826724354
"4",40,2050.32347806955,89.5770714394965
"5",50,2522.432250149,104.18706873512
"6",60,2990.20686476275,88.4387808502599
"7",80,3696.28244784293,186.379344232423
"8",90,4037.06598576238,150.512534069073
"9",100,4320.19919706118,102.293337234009
"10",110,4482.6364298843,112.374291893425
"11",120,4638.86130853074,109.986564998
"12",130,4806.21646323776,99.3541801724934
"13",140,5086.08994687134,149.541372708052
"14",150,5394.77487725316,155.996455759482
"15",160,5712.51958411371,96.7529608528127
"16",170,6081.28849752734,110.24905666152
"17",180,6468.15573773184,79.8846916342952
"18",190,6851.13539194259,99.6224205133322
"19",200,7146.88923347441,125.38665949042
"20",210,7381.64218854179,139.65179841483
"21",220,7626.33365086709,122.027640136648
"22",230,8364.55460629008,243.371895336758
"23",240,9463.16016809434,269.75163294862
"24",250,10511.5404967373,551.523349121733
"25",260,11556.4903987633,626.413350818144
"26",265,12048.5705061313,629.93846890607
"27",270,12561.6753357203,591.628253782635
"28",275,13081.2475240051,541.756820519662
"29",280,13593.0370388191,452.103788864888
"30",285,14107.0731101623,276.81752688901
"31",290,14486.0735312958,243.330383257008
"32",295,14754.0406131275,313.620214259012
"33",308,15415.2506161785,731.338691536284
"34",310,15516.9752320325,810.153372818682
"35",312,15618.6998478865,890.129753542149
"36",315,15771.2867716675,1011.66891733702
"37",317.5,15898.442541485,1114.00105877352
"38",320,16025.5983113025,1217.03072670639
"39",323,16178.1852350835,1341.36069694642
"40",326,16330.7721588645,1466.26613883796
"41",331,16585.0836984995,1675.37088392987
"42",336,16839.3952381345,1885.3018559802
"43",340,17042.8444698425,2053.67128863568
"44",344,17246.2937015505,2222.32526309062
"45",350,17551.4675491125,2475.71250987014
"46",355,17805.7790887475,2687.1531752667
"47",360,18060.0906283825,2898.79220086394
"48",443,22281.6621863235,6423.17782273626
"49",446.5,22459.680264068,6571.98591415402
"50",450,22637.6983418125,6720.80061203225
"51",461,23197.1837290095,7188.5423784958
"52",470,23654.9445003525,7571.2778329512
"53",477.5,24036.411809805,7890.24609028194
"54",482,24265.2921954765,8081.63560135988
"55",486.5,24494.172581148,8273.03098558392
"56",493,24824.7775826735,8549.50055413228
"57",500,25180.8137381625,8847.24856540517
"58",515,25943.7483570675,9485.31520528798
"59",530,26706.6829759725,10123.4223677025
"60",550,27723.9291345125,10974.2827351932
"61",560,28232.5522137825,11399.7310404343
"62",570,28741.1752930525,11825.1896880779
"63",580,29249.7983723225,12250.6576005662
"64",590,29758.4214515925,12676.1338449897
"65",610,30775.6676101325,13527.1081847957
"66",620,31284.2906894025,13952.6049474805
"67",630,31792.9137686725,14378.107348335
"68",650,32810.1599272125,15229.1271741793
"69",675,34081.7176253875,16292.9260803653
"70",700,35353.2753235625,17356.7471908995
"71",725,36624.8330217375,18420.5866587625
"72",750,37896.3907199125,19484.4414770554
"73",764,38608.4630308905,20080.2059709635
"74",775,39167.9484180875,20548.3092615485
"75",781,39473.1222656495,20803.6392381879
"76",786,39727.4338052845,21016.414687058
"77",791,39981.7453449195,21229.1905480338
"78",800,40439.5061162625,21612.1880974444
"79",815,41202.4407351675,22250.5200442027
"80",820,41456.7522748025,22463.2980679915
"81",823,41609.3391985835,22590.9650448694
"82",825,41711.0638144375,22676.0764292684
"83",827,41812.7884302915,22761.1878661557
"84",831,42016.2376619995,22931.4108950575
"85",839,42423.1361254155,23271.8575574836
"86",850,42982.6215126125,23739.9729803629
"87",862,43592.9692077365,24250.6459267344
"88",875,44254.1792107875,24803.8766930964
"89",886,44813.6645979845,25271.9963624561
"90",900,45525.7369089625,25867.7866838262
"91",915,46288.6715278675,26506.1353772216
"92",930,47051.6061467725,27144.4859202912
"93",940,47560.2292260425,27570.0539131539
"94",950,48068.8523053125,27995.6226362986
"95",960,48577.4753845825,28421.1920569204
"96",970,49086.0984638525,28846.7621441502
"97",980,49594.7215431225,29272.332868914
"98",1000,50611.9677016625,30123.4761229619
"99",1020,51629.2138602025,30974.6216177505
"100",1040,52646.4600187425,31825.7691735011
"101",1060,53663.7061772825,32676.918629166
"102",1070,54172.3292565525,33102.4940236679
"103",1076,54477.5031041145,33357.8394639052
"104",1080,54680.9523358225,33528.0698400505
"105",1087,55036.9884913115,33825.9731540103
"106",1090,55189.5754150925,33953.6460624502
"107",1093,55342.1623388735,34081.3190060695
"108",1095.5,55469.318108691,34187.7131523412
"109",1098,55596.4738785085,34294.1073225446
"110",1102.5,55825.35426418,34485.6168885117
"111",1105,55952.5100339975,34592.0111245513
"112",1110,56206.8215736325,34804.7996657259
"113",1116,56511.9954211945,35060.1460347503
"114",1121,56766.3069608295,35272.9347733588
"115",1125,56969.7561925375,35443.1658270781
"116",1131,57274.9300400995,35698.5125105054
"117",1137,57580.1038876615,35953.8593150133
"118",1146,58037.8646590045,36336.8797432173
"119",1157,58597.3500462015,36805.0161721531
"120",1167,59105.9731254715,37230.5950665651
"121",1177,59614.5962047415,37656.1742574991
"122",1185,60021.4946681575,37996.6378170466
"123",1191,60326.6685157195,38251.9856041196
"124",1195,60530.1177474275,38422.2175169642
"125",1198,60682.7046712085,38549.8914799527
"126",1202,60886.1539029165,38720.1234679535
"127",1206,61089.6031346245,38890.3554981259
"128",1209,61242.1900584055,39018.0295480979
"129",1212.5,61420.20813615,39166.9826356824
"130",1214,61496.5015980405,39230.8196827887
"131",1216,61598.2262138945,39315.9357544616
"132",1219,61750.8131376755,39443.6098808329
"133",1221,61852.5377535295,39528.7259775605
"134",1223,61954.2623693835,39613.8420841968
"135",1227,62157.7116010915,39784.0743269418
"136",1228.5,62234.005062982,39847.911428021
"137",1230,62310.2985248725,39911.7485345411
"138",1234.5,62539.178910544,40103.2598864867
"139",1239,62768.0592962155,40294.7712864715
"140",1244,63022.3708358505,40507.5617864126
"141",1249,63276.6823754855,40720.3523439035
"142",1258,63734.4431468285,41103.3754895596
"143",1263,63988.7546864635,41316.166203474
"144",1274,64548.2400736605,41784.3059638316
"145",1282,64955.1385370765,42124.7714039896
"146",1289,65311.1746925655,42422.6787717026
"147",1295,65616.3485401275,42678.0280222673
"148",1300,65870.6600797625,42890.8191185879
"149",1305,66124.9716193975,43103.6102633879
"150",1310,66379.2831590325,43316.4014559529
"151",1319,66837.0439303755,43699.4257207104
"152",1325,67142.2177779375,43954.7753133007
"153",1331,67447.3916254995,44210.1249707544
"154",1337,67752.5654730615,44465.4746919538
"155",1342,68006.8770126965,44678.2661741929
"156",1347,68261.1885523315,44891.0576993224
"157",1352,68515.5000919665,45103.8492667354
