"","x"
"1",-0.0313872363626228
"2",-0.0314179007935041
"3",-0.0314485551111772
"4",-0.031479285487066
"5",-0.0315099730276596
"6",-0.0315407907645305
"7",-0.0315715420702684
"8",-0.0316023119210573
"9",-0.031633105450592
"10",-0.0316639083474713
"11",-0.0316947299328826
"12",-0.0317255673497994
"13",-0.031756393277078
"14",-0.0317872667503943
"15",-0.0318181559983351
"16",-0.0318490330565633
"17",-0.0318799880884124
"18",-0.0319109003785494
"19",-0.0319418655686878
"20",-0.0319728727526539
"21",-0.032003836988548
"22",-0.0320348472430464
"23",-0.032065990807768
"24",-0.03209700720885
"25",-0.0321280698972013
"26",-0.032159121101816
"27",-0.0321902506096803
"28",-0.0322213724059682
"29",-0.0322524759072782
"30",-0.0322836578543912
"31",-0.0323147963485733
"32",-0.0323459818465677
"33",-0.0323771871003651
"34",-0.0324083781357744
"35",-0.0324396163452503
"36",-0.0324708744580669
"37",-0.0325021181679395
"38",-0.0325334449285318
"39",-0.0325647560109119
"40",-0.0325961967024352
"41",-0.0326275108976856
"42",-0.0326588751742954
"43",-0.0326902546851198
"44",-0.0327216218675506
"45",-0.0327530371488902
"46",-0.0327844721226303
"47",-0.0328159283393509
"48",-0.0328473965720908
"49",-0.0328788848634889
"50",-0.0329103892314259
"51",-0.0329418805881347
"52",-0.0329734223570834
"53",-0.0330049803491079
"54",-0.0330365251439578
"55",-0.0330681510472747
"56",-0.0330997322798027
"57",-0.0331314813460662
"58",-0.0331631611720161
"59",-0.033194796216582
"60",-0.0332264790754429
"61",-0.0332581830871266
"62",-0.0332898711344181
"63",-0.0333216079713821
"64",-0.033353332933871
"65",-0.0333851081010137
"66",-0.0334169340822833
"67",-0.033448713156936
"68",-0.0334805735922993
"69",-0.0335123876928933
"70",-0.0335442210429205
"71",-0.0335761359581897
"72",-0.0336080043217037
"73",-0.033639923386839
"74",-0.0336719782182935
"75",-0.0337039024459042
"76",-0.0337359096504018
"77",-0.0337679025563795
"78",-0.0337999129267622
"79",-0.0338319085265838
"80",-0.0338639562014042
"81",-0.0338960214919218
"82",-0.0339280718203592
"83",-0.0339601721217656
"84",-0.0339922947567467
"85",-0.034024434507775
"86",-0.0340565898327685
"87",-0.0340887676475841
"88",-0.0341209597922473
"89",-0.0341531402379826
"90",-0.0341849686666508
"91",-0.0342165120311427
"92",-0.0342478930286817
"93",-0.0342792977174747
"94",-0.0343106894585707
"95",-0.0343420746709106
"96",-0.034373479571976
"97",-0.034404807109288
"98",-0.0344558877985888
"99",-0.0345092986737684
"100",-0.034562649601494
"101",-0.0346158706465791
"102",-0.0346689996093668
"103",-0.0347220387755256
"104",-0.034774980323735
"105",-0.0348278301753314
"106",-0.0348806213175024
"107",-0.0349332862673936
"108",-0.0349859459268258
"109",-0.0350384612550951
"110",-0.0350908506893377
"111",-0.0351431484150865
"112",-0.0351953932559779
"113",-0.0352474765341498
"114",-0.0352995346669054
"115",-0.0353514720313598
"116",-0.0354033203228784
"117",-0.0354550752686185
"118",-0.0355067080976831
"119",-0.0355583517841144
"120",-0.0356098094658662
"121",-0.0356611748656815
"122",-0.0357125517216799
"123",-0.0357637399423465
"124",-0.0358149047769335
"125",-0.0358660721447252
"126",-0.0359169963309035
"127",-0.035960660299567
"128",-0.0359951135899713
"129",-0.0360294717273989
"130",-0.0360636997649771
